c,h,l,n,o,t,v,vw
13.69,13.89,13.69,151,13.79,2016-01-04T05:00:00Z,15546,13.78
13.74,13.85,13.28,233,13.47,2016-01-05T05:00:00Z,11922,13.72
13.82,13.85,13.68,64,13.68,2016-01-06T05:00:00Z,6201,13.77
13.73,13.81,13.69,193,13.73,2016-01-07T05:00:00Z,22285,13.78
13.84,13.96,13.74,157,13.74,2016-01-08T05:00:00Z,14617,13.85
13.93,13.96,13.69,352,13.83,2016-01-11T05:00:00Z,34678,13.87
14.07,14.07,13.91,242,13.91,2016-01-12T05:00:00Z,33048,13.99
14.01,14.07,13.93,48,14.07,2016-01-13T05:00:00Z,6316,13.99
14.04,14.1,13.96,153,14.06,2016-01-14T05:00:00Z,17243,14.02
13.96,14.04,13.72,738,13.83,2016-01-15T05:00:00Z,73724,13.97
14.06,14.07,13.87,163,14.07,2016-01-19T05:00:00Z,11152,14.02
13.82,14.06,13.75,109,13.75,2016-01-20T05:00:00Z,9155,13.85
13.9,14.12,13.85,105,13.91,2016-01-21T05:00:00Z,13994,13.92
13.95,14.04,13.85,106,13.93,2016-01-22T05:00:00Z,4942,13.97
13.86,14.0,13.85,64,13.91,2016-01-25T05:00:00Z,5654,13.91
13.26,13.49,12.57,239,13.18,2016-01-26T05:00:00Z,42250,13.21
13.08,13.12,12.85,159,13.12,2016-01-27T05:00:00Z,17950,13.02
12.63,13.29,12.63,340,13.14,2016-01-28T05:00:00Z,46173,12.77
12.98,13.37,12.63,200,12.63,2016-01-29T05:00:00Z,40650,13.05
12.76,12.88,12.64,275,12.81,2016-02-01T05:00:00Z,30075,12.77
12.9,13.09,12.7,242,12.7,2016-02-02T05:00:00Z,29190,12.92
12.66,12.93,12.66,258,12.83,2016-02-03T05:00:00Z,26370,12.78
12.81,12.99,12.66,218,12.66,2016-02-04T05:00:00Z,31978,12.79
12.68,12.96,12.68,80,12.81,2016-02-05T05:00:00Z,23570,12.84
12.57,12.71,12.55,101,12.71,2016-02-08T05:00:00Z,8217,12.6
12.44,12.55,12.44,198,12.53,2016-02-09T05:00:00Z,15205,12.48
12.51,12.72,12.45,117,12.45,2016-02-10T05:00:00Z,19814,12.61
12.57,12.68,12.51,125,12.51,2016-02-11T05:00:00Z,14351,12.6
12.72,12.75,12.6,199,12.69,2016-02-12T05:00:00Z,26883,12.65
12.81,12.87,12.66,71,12.75,2016-02-16T05:00:00Z,7696,12.8
12.82,12.85,12.64,229,12.85,2016-02-17T05:00:00Z,33256,12.74
12.83,12.84,12.82,91,12.83,2016-02-18T05:00:00Z,12495,12.83
12.97,13.06,12.78,114,12.78,2016-02-19T05:00:00Z,15425,12.94
13.08,13.14,12.91,188,12.96,2016-02-22T05:00:00Z,18977,13.04
12.83,13.16,12.81,253,13.08,2016-02-23T05:00:00Z,34855,13.03
12.8,13.02,12.75,192,12.8,2016-02-24T05:00:00Z,17987,12.85
13.04,13.09,12.83,57,12.83,2016-02-25T05:00:00Z,6748,13.01
13.26,13.57,12.6,209,12.6,2016-02-26T05:00:00Z,19561,13.18
13.11,13.31,13.04,184,13.31,2016-02-29T05:00:00Z,22227,13.2
13.32,13.56,13.16,111,13.24,2016-03-01T05:00:00Z,13306,13.32
13.16,13.33,12.87,233,13.33,2016-03-02T05:00:00Z,25732,13.12
13.1,13.43,13.08,208,13.11,2016-03-03T05:00:00Z,21057,13.15
12.9,13.21,12.75,445,13.21,2016-03-04T05:00:00Z,61432,13.02
12.94,13.13,12.85,241,12.87,2016-03-07T05:00:00Z,37179,13.06
12.87,13.14,12.87,266,12.87,2016-03-08T05:00:00Z,19104,13.01
12.89,13.02,12.83,188,12.89,2016-03-09T05:00:00Z,17696,12.89
12.86,12.89,12.75,265,12.84,2016-03-10T05:00:00Z,22567,12.81
12.88,12.92,12.76,217,12.77,2016-03-11T05:00:00Z,32225,12.87
12.9,12.91,12.8,204,12.87,2016-03-14T04:00:00Z,44142,12.86
13.02,13.12,12.84,170,12.84,2016-03-15T04:00:00Z,83677,12.94
12.98,13.41,12.93,163,13.09,2016-03-16T04:00:00Z,19352,13.03
12.92,13.01,12.9,157,12.92,2016-03-17T04:00:00Z,10130,12.94
13.04,13.11,12.95,123,12.98,2016-03-18T04:00:00Z,11045,13.05
13.12,13.19,12.96,173,13.05,2016-03-21T04:00:00Z,49457,13.09
13.3,13.4,13.02,145,13.02,2016-03-22T04:00:00Z,12049,13.3
13.46,13.49,13.09,183,13.34,2016-03-23T04:00:00Z,22914,13.43
13.46,13.51,13.29,223,13.31,2016-03-24T04:00:00Z,24955,13.43
13.38,13.46,13.25,173,13.32,2016-03-28T04:00:00Z,16622,13.39
13.37,13.46,13.25,180,13.28,2016-03-29T04:00:00Z,18990,13.39
13.1,13.43,13.08,219,13.43,2016-03-30T04:00:00Z,18838,13.22
12.75,13.36,12.75,276,13.32,2016-03-31T04:00:00Z,30661,12.91
12.91,13.08,12.76,191,12.76,2016-04-01T04:00:00Z,16834,12.9
12.82,12.99,12.73,203,12.92,2016-04-04T04:00:00Z,8906,12.87
