c,h,l,n,o,t,v,vw
9200.0,10000.0,8400.0,173,8400.0,2016-01-04T05:00:00Z,6,8700.56
9360.0,9440.0,9120.0,84,9440.0,2016-01-05T05:00:00Z,1,9277.3
8880.0,9440.0,8768.0,26,9360.0,2016-01-06T05:00:00Z,0,9067.75
8000.0,9040.0,8000.0,241,8880.0,2016-01-07T05:00:00Z,8,8227.51
8000.0,8532.0,8000.0,37,8532.0,2016-01-08T05:00:00Z,1,8078.94
8080.0,8400.0,7975.2,41,8000.0,2016-01-11T05:00:00Z,0,8109.02
8080.0,8400.0,7760.0,23,8320.0,2016-01-12T05:00:00Z,0,8033.74
7920.0,9840.0,7760.0,117,8400.0,2016-01-13T05:00:00Z,6,8397.74
8240.0,8560.0,7600.0,118,8080.0,2016-01-14T05:00:00Z,4,7886.94
8080.0,9760.0,6960.0,184,8240.0,2016-01-15T05:00:00Z,6,7977.34
8320.0,8560.0,7999.2,61,8000.0,2016-01-19T05:00:00Z,1,8218.05
8320.0,8480.0,8016.0,168,8160.0,2016-01-20T05:00:00Z,8,8162.26
7800.0,8560.0,7600.0,192,7992.0,2016-01-21T05:00:00Z,4,8057.55
7200.0,7760.0,7200.0,391,7600.0,2016-01-22T05:00:00Z,9,7520.2
7360.0,7991.2,7200.0,377,7520.0,2016-01-25T05:00:00Z,7,7384.49
7520.0,7880.0,7440.0,115,7600.0,2016-01-26T05:00:00Z,3,7560.27
7520.0,7600.0,7120.0,125,7600.0,2016-01-27T05:00:00Z,6,7260.2
7200.0,7440.0,6560.0,174,7440.0,2016-01-28T05:00:00Z,13,6921.5
7280.0,7441.6,7280.0,263,7280.0,2016-01-29T05:00:00Z,11,7338.32
7280.0,7280.0,6400.0,433,7040.0,2016-02-01T05:00:00Z,13,6692.37
6480.0,7120.0,6400.8,117,6800.0,2016-02-02T05:00:00Z,6,6549.54
6408.0,6720.0,6320.0,128,6720.0,2016-02-03T05:00:00Z,16,6485.94
6502.4,6720.0,6320.0,398,6440.0,2016-02-04T05:00:00Z,16,6553.38
6240.0,6632.0,5920.0,418,6480.0,2016-02-05T05:00:00Z,37,6124.78
6160.0,6432.0,5443.2,121,6000.0,2016-02-08T05:00:00Z,9,5888.37
6296.8,6640.0,5600.0,94,6400.0,2016-02-09T05:00:00Z,5,6287.35
6095.2,6640.0,5920.0,96,5920.0,2016-02-10T05:00:00Z,4,6382.9
5804.8,6640.0,5760.0,258,6480.0,2016-02-11T05:00:00Z,23,6236.3
5684.8,6080.0,5684.0,43,6080.0,2016-02-12T05:00:00Z,2,5806.35
5508.8,5680.0,5248.0,285,5680.0,2016-02-16T05:00:00Z,14,5477.22
5510.4,5720.0,5202.4,208,5360.0,2016-02-17T05:00:00Z,15,5330.26
5520.0,5680.0,5520.0,123,5520.0,2016-02-18T05:00:00Z,3,5564.7
4656.0,5680.0,4488.8,657,5519.2,2016-02-19T05:00:00Z,13,4789.57
4800.0,4879.2,4400.8,179,4480.0,2016-02-22T05:00:00Z,7,4532.94
4562.4,4880.0,4480.0,130,4840.0,2016-02-23T05:00:00Z,18,4710.14
4720.0,4800.0,4562.4,198,4720.0,2016-02-24T05:00:00Z,8,4693.68
4762.4,4800.0,4480.0,156,4696.0,2016-02-25T05:00:00Z,10,4627.26
4720.0,4864.0,4480.0,150,4656.0,2016-02-26T05:00:00Z,5,4690.1
4920.0,5184.0,4544.0,225,4748.8,2016-02-29T05:00:00Z,16,4830.11
4999.2,4999.2,4480.0,395,4480.0,2016-03-01T05:00:00Z,36,4645.43
4960.8,5200.0,4544.0,644,4720.0,2016-03-02T05:00:00Z,23,4841.58
5104.0,5316.0,4880.0,272,5183.2,2016-03-03T05:00:00Z,8,5167.74
5664.8,6160.0,5359.2,366,5359.2,2016-03-04T05:00:00Z,21,5691.98
6052.8,6880.0,5840.0,280,5840.0,2016-03-07T05:00:00Z,7,6272.86
6062.4,6468.0,5616.0,440,6468.0,2016-03-08T05:00:00Z,16,6159.58
6320.0,6560.0,5836.0,391,6160.0,2016-03-09T05:00:00Z,10,6167.46
6800.0,6800.0,6000.0,431,6000.0,2016-03-10T05:00:00Z,12,6451.98
6960.0,6960.0,6497.6,283,6800.0,2016-03-11T05:00:00Z,8,6792.38
7040.0,7199.2,6800.0,88,7040.0,2016-03-14T04:00:00Z,4,6979.18
6397.6,7200.0,6016.0,284,7200.0,2016-03-15T04:00:00Z,11,6611.62
6240.0,6320.0,5616.0,185,6320.0,2016-03-16T04:00:00Z,4,5900.26
6000.0,6286.4,5240.0,436,6080.0,2016-03-17T04:00:00Z,13,5738.28
5840.0,6320.0,5840.0,127,6160.0,2016-03-18T04:00:00Z,5,6040.06
5760.0,6080.0,5440.0,246,5680.0,2016-03-21T04:00:00Z,12,5678.67
5760.0,6119.2,5600.0,174,5760.0,2016-03-22T04:00:00Z,8,5735.08
5280.0,5680.0,4960.0,127,5600.0,2016-03-23T04:00:00Z,8,5265.6
5360.0,5520.0,5200.0,114,5280.0,2016-03-24T04:00:00Z,5,5388.78
5497.6,5760.0,4919.2,198,5520.0,2016-03-28T04:00:00Z,9,5325.03
5200.0,5520.0,5120.0,136,5520.0,2016-03-29T04:00:00Z,4,5256.64
5280.0,5440.0,5280.0,24,5292.0,2016-03-30T04:00:00Z,0,5375.56
5200.0,5424.0,5200.0,134,5277.6,2016-03-31T04:00:00Z,5,5217.54
