c,h,l,n,o,t,v,vw
27.98,28.32,27.54,41,28.32,2016-01-04T05:00:00Z,13059,27.71
27.93,27.93,27.93,7,27.93,2016-01-05T05:00:00Z,381,27.88
27.22,27.49,27.22,7,27.49,2016-01-06T05:00:00Z,530,27.39
27.22,27.22,27.22,0,27.22,2016-01-07T05:00:00Z,0,0.0
26.08,26.24,26.08,11,26.24,2016-01-08T05:00:00Z,619,26.15
24.97,25.44,24.97,8,25.44,2016-01-11T05:00:00Z,718,25.25
24.97,24.97,24.97,0,24.97,2016-01-12T05:00:00Z,0,0.0
24.34,25.07,24.32,11,24.37,2016-01-13T05:00:00Z,1497,24.41
25.0,25.1,24.28,22,24.28,2016-01-14T05:00:00Z,5133,24.56
24.49,24.49,24.1,7,24.16,2016-01-15T05:00:00Z,700,24.22
23.83,24.34,23.83,9,24.34,2016-01-19T05:00:00Z,1192,24.26
24.03,24.04,23.3,8,23.3,2016-01-20T05:00:00Z,1222,23.82
24.11,24.16,23.91,11,24.09,2016-01-21T05:00:00Z,1693,24.08
24.21,24.58,24.18,11,24.58,2016-01-22T05:00:00Z,922,24.3
23.26,24.24,23.25,21,24.24,2016-01-25T05:00:00Z,1722,23.44
23.93,24.02,23.86,5,24.02,2016-01-26T05:00:00Z,651,23.9
23.95,23.95,23.9,3,23.9,2016-01-27T05:00:00Z,497,23.93
24.16,24.16,23.9,10,23.9,2016-01-28T05:00:00Z,4166,23.96
25.25,25.25,24.77,4,24.77,2016-01-29T05:00:00Z,544,24.99
25.17,25.17,25.08,8,25.13,2016-02-01T05:00:00Z,751,25.1
24.91,24.91,24.91,4,24.91,2016-02-02T05:00:00Z,109,24.92
24.48,24.48,24.48,3,24.48,2016-02-03T05:00:00Z,286,24.53
25.44,25.82,25.18,45,25.18,2016-02-04T05:00:00Z,13687,25.44
25.29,25.32,25.29,2,25.32,2016-02-05T05:00:00Z,220,25.31
24.81,25.06,24.81,8,25.06,2016-02-08T05:00:00Z,355,24.86
24.93,24.93,24.7,3,24.7,2016-02-09T05:00:00Z,300,24.78
25.02,25.02,24.91,7,24.91,2016-02-10T05:00:00Z,455,24.93
23.96,24.25,23.96,10,24.25,2016-02-11T05:00:00Z,2101,23.99
24.8,24.8,24.57,7,24.57,2016-02-12T05:00:00Z,339,24.59
24.8,24.8,24.8,0,24.8,2016-02-16T05:00:00Z,0,0.0
25.43,25.43,25.43,5,25.43,2016-02-17T05:00:00Z,400,25.43
25.43,25.43,25.43,0,25.43,2016-02-18T05:00:00Z,0,0.0
25.43,25.43,25.43,0,25.43,2016-02-19T05:00:00Z,0,0.0
25.36,25.36,25.36,1,25.36,2016-02-22T05:00:00Z,700,25.36
24.93,24.93,24.72,11,24.72,2016-02-23T05:00:00Z,1654,24.76
25.17,25.17,24.48,11,24.48,2016-02-24T05:00:00Z,812,24.81
25.17,25.17,25.17,0,25.17,2016-02-25T05:00:00Z,0,0.0
25.6,25.62,25.6,8,25.62,2016-02-26T05:00:00Z,516,25.63
25.6,25.6,25.6,0,25.6,2016-02-29T05:00:00Z,0,0.0
25.6,25.6,25.6,0,25.6,2016-03-01T05:00:00Z,0,0.0
26.92,26.92,26.04,20,26.04,2016-03-02T05:00:00Z,2099,26.67
27.38,27.38,27.38,2,27.38,2016-03-03T05:00:00Z,238,27.39
28.16,28.16,27.71,12,27.71,2016-03-04T05:00:00Z,1546,27.96
27.79,27.79,27.79,5,27.79,2016-03-07T05:00:00Z,472,27.93
27.94,27.94,27.94,5,27.94,2016-03-08T05:00:00Z,367,27.75
27.94,27.94,27.94,0,27.94,2016-03-09T05:00:00Z,0,0.0
27.38,27.38,27.38,1,27.38,2016-03-10T05:00:00Z,100,27.38
27.96,27.96,27.7,8,27.7,2016-03-11T05:00:00Z,1158,27.87
27.88,28.31,27.88,9,28.31,2016-03-14T04:00:00Z,3815,28.26
27.88,27.88,27.88,0,27.88,2016-03-15T04:00:00Z,0,0.0
27.81,27.81,27.76,8,27.76,2016-03-16T04:00:00Z,345,27.76
28.17,28.17,28.17,3,28.17,2016-03-17T04:00:00Z,479,28.22
29.18,29.19,28.88,19,28.88,2016-03-18T04:00:00Z,2789,29.07
29.09,29.11,29.0,19,29.11,2016-03-21T04:00:00Z,3919,29.05
29.0,29.0,28.97,3,28.97,2016-03-22T04:00:00Z,301,28.99
29.0,29.0,29.0,0,29.0,2016-03-23T04:00:00Z,0,0.0
28.6,28.6,28.6,3,28.6,2016-03-24T04:00:00Z,320,28.56
28.71,28.71,28.27,35,28.27,2016-03-28T04:00:00Z,3994,28.5
28.71,28.71,28.71,0,28.71,2016-03-29T04:00:00Z,0,0.0
28.71,28.71,28.71,0,28.71,2016-03-30T04:00:00Z,0,0.0
29.49,29.49,29.49,6,29.49,2016-03-31T04:00:00Z,227,29.47
29.49,29.49,29.49,0,29.49,2016-04-01T04:00:00Z,0,0.0
29.36,29.83,29.36,17,29.83,2016-04-04T04:00:00Z,4083,29.63
29.36,29.36,29.36,0,29.36,2016-04-05T04:00:00Z,0,0.0
29.15,29.15,29.15,1,29.15,2016-04-06T04:00:00Z,100,29.15
29.15,29.15,29.15,0,29.15,2016-04-07T04:00:00Z,0,0.0
28.99,29.24,28.99,9,29.22,2016-04-08T04:00:00Z,3034,29.16
29.51,29.51,29.51,3,29.51,2016-04-11T04:00:00Z,139,29.51
29.86,29.89,29.86,6,29.89,2016-04-12T04:00:00Z,1481,29.88
30.56,30.56,30.56,5,30.56,2016-04-13T04:00:00Z,295,30.49
30.29,30.59,30.29,3,30.59,2016-04-14T04:00:00Z,718,30.54
30.29,30.29,30.29,0,30.29,2016-04-15T04:00:00Z,0,0.0
31.31,31.5,31.21,14,31.21,2016-04-18T04:00:00Z,1536,31.31
32.09,32.09,31.73,17,31.99,2016-04-19T04:00:00Z,2960,31.89
32.22,32.22,32.02,12,32.02,2016-04-20T04:00:00Z,1735,32.06
32.07,32.54,32.07,19,32.3,2016-04-21T04:00:00Z,4207,32.29
32.16,32.46,32.16,52,32.46,2016-04-22T04:00:00Z,6290,32.35
31.72,32.13,31.58,38,32.13,2016-04-25T04:00:00Z,9483,31.94
32.0,32.0,32.0,6,32.0,2016-04-26T04:00:00Z,566,32.16
32.47,32.6,32.47,2,32.6,2016-04-27T04:00:00Z,425,32.51
33.11,34.23,32.96,12,32.96,2016-04-28T04:00:00Z,1047,33.17
32.38,32.53,32.3,18,32.3,2016-04-29T04:00:00Z,12965,32.48
32.47,32.47,32.25,7,32.25,2016-05-02T04:00:00Z,852,32.33
31.99,32.78,31.72,84,32.78,2016-05-03T04:00:00Z,165538,31.92
31.91,32.14,31.81,24,32.14,2016-05-04T04:00:00Z,1136,31.95
31.6,32.09,31.6,78,32.09,2016-05-05T04:00:00Z,16234,31.96
32.02,32.07,31.86,25,31.93,2016-05-06T04:00:00Z,2950,31.94
30.91,31.77,30.91,51,31.74,2016-05-09T04:00:00Z,5746,31.21
31.58,31.58,31.22,23,31.22,2016-05-10T04:00:00Z,2631,31.43
