c,h,l,n,o,t,v,vw
28.49,29.5,23.5,38027,23.7,2019-06-20T04:00:00Z,7185483,25.7501
30.25,31.62,27.23,5663,27.23,2019-06-21T04:00:00Z,1047032,28.862068
29.36,31.88,28.67,4357,30.5,2019-06-24T04:00:00Z,846832,30.119953
27.8,30.06,27.65,2296,29.0,2019-06-25T04:00:00Z,416473,28.933466
27.0,28.25,26.75,1839,27.92,2019-06-26T04:00:00Z,319821,27.413803
27.93,27.95,26.06,2356,27.14,2019-06-27T04:00:00Z,444988,26.821983
27.15,28.65,27.01,1434,28.05,2019-06-28T04:00:00Z,252266,27.659133
24.8,27.5917,24.51,4230,27.36,2019-07-01T04:00:00Z,780539,25.36512
23.11,25.4999,22.3762,3061,24.9,2019-07-02T04:00:00Z,697645,23.731917
23.0,23.6122,22.58,1332,23.14,2019-07-03T04:00:00Z,246974,23.090924
22.3,23.3225,21.73,4081,22.62,2019-07-05T04:00:00Z,697267,22.410511
22.95,23.9,22.03,5037,22.55,2019-07-08T04:00:00Z,971869,22.941231
22.84,23.3814,22.58,1413,22.95,2019-07-09T04:00:00Z,277587,22.854482
23.77,24.5,22.5987,2619,22.97,2019-07-10T04:00:00Z,534213,23.396583
25.01,25.1,23.41,2484,24.17,2019-07-11T04:00:00Z,512316,24.567728
25.34,25.64,23.93,1849,24.71,2019-07-12T04:00:00Z,416568,24.796997
23.31,24.66,22.81,3213,24.32,2019-07-15T04:00:00Z,715428,23.582388
22.57,23.8599,22.15,2293,23.27,2019-07-16T04:00:00Z,449676,22.972884
20.31,22.75,20.21,4043,22.44,2019-07-17T04:00:00Z,830702,21.016927
21.4,22.0,20.22,3219,20.52,2019-07-18T04:00:00Z,487202,21.205747
22.42,22.75,21.5,2917,21.5,2019-07-19T04:00:00Z,520534,22.26076
22.59,23.32,21.5,3200,22.58,2019-07-22T04:00:00Z,647509,22.337578
22.04,22.43,21.69,910,22.3,2019-07-23T04:00:00Z,145744,22.041549
21.37,22.5,21.19,988,21.96,2019-07-24T04:00:00Z,92707,21.748415
20.83,21.74,20.52,1632,21.28,2019-07-25T04:00:00Z,207241,21.041532
19.33,20.99,19.27,2244,20.77,2019-07-26T04:00:00Z,347855,19.904917
17.78,19.78,17.58,3096,19.4,2019-07-29T04:00:00Z,512105,18.073982
18.25,18.81,17.81,2462,17.81,2019-07-30T04:00:00Z,287815,18.305363
17.91,18.92,17.63,2373,18.55,2019-07-31T04:00:00Z,297378,18.122057
15.89,18.3514,15.26,4822,17.86,2019-08-01T04:00:00Z,760392,16.276781
15.79,16.8179,15.316,2232,15.5,2019-08-02T04:00:00Z,293515,16.058381
14.64,15.7623,14.25,2012,15.72,2019-08-05T04:00:00Z,266891,14.862812
15.23,15.71,14.3,3183,14.8,2019-08-06T04:00:00Z,392515,14.965915
16.9,17.61,15.58,3455,16.0,2019-08-07T04:00:00Z,494221,16.775738
18.27,18.36,16.94,2459,17.03,2019-08-08T04:00:00Z,415685,17.798962
18.43,18.845,17.5131,2510,18.42,2019-08-09T04:00:00Z,348457,18.455944
19.25,19.39,18.0348,1945,18.29,2019-08-12T04:00:00Z,237155,18.927798
19.71,19.97,19.1,3440,19.3,2019-08-13T04:00:00Z,422630,19.51573
16.25,19.25,16.16,4712,17.33,2019-08-14T04:00:00Z,690120,17.33192
16.92,18.01,15.81,2491,16.31,2019-08-15T04:00:00Z,266373,16.87782
18.05,18.6,16.51,1849,17.0,2019-08-16T04:00:00Z,249417,17.795564
19.07,19.35,17.1708,1904,18.28,2019-08-19T04:00:00Z,274777,18.563565
19.81,20.74,19.56,3386,20.0,2019-08-20T04:00:00Z,543509,20.075553
19.99,20.68,19.56,2955,20.0,2019-08-21T04:00:00Z,297083,20.028466
19.26,20.4172,19.13,1793,19.99,2019-08-22T04:00:00Z,219421,19.501813
18.86,20.19,18.66,2065,19.35,2019-08-23T04:00:00Z,274871,19.366152
19.48,19.94,19.0,2487,19.5,2019-08-26T04:00:00Z,326124,19.514709
19.37,19.8564,18.51,1709,19.5,2019-08-27T04:00:00Z,179684,19.151315
19.5,19.7699,19.16,1377,19.39,2019-08-28T04:00:00Z,108224,19.457358
19.37,20.1,18.51,2449,19.5,2019-08-29T04:00:00Z,293154,19.280219
19.35,19.75,18.94,1015,19.42,2019-08-30T04:00:00Z,101951,19.328175
18.55,19.6,18.34,3531,19.32,2019-09-03T04:00:00Z,281199,18.874865
17.28,19.1,16.9,4378,18.66,2019-09-04T04:00:00Z,472036,17.561875
17.12,18.0,16.85,2325,17.28,2019-09-05T04:00:00Z,255437,17.347733
17.98,18.31,17.13,2642,17.26,2019-09-06T04:00:00Z,260804,17.887614
15.92,18.35,15.46,2831,18.1,2019-09-09T04:00:00Z,396414,16.345019
15.31,16.2009,14.75,3090,15.89,2019-09-10T04:00:00Z,425198,15.343259
16.2,16.27,14.92,3362,15.54,2019-09-11T04:00:00Z,334242,15.757608
17.01,17.435,16.13,2434,16.28,2019-09-12T04:00:00Z,228821,16.858579
16.73,17.1985,16.22,1588,17.05,2019-09-13T04:00:00Z,138007,16.659721
16.24,16.905,16.01,2449,16.55,2019-09-16T04:00:00Z,228473,16.497317
16.16,16.55,15.55,1551,16.44,2019-09-17T04:00:00Z,168958,16.035023
16.04,16.46,15.77,2004,16.09,2019-09-18T04:00:00Z,250032,16.064597
16.15,16.37,15.975,1891,16.07,2019-09-19T04:00:00Z,281360,16.182672
16.41,16.645,16.04,2815,16.09,2019-09-20T04:00:00Z,2130704,16.415615
17.02,17.3,16.45,2035,16.45,2019-09-23T04:00:00Z,304102,17.017245
16.81,17.88,16.63,2833,17.06,2019-09-24T04:00:00Z,338043,17.007391
16.41,17.14,16.26,1866,16.76,2019-09-25T04:00:00Z,179679,16.497364
15.53,17.28,15.46,2836,17.28,2019-09-26T04:00:00Z,313028,16.084339
14.16,16.52,13.92,4143,16.01,2019-09-27T04:00:00Z,557322,14.761812
14.675,15.005,14.16,2445,14.24,2019-09-30T04:00:00Z,278206,14.608681
12.74,15.08,12.53,2944,14.74,2019-10-01T04:00:00Z,406292,13.322357
12.61,12.783,11.8,2797,12.57,2019-10-02T04:00:00Z,400977,12.308182
12.95,13.28,12.0552,2119,12.61,2019-10-03T04:00:00Z,236790,12.797884
12.71,13.21,12.59,1180,12.65,2019-10-04T04:00:00Z,112113,12.819516
12.81,13.14,12.48,1200,12.68,2019-10-07T04:00:00Z,118759,12.791765
11.84,12.77,11.71,1806,12.6,2019-10-08T04:00:00Z,201296,11.994857
11.1,12.12,10.81,3098,12.0,2019-10-09T04:00:00Z,442418,11.278213
11.34,11.45,10.61,2838,11.11,2019-10-10T04:00:00Z,391854,11.035655
10.94,11.63,10.81,1673,11.51,2019-10-11T04:00:00Z,249700,11.079195
11.29,11.53,10.17,4161,10.87,2019-10-14T04:00:00Z,748264,10.898072
11.51,12.28,11.291,1961,11.35,2019-10-15T04:00:00Z,257142,11.810435
12.02,12.7,11.28,3409,11.51,2019-10-16T04:00:00Z,362093,12.242035
12.23,12.45,11.845,2075,12.09,2019-10-17T04:00:00Z,220623,12.098571
11.9,12.31,11.51,1565,12.15,2019-10-18T04:00:00Z,159043,11.85284
11.92,12.2699,11.53,1163,11.92,2019-10-21T04:00:00Z,115756,11.852463
11.75,12.4277,11.63,990,12.1,2019-10-22T04:00:00Z,114479,11.881164
11.78,12.16,11.65,1063,11.72,2019-10-23T04:00:00Z,141719,11.912252
11.32,11.96,10.77,1505,11.81,2019-10-24T04:00:00Z,155926,11.282238
11.5,11.6741,10.81,1369,11.28,2019-10-25T04:00:00Z,160768,11.251344
10.9,11.88,10.85,1620,11.63,2019-10-28T04:00:00Z,165539,11.173701
10.08,11.03,9.88,3955,10.91,2019-10-29T04:00:00Z,576782,10.299037
10.33,10.41,9.6515,1599,9.93,2019-10-30T04:00:00Z,245640,10.111958
10.36,10.39,9.89,1320,10.28,2019-10-31T04:00:00Z,194442,10.186318
10.87,10.95,10.31,1564,10.4,2019-11-01T04:00:00Z,190649,10.692459
11.25,11.83,10.99,1669,11.03,2019-11-04T05:00:00Z,204114,11.369963
10.94,11.49,10.55,1825,11.29,2019-11-05T05:00:00Z,203732,10.878821
10.45,11.33,10.32,2482,10.83,2019-11-06T05:00:00Z,334735,10.846615
10.17,10.84,10.07,2102,10.53,2019-11-07T05:00:00Z,261407,10.390315
10.46,10.52,9.95,1480,10.14,2019-11-08T05:00:00Z,190787,10.232708
10.69,10.76,10.255,1097,10.4,2019-11-11T05:00:00Z,111093,10.561724
10.18,10.89,10.0,1508,10.65,2019-11-12T05:00:00Z,220130,10.354188
10.89,11.07,9.97,2402,10.12,2019-11-13T05:00:00Z,340156,10.55753
10.2,11.0,9.78,4061,10.11,2019-11-14T05:00:00Z,709566,10.323729
9.74,10.39,9.73,2463,10.34,2019-11-15T05:00:00Z,320564,9.970496
8.89,9.75,8.7,3948,9.74,2019-11-18T05:00:00Z,575550,9.087561
8.9,9.555,8.79,3775,9.54,2019-11-19T05:00:00Z,833940,9.013963
8.88,9.14,8.68,3079,8.84,2019-11-20T05:00:00Z,379421,8.887548
8.81,9.05,8.72,2997,8.83,2019-11-21T05:00:00Z,353858,8.905056
8.78,8.9211,8.54,1979,8.85,2019-11-22T05:00:00Z,281861,8.713481
9.05,9.0927,8.67,2030,8.7,2019-11-25T05:00:00Z,226835,8.985168
8.93,9.28,8.65,1627,9.05,2019-11-26T05:00:00Z,262829,8.92852
8.875,9.01,8.73,1157,8.94,2019-11-27T05:00:00Z,160184,8.892432
8.9,9.11,8.71,1238,8.96,2019-11-29T05:00:00Z,223091,8.997629
8.73,8.98,8.65,1379,8.93,2019-12-02T05:00:00Z,197173,8.764582
8.86,8.9,8.48,1531,8.63,2019-12-03T05:00:00Z,250395,8.688489
9.0,9.06,8.75,1441,8.84,2019-12-04T05:00:00Z,201849,8.979877
8.79,9.09,8.76,1365,9.05,2019-12-05T05:00:00Z,217026,8.959022
9.4,9.52,8.83,2391,8.83,2019-12-06T05:00:00Z,341289,9.315451
9.26,9.44,9.1047,1635,9.4,2019-12-09T05:00:00Z,235666,9.286753
9.86,10.28,9.15,3712,9.24,2019-12-10T05:00:00Z,576118,9.911722
9.62,10.14,9.57,1855,9.96,2019-12-11T05:00:00Z,270524,9.779269
9.7,10.1797,9.52,2160,9.62,2019-12-12T05:00:00Z,324936,9.800887
10.21,10.323,9.74,3101,9.74,2019-12-13T05:00:00Z,384663,10.138541
9.63,10.46,9.54,3282,10.25,2019-12-16T05:00:00Z,412312,9.848463
10.26,10.67,9.47,5928,9.5,2019-12-17T05:00:00Z,1020104,10.201771
9.82,10.5421,9.8,4098,10.4,2019-12-18T05:00:00Z,833451,10.018061
9.92,10.17,9.61,3669,9.8,2019-12-19T05:00:00Z,542597,9.953855
9.7,10.1,9.61,4704,9.9,2019-12-20T05:00:00Z,1562811,9.772161
9.47,9.785,9.33,4047,9.78,2019-12-23T05:00:00Z,558775,9.488656
9.84,10.29,9.38,2797,9.52,2019-12-24T05:00:00Z,519099,9.946283
9.67,10.01,9.6,2955,10.01,2019-12-26T05:00:00Z,560926,9.800813
9.68,9.92,9.46,2456,9.77,2019-12-27T05:00:00Z,320763,9.755642
10.02,10.3,9.5,3398,9.8,2019-12-30T05:00:00Z,537111,9.971172
10.9,11.15,9.77,8182,9.9,2019-12-31T05:00:00Z,1982421,10.421745
10.91,11.5,10.77,5654,11.17,2020-01-02T05:00:00Z,945693,11.14932
10.64,10.93,10.4,2894,10.74,2020-01-03T05:00:00Z,539792,10.60763
10.35,10.54,9.97,3106,10.54,2020-01-06T05:00:00Z,488154,10.241831
10.91,11.08,10.2389,3136,10.35,2020-01-07T05:00:00Z,606562,10.745632
11.26,11.62,10.9501,4629,11.26,2020-01-08T05:00:00Z,796424,11.282974
10.84,11.49,10.71,3425,11.33,2020-01-09T05:00:00Z,540792,10.940978
10.42,11.05,10.35,3443,10.93,2020-01-10T05:00:00Z,495948,10.599663
10.74,10.84,10.32,2655,10.42,2020-01-13T05:00:00Z,337890,10.669223
10.92,11.18,10.5,3409,10.69,2020-01-14T05:00:00Z,468318,10.924887
11.58,11.64,10.89,3435,10.94,2020-01-15T05:00:00Z,523676,11.261559
12.41,12.5,11.6,5358,11.86,2020-01-16T05:00:00Z,846015,12.104936
11.76,12.68,11.64,4557,12.61,2020-01-17T05:00:00Z,757034,11.911955
11.39,11.77,11.21,3892,11.75,2020-01-21T05:00:00Z,595256,11.526024
12.05,12.27,11.3736,4099,11.4,2020-01-22T05:00:00Z,549377,11.96905
11.57,12.07,11.22,2388,12.07,2020-01-23T05:00:00Z,352688,11.570159
11.78,12.0,11.3378,2015,11.62,2020-01-24T05:00:00Z,322625,11.728669
10.9,11.5,10.77,3099,11.39,2020-01-27T05:00:00Z,470400,11.020611
11.2,11.39,10.93,1540,10.97,2020-01-28T05:00:00Z,216045,11.182396
11.64,11.74,11.18,1517,11.35,2020-01-29T05:00:00Z,247758,11.567814
11.51,11.61,11.01,1608,11.42,2020-01-30T05:00:00Z,215435,11.460327
10.92,11.5,10.87,2157,11.47,2020-01-31T05:00:00Z,332799,11.054592
10.39,11.17,10.18,2677,10.92,2020-02-03T05:00:00Z,479611,10.45876
10.52,10.72,10.16,1761,10.64,2020-02-04T05:00:00Z,283928,10.476967
11.0,11.1,10.46,1942,10.66,2020-02-05T05:00:00Z,293619,10.900671
11.29,11.38,10.67,1370,11.07,2020-02-06T05:00:00Z,171696,11.069955
10.73,11.22,10.5,1480,11.17,2020-02-07T05:00:00Z,212614,10.756997
10.48,10.803,10.31,1288,10.71,2020-02-10T05:00:00Z,189930,10.545965
10.31,10.75,10.17,2124,10.53,2020-02-11T05:00:00Z,296300,10.393335
9.71,10.49,9.51,5622,10.41,2020-02-12T05:00:00Z,863138,9.865106
9.98,10.0559,9.57,1401,9.6,2020-02-13T05:00:00Z,226548,9.843944
10.39,10.44,9.9,1901,10.16,2020-02-14T05:00:00Z,257754,10.217141
10.39,10.6,10.07,1172,10.17,2020-02-18T05:00:00Z,151720,10.359448
10.48,10.6,10.3,1369,10.51,2020-02-19T05:00:00Z,163440,10.481885
10.05,10.57,9.83,1800,10.44,2020-02-20T05:00:00Z,264941,10.086789
10.04,10.17,9.89,1301,9.99,2020-02-21T05:00:00Z,158824,10.028625
9.25,9.8,8.92,2839,9.67,2020-02-24T05:00:00Z,461279,9.311263
8.52,9.3689,8.4,2955,9.29,2020-02-25T05:00:00Z,479088,8.769547
8.79,9.18,8.46,3570,8.58,2020-02-26T05:00:00Z,452973,8.816183
8.63,9.245,8.31,2571,8.63,2020-02-27T05:00:00Z,339696,8.773173
8.73,8.85,8.22,4195,8.5,2020-02-28T05:00:00Z,671293,8.503067
8.21,8.79,7.84,4894,8.76,2020-03-02T05:00:00Z,673072,8.094864
8.305,8.72,7.95,3038,8.25,2020-03-03T05:00:00Z,373714,8.316986
8.79,8.8,8.3,3023,8.46,2020-03-04T05:00:00Z,320172,8.573506
8.68,8.78,8.37,2754,8.54,2020-03-05T05:00:00Z,371217,8.584951
8.69,8.75,8.12,3892,8.48,2020-03-06T05:00:00Z,654157,8.443572
7.2301,7.98,7.11,2913,7.84,2020-03-09T04:00:00Z,413768,7.52641
6.81,7.66,6.46,3263,7.41,2020-03-10T04:00:00Z,493647,6.843013
6.02,6.8753,5.91,3271,6.62,2020-03-11T04:00:00Z,429610,6.187794
5.07,5.47,4.69,5101,4.82,2020-03-12T04:00:00Z,799313,5.041081
5.35,5.42,4.89,3437,5.38,2020-03-13T04:00:00Z,377756,5.125821
4.75,5.0,4.5,2547,4.71,2020-03-16T04:00:00Z,313345,4.813863
5.1,5.15,4.27,3624,4.87,2020-03-17T04:00:00Z,448100,4.754214
5.04,5.83,4.3,3682,4.76,2020-03-18T04:00:00Z,503440,5.003248
5.46,6.2327,5.01,2864,5.01,2020-03-19T04:00:00Z,365579,5.651273
6.39,7.0,5.36,8460,5.64,2020-03-20T04:00:00Z,2354475,6.484949
6.52,7.065,5.91,4570,6.99,2020-03-23T04:00:00Z,707388,6.389077
6.51,7.06,6.27,2968,6.97,2020-03-24T04:00:00Z,449997,6.655887
7.0,7.09,6.51,2964,6.64,2020-03-25T04:00:00Z,499193,6.821379
7.65,7.9174,7.1892,5242,7.42,2020-03-26T04:00:00Z,769453,7.579212
7.12,7.44,7.07,4235,7.34,2020-03-27T04:00:00Z,714170,7.206456
8.3,8.36,7.17,3768,7.35,2020-03-30T04:00:00Z,562759,7.936717
8.07,8.53,7.78,3367,8.27,2020-03-31T04:00:00Z,463617,8.12562
7.75,8.18,7.71,2003,7.86,2020-04-01T04:00:00Z,252363,7.89141
8.01,8.15,7.5,3150,7.76,2020-04-02T04:00:00Z,376789,7.849889
7.65,8.12,7.32,3044,7.99,2020-04-03T04:00:00Z,341920,7.691045
8.26,8.36,7.82,2034,8.04,2020-04-06T04:00:00Z,271545,8.090297
7.88,8.49,7.53,1980,8.49,2020-04-07T04:00:00Z,277210,7.933734
7.91,8.04,7.68,1922,7.98,2020-04-08T04:00:00Z,295889,7.920163
8.26,8.27,7.78,1807,8.01,2020-04-09T04:00:00Z,262823,8.058671
8.34,8.5567,7.8739,2083,8.24,2020-04-13T04:00:00Z,286380,8.342216
8.66,8.81,8.3975,1515,8.5,2020-04-14T04:00:00Z,208376,8.622255
8.57,8.75,8.24,1408,8.45,2020-04-15T04:00:00Z,175692,8.513182
8.67,8.75,8.3,1995,8.58,2020-04-16T04:00:00Z,195067,8.568804
8.81,9.1,8.63,2302,8.99,2020-04-17T04:00:00Z,266191,8.860701
8.85,9.49,8.52,1694,8.73,2020-04-20T04:00:00Z,233969,8.989738
9.275,9.48,8.56,1583,8.83,2020-04-21T04:00:00Z,234091,9.14123
9.41,9.72,9.23,2048,9.6,2020-04-22T04:00:00Z,283914,9.463917
9.37,9.95,9.35,2091,9.47,2020-04-23T04:00:00Z,334359,9.63529
9.95,10.0,9.28,2068,9.4,2020-04-24T04:00:00Z,319600,9.806999
10.31,10.6,9.885,2782,10.0,2020-04-27T04:00:00Z,445526,10.296039
10.46,10.59,9.8,2994,10.51,2020-04-28T04:00:00Z,379672,10.296077
10.81,11.08,10.32,2679,10.67,2020-04-29T04:00:00Z,289072,10.863381
10.37,10.93,10.25,1856,10.58,2020-04-30T04:00:00Z,171687,10.510898
9.94,10.15,9.53,2461,10.1,2020-05-01T04:00:00Z,305706,9.859575
10.16,10.5,9.7737,1341,9.8,2020-05-04T04:00:00Z,146275,10.103212
10.4,10.67,10.14,1763,10.42,2020-05-05T04:00:00Z,184779,10.421466
10.46,11.0,10.33,1425,10.52,2020-05-06T04:00:00Z,170870,10.645834
10.34,10.91,10.22,2146,10.63,2020-05-07T04:00:00Z,278291,10.565166
10.94,11.45,9.69,3248,10.78,2020-05-08T04:00:00Z,465153,10.986805
11.52,11.94,10.5,2694,10.77,2020-05-11T04:00:00Z,483943,11.533314
11.21,12.09,11.17,3373,11.45,2020-05-12T04:00:00Z,424410,11.626314
10.88,11.51,10.4,3012,11.0,2020-05-13T04:00:00Z,325583,10.864869
10.26,10.89,10.02,2757,10.66,2020-05-14T04:00:00Z,262141,10.324468
11.22,11.8,10.09,1892,10.22,2020-05-15T04:00:00Z,248207,11.086811
11.95,12.09,11.3,2678,11.55,2020-05-18T04:00:00Z,284888,11.831279
11.52,12.36,11.37,2544,11.73,2020-05-19T04:00:00Z,309711,11.770948
12.42,12.69,11.7,3539,11.8,2020-05-20T04:00:00Z,397834,12.384468
12.24,12.7,12.02,2712,12.36,2020-05-21T04:00:00Z,251575,12.291514
12.62,12.84,12.105,2492,12.28,2020-05-22T04:00:00Z,273996,12.574408
12.45,13.25,12.36,2097,12.88,2020-05-26T04:00:00Z,274761,12.704008
11.94,12.83,11.57,2250,12.83,2020-05-27T04:00:00Z,282258,11.985025
11.78,12.63,11.75,2003,12.29,2020-05-28T04:00:00Z,200517,11.977868
11.84,12.13,11.23,2036,11.74,2020-05-29T04:00:00Z,250984,11.760166
13.19,13.43,11.58,3101,11.78,2020-06-01T04:00:00Z,468153,12.938146
14.08,14.29,13.5,4888,13.65,2020-06-02T04:00:00Z,881348,13.956405
12.02,14.2594,11.94,4183,14.16,2020-06-03T04:00:00Z,494040,12.790118
14.11,14.475,13.12,7029,13.12,2020-06-04T04:00:00Z,717917,13.953329
13.35,14.49,12.83,4963,14.34,2020-06-05T04:00:00Z,509051,13.457469
13.5,13.89,13.2,2431,13.6,2020-06-08T04:00:00Z,245366,13.499838
13.16,13.72,13.0,2093,13.39,2020-06-09T04:00:00Z,218588,13.204237
13.09,13.35,12.8,1869,13.16,2020-06-10T04:00:00Z,199006,13.08187
11.95,12.99,11.9,3096,12.72,2020-06-11T04:00:00Z,297737,12.20168
11.69,12.72,11.19,3004,12.28,2020-06-12T04:00:00Z,298671,11.704672
12.41,12.73,11.05,2964,11.4,2020-06-15T04:00:00Z,281606,12.187398
12.39,12.81,11.82,2660,12.81,2020-06-16T04:00:00Z,235185,12.319844
12.68,12.82,12.22,1964,12.35,2020-06-17T04:00:00Z,218262,12.605305
12.12,12.8,11.88,2267,12.58,2020-06-18T04:00:00Z,288252,12.163019
12.45,12.74,12.2,2411,12.33,2020-06-19T04:00:00Z,401613,12.438462
