c,h,l,n,o,t,v,vw
9.461,11.25,9.002,58158,11.04,2020-09-17T04:00:00Z,17243984,10.18
10.27,10.27,9.522,15185,9.669,2020-09-18T04:00:00Z,3139294,9.873
10.84,11.14,10.2,13653,10.34,2020-09-21T04:00:00Z,3082170,10.65
10.82,11.34,10.73,8519,10.86,2020-09-22T04:00:00Z,1492068,11.04
11.11,11.36,10.75,14722,10.78,2020-09-23T04:00:00Z,8025330,11.09
11.29,11.37,10.39,7274,10.98,2020-09-24T04:00:00Z,1287719,11.05
11.54,11.87,10.66,5338,11.04,2020-09-25T04:00:00Z,1087611,11.42
11.11,11.73,10.93,4849,11.5,2020-09-28T04:00:00Z,621637,11.44
11.12,11.29,10.82,4170,11.08,2020-09-29T04:00:00Z,948891,11.06
10.99,11.47,10.86,3860,10.95,2020-09-30T04:00:00Z,842526,11.21
11.14,11.38,10.85,2880,10.85,2020-10-01T04:00:00Z,813012,11.17
11.24,11.4,10.4,3724,10.82,2020-10-02T04:00:00Z,663680,10.92
11.13,11.42,10.72,3782,11.24,2020-10-05T04:00:00Z,683531,10.98
11.28,11.49,10.97,3217,11.25,2020-10-06T04:00:00Z,376405,11.31
11.5,11.64,10.9,3197,11.16,2020-10-07T04:00:00Z,409286,11.38
11.5,11.72,11.32,3601,11.5,2020-10-08T04:00:00Z,460409,11.54
12.04,12.12,11.08,3316,11.35,2020-10-09T04:00:00Z,864314,11.83
12.07,12.2,11.56,5382,12.15,2020-10-12T04:00:00Z,888025,12.05
12.13,12.29,11.77,2978,12.16,2020-10-13T04:00:00Z,1550454,12.11
12.17,12.38,11.99,2565,12.12,2020-10-14T04:00:00Z,715522,12.2
12.08,12.33,11.78,3744,11.81,2020-10-15T04:00:00Z,976730,12.09
12.47,12.55,12.01,3632,12.19,2020-10-16T04:00:00Z,868098,12.35
12.36,12.74,12.08,5455,12.51,2020-10-19T04:00:00Z,1124052,12.42
