c,h,l,n,o,t,v,vw
2.46,2.46,2.33,474,2.36,2016-01-04T05:00:00Z,96053,2.404911
2.54,2.55,2.41,613,2.46,2016-01-05T05:00:00Z,148608,2.508544
2.36,2.58,2.34,837,2.5,2016-01-06T05:00:00Z,185682,2.39236
2.27,2.3472,2.25,1246,2.31,2016-01-07T05:00:00Z,283318,2.295843
2.19,2.31,2.18,959,2.3,2016-01-08T05:00:00Z,174767,2.25253
2.16,2.2,2.07,734,2.17,2016-01-11T05:00:00Z,166204,2.130642
2.12,2.3,2.08,1009,2.19,2016-01-12T05:00:00Z,200008,2.1824
2.05,2.18,1.99,735,2.17,2016-01-13T05:00:00Z,183625,2.084697
2.2,2.22,2.0,766,2.05,2016-01-14T05:00:00Z,187994,2.111983
2.07,2.167,1.9799,1023,2.16,2016-01-15T05:00:00Z,215337,2.062499
1.98,2.09,1.9675,782,2.09,2016-01-19T05:00:00Z,250548,1.995052
2.0,2.01,1.8601,1296,1.95,2016-01-20T05:00:00Z,309169,1.927158
2.08,2.1,1.97,701,2.0,2016-01-21T05:00:00Z,121655,2.054992
2.18,2.24,2.0835,451,2.14,2016-01-22T05:00:00Z,86048,2.173065
2.05,2.19,2.02,612,2.19,2016-01-25T05:00:00Z,189391,2.070206
2.19,2.23,2.04,569,2.07,2016-01-26T05:00:00Z,132100,2.149838
2.14,2.24,2.1,232,2.17,2016-01-27T05:00:00Z,53440,2.162492
2.1,2.22,2.07,396,2.18,2016-01-28T05:00:00Z,84604,2.115635
2.17,2.2,2.1,652,2.1,2016-01-29T05:00:00Z,148911,2.166086
2.12,2.15,2.04,600,2.15,2016-02-01T05:00:00Z,96240,2.116533
1.41,1.8,1.35,3027,1.75,2016-02-02T05:00:00Z,1271509,1.444884
1.4,1.48,1.26,1931,1.42,2016-02-03T05:00:00Z,660477,1.383353
1.4,1.45,1.37,1336,1.39,2016-02-04T05:00:00Z,339076,1.41735
1.37,1.4434,1.28,900,1.37,2016-02-05T05:00:00Z,263516,1.334404
1.26,1.4,1.25,1360,1.39,2016-02-08T05:00:00Z,364761,1.315389
1.24,1.349,1.22,727,1.25,2016-02-09T05:00:00Z,191837,1.262342
1.23,1.32,1.22,683,1.24,2016-02-10T05:00:00Z,125733,1.272455
1.28,1.39,1.22,1104,1.22,2016-02-11T05:00:00Z,180465,1.292998
1.32,1.33,1.22,369,1.32,2016-02-12T05:00:00Z,57596,1.291061
1.41,1.4401,1.33,712,1.35,2016-02-16T05:00:00Z,230637,1.400543
1.63,1.66,1.36,1693,1.43,2016-02-17T05:00:00Z,342868,1.514171
1.59,1.71,1.56,850,1.63,2016-02-18T05:00:00Z,247445,1.636047
1.57,1.64,1.55,579,1.61,2016-02-19T05:00:00Z,169843,1.585227
1.76,1.81,1.6,653,1.64,2016-02-22T05:00:00Z,249046,1.712301
1.73,1.82,1.675,693,1.8,2016-02-23T05:00:00Z,160090,1.740752
1.93,1.95,1.7,609,1.73,2016-02-24T05:00:00Z,204207,1.838745
1.94,2.03,1.9,747,2.0,2016-02-25T05:00:00Z,155165,1.9671
1.96,1.98,1.85,452,1.96,2016-02-26T05:00:00Z,98236,1.926614
2.0,2.0,1.89,379,1.95,2016-02-29T05:00:00Z,61677,1.976706
