c,h,l,n,o,t,v,vw
7.19,7.72,6.6701,700,7.34,2021-05-27T04:00:00Z,137628,7.178615
6.91,7.43,6.91,477,7.4,2021-05-28T04:00:00Z,88767,7.218579
6.6,7.1,6.51,376,7.1,2021-06-01T04:00:00Z,70167,6.752847
6.25,7.0,6.14,430,7.0,2021-06-02T04:00:00Z,72863,6.37155
6.04,6.546,5.82,433,6.25,2021-06-03T04:00:00Z,102274,6.088794
6.1,6.33,6.0,297,6.0,2021-06-04T04:00:00Z,80123,6.134129
6.13,6.1859,6.05,695,6.1,2021-06-07T04:00:00Z,157509,6.103534
6.17,6.95,6.02,791,6.95,2021-06-08T04:00:00Z,214146,6.280383
6.35,6.35,6.1072,691,6.17,2021-06-09T04:00:00Z,166387,6.220759
6.17,6.52,6.15,581,6.34,2021-06-10T04:00:00Z,111840,6.282165
6.12,6.28,6.0,454,6.28,2021-06-11T04:00:00Z,140296,6.098272
5.92,6.12,5.86,498,6.02,2021-06-14T04:00:00Z,137368,5.989078
5.91,5.9733,5.85,152,5.86,2021-06-15T04:00:00Z,53538,5.891375
5.74,5.95,5.74,366,5.88,2021-06-16T04:00:00Z,87223,5.815858
5.64,5.84,5.6125,487,5.72,2021-06-17T04:00:00Z,110638,5.700647
5.58,5.7193,5.51,590,5.71,2021-06-18T04:00:00Z,154446,5.595279
5.51,5.68,5.5,522,5.52,2021-06-21T04:00:00Z,130240,5.541128
5.53,5.57,5.42,346,5.51,2021-06-22T04:00:00Z,125696,5.503617
5.61,5.61,5.5,944,5.51,2021-06-23T04:00:00Z,265177,5.537655
6.03,6.1,5.53,806,5.65,2021-06-24T04:00:00Z,163604,5.761623
6.53,6.53,6.0,701,6.09,2021-06-25T04:00:00Z,164100,6.31672
6.42,6.48,6.22,235,6.45,2021-06-28T04:00:00Z,38229,6.384042
6.28,6.4999,6.19,292,6.39,2021-06-29T04:00:00Z,64316,6.279645
6.2688,6.41,6.15,176,6.3411,2021-06-30T04:00:00Z,32380,6.220251
6.39,6.4135,6.25,137,6.28,2021-07-01T04:00:00Z,33463,6.32974
6.2,6.39,6.06,247,6.39,2021-07-02T04:00:00Z,45715,6.214638
5.84,6.26,5.66,547,6.0,2021-07-06T04:00:00Z,125982,5.909818
5.8,5.9899,5.7069,455,5.84,2021-07-07T04:00:00Z,93897,5.813029
5.89,6.2,5.55,711,5.63,2021-07-08T04:00:00Z,123713,5.861821
5.9,6.3062,5.81,503,5.97,2021-07-09T04:00:00Z,79325,5.928325
6.02,6.04,5.91,400,5.95,2021-07-12T04:00:00Z,67639,5.991237
5.73,6.0399,5.57,648,6.01,2021-07-13T04:00:00Z,104207,5.830311
5.84,6.13,5.6927,688,6.13,2021-07-14T04:00:00Z,172195,5.777376
6.4,6.42,5.86,1277,5.86,2021-07-15T04:00:00Z,181051,6.202598
6.23,6.4,6.2,452,6.4,2021-07-16T04:00:00Z,79527,6.252904
6.0,6.3355,5.88,298,6.26,2021-07-19T04:00:00Z,61765,6.041755
5.9,6.04,5.8,278,6.04,2021-07-20T04:00:00Z,71680,5.896471
5.85,5.965,5.8001,279,5.85,2021-07-21T04:00:00Z,123069,5.897831
6.04,6.099,5.9,122,5.9,2021-07-22T04:00:00Z,23071,6.016427
5.99,6.09,5.9,146,6.09,2021-07-23T04:00:00Z,59004,5.990483
5.91,6.085,5.8101,438,5.98,2021-07-26T04:00:00Z,106151,5.883968
5.74,5.9,5.74,173,5.87,2021-07-27T04:00:00Z,40219,5.783199
5.55,5.77,5.5,438,5.77,2021-07-28T04:00:00Z,215478,5.582964
5.55,5.71,5.52,660,5.56,2021-07-29T04:00:00Z,119082,5.638809
5.5,5.6862,5.48,309,5.55,2021-07-30T04:00:00Z,56358,5.535973
5.55,5.575,5.46,102,5.46,2021-08-02T04:00:00Z,24844,5.538277
5.38,5.63,5.34,540,5.63,2021-08-03T04:00:00Z,114187,5.426599
5.1989,5.31,5.1,803,5.31,2021-08-04T04:00:00Z,128537,5.203906
5.47,5.5,5.12,220,5.12,2021-08-05T04:00:00Z,38858,5.280918
5.52,5.53,5.35,217,5.5,2021-08-06T04:00:00Z,114136,5.446361
5.66,5.7415,5.47,418,5.5,2021-08-09T04:00:00Z,129691,5.585636
5.74,5.7607,5.65,120,5.7607,2021-08-10T04:00:00Z,23250,5.710786
5.8,5.95,5.75,166,5.75,2021-08-11T04:00:00Z,35618,5.851403
5.84,5.9,5.7,225,5.8,2021-08-12T04:00:00Z,44403,5.8332
5.82,5.95,5.74,394,5.81,2021-08-13T04:00:00Z,86947,5.792888
5.83,5.9899,5.74,272,5.76,2021-08-16T04:00:00Z,72347,5.861677
5.82,5.9,5.69,523,5.86,2021-08-17T04:00:00Z,102672,5.786245
5.79,5.88,5.7224,235,5.78,2021-08-18T04:00:00Z,41950,5.791664
5.8,5.95,5.72,872,5.76,2021-08-19T04:00:00Z,103467,5.82916
5.83,5.85,5.76,271,5.8,2021-08-20T04:00:00Z,52655,5.800758
6.03,6.15,5.8,565,5.8,2021-08-23T04:00:00Z,125036,6.023825
6.75,6.76,6.03,941,6.03,2021-08-24T04:00:00Z,252746,6.343794
6.89,6.9,6.5201,339,6.69,2021-08-25T04:00:00Z,73508,6.745486
6.61,6.85,6.4916,184,6.85,2021-08-26T04:00:00Z,36213,6.613505
6.5,6.7799,6.42,385,6.538,2021-08-27T04:00:00Z,86869,6.574377
6.58,6.58,6.33,313,6.57,2021-08-30T04:00:00Z,33521,6.495694
6.53,6.6836,6.35,257,6.62,2021-08-31T04:00:00Z,52596,6.514242
6.59,6.63,6.435,289,6.63,2021-09-01T04:00:00Z,37785,6.511886
6.73,6.78,6.45,460,6.63,2021-09-02T04:00:00Z,51317,6.684321
6.7,6.85,6.68,339,6.74,2021-09-03T04:00:00Z,57427,6.757896
6.45,6.7,6.364,502,6.7,2021-09-07T04:00:00Z,98613,6.478129
6.28,6.4501,6.24,429,6.37,2021-09-08T04:00:00Z,54205,6.355966
6.46,6.5,6.3,436,6.31,2021-09-09T04:00:00Z,67368,6.376249
6.21,6.45,6.19,350,6.433,2021-09-10T04:00:00Z,75199,6.354298
6.17,6.28,6.05,845,6.28,2021-09-13T04:00:00Z,99323,6.147318
6.18,6.22,5.98,763,6.18,2021-09-14T04:00:00Z,101734,6.080385
6.05,6.11,5.96,237,6.11,2021-09-15T04:00:00Z,20511,6.024704
5.96,6.05,5.78,693,6.05,2021-09-16T04:00:00Z,83857,5.902012
5.78,5.95,5.735,554,5.95,2021-09-17T04:00:00Z,68463,5.810946
5.62,5.7523,5.56,756,5.73,2021-09-20T04:00:00Z,93994,5.62711
5.54,5.69,5.51,427,5.69,2021-09-21T04:00:00Z,45917,5.555594
5.81,5.81,5.5,469,5.51,2021-09-22T04:00:00Z,70079,5.628696
5.97,6.025,5.78,221,5.78,2021-09-23T04:00:00Z,50285,5.963967
5.9,6.014,5.85,278,5.95,2021-09-24T04:00:00Z,55787,5.945237
5.92,5.92,5.67,862,5.85,2021-09-27T04:00:00Z,99096,5.79833
5.89,5.9,5.75,504,5.79,2021-09-28T04:00:00Z,67808,5.826188
5.98,5.98,5.89,215,5.94,2021-09-29T04:00:00Z,33159,5.945982
6.31,6.3199,6.0,434,6.0,2021-09-30T04:00:00Z,71337,6.215444
6.23,6.2777,6.0436,245,6.25,2021-10-01T04:00:00Z,52099,6.138094
6.07,6.23,5.99,331,6.23,2021-10-04T04:00:00Z,59490,6.10847
6.27,6.33,6.071,352,6.08,2021-10-05T04:00:00Z,55038,6.225955
6.01,6.33,6.0,188,6.33,2021-10-06T04:00:00Z,40477,6.133311
6.2,6.2,6.05,193,6.05,2021-10-07T04:00:00Z,30748,6.122658
6.13,6.1765,6.07,122,6.1751,2021-10-08T04:00:00Z,25246,6.116418
6.25,6.3,6.03,70,6.03,2021-10-11T04:00:00Z,20944,6.135824
6.02,6.25,6.02,364,6.25,2021-10-12T04:00:00Z,52048,6.085412
5.9,6.16,5.86,206,6.09,2021-10-13T04:00:00Z,27514,5.956943
5.88,5.98,5.88,231,5.93,2021-10-14T04:00:00Z,37626,5.924839
5.91,5.91,5.85,172,5.91,2021-10-15T04:00:00Z,22718,5.893709
5.86,5.94,5.8,261,5.87,2021-10-18T04:00:00Z,32973,5.84673
5.72,5.88,5.72,419,5.8,2021-10-19T04:00:00Z,73860,5.78949
5.57,5.84,5.57,743,5.7,2021-10-20T04:00:00Z,172433,5.687612
5.66,5.69,5.56,200,5.56,2021-10-21T04:00:00Z,23480,5.632705
5.57,5.71,5.55,149,5.71,2021-10-22T04:00:00Z,21556,5.60758
5.57,5.67,5.51,226,5.57,2021-10-25T04:00:00Z,48807,5.556851
5.59,5.65,5.54,169,5.57,2021-10-26T04:00:00Z,44901,5.569776
5.5,5.6,5.4514,805,5.58,2021-10-27T04:00:00Z,100375,5.515822
5.49,5.6,5.44,271,5.52,2021-10-28T04:00:00Z,54066,5.472762
5.55,5.55,5.35,652,5.55,2021-10-29T04:00:00Z,130319,5.433807
5.39,5.52,5.3865,818,5.42,2021-11-01T04:00:00Z,154266,5.462599
5.36,5.44,5.33,595,5.39,2021-11-02T04:00:00Z,138361,5.362172
5.3,5.35,5.28,615,5.35,2021-11-03T04:00:00Z,97480,5.302852
5.32,5.41,5.22,623,5.29,2021-11-04T04:00:00Z,110918,5.306767
5.18,5.3299,5.12,970,5.3,2021-11-05T04:00:00Z,159945,5.217026
5.33,5.4099,5.18,565,5.3,2021-11-08T05:00:00Z,102467,5.33218
5.32,5.38,5.2601,465,5.29,2021-11-09T05:00:00Z,61905,5.341065
5.59,5.72,5.35,1078,5.35,2021-11-10T05:00:00Z,199794,5.590893
5.89,5.94,5.565,815,5.59,2021-11-11T05:00:00Z,109510,5.858667
6.05,6.08,5.88,528,5.91,2021-11-12T05:00:00Z,95599,5.982247
5.97,6.1,5.93,569,6.1,2021-11-15T05:00:00Z,90384,5.998353
6.34,6.4,5.99,759,6.15,2021-11-16T05:00:00Z,233207,6.289955
6.67,6.72,6.4,1044,6.4,2021-11-17T05:00:00Z,263393,6.647648
6.68,6.7,6.58,479,6.59,2021-11-18T05:00:00Z,72903,6.656337
6.83,6.88,6.63,757,6.68,2021-11-19T05:00:00Z,141769,6.705624
6.79,6.99,6.69,566,6.9,2021-11-22T05:00:00Z,131530,6.878686
6.75,6.88,6.604,368,6.88,2021-11-23T05:00:00Z,66127,6.722878
6.43,6.74,6.38,425,6.67,2021-11-24T05:00:00Z,89061,6.447243
6.25,6.36,6.15,227,6.36,2021-11-26T05:00:00Z,81323,6.222085
6.28,6.3,6.165,361,6.3,2021-11-29T05:00:00Z,47787,6.229775
6.22,6.2814,6.12,716,6.22,2021-11-30T05:00:00Z,106829,6.206786
6.17,6.27,6.12,573,6.27,2021-12-01T05:00:00Z,79016,6.180196
5.94,6.27,5.87,544,6.27,2021-12-02T05:00:00Z,68966,6.10934
5.71,5.93,5.67,268,5.89,2021-12-03T05:00:00Z,41717,5.72246
5.69,5.915,5.57,284,5.915,2021-12-06T05:00:00Z,41650,5.688234
6.08,6.17,5.7,107,6.005,2021-12-07T05:00:00Z,23329,6.016457
6.03,6.14,5.97,133,6.14,2021-12-08T05:00:00Z,16018,6.014044
5.93,6.0462,5.74,283,6.0462,2021-12-09T05:00:00Z,69216,5.852928
5.79,5.9156,5.79,66,5.8501,2021-12-10T05:00:00Z,9725,5.837134
5.78,5.84,5.6801,123,5.84,2021-12-13T05:00:00Z,16068,5.723193
5.73,5.73,5.52,373,5.7,2021-12-14T05:00:00Z,50441,5.6183
5.58,5.66,5.49,389,5.66,2021-12-15T05:00:00Z,41505,5.524233
5.61,5.73,5.25,810,5.4,2021-12-16T05:00:00Z,192020,5.515557
5.49,6.065,5.47,359,6.065,2021-12-17T05:00:00Z,47068,5.585723
5.38,5.43,5.2,291,5.4,2021-12-20T05:00:00Z,55160,5.31099
5.44,5.47,5.35,163,5.35,2021-12-21T05:00:00Z,26132,5.423781
5.44,5.52,5.31,173,5.31,2021-12-22T05:00:00Z,37987,5.431173
5.56,5.6674,5.37,173,5.37,2021-12-23T05:00:00Z,30913,5.572411
5.49,5.75,5.39,152,5.65,2021-12-27T05:00:00Z,29364,5.628562
5.52,5.75,5.45,125,5.56,2021-12-28T05:00:00Z,25274,5.530156
5.42,5.6,5.31,195,5.6,2021-12-29T05:00:00Z,30981,5.428831
5.49,5.58,5.35,187,5.35,2021-12-30T05:00:00Z,36390,5.462302
5.61,5.7,5.38,343,5.59,2021-12-31T05:00:00Z,50078,5.514974
5.75,5.75,5.5,170,5.63,2022-01-03T05:00:00Z,44742,5.670348
5.58,5.91,5.58,564,5.65,2022-01-04T05:00:00Z,185848,5.680539
5.8,5.8865,5.64,424,5.835,2022-01-05T05:00:00Z,60235,5.786408
5.87,5.95,5.63,185,5.7,2022-01-06T05:00:00Z,32700,5.835497
5.89,6.0,5.67,280,5.67,2022-01-07T05:00:00Z,57465,5.879471
5.765,5.925,5.7,339,5.81,2022-01-10T05:00:00Z,52724,5.757173
5.89,5.9,5.81,217,5.81,2022-01-11T05:00:00Z,27454,5.863426
5.87,5.9026,5.8,166,5.9,2022-01-12T05:00:00Z,18647,5.846701
5.77,5.9,5.7207,242,5.9,2022-01-13T05:00:00Z,39600,5.78674
5.66,5.75,5.6,257,5.7,2022-01-14T05:00:00Z,31851,5.660681
5.7,5.79,5.56,403,5.56,2022-01-18T05:00:00Z,58037,5.677882
5.76,5.9,5.69,403,5.7995,2022-01-19T05:00:00Z,51850,5.781842
5.7,5.8699,5.7,376,5.85,2022-01-20T05:00:00Z,34907,5.787641
5.4,5.69,5.28,439,5.69,2022-01-21T05:00:00Z,62343,5.438003
5.25,5.555,4.98,587,5.555,2022-01-24T05:00:00Z,83756,5.166996
5.37,5.4011,5.22,401,5.25,2022-01-25T05:00:00Z,57614,5.332035
5.28,5.53,5.2001,156,5.31,2022-01-26T05:00:00Z,22390,5.400336
5.25,5.42,5.25,299,5.27,2022-01-27T05:00:00Z,42969,5.375885
5.0,5.3805,4.98,910,5.25,2022-01-28T05:00:00Z,184962,5.154646
5.26,5.42,4.96,323,4.96,2022-01-31T05:00:00Z,44984,5.234138
5.42,5.52,5.33,243,5.35,2022-02-01T05:00:00Z,35494,5.438366
5.34,5.4,5.3,239,5.4,2022-02-02T05:00:00Z,29021,5.332376
5.45,5.5092,5.32,372,5.32,2022-02-03T05:00:00Z,46197,5.460438
5.44,5.74,5.405,267,5.405,2022-02-04T05:00:00Z,38014,5.57277
5.79,5.79,5.445,644,5.66,2022-02-07T05:00:00Z,104505,5.682674
5.645,5.87,5.63,342,5.87,2022-02-08T05:00:00Z,43479,5.726101
5.62,5.665,5.5301,153,5.63,2022-02-09T05:00:00Z,32425,5.601185
5.5,5.62,5.45,492,5.62,2022-02-10T05:00:00Z,78967,5.528403
5.4,5.53,5.3957,300,5.4737,2022-02-11T05:00:00Z,62741,5.477207
5.51,5.51,5.32,452,5.42,2022-02-14T05:00:00Z,47999,5.387537
5.28,5.545,5.28,748,5.43,2022-02-15T05:00:00Z,150138,5.407603
5.31,5.44,5.18,1167,5.3,2022-02-16T05:00:00Z,289900,5.278497
5.25,5.29,5.23,214,5.25,2022-02-17T05:00:00Z,32551,5.247913
5.09,5.29,5.09,357,5.25,2022-02-18T05:00:00Z,30822,5.162456
4.8,5.14,4.72,665,5.14,2022-02-22T05:00:00Z,143402,4.935104
4.8,5.1099,4.76,372,4.91,2022-02-23T05:00:00Z,49753,4.859876
4.86,4.9,4.64,838,4.64,2022-02-24T05:00:00Z,132133,4.784431
4.86,4.94,4.82,266,4.8871,2022-02-25T05:00:00Z,34511,4.88921
4.6,4.91,4.57,775,4.91,2022-02-28T05:00:00Z,146377,4.646319
4.43,4.5999,4.38,773,4.55,2022-03-01T05:00:00Z,101957,4.459395
4.51,4.649,4.45,330,4.48,2022-03-02T05:00:00Z,32353,4.52218
4.37,4.53,4.32,210,4.32,2022-03-03T05:00:00Z,33316,4.428279
4.27,4.37,4.25,289,4.34,2022-03-04T05:00:00Z,30755,4.305316
4.16,4.24,4.05,1332,4.23,2022-03-07T05:00:00Z,176072,4.097604
4.21,4.26,4.03,819,4.17,2022-03-08T05:00:00Z,137075,4.127079
4.4,4.48,4.165,314,4.21,2022-03-09T05:00:00Z,68149,4.362987
4.43,4.5,4.35,181,4.38,2022-03-10T05:00:00Z,25079,4.414212
4.68,4.8,4.43,254,4.43,2022-03-11T05:00:00Z,47826,4.668291
4.61,4.74,4.52,253,4.74,2022-03-14T04:00:00Z,35701,4.575414
4.5,4.592,4.42,166,4.592,2022-03-15T04:00:00Z,29891,4.496105
4.58,4.709,4.5,136,4.69,2022-03-16T04:00:00Z,20524,4.58817
4.59,4.6461,4.581,45,4.599,2022-03-17T04:00:00Z,13609,4.613147
4.44,4.63,4.44,221,4.57,2022-03-18T04:00:00Z,37315,4.492083
4.42,4.45,4.27,372,4.44,2022-03-21T04:00:00Z,51744,4.362481
4.59,4.64,4.4,124,4.4,2022-03-22T04:00:00Z,9952,4.547872
4.57,4.57,4.4312,298,4.53,2022-03-23T04:00:00Z,35590,4.482804
4.4,4.61,4.38,307,4.54,2022-03-24T04:00:00Z,27752,4.425441
4.31,4.4,4.12,322,4.4,2022-03-25T04:00:00Z,45866,4.256625
4.5,4.5,4.2391,372,4.25,2022-03-28T04:00:00Z,44853,4.372877
4.49,4.64,4.41,232,4.41,2022-03-29T04:00:00Z,44760,4.527593
4.45,4.51,4.45,158,4.46,2022-03-30T04:00:00Z,22449,4.473026
4.39,4.45,4.39,276,4.43,2022-03-31T04:00:00Z,29544,4.411885
4.29,4.45,4.29,290,4.374,2022-04-01T04:00:00Z,40530,4.337528
4.56,4.6,4.32,497,4.32,2022-04-04T04:00:00Z,63840,4.482397
4.5,4.57,4.47,259,4.53,2022-04-05T04:00:00Z,42120,4.513205
4.4,4.46,4.3,315,4.46,2022-04-06T04:00:00Z,51349,4.368732
4.535,4.57,4.39,116,4.4,2022-04-07T04:00:00Z,13978,4.467327
4.515,4.55,4.411,183,4.51,2022-04-08T04:00:00Z,29753,4.483325
4.55,4.55,4.4301,246,4.47,2022-04-11T04:00:00Z,22922,4.488515
4.72,4.72,4.55,493,4.55,2022-04-12T04:00:00Z,68958,4.626886
4.43,4.64,4.43,157,4.6136,2022-04-13T04:00:00Z,23902,4.535163
4.47,4.52,4.44,159,4.495,2022-04-14T04:00:00Z,18825,4.474755
4.35,4.48,4.35,77,4.42,2022-04-18T04:00:00Z,11271,4.424019
4.94,5.0,4.29,1657,4.29,2022-04-19T04:00:00Z,221115,4.77901
5.05,5.11,4.8911,437,5.1,2022-04-20T04:00:00Z,47550,4.975439
4.78,5.22,4.75,260,5.22,2022-04-21T04:00:00Z,29579,4.93497
4.67,4.83,4.61,294,4.83,2022-04-22T04:00:00Z,30463,4.740163
4.605,4.65,4.53,130,4.63,2022-04-25T04:00:00Z,18916,4.574234
5.02,5.1047,4.67,1199,4.69,2022-04-26T04:00:00Z,209009,4.940017
4.82,5.18,4.78,386,5.18,2022-04-27T04:00:00Z,55178,4.886142
4.57,4.88,4.57,433,4.77,2022-04-28T04:00:00Z,62754,4.637135
4.5,4.6449,4.5,224,4.55,2022-04-29T04:00:00Z,29906,4.577715
4.44,4.6,4.27,348,4.6,2022-05-02T04:00:00Z,62010,4.4072
4.44,4.4699,4.33,334,4.36,2022-05-03T04:00:00Z,83920,4.40184
4.38,4.42,4.36,204,4.36,2022-05-04T04:00:00Z,67193,4.378329
4.41,4.41,4.2636,185,4.36,2022-05-05T04:00:00Z,22434,4.330849
4.37,4.37,4.2601,181,4.3299,2022-05-06T04:00:00Z,35342,4.324747
4.33,4.37,4.17,426,4.28,2022-05-09T04:00:00Z,103181,4.260125
4.23,4.2495,4.13,308,4.2121,2022-05-10T04:00:00Z,34862,4.203711
4.14,4.46,4.07,253,4.28,2022-05-11T04:00:00Z,48112,4.251964
4.09,4.18,4.0,118,4.15,2022-05-12T04:00:00Z,14762,4.110346
4.27,4.32,4.04,284,4.04,2022-05-13T04:00:00Z,52700,4.193787
4.4,4.49,4.2,504,4.2,2022-05-16T04:00:00Z,104729,4.390322
4.38,4.85,4.37,633,4.85,2022-05-17T04:00:00Z,111418,4.586083
4.5,4.6867,4.38,480,4.38,2022-05-18T04:00:00Z,90628,4.538929
4.41,4.65,4.41,212,4.6,2022-05-19T04:00:00Z,38840,4.567651
4.41,4.54,4.3,166,4.46,2022-05-20T04:00:00Z,22735,4.372578
4.64,4.67,4.2201,159,4.44,2022-05-23T04:00:00Z,41060,4.499318
4.33,4.56,4.3,229,4.56,2022-05-24T04:00:00Z,47772,4.396189
4.62,4.62,4.3,134,4.3,2022-05-25T04:00:00Z,22596,4.444682
4.62,4.68,4.56,202,4.67,2022-05-26T04:00:00Z,34470,4.625258
4.85,4.85,4.64,313,4.64,2022-05-27T04:00:00Z,42704,4.785521
4.75,4.97,4.66,263,4.97,2022-05-31T04:00:00Z,31829,4.779043
