c,h,l,n,o,t,v,vw
203750.0,212500.0,191450.0,118,212500.0,2016-01-04T05:00:00Z,0,201946.37
204987.5,215000.0,191250.0,76,210000.0,2016-01-05T05:00:00Z,0,200737.87
186250.0,220000.0,163750.0,817,210000.0,2016-01-06T05:00:00Z,3,185996.25
190000.0,209375.0,173750.0,209,209375.0,2016-01-07T05:00:00Z,0,184726.0
195000.0,205000.0,183750.0,205,205000.0,2016-01-08T05:00:00Z,0,194882.25
171250.0,191237.5,165000.0,206,187500.0,2016-01-11T05:00:00Z,0,176385.75
175000.0,183750.0,140000.0,236,182500.0,2016-01-12T05:00:00Z,0,163055.5
167500.0,195000.0,158750.0,54,175750.0,2016-01-13T05:00:00Z,0,165573.87
168750.0,177375.0,158750.0,48,176250.0,2016-01-14T05:00:00Z,0,167440.62
166262.5,180000.0,154175.0,54,173750.0,2016-01-15T05:00:00Z,0,169590.87
181250.0,181250.0,135000.0,699,160350.0,2016-01-19T05:00:00Z,3,141484.37
160000.0,168750.0,141975.0,194,168750.0,2016-01-20T05:00:00Z,0,153665.25
170000.0,176250.0,141262.5,160,147500.0,2016-01-21T05:00:00Z,0,167882.62
170000.0,182275.0,152500.0,152,176250.0,2016-01-22T05:00:00Z,0,170903.87
171250.0,175000.0,158750.0,90,171250.0,2016-01-25T05:00:00Z,0,171367.87
173750.0,182487.5,170000.0,303,170000.0,2016-01-26T05:00:00Z,0,175323.75
161250.0,181250.0,158750.0,107,181250.0,2016-01-27T05:00:00Z,0,170571.5
163750.0,170000.0,158750.0,81,165000.0,2016-01-28T05:00:00Z,0,165646.62
171250.0,171900.0,158750.0,76,170000.0,2016-01-29T05:00:00Z,0,165194.87
145000.0,165000.0,145000.0,51,165000.0,2016-02-01T05:00:00Z,0,158419.75
152075.0,155000.0,143762.5,49,143762.5,2016-02-02T05:00:00Z,0,148421.37
152000.0,166250.0,136250.0,290,150000.0,2016-02-03T05:00:00Z,0,153378.25
159462.5,166900.0,143750.0,87,154687.5,2016-02-04T05:00:00Z,0,157779.0
148750.0,169987.5,136250.0,133,163025.0,2016-02-05T05:00:00Z,0,150442.37
152500.0,154987.5,127500.0,195,154987.5,2016-02-08T05:00:00Z,0,134485.13
133750.0,141112.5,122587.5,133,130000.0,2016-02-09T05:00:00Z,0,131429.0
176250.0,211037.5,133750.0,446,133750.0,2016-02-10T05:00:00Z,1,179902.87
188750.0,193750.0,157512.5,283,181250.0,2016-02-11T05:00:00Z,0,179593.25
176262.5,197625.0,176250.0,38,197625.0,2016-02-12T05:00:00Z,0,187850.25
182500.0,183750.0,165000.0,59,175125.0,2016-02-16T05:00:00Z,0,173905.0
176250.0,208125.0,160000.0,353,187500.0,2016-02-17T05:00:00Z,1,186190.5
184500.0,187562.5,168750.0,26,168750.0,2016-02-18T05:00:00Z,0,177300.37
191337.5,206250.0,187512.5,49,196250.0,2016-02-19T05:00:00Z,0,196940.12
198750.0,207500.0,195000.0,57,195000.0,2016-02-22T05:00:00Z,0,199155.12
191825.0,215000.0,187500.0,108,210000.0,2016-02-23T05:00:00Z,0,203480.0
193750.0,206250.0,177500.0,119,193750.0,2016-02-24T05:00:00Z,0,192456.62
193750.0,215000.0,187500.0,143,197500.0,2016-02-25T05:00:00Z,0,193696.12
186725.0,195000.0,178762.5,54,195000.0,2016-02-26T05:00:00Z,0,185144.5
181250.0,191250.0,175100.0,40,190000.0,2016-02-29T05:00:00Z,0,181066.0
193750.0,213750.0,187700.0,231,204987.5,2016-03-01T05:00:00Z,0,197259.12
187500.0,200000.0,172500.0,183,187500.0,2016-03-02T05:00:00Z,0,186994.5
193737.5,193750.0,190375.0,30,192500.0,2016-03-03T05:00:00Z,0,191999.12
187500.0,193737.5,180275.0,126,180275.0,2016-03-04T05:00:00Z,0,188383.62
193750.0,216250.0,183750.0,108,187500.0,2016-03-07T05:00:00Z,0,197195.37
187500.0,195000.0,177512.5,79,195000.0,2016-03-08T05:00:00Z,0,189137.12
207500.0,219987.5,177512.5,128,186237.5,2016-03-09T05:00:00Z,0,196893.62
222500.0,222500.0,196250.0,133,203525.0,2016-03-10T05:00:00Z,0,211883.75
223125.0,223750.0,209162.5,57,211250.0,2016-03-11T05:00:00Z,0,217366.75
