c,h,l,n,o,t,v,vw
25.01,25.38,23.75,37,23.9,2022-10-13T04:00:00Z,2054,24.91
24.4,24.88,24.4,44,24.87,2022-10-14T04:00:00Z,2955,24.73
25.18,25.18,25.18,11,25.18,2022-10-17T04:00:00Z,130,0.0
25.39,26.21,25.39,42,25.75,2022-10-18T04:00:00Z,4061,25.64
24.62,25.37,24.54,36,25.37,2022-10-19T04:00:00Z,3094,24.88
24.59,25.21,24.52,87,24.62,2022-10-20T04:00:00Z,7341,24.79
25.15,25.2,24.47,50,24.68,2022-10-21T04:00:00Z,7530,24.68
25.19,25.22,24.65,225,25.09,2022-10-24T04:00:00Z,19447,25.11
26.04,26.15,25.29,121,25.29,2022-10-25T04:00:00Z,21092,25.87
26.34,26.92,26.07,103,26.07,2022-10-26T04:00:00Z,8734,26.45
26.04,26.6,26.04,99,26.46,2022-10-27T04:00:00Z,15837,26.25
26.82,26.88,26.11,72,26.12,2022-10-28T04:00:00Z,6587,26.65
26.7,27.01,26.58,57,26.75,2022-10-31T04:00:00Z,8402,26.76
27.02,27.2,26.96,78,27.02,2022-11-01T04:00:00Z,12239,27.09
26.22,27.31,26.22,87,26.99,2022-11-02T04:00:00Z,15457,26.55
25.88,26.17,25.61,58,25.95,2022-11-03T04:00:00Z,5192,25.78
25.91,25.91,25.51,30,25.84,2022-11-04T04:00:00Z,1034,25.65
26.26,26.37,25.89,44,26.01,2022-11-07T05:00:00Z,3922,26.09
26.21,26.58,26.08,110,26.08,2022-11-08T05:00:00Z,12825,26.29
25.2,25.87,25.17,62,25.87,2022-11-09T05:00:00Z,3894,25.54
26.89,26.89,26.06,41,26.06,2022-11-10T05:00:00Z,2750,26.39
27.66,27.88,27.01,55,27.01,2022-11-11T05:00:00Z,5910,27.6
27.64,27.85,27.64,44,27.84,2022-11-14T05:00:00Z,2329,27.81
28.11,28.42,27.99,62,28.38,2022-11-15T05:00:00Z,7550,28.17
27.42,28.08,27.42,62,28.08,2022-11-16T05:00:00Z,13609,27.65
27.19,27.34,27.02,85,27.09,2022-11-17T05:00:00Z,6186,27.11
27.24,27.49,27.2,94,27.4,2022-11-18T05:00:00Z,9189,27.29
26.88,27.17,26.87,38,27.17,2022-11-21T05:00:00Z,1890,26.96
27.13,27.14,26.6,72,26.6,2022-11-22T05:00:00Z,8321,26.88
27.24,27.39,27.12,51,27.25,2022-11-23T05:00:00Z,3422,27.24
27.24,27.33,27.14,44,27.15,2022-11-25T05:00:00Z,3001,27.28
26.61,27.1,26.61,35,27.1,2022-11-28T05:00:00Z,1538,26.97
26.56,26.77,26.56,43,26.65,2022-11-29T05:00:00Z,5115,26.65
27.44,27.49,26.57,35,26.75,2022-11-30T05:00:00Z,4038,27.0
27.74,27.81,27.61,45,27.61,2022-12-01T05:00:00Z,7537,27.71
28.09,28.12,27.46,87,27.46,2022-12-02T05:00:00Z,9324,27.71
27.34,27.9,27.21,98,27.9,2022-12-05T05:00:00Z,7783,27.49
26.76,27.46,26.68,65,27.46,2022-12-06T05:00:00Z,10812,27.04
26.59,26.81,26.59,105,26.64,2022-12-07T05:00:00Z,9043,26.7
27.02,27.09,26.47,32,26.81,2022-12-08T05:00:00Z,2637,26.8
