c,h,l,n,o,t,v,vw
18.95,19.08,18.93,327,19.01,2024-06-21T04:00:00Z,16928,18.99
18.74,18.93,18.74,449,18.92,2024-06-24T04:00:00Z,28709,18.88
18.94,18.94,18.85,196,18.85,2024-06-25T04:00:00Z,14012,18.9
18.97,18.99,18.88,251,18.88,2024-06-26T04:00:00Z,21522,18.96
18.99,19.03,18.95,252,18.99,2024-06-27T04:00:00Z,23491,18.98
18.92,19.15,18.91,278,19.02,2024-06-28T04:00:00Z,27287,19.02
19.02,19.02,18.85,215,18.96,2024-07-01T04:00:00Z,17168,18.92
19.14,19.14,18.95,136,18.95,2024-07-02T04:00:00Z,11042,19.04
19.31,19.31,19.14,169,19.15,2024-07-03T04:00:00Z,19730,19.25
19.49,19.49,19.31,256,19.34,2024-07-05T04:00:00Z,41277,19.45
19.51,19.52,19.47,334,19.5,2024-07-08T04:00:00Z,34923,19.49
19.5,19.58,19.46,327,19.56,2024-07-09T04:00:00Z,30512,19.54
19.68,19.68,19.53,230,19.56,2024-07-10T04:00:00Z,27327,19.6
19.31,19.68,19.28,509,19.68,2024-07-11T04:00:00Z,72762,19.36
19.38,19.52,19.29,232,19.29,2024-07-12T04:00:00Z,44237,19.46
19.36,19.56,19.34,265,19.45,2024-07-15T04:00:00Z,26005,19.45
19.38,19.44,19.3,207,19.44,2024-07-16T04:00:00Z,15235,19.34
18.85,19.11,18.85,553,19.11,2024-07-17T04:00:00Z,62116,18.95
18.72,18.97,18.61,382,18.97,2024-07-18T04:00:00Z,30655,18.75
18.56,18.74,18.53,343,18.74,2024-07-19T04:00:00Z,14984,18.62
18.77,18.83,18.65,301,18.72,2024-07-22T04:00:00Z,24372,18.76
18.75,18.85,18.74,198,18.81,2024-07-23T04:00:00Z,18627,18.78
18.07,18.5,18.05,514,18.5,2024-07-24T04:00:00Z,49453,18.27
17.92,18.24,17.82,345,18.11,2024-07-25T04:00:00Z,38909,18.07
18.07,18.16,17.96,273,18.03,2024-07-26T04:00:00Z,34849,18.08
