c,h,l,n,o,t,v,vw
20.39,20.39,20.39,1,20.39,2023-02-23T05:00:00Z,10,0.0
20.18,20.18,20.18,5,20.18,2023-02-24T05:00:00Z,11,0.0
20.29,20.32,20.29,5,20.32,2023-02-27T05:00:00Z,1019,20.32
20.3,20.3,20.3,2,20.3,2023-02-28T05:00:00Z,4,0.0
20.18,20.18,20.18,1,20.18,2023-03-01T05:00:00Z,1,0.0
20.35,20.35,20.35,4,20.35,2023-03-02T05:00:00Z,211,20.35
20.59,20.59,20.59,2,20.59,2023-03-03T05:00:00Z,6,0.0
20.62,20.62,20.62,4,20.62,2023-03-06T05:00:00Z,4,0.0
20.49,20.49,20.49,3,20.49,2023-03-07T05:00:00Z,57,0.0
20.6,20.6,20.6,2,20.6,2023-03-08T05:00:00Z,10,0.0
20.37,20.37,20.37,6,20.37,2023-03-09T05:00:00Z,49,0.0
20.16,20.16,20.16,1,20.16,2023-03-10T05:00:00Z,1,0.0
20.28,20.28,20.28,2,20.28,2023-03-13T04:00:00Z,4,0.0
20.69,20.71,20.69,2,20.71,2023-03-14T04:00:00Z,103,20.71
20.75,20.75,20.75,2,20.75,2023-03-15T04:00:00Z,8,0.0
21.01,21.01,21.01,2,21.01,2023-03-16T04:00:00Z,2,0.0
20.9,21.36,20.85,41,20.85,2023-03-17T04:00:00Z,10919,21.22
20.97,20.97,20.9,4,20.91,2023-03-20T04:00:00Z,602,20.9
21.08,21.08,21.08,2,21.08,2023-03-21T04:00:00Z,6,0.0
21.01,21.14,21.01,3,21.14,2023-03-22T04:00:00Z,11000,21.14
21.15,21.15,21.06,5,21.06,2023-03-23T04:00:00Z,312,21.09
21.19,21.19,21.19,1,21.19,2023-03-24T04:00:00Z,1,0.0
20.55,20.55,20.55,0,20.55,2023-03-27T04:00:00Z,0,0.0
21.17,21.17,21.17,2,21.17,2023-03-28T04:00:00Z,8,0.0
21.34,21.34,21.34,6,21.34,2023-03-29T04:00:00Z,152,0.0
21.42,21.42,21.42,3,21.42,2023-03-30T04:00:00Z,6,0.0
21.49,21.49,21.49,3,21.49,2023-03-31T04:00:00Z,3,0.0
21.52,21.52,21.52,3,21.52,2023-04-03T04:00:00Z,13,0.0
