c,h,l,n,o,t,v,vw
24.17,24.26,24.17,27,24.2,2021-09-09T04:00:00Z,1581,24.23
24.01,24.34,24.01,31,24.34,2021-09-10T04:00:00Z,1868,24.24
23.95,23.95,23.49,32,23.87,2021-09-13T04:00:00Z,1623,23.75
23.88,23.98,23.88,20,23.98,2021-09-14T04:00:00Z,655,23.96
24.16,24.2,23.93,37,23.95,2021-09-15T04:00:00Z,4031,24.11
23.31,23.38,23.17,58,23.38,2021-09-16T04:00:00Z,6991,23.3
23.58,23.58,23.27,29,23.27,2021-09-17T04:00:00Z,19370,23.36
22.57,22.91,22.51,24,22.91,2021-09-20T04:00:00Z,1748,22.68
22.93,22.95,22.81,25,22.83,2021-09-21T04:00:00Z,1453,22.88
23.08,23.08,23.08,23,23.08,2021-09-22T04:00:00Z,652,23.08
23.31,23.49,23.3,12,23.49,2021-09-23T04:00:00Z,1075,23.35
23.26,23.66,23.25,25,23.66,2021-09-24T04:00:00Z,2270,23.4
23.46,23.51,22.97,17,23.41,2021-09-27T04:00:00Z,2156,23.06
22.92,23.11,22.92,35,23.11,2021-09-28T04:00:00Z,4591,23.04
22.67,23.04,22.67,29,23.04,2021-09-29T04:00:00Z,2677,23.01
22.67,22.67,22.67,0,22.67,2021-09-30T04:00:00Z,0,0.0
23.44,23.46,23.38,20,23.46,2021-10-01T04:00:00Z,11859,23.42
22.49,22.55,22.45,39,22.55,2021-10-04T04:00:00Z,1788,22.52
22.67,22.67,22.64,8,22.64,2021-10-05T04:00:00Z,260,22.64
22.57,22.67,22.34,13,22.4,2021-10-06T04:00:00Z,2176,22.37
22.85,23.04,22.85,86,22.94,2021-10-07T04:00:00Z,13750,22.98
22.64,22.64,22.6,16,22.6,2021-10-08T04:00:00Z,1061,22.62
22.96,23.21,22.89,27,22.9,2021-10-11T04:00:00Z,1631,22.98
23.99,23.99,23.61,65,23.63,2021-10-12T04:00:00Z,8024,23.8
24.81,24.81,24.53,45,24.55,2021-10-13T04:00:00Z,4735,24.65
24.63,24.79,24.56,30,24.79,2021-10-14T04:00:00Z,21939,24.73
24.88,25.09,24.88,30,24.88,2021-10-15T04:00:00Z,5397,24.94
25.45,25.45,25.3,39,25.3,2021-10-18T04:00:00Z,3206,25.39
26.2,26.39,26.12,65,26.12,2021-10-19T04:00:00Z,4513,26.2
26.2,26.2,26.2,0,26.2,2021-10-20T04:00:00Z,0,0.0
25.75,25.93,25.51,32,25.51,2021-10-21T04:00:00Z,1819,25.63
25.16,25.54,25.03,31,25.54,2021-10-22T04:00:00Z,2149,25.45
26.18,26.24,25.79,29,25.79,2021-10-25T04:00:00Z,2027,25.97
25.65,26.1,25.62,46,26.1,2021-10-26T04:00:00Z,1643,25.87
26.86,27.42,26.58,78,26.58,2021-10-27T04:00:00Z,3816,27.03
27.61,27.61,26.88,88,26.91,2021-10-28T04:00:00Z,12544,27.39
27.83,27.83,27.56,49,27.56,2021-10-29T04:00:00Z,3865,27.65
28.27,28.33,28.14,73,28.19,2021-11-01T04:00:00Z,9090,28.21
27.2,27.66,26.95,123,27.66,2021-11-02T04:00:00Z,5767,27.29
26.92,26.93,26.2,137,26.49,2021-11-03T04:00:00Z,15197,26.41
27.18,27.2,26.96,77,26.98,2021-11-04T04:00:00Z,7216,27.11
26.5,26.96,26.32,98,26.96,2021-11-05T04:00:00Z,10372,26.65
27.01,27.11,26.93,72,27.02,2021-11-08T05:00:00Z,56266,26.97
26.82,27.28,26.68,66,27.25,2021-11-09T05:00:00Z,7551,27.13
26.17,26.41,26.02,50,26.41,2021-11-10T05:00:00Z,2357,26.31
27.43,27.6,26.48,205,26.48,2021-11-11T05:00:00Z,24619,27.3
27.56,27.56,27.39,37,27.39,2021-11-12T05:00:00Z,2462,27.46
26.89,27.21,26.82,93,27.21,2021-11-15T05:00:00Z,7087,27.01
26.59,26.79,26.32,66,26.79,2021-11-16T05:00:00Z,4434,26.58
26.94,27.07,26.94,41,26.96,2021-11-17T05:00:00Z,1631,26.98
26.33,26.95,26.33,52,26.95,2021-11-18T05:00:00Z,15556,26.38
27.46,27.58,26.67,89,26.67,2021-11-19T05:00:00Z,7275,27.42
26.98,28.04,26.98,83,27.45,2021-11-22T05:00:00Z,9113,27.46
26.15,26.63,26.02,66,26.63,2021-11-23T05:00:00Z,5265,26.19
26.21,26.23,25.72,55,25.82,2021-11-24T05:00:00Z,168979,26.13
25.47,25.69,25.22,68,25.64,2021-11-26T05:00:00Z,5466,25.57
25.94,25.94,25.78,40,25.88,2021-11-29T05:00:00Z,1225,25.87
25.47,25.81,25.35,55,25.74,2021-11-30T05:00:00Z,1714,25.59
24.66,25.71,24.66,233,25.71,2021-12-01T05:00:00Z,69432,25.43
24.43,24.79,24.25,67,24.79,2021-12-02T05:00:00Z,4361,24.57
23.66,24.13,23.58,84,24.13,2021-12-03T05:00:00Z,7363,23.69
23.9,23.9,23.34,42,23.85,2021-12-06T05:00:00Z,2405,23.76
24.72,24.77,24.46,35,24.46,2021-12-07T05:00:00Z,56866,24.68
25.01,25.13,24.83,27,24.83,2021-12-08T05:00:00Z,1003,25.05
24.08,24.78,24.08,24,24.73,2021-12-09T05:00:00Z,11496,24.41
24.45,24.86,24.33,123,24.63,2021-12-10T05:00:00Z,12597,24.46
24.48,24.84,24.43,28,24.63,2021-12-13T05:00:00Z,11209,24.49
23.67,23.94,23.32,151,23.94,2021-12-14T05:00:00Z,12129,23.6
23.93,23.93,23.18,35,23.74,2021-12-15T05:00:00Z,2547,23.31
23.6,24.38,23.6,211,24.38,2021-12-16T05:00:00Z,120540,24.2
23.39,23.48,22.69,288,23.06,2021-12-17T05:00:00Z,119938,23.06
21.92,22.2,21.83,129,22.19,2021-12-20T05:00:00Z,13225,21.96
22.84,22.84,22.33,120,22.33,2021-12-21T05:00:00Z,68909,22.62
22.76,22.78,22.66,30,22.66,2021-12-22T05:00:00Z,2450,22.74
22.96,23.13,22.94,35,22.95,2021-12-23T05:00:00Z,2970,23.02
22.45,22.67,22.44,56,22.66,2021-12-27T05:00:00Z,3354,22.58
22.63,22.81,22.62,57,22.77,2021-12-28T05:00:00Z,10059,22.67
22.61,22.61,22.42,27,22.42,2021-12-29T05:00:00Z,702,22.46
23.02,23.15,22.89,85,22.89,2021-12-30T05:00:00Z,4562,23.05
23.34,23.45,23.2,31,23.2,2021-12-31T05:00:00Z,2830,23.35
23.33,23.4,23.19,58,23.22,2022-01-03T05:00:00Z,12267,23.3
22.13,22.96,22.09,151,22.96,2022-01-04T05:00:00Z,52674,22.1
21.09,22.05,21.09,108,22.05,2022-01-05T05:00:00Z,57706,21.29
21.05,21.26,20.91,137,21.16,2022-01-06T05:00:00Z,10690,21.11
20.85,21.0,20.68,48,20.92,2022-01-07T05:00:00Z,2850,20.83
20.67,20.67,20.17,88,20.54,2022-01-10T05:00:00Z,26734,20.38
20.7,20.96,20.65,484,20.81,2022-01-11T05:00:00Z,253965,20.77
21.22,21.51,21.05,162,21.21,2022-01-12T05:00:00Z,32689,21.32
20.68,21.26,20.62,77,21.26,2022-01-13T05:00:00Z,5706,20.82
20.8,20.8,20.71,37,20.72,2022-01-14T05:00:00Z,1078,20.74
20.35,20.68,20.35,280,20.64,2022-01-18T05:00:00Z,45487,20.54
20.14,20.55,20.14,32,20.55,2022-01-19T05:00:00Z,50408,20.44
20.09,20.63,20.09,123,20.53,2022-01-20T05:00:00Z,33024,20.51
19.43,19.99,19.38,128,19.99,2022-01-21T05:00:00Z,8909,19.54
19.67,19.67,18.91,63,19.43,2022-01-24T05:00:00Z,25123,19.49
19.27,19.42,19.05,36,19.17,2022-01-25T05:00:00Z,7168,19.34
19.61,20.12,19.6,49,20.05,2022-01-26T05:00:00Z,7318,20.03
18.72,19.35,18.72,67,19.35,2022-01-27T05:00:00Z,11115,19.12
18.64,18.71,18.13,91,18.61,2022-01-28T05:00:00Z,8647,18.52
19.72,19.72,18.99,26,18.99,2022-01-31T05:00:00Z,8352,19.49
19.81,19.84,19.67,126,19.84,2022-02-01T05:00:00Z,10311,19.75
19.39,19.87,19.32,48,19.87,2022-02-02T05:00:00Z,11565,19.66
18.92,19.19,18.87,271,19.19,2022-02-03T05:00:00Z,13125,19.03
19.37,19.41,18.92,31,19.05,2022-02-04T05:00:00Z,1721,19.14
19.41,19.75,19.41,39,19.58,2022-02-07T05:00:00Z,14142,19.59
19.32,19.32,19.09,29,19.11,2022-02-08T05:00:00Z,2034,19.14
19.92,20.02,19.74,34,20.02,2022-02-09T05:00:00Z,4954,19.85
19.34,19.83,19.28,76,19.29,2022-02-10T05:00:00Z,8492,19.53
18.9,19.2,18.9,40,19.2,2022-02-11T05:00:00Z,1704,19.04
18.57,18.72,18.46,24,18.72,2022-02-14T05:00:00Z,1000,18.55
19.6,19.6,19.13,37,19.13,2022-02-15T05:00:00Z,1833,19.31
19.6,19.6,19.6,0,19.6,2022-02-16T05:00:00Z,0,0.0
19.44,19.63,19.44,25,19.63,2022-02-17T05:00:00Z,521,19.57
19.05,19.4,19.05,28,19.4,2022-02-18T05:00:00Z,1817,19.22
18.85,19.09,18.85,13,19.09,2022-02-22T05:00:00Z,936,19.08
19.15,19.26,19.15,23,19.25,2022-02-23T05:00:00Z,3086,19.24
20.2,20.2,18.8,58,18.8,2022-02-24T05:00:00Z,4486,19.69
20.63,20.63,20.43,33,20.6,2022-02-25T05:00:00Z,1477,20.53
21.97,22.02,21.26,142,21.34,2022-02-28T05:00:00Z,16221,21.7
22.12,22.2,21.63,57,21.86,2022-03-01T05:00:00Z,9789,21.81
21.73,22.1,21.52,77,22.1,2022-03-02T05:00:00Z,10058,21.66
21.2,21.61,21.2,33,21.61,2022-03-03T05:00:00Z,4032,21.36
21.05,21.21,20.85,80,21.21,2022-03-04T05:00:00Z,9480,21.05
21.31,21.52,21.15,92,21.52,2022-03-07T05:00:00Z,15901,21.35
22.47,22.61,21.54,255,21.54,2022-03-08T05:00:00Z,38472,22.16
22.38,22.45,22.06,70,22.42,2022-03-09T05:00:00Z,8886,22.29
22.28,22.62,21.98,129,22.59,2022-03-10T05:00:00Z,14923,22.44
21.75,22.39,21.69,108,22.39,2022-03-11T05:00:00Z,21820,21.91
20.58,21.57,20.43,46,21.57,2022-03-14T04:00:00Z,6979,20.75
21.04,21.04,20.15,78,20.57,2022-03-15T04:00:00Z,9143,20.48
22.44,22.44,21.84,191,22.19,2022-03-16T04:00:00Z,30805,22.1
21.96,22.07,21.64,164,21.83,2022-03-17T04:00:00Z,22440,21.79
22.19,22.19,21.75,49,21.75,2022-03-18T04:00:00Z,5069,21.88
22.07,22.08,21.95,83,22.0,2022-03-21T04:00:00Z,16766,22.03
22.14,22.26,21.92,43,21.92,2022-03-22T04:00:00Z,5401,22.1
22.16,22.29,21.78,49,21.89,2022-03-23T04:00:00Z,14391,22.12
21.98,21.98,21.86,28,21.86,2022-03-24T04:00:00Z,745,21.93
21.25,21.93,21.16,36,21.93,2022-03-25T04:00:00Z,1463,21.4
21.41,21.67,21.16,65,21.47,2022-03-28T04:00:00Z,15783,21.45
21.55,21.62,21.38,67,21.4,2022-03-29T04:00:00Z,56694,21.56
21.74,21.94,21.73,53,21.94,2022-03-30T04:00:00Z,1744,21.84
21.22,21.31,21.15,50,21.27,2022-03-31T04:00:00Z,28942,21.26
21.32,21.47,21.21,45,21.47,2022-04-01T04:00:00Z,2493,21.31
21.92,22.01,21.34,162,21.34,2022-04-04T04:00:00Z,17307,21.86
21.43,22.16,21.41,126,22.15,2022-04-05T04:00:00Z,33584,21.58
20.85,21.02,20.65,57,21.02,2022-04-06T04:00:00Z,234777,20.77
20.79,20.88,20.7,77,20.72,2022-04-07T04:00:00Z,6554,20.77
20.28,20.82,20.28,43,20.82,2022-04-08T04:00:00Z,1751,20.46
19.77,20.13,19.7,37,20.13,2022-04-11T04:00:00Z,1287,19.92
20.01,20.21,19.84,102,19.96,2022-04-12T04:00:00Z,10299,20.05
19.99,19.99,19.81,57,19.81,2022-04-13T04:00:00Z,54135,19.89
19.59,19.91,19.59,62,19.91,2022-04-14T04:00:00Z,55327,19.81
19.86,19.96,19.81,75,19.83,2022-04-18T04:00:00Z,1613,19.86
20.07,20.1,19.74,130,19.74,2022-04-19T04:00:00Z,179174,19.87
18.71,19.65,18.71,109,19.65,2022-04-20T04:00:00Z,129121,19.31
17.34,18.5,17.3,214,18.5,2022-04-21T04:00:00Z,319862,17.58
17.25,17.63,17.17,114,17.35,2022-04-22T04:00:00Z,7470,17.5
16.57,16.61,16.23,131,16.61,2022-04-25T04:00:00Z,23857,16.43
16.1,16.33,16.09,96,16.33,2022-04-26T04:00:00Z,98597,16.15
17.08,17.44,17.08,117,17.26,2022-04-27T04:00:00Z,139114,17.25
17.25,17.38,16.91,47,17.38,2022-04-28T04:00:00Z,2607,17.15
17.35,17.81,17.35,66,17.77,2022-04-29T04:00:00Z,4121,17.6
17.55,17.55,17.19,181,17.3,2022-05-02T04:00:00Z,16251,17.37
18.01,18.13,17.63,181,17.7,2022-05-03T04:00:00Z,35730,17.93
18.67,18.67,17.92,141,17.95,2022-05-04T04:00:00Z,411274,18.24
17.97,18.56,17.97,97,18.56,2022-05-05T04:00:00Z,211918,18.06
17.43,17.71,17.43,150,17.7,2022-05-06T04:00:00Z,238325,17.49
16.74,17.21,16.62,102,17.2,2022-05-09T04:00:00Z,212478,16.76
17.05,17.42,16.66,105,17.42,2022-05-10T04:00:00Z,213472,17.34
16.7,17.44,16.7,163,17.37,2022-05-11T04:00:00Z,14206,17.32
16.59,16.92,16.21,126,16.46,2022-05-12T04:00:00Z,17990,16.67
17.34,17.42,16.84,102,16.84,2022-05-13T04:00:00Z,7928,17.25
