c,h,l,n,o,t,v,vw
4.449,4.518,4.371,140,4.518,2016-01-04T05:00:00Z,28900,4.494
4.38,4.432,4.311,76,4.406,2016-01-05T05:00:00Z,19284,4.368
4.406,4.432,4.346,59,4.38,2016-01-06T05:00:00Z,10435,4.379
4.449,4.458,4.289,46,4.294,2016-01-07T05:00:00Z,4237,4.365
4.509,4.518,4.415,45,4.501,2016-01-08T05:00:00Z,8360,4.457
4.501,4.578,4.371,96,4.466,2016-01-11T05:00:00Z,21148,4.492
4.363,4.483,4.354,51,4.483,2016-01-12T05:00:00Z,9716,4.397
4.268,4.423,4.242,79,4.423,2016-01-13T05:00:00Z,9778,4.325
4.268,4.277,4.234,47,4.277,2016-01-14T05:00:00Z,6281,4.257
4.217,4.242,4.165,77,4.182,2016-01-15T05:00:00Z,11653,4.205
4.131,4.26,4.01,102,4.26,2016-01-19T05:00:00Z,23848,4.116
4.131,4.131,3.89,112,4.027,2016-01-20T05:00:00Z,46069,4.023
4.199,4.217,4.096,95,4.096,2016-01-21T05:00:00Z,22014,4.149
4.182,4.389,4.182,113,4.234,2016-01-22T05:00:00Z,51224,4.266
4.303,4.311,4.217,75,4.217,2016-01-25T05:00:00Z,11311,4.278
4.303,4.346,4.303,12,4.337,2016-01-26T05:00:00Z,928,4.324
4.217,4.303,4.217,30,4.26,2016-01-27T05:00:00Z,5165,4.252
4.268,4.268,4.228,13,4.245,2016-01-28T05:00:00Z,5336,4.256
4.277,4.346,4.218,51,4.218,2016-01-29T05:00:00Z,15056,4.273
4.277,4.294,4.225,76,4.277,2016-02-01T05:00:00Z,21278,4.253
4.234,4.328,4.217,44,4.217,2016-02-02T05:00:00Z,6583,4.259
4.242,4.31,4.225,32,4.225,2016-02-03T05:00:00Z,5226,4.265
4.251,4.38,4.217,17,4.217,2016-02-04T05:00:00Z,3164,4.308
4.371,4.397,4.251,72,4.303,2016-02-05T05:00:00Z,20013,4.302
4.268,4.337,4.268,47,4.337,2016-02-08T05:00:00Z,8286,4.285
4.371,4.371,4.227,23,4.285,2016-02-09T05:00:00Z,4590,4.305
4.251,4.363,4.217,94,4.363,2016-02-10T05:00:00Z,67962,4.235
4.165,4.251,3.958,79,4.251,2016-02-11T05:00:00Z,18086,4.13
4.191,4.217,4.139,24,4.217,2016-02-12T05:00:00Z,4972,4.199
4.208,4.217,4.182,52,4.217,2016-02-16T05:00:00Z,17242,4.214
4.432,4.432,4.001,139,4.199,2016-02-17T05:00:00Z,32311,4.257
4.415,4.501,4.346,39,4.371,2016-02-18T05:00:00Z,9295,4.433
4.569,4.75,4.468,98,4.468,2016-02-19T05:00:00Z,31911,4.657
4.664,4.716,4.578,28,4.578,2016-02-22T05:00:00Z,4357,4.649
4.655,4.733,4.595,54,4.595,2016-02-23T05:00:00Z,10218,4.693
4.673,4.707,4.587,47,4.587,2016-02-24T05:00:00Z,10682,4.627
4.802,4.819,4.647,47,4.647,2016-02-25T05:00:00Z,9708,4.76
4.871,4.948,4.733,115,4.733,2016-02-26T05:00:00Z,32582,4.857
5.077,5.12,4.853,90,4.853,2016-02-29T05:00:00Z,22802,5.01
5.06,5.163,4.922,57,5.069,2016-03-01T05:00:00Z,7342,5.08
4.793,5.086,4.786,54,4.948,2016-03-02T05:00:00Z,11785,4.95
4.759,4.942,4.759,50,4.776,2016-03-03T05:00:00Z,10838,4.845
4.69,4.78,4.664,79,4.75,2016-03-04T05:00:00Z,15799,4.733
4.655,4.819,4.595,130,4.647,2016-03-07T05:00:00Z,12643,4.754
