c,h,l,n,o,t,v,vw
6.07,6.165,5.83,1089,6.05,2016-01-04T05:00:00Z,151755,6.026924
6.14,6.1913,6.03,438,6.08,2016-01-05T05:00:00Z,54089,6.137529
6.14,6.25,6.02,519,6.04,2016-01-06T05:00:00Z,122832,6.129984
5.78,6.09,5.77,1009,6.0,2016-01-07T05:00:00Z,178441,5.881047
5.76,6.02,5.6,1105,5.77,2016-01-08T05:00:00Z,162729,5.835008
5.85,5.905,5.74,1034,5.84,2016-01-11T05:00:00Z,131641,5.820028
5.75,6.09,5.62,1349,5.89,2016-01-12T05:00:00Z,259961,5.749658
5.41,5.8,5.26,1483,5.26,2016-01-13T05:00:00Z,247673,5.445481
5.44,5.55,5.29,762,5.48,2016-01-14T05:00:00Z,119635,5.432565
5.41,5.49,5.17,1342,5.28,2016-01-15T05:00:00Z,206128,5.307413
5.36,5.555,5.225,744,5.48,2016-01-19T05:00:00Z,127921,5.368665
5.51,5.59,5.07,1227,5.29,2016-01-20T05:00:00Z,160841,5.353726
5.5,5.73,5.38,847,5.51,2016-01-21T05:00:00Z,136274,5.542558
5.67,5.7,5.54,825,5.59,2016-01-22T05:00:00Z,106153,5.634141
5.66,5.74,5.6,829,5.65,2016-01-25T05:00:00Z,112806,5.678876
6.08,6.2155,5.62,1245,5.68,2016-01-26T05:00:00Z,281462,5.955605
5.87,6.105,5.85,855,6.08,2016-01-27T05:00:00Z,125052,5.948563
5.52,5.99,5.49,933,5.93,2016-01-28T05:00:00Z,173588,5.641968
5.98,6.0,5.43,1053,5.55,2016-01-29T05:00:00Z,178103,5.896523
5.89,6.0,5.81,528,5.95,2016-02-01T05:00:00Z,73483,5.897855
5.62,5.84,5.6,544,5.81,2016-02-02T05:00:00Z,98302,5.656882
5.57,5.75,5.32,669,5.67,2016-02-03T05:00:00Z,112689,5.512086
5.6,5.72,5.5,471,5.58,2016-02-04T05:00:00Z,84649,5.601514
5.17,5.58,5.15,759,5.58,2016-02-05T05:00:00Z,167745,5.245983
4.98,5.18,4.87,1239,5.13,2016-02-08T05:00:00Z,264172,4.97658
5.18,5.24,4.92,889,4.92,2016-02-09T05:00:00Z,151174,5.126174
5.37,5.44,5.13,868,5.21,2016-02-10T05:00:00Z,132295,5.338801
5.04,5.36,5.0,744,5.19,2016-02-11T05:00:00Z,90198,5.104577
5.31,5.42,5.04,1058,5.05,2016-02-12T05:00:00Z,160831,5.253899
5.48,5.5,5.31,773,5.42,2016-02-16T05:00:00Z,124684,5.432385
5.68,5.78,5.49,1191,5.55,2016-02-17T05:00:00Z,265256,5.654916
5.62,5.8,5.6048,722,5.71,2016-02-18T05:00:00Z,110267,5.667018
5.67,5.72,5.5901,306,5.6,2016-02-19T05:00:00Z,61179,5.648099
5.76,5.86,5.44,654,5.75,2016-02-22T05:00:00Z,132669,5.774348
5.65,5.8,5.65,661,5.76,2016-02-23T05:00:00Z,91206,5.697736
5.79,5.8,5.55,559,5.6,2016-02-24T05:00:00Z,103210,5.719239
5.8,5.85,5.77,599,5.8,2016-02-25T05:00:00Z,96775,5.813212
5.78,5.85,5.75,660,5.83,2016-02-26T05:00:00Z,109277,5.797407
5.7,5.79,5.62,701,5.75,2016-02-29T05:00:00Z,115465,5.720786
5.75,5.8,5.71,925,5.76,2016-03-01T05:00:00Z,174800,5.764395
5.8,5.8,5.69,755,5.72,2016-03-02T05:00:00Z,113551,5.763378
6.01,6.09,5.77,1088,5.77,2016-03-03T05:00:00Z,273804,5.972144
6.08,6.33,6.01,921,6.03,2016-03-04T05:00:00Z,149032,6.167114
6.2,6.25,6.05,860,6.07,2016-03-07T05:00:00Z,93550,6.191887
5.95,6.195,5.945,710,6.15,2016-03-08T05:00:00Z,119625,6.017734
6.12,6.15,5.92,442,6.0,2016-03-09T05:00:00Z,62638,6.094057
5.86,6.17,5.83,519,6.13,2016-03-10T05:00:00Z,90904,5.964577
6.19,6.24,5.9,919,5.9,2016-03-11T05:00:00Z,211104,6.122301
5.53,6.29,5.48,2843,6.11,2016-03-14T04:00:00Z,544501,5.74089
5.26,5.57,5.19,1434,5.4,2016-03-15T04:00:00Z,225536,5.327606
5.39,5.44,5.15,1928,5.22,2016-03-16T04:00:00Z,226098,5.333078
5.21,5.38,5.05,1361,5.37,2016-03-17T04:00:00Z,243452,5.168025
5.26,5.38,5.16,1143,5.25,2016-03-18T04:00:00Z,323029,5.243764
5.02,5.35,5.0,849,5.31,2016-03-21T04:00:00Z,159462,5.106928
4.97,5.03,4.93,1205,5.0,2016-03-22T04:00:00Z,189727,4.979267
4.88,4.96,4.82,922,4.94,2016-03-23T04:00:00Z,186872,4.885525
4.93,5.0,4.78,1091,4.8,2016-03-24T04:00:00Z,159155,4.903831
4.81,4.93,4.73,1282,4.93,2016-03-28T04:00:00Z,236555,4.844872
5.0,5.05,4.75,1333,4.8,2016-03-29T04:00:00Z,273664,4.928517
4.87,5.05,4.86,882,5.05,2016-03-30T04:00:00Z,174038,4.924386
4.83,4.95,4.83,1142,4.91,2016-03-31T04:00:00Z,353101,4.869243
4.88,4.925,4.76,1206,4.81,2016-04-01T04:00:00Z,328040,4.836201
4.87,4.99,4.85,790,4.92,2016-04-04T04:00:00Z,151162,4.899169
4.76,4.89,4.71,999,4.85,2016-04-05T04:00:00Z,154563,4.794459
4.75,4.78,4.66,847,4.76,2016-04-06T04:00:00Z,148904,4.713981
4.99,5.03,4.69,960,4.69,2016-04-07T04:00:00Z,202180,4.925425
4.92,5.09,4.89,603,5.02,2016-04-08T04:00:00Z,99850,4.970931
4.8,5.05,4.79,628,4.93,2016-04-11T04:00:00Z,89996,4.874142
4.81,4.92,4.77,579,4.77,2016-04-12T04:00:00Z,69579,4.834117
4.98,5.01,4.81,653,4.84,2016-04-13T04:00:00Z,106806,4.950185
4.96,5.06,4.95,875,4.98,2016-04-14T04:00:00Z,121549,5.002269
5.0,5.1,4.94,1671,4.98,2016-04-15T04:00:00Z,318098,4.99975
5.16,5.25,4.96,1758,4.97,2016-04-18T04:00:00Z,275158,5.115982
5.16,5.22,5.06,726,5.16,2016-04-19T04:00:00Z,99780,5.150548
5.33,5.405,5.09,1581,5.14,2016-04-20T04:00:00Z,310005,5.270469
5.4,5.51,5.29,1090,5.3,2016-04-21T04:00:00Z,182522,5.412917
5.48,5.51,5.37,929,5.39,2016-04-22T04:00:00Z,125538,5.471882
5.24,5.485,5.2,892,5.485,2016-04-25T04:00:00Z,98608,5.278389
5.45,5.47,5.27,903,5.27,2016-04-26T04:00:00Z,158878,5.415572
5.47,5.54,5.1597,514,5.43,2016-04-27T04:00:00Z,73634,5.478505
5.2,5.46,5.17,1087,5.39,2016-04-28T04:00:00Z,215491,5.3286
5.05,5.25,4.95,971,5.19,2016-04-29T04:00:00Z,165565,5.047611
5.01,5.09,4.88,1054,5.09,2016-05-02T04:00:00Z,171167,4.979636
5.03,5.06,4.83,948,4.96,2016-05-03T04:00:00Z,171925,4.997318
5.18,5.2,4.89,1392,5.0,2016-05-04T04:00:00Z,256585,5.065463
5.32,5.365,5.15,1590,5.18,2016-05-05T04:00:00Z,259176,5.272279
5.47,5.5,5.18,1515,5.27,2016-05-06T04:00:00Z,239553,5.389158
5.49,5.55,5.34,1180,5.46,2016-05-09T04:00:00Z,187776,5.457486
5.37,5.48,5.05,1489,5.05,2016-05-10T04:00:00Z,176306,5.343269
5.12,5.37,5.11,985,5.37,2016-05-11T04:00:00Z,162099,5.21025
5.07,5.18,4.99,1251,5.16,2016-05-12T04:00:00Z,160942,5.085286
5.15,5.25,5.06,887,5.06,2016-05-13T04:00:00Z,132370,5.12994
5.09,5.21,5.068,849,5.19,2016-05-16T04:00:00Z,126275,5.123653
5.04,5.18,5.0,897,5.06,2016-05-17T04:00:00Z,159793,5.055526
5.04,5.1,4.98,768,5.03,2016-05-18T04:00:00Z,106707,5.034544
4.97,5.08,4.85,1097,5.01,2016-05-19T04:00:00Z,165736,4.964092
5.07,5.12,4.97,759,5.01,2016-05-20T04:00:00Z,145551,5.039675
5.05,5.12,5.01,544,5.05,2016-05-23T04:00:00Z,71558,5.053903
5.14,5.15,5.01,738,5.09,2016-05-24T04:00:00Z,140962,5.130368
5.29,5.33,5.13,1015,5.14,2016-05-25T04:00:00Z,305849,5.232072
5.15,5.29,5.12,740,5.29,2016-05-26T04:00:00Z,104204,5.211012
5.26,5.29,5.11,764,5.15,2016-05-27T04:00:00Z,130301,5.219858
5.21,5.27,5.1511,636,5.24,2016-05-31T04:00:00Z,127362,5.212436
5.23,5.27,5.14,664,5.21,2016-06-01T04:00:00Z,114787,5.219674
5.45,5.46,5.135,1344,5.14,2016-06-02T04:00:00Z,252551,5.304961
5.26,5.46,5.17,776,5.41,2016-06-03T04:00:00Z,122841,5.282029
5.34,5.46,5.22,707,5.26,2016-06-06T04:00:00Z,101067,5.355021
5.36,5.4279,5.3,500,5.35,2016-06-07T04:00:00Z,68367,5.355176
5.4,5.49,5.31,955,5.36,2016-06-08T04:00:00Z,137722,5.421563
5.43,5.47,5.31,539,5.36,2016-06-09T04:00:00Z,98296,5.401679
5.29,5.44,5.26,809,5.34,2016-06-10T04:00:00Z,152223,5.327819
5.15,5.33,5.12,967,5.27,2016-06-13T04:00:00Z,102460,5.189243
5.08,5.26,5.04,1063,5.14,2016-06-14T04:00:00Z,171651,5.073456
5.25,5.33,5.06,1186,5.13,2016-06-15T04:00:00Z,161178,5.191887
5.15,5.19,5.1,685,5.18,2016-06-16T04:00:00Z,73344,5.14208
5.07,5.22,4.975,979,5.14,2016-06-17T04:00:00Z,410469,5.096375
