c,h,l,n,o,t,v,vw
1.67,2.7123,0.8,271,1.99,2021-02-09T05:00:00Z,264376,1.44464
1.61,1.9,1.5,335,1.55,2021-02-10T05:00:00Z,75270,1.765507
1.7,1.9,1.61,202,1.75,2021-02-11T05:00:00Z,32577,1.736363
1.3,1.7,1.22,180,1.6852,2021-02-12T05:00:00Z,52007,1.440659
1.2,1.97,1.0875,192,1.55,2021-02-16T05:00:00Z,106396,1.177081
1.17,1.575,1.06,52,1.2,2021-02-17T05:00:00Z,11937,1.202043
1.155,1.38,1.05,92,1.38,2021-02-18T05:00:00Z,36035,1.115017
1.13,1.205,1.05,61,1.2,2021-02-19T05:00:00Z,19458,1.123075
1.17,1.26,1.15,75,1.15,2021-02-22T05:00:00Z,38039,1.216463
1.03,1.1,0.95,81,1.08,2021-02-23T05:00:00Z,17042,1.039098
1.18,1.21,0.85,192,1.02,2021-02-24T05:00:00Z,90950,1.050753
1.19,1.3,1.022,78,1.3,2021-02-25T05:00:00Z,20339,1.199595
1.0,1.18,0.99,43,1.08,2021-02-26T05:00:00Z,10688,1.035709
1.12,1.155,1.072,116,1.12,2021-03-01T05:00:00Z,31753,1.110181
1.19,1.225,1.18,226,1.2,2021-03-02T05:00:00Z,116827,1.293885
1.4499,1.58,1.37,513,1.4099,2021-03-03T05:00:00Z,206012,1.480136
1.15,1.325,0.81,197,1.325,2021-03-04T05:00:00Z,53547,0.981369
0.9339,0.9339,0.92,3,0.92,2021-03-05T05:00:00Z,1193,0.926053
1.21,1.24,0.98,59,0.98,2021-03-08T05:00:00Z,26089,1.057191
1.12,1.25,1.1,9,1.25,2021-03-09T05:00:00Z,5427,1.131336
1.07,1.1,1.03,39,1.03,2021-03-10T05:00:00Z,5515,1.074819
1.1799,1.25,1.0,70,1.02,2021-03-11T05:00:00Z,30465,1.16869
1.2,1.3,1.1108,17,1.25,2021-03-12T05:00:00Z,13554,1.175886
1.34,1.4,1.29,45,1.3,2021-03-15T04:00:00Z,14135,1.344916
1.35,1.4,1.2678,17,1.373,2021-03-16T04:00:00Z,4850,1.392546
1.31,1.4007,1.31,42,1.38,2021-03-17T04:00:00Z,14782,1.383428
1.41,1.45,1.36,51,1.4,2021-03-18T04:00:00Z,8977,1.40426
1.45,1.45,1.285,109,1.41,2021-03-19T04:00:00Z,27537,1.352199
1.2899,1.43,1.28,35,1.43,2021-03-22T04:00:00Z,14271,1.333493
1.03,1.2399,1.03,79,1.17,2021-03-23T04:00:00Z,42016,1.116542
1.07,1.2,1.03,91,1.04,2021-03-24T04:00:00Z,19991,1.115566
1.06,1.1036,0.948,48,1.1036,2021-03-25T04:00:00Z,16280,1.028898
1.04,1.1001,1.04,38,1.0801,2021-03-26T04:00:00Z,13150,1.08935
1.05,1.1,1.0,15,1.1,2021-03-29T04:00:00Z,3939,1.063841
0.93,1.01,0.9299,31,0.96,2021-03-30T04:00:00Z,11641,0.965794
0.9018,0.92,0.9018,10,0.91,2021-03-31T04:00:00Z,923,0.911974
0.9019,0.920481,0.9019,7,0.9101,2021-04-01T04:00:00Z,1057,0.916325
0.9019,0.9019,0.9019,0,0.9019,2021-04-05T04:00:00Z,0,0.0
0.8,0.987,0.8,39,0.987,2021-04-06T04:00:00Z,26461,0.828013
0.7,0.8299,0.7,25,0.73,2021-04-07T04:00:00Z,10366,0.732359
0.81,0.81,0.79,9,0.79,2021-04-08T04:00:00Z,5150,0.790171
0.9994,1.0,0.98,15,0.98,2021-04-09T04:00:00Z,6770,0.996478
0.9994,0.9994,0.9994,0,0.9994,2021-04-12T04:00:00Z,0,0.0
0.8629,0.87,0.82,18,0.82,2021-04-13T04:00:00Z,6423,0.826031
0.81,0.86,0.81,7,0.8599,2021-04-14T04:00:00Z,10214,0.811518
0.8,0.81,0.8,19,0.81,2021-04-15T04:00:00Z,13099,0.800834
0.8,0.8,0.75,15,0.76,2021-04-16T04:00:00Z,5417,0.769323
0.8,0.8,0.8,8,0.8,2021-04-19T04:00:00Z,474,0.799768
0.8,0.8,0.8,0,0.8,2021-04-20T04:00:00Z,0,0.0
0.8,0.8,0.8,0,0.8,2021-04-21T04:00:00Z,0,0.0
0.8,0.8,0.8,0,0.8,2021-04-22T04:00:00Z,0,0.0
0.7999,0.8,0.79,12,0.8,2021-04-23T04:00:00Z,3184,0.799344
0.800001,0.800001,0.7495,51,0.8,2021-04-26T04:00:00Z,16155,0.755454
0.79,0.8,0.575075,15,0.575075,2021-04-27T04:00:00Z,2302,0.720629
0.79,0.79,0.79,0,0.79,2021-04-28T04:00:00Z,0,0.0
0.79,0.79,0.79,0,0.79,2021-04-29T04:00:00Z,0,0.0
0.7,0.75,0.6981,20,0.75,2021-04-30T04:00:00Z,11291,0.708819
0.59,0.75,0.59,18,0.75,2021-05-03T04:00:00Z,5398,0.622287
0.6106,0.6106,0.6106,6,0.6106,2021-05-04T04:00:00Z,499,0.630531
0.59,0.7,0.59,14,0.69,2021-05-05T04:00:00Z,7844,0.634797
0.59,0.59,0.59,6,0.59,2021-05-06T04:00:00Z,1288,0.590122
0.6,0.61,0.59,10,0.609899,2021-05-07T04:00:00Z,2271,0.59928
0.6,0.703001,0.6,11,0.61,2021-05-10T04:00:00Z,14981,0.649897
0.5501,0.5501,0.55,4,0.55,2021-05-11T04:00:00Z,1033,0.553737
0.5501,0.5501,0.5501,0,0.5501,2021-05-12T04:00:00Z,0,0.0
0.55,0.73,0.4412,122,0.6696,2021-05-13T04:00:00Z,44282,0.647398
0.6,0.6,0.6,3,0.6,2021-05-14T04:00:00Z,4700,0.6
0.5998,0.5998,0.5998,3,0.5998,2021-05-17T04:00:00Z,200,0.5998
0.5499,0.6001,0.5394,16,0.5995,2021-05-18T04:00:00Z,4055,0.563278
0.510101,0.510101,0.510101,3,0.510101,2021-05-19T04:00:00Z,521,0.513794
0.521,0.5501,0.5204,15,0.5501,2021-05-20T04:00:00Z,3256,0.547126
0.521,0.521,0.521,0,0.521,2021-05-21T04:00:00Z,0,0.0
0.45,0.5209,0.45,8,0.5209,2021-05-24T04:00:00Z,6859,0.459439
0.499463,0.53,0.4785,29,0.53,2021-05-25T04:00:00Z,7939,0.501212
0.48,0.48,0.4202,8,0.4207,2021-05-26T04:00:00Z,759,0.432813
0.48,0.52,0.48,13,0.52,2021-05-27T04:00:00Z,3442,0.486425
0.4001,0.4001,0.2401,6,0.2401,2021-05-28T04:00:00Z,456,0.348286
0.4001,0.4001,0.4001,0,0.4001,2021-06-01T04:00:00Z,0,0.0
0.4501,0.4501,0.4501,1,0.4501,2021-06-02T04:00:00Z,150,0.4501
0.599699,0.6,0.45,6,0.4501,2021-06-03T04:00:00Z,3843,0.512651
0.5498,0.55,0.5498,7,0.5499,2021-06-04T04:00:00Z,993,0.542738
0.5498,0.5498,0.5498,0,0.5498,2021-06-07T04:00:00Z,0,0.0
0.5498,0.5498,0.5498,0,0.5498,2021-06-08T04:00:00Z,0,0.0
0.55,0.55,0.4499,16,0.4499,2021-06-09T04:00:00Z,7081,0.50026
0.54,0.549799,0.54,4,0.549799,2021-06-10T04:00:00Z,602,0.546403
0.54,0.54,0.54,0,0.54,2021-06-11T04:00:00Z,0,0.0
0.54,0.54,0.54,0,0.54,2021-06-14T04:00:00Z,0,0.0
0.54,0.54,0.54,0,0.54,2021-06-15T04:00:00Z,0,0.0
0.54,0.54,0.54,0,0.54,2021-06-16T04:00:00Z,0,0.0
0.4202,0.4302,0.4202,11,0.4301,2021-06-17T04:00:00Z,1037,0.4279
0.4202,0.4202,0.4202,0,0.4202,2021-06-18T04:00:00Z,0,0.0
0.46,0.46,0.46,2,0.46,2021-06-21T04:00:00Z,400,0.46
0.46,0.46,0.46,0,0.46,2021-06-22T04:00:00Z,0,0.0
0.5499,0.55,0.535029,12,0.535029,2021-06-23T04:00:00Z,2601,0.548683
0.6,0.6,0.59,5,0.59,2021-06-24T04:00:00Z,500,0.595459
0.6,0.6,0.59,5,0.59,2021-06-25T04:00:00Z,1429,0.598209
0.6,0.6001,0.5999,13,0.6,2021-06-28T04:00:00Z,5308,0.599999
0.6,0.6,0.57,28,0.57,2021-06-29T04:00:00Z,7727,0.579656
0.6,0.6,0.6,0,0.6,2021-06-30T04:00:00Z,0,0.0
0.57,0.57,0.57,2,0.57,2021-07-01T04:00:00Z,147,0.57
0.599901,0.6,0.599899,4,0.599899,2021-07-02T04:00:00Z,853,0.599808
0.6,0.6,0.6,5,0.6,2021-07-06T04:00:00Z,836,0.594037
0.61,0.61,0.5601,10,0.6002,2021-07-07T04:00:00Z,5100,0.593006
0.61,0.61,0.61,0,0.61,2021-07-08T04:00:00Z,0,0.0
0.61,0.61,0.61,0,0.61,2021-07-09T04:00:00Z,0,0.0
0.65,0.65,0.65,4,0.65,2021-07-12T04:00:00Z,2773,0.65
0.65,0.65,0.65,0,0.65,2021-07-13T04:00:00Z,0,0.0
0.65,0.65,0.65,0,0.65,2021-07-14T04:00:00Z,0,0.0
0.65,0.65,0.65,0,0.65,2021-07-15T04:00:00Z,0,0.0
0.6,0.6001,0.57505,38,0.6001,2021-07-16T04:00:00Z,8530,0.59981
0.6,0.6,0.6,0,0.6,2021-07-19T04:00:00Z,0,0.0
0.5501,0.55554,0.5501,3,0.55554,2021-07-20T04:00:00Z,356,0.552695
0.55,0.5501,0.549899,48,0.5501,2021-07-21T04:00:00Z,11267,0.549994
0.6,0.6,0.53,2,0.53,2021-07-22T04:00:00Z,700,0.54
0.6,0.6,0.6,0,0.6,2021-07-23T04:00:00Z,0,0.0
0.4357,0.5502,0.3845,103,0.55,2021-07-26T04:00:00Z,38808,0.44394
0.4362,0.5399,0.4362,5,0.5399,2021-07-27T04:00:00Z,2117,0.534213
0.4362,0.4362,0.4362,0,0.4362,2021-07-28T04:00:00Z,0,0.0
0.45,0.475,0.45,13,0.4503,2021-07-29T04:00:00Z,2760,0.467716
0.45,0.45,0.45,0,0.45,2021-07-30T04:00:00Z,0,0.0
0.45,0.45,0.45,0,0.45,2021-08-02T04:00:00Z,0,0.0
0.3969,0.47,0.3722,34,0.47,2021-08-03T04:00:00Z,21330,0.408359
0.3969,0.3969,0.3969,0,0.3969,2021-08-04T04:00:00Z,0,0.0
0.3223,0.402249,0.25,113,0.4,2021-08-05T04:00:00Z,43167,0.293483
