c,h,l,n,o,t,v,vw
48.45,53.65,46.0,60816,52.9,2021-09-23T04:00:00Z,11539065,50.077813
44.08,48.1,42.01,19852,47.05,2021-09-24T04:00:00Z,2431321,44.993218
41.0,42.81,40.3,14566,42.29,2021-09-27T04:00:00Z,1799698,41.23256
38.1,40.39,37.495,12877,40.3,2021-09-28T04:00:00Z,1800796,38.476172
37.0,39.22,36.53,7363,37.71,2021-09-29T04:00:00Z,1414729,37.281017
36.7,37.47,35.55,6225,37.0,2021-09-30T04:00:00Z,783998,36.668974
37.67,38.04,37.0,6888,37.54,2021-10-01T04:00:00Z,853711,37.538985
38.29,39.16,37.5,5192,37.64,2021-10-04T04:00:00Z,608552,38.300825
39.56,39.95,37.7,3853,38.19,2021-10-05T04:00:00Z,394527,38.817597
39.48,39.98,38.91,1585,38.92,2021-10-06T04:00:00Z,161136,39.560534
39.21,41.0,39.0,2338,39.72,2021-10-07T04:00:00Z,295093,39.709683
39.0,39.74,39.0,1672,39.0,2021-10-08T04:00:00Z,153237,39.055031
37.4,38.9899,36.97,4049,38.69,2021-10-11T04:00:00Z,475616,37.644589
36.18,37.8,35.62,4148,37.5,2021-10-12T04:00:00Z,580337,36.826684
38.73,39.4193,36.29,3452,36.29,2021-10-13T04:00:00Z,257226,37.885676
38.3,39.07,37.5765,3792,38.41,2021-10-14T04:00:00Z,380871,38.082154
40.2,41.4,38.5301,5652,38.73,2021-10-15T04:00:00Z,512759,40.597955
40.46,41.265,39.2156,4534,40.55,2021-10-18T04:00:00Z,573030,40.749432
33.91,41.04,32.51,32170,39.55,2021-10-19T04:00:00Z,4213450,35.646345
34.45,35.77,33.77,10868,34.21,2021-10-20T04:00:00Z,1091756,34.654863
35.5,35.78,34.25,5896,34.25,2021-10-21T04:00:00Z,720595,35.361587
34.12,36.0,33.74,6255,35.15,2021-10-22T04:00:00Z,645640,34.512906
32.69,34.47,32.33,7518,34.08,2021-10-25T04:00:00Z,815539,33.136712
31.76,33.5699,30.56,9647,32.7,2021-10-26T04:00:00Z,1170700,31.499698
31.46,32.58,31.0,5313,31.54,2021-10-27T04:00:00Z,512854,31.698419
31.99,33.54,31.71,6434,32.62,2021-10-28T04:00:00Z,677041,32.486593
30.62,32.21,30.41,5257,31.75,2021-10-29T04:00:00Z,455912,30.93826
33.39,33.57,30.65,7169,30.74,2021-11-01T04:00:00Z,970763,31.923395
31.1,33.92,31.05,6502,33.2,2021-11-02T04:00:00Z,512199,31.935938
31.2,31.44,30.6,3023,31.0,2021-11-03T04:00:00Z,329690,30.994104
33.97,34.47,31.18,4913,31.19,2021-11-04T04:00:00Z,483348,33.181276
34.03,34.4569,32.825,3220,34.26,2021-11-05T04:00:00Z,245126,33.687258
36.05,36.29,34.04,5177,34.33,2021-11-08T05:00:00Z,401712,35.721752
37.55,37.87,35.605,5929,36.1,2021-11-09T05:00:00Z,614776,37.122558
36.5,38.55,35.1,8347,35.32,2021-11-10T05:00:00Z,782105,37.202852
30.84,37.0,29.9001,15920,36.65,2021-11-11T05:00:00Z,2382813,31.570908
30.57,31.96,30.235,7878,31.01,2021-11-12T05:00:00Z,733331,30.737753
30.67,31.5,30.2,5749,30.66,2021-11-15T05:00:00Z,458737,30.968418
28.36,31.23,28.21,7282,30.93,2021-11-16T05:00:00Z,848273,28.852811
27.0,28.83,26.75,8938,28.36,2021-11-17T05:00:00Z,926447,27.198735
26.26,27.2677,24.96,7978,27.0,2021-11-18T05:00:00Z,877119,25.713407
26.85,27.31,25.53,4326,26.35,2021-11-19T05:00:00Z,393382,26.400013
25.51,27.6923,24.32,6614,26.91,2021-11-22T05:00:00Z,546581,25.439027
24.6,25.62,23.74,6664,25.21,2021-11-23T05:00:00Z,735576,24.343079
25.63,26.02,24.34,4425,24.64,2021-11-24T05:00:00Z,284601,25.554364
25.43,25.76,24.75,3004,25.4397,2021-11-26T05:00:00Z,220041,25.20306
24.98,25.88,24.52,7211,25.88,2021-11-29T05:00:00Z,586216,25.058344
24.06,25.38,23.4,6222,25.11,2021-11-30T05:00:00Z,562215,24.15963
22.87,25.2,22.78,4685,24.39,2021-12-01T05:00:00Z,525334,23.810115
21.99,23.15,21.32,9170,23.15,2021-12-02T05:00:00Z,967483,21.979126
20.5,22.55,19.89,6287,22.0,2021-12-03T05:00:00Z,630481,20.60606
20.5,21.09,19.48,7210,20.54,2021-12-06T05:00:00Z,557880,20.607829
21.4,22.22,20.85,6439,20.95,2021-12-07T05:00:00Z,596678,21.60839
21.37,21.55,20.53,6471,21.37,2021-12-08T05:00:00Z,650825,21.098359
20.02,21.4694,19.85,8344,21.31,2021-12-09T05:00:00Z,968086,20.29991
19.73,20.25,19.265,3929,19.98,2021-12-10T05:00:00Z,345186,19.683565
18.7,20.62,18.2099,7380,20.16,2021-12-13T05:00:00Z,652448,19.101133
18.1,18.666,17.48,6957,18.21,2021-12-14T05:00:00Z,606239,17.940215
19.76,20.33,17.75,10412,18.55,2021-12-15T05:00:00Z,1133528,18.9224
18.38,20.04,18.045,6962,19.74,2021-12-16T05:00:00Z,486286,18.808684
19.22,19.3,17.1,9226,18.2,2021-12-17T05:00:00Z,4273887,19.147036
19.66,20.03,18.17,10300,18.87,2021-12-20T05:00:00Z,959875,19.465297
19.7,20.19,19.24,5498,19.83,2021-12-21T05:00:00Z,657186,19.806102
20.42,21.12,19.605,5645,20.2,2021-12-22T05:00:00Z,457202,20.448465
21.58,22.14,20.2,6469,20.34,2021-12-23T05:00:00Z,523548,21.356325
21.2,21.92,20.86,4840,21.91,2021-12-27T05:00:00Z,458746,21.275795
20.55,21.24,20.2834,3016,21.12,2021-12-28T05:00:00Z,257583,20.641959
20.44,20.52,19.35,4253,20.45,2021-12-29T05:00:00Z,380794,20.204066
20.7,20.92,20.07,4635,20.32,2021-12-30T05:00:00Z,380945,20.624324
20.62,21.26,20.29,5632,20.75,2021-12-31T05:00:00Z,480647,20.780779
20.1,20.95,19.87,5996,20.92,2022-01-03T05:00:00Z,395482,20.277713
18.56,20.14,17.8501,7398,20.02,2022-01-04T05:00:00Z,875153,18.662062
16.61,18.65,16.5,9821,18.38,2022-01-05T05:00:00Z,1037831,17.168824
16.28,17.18,15.87,5371,16.62,2022-01-06T05:00:00Z,418134,16.437642
15.92,16.6461,15.88,4595,16.15,2022-01-07T05:00:00Z,374485,16.167815
15.64,15.79,14.91,4030,15.58,2022-01-10T05:00:00Z,388887,15.485732
16.32,16.65,15.4146,6429,15.52,2022-01-11T05:00:00Z,594752,16.308314
15.64,16.82,15.55,3942,16.5,2022-01-12T05:00:00Z,418099,15.97472
15.13,15.93,14.81,4285,15.67,2022-01-13T05:00:00Z,303540,15.237878
15.0,15.515,14.48,5498,15.19,2022-01-14T05:00:00Z,618821,14.970333
14.64,15.47,14.49,6126,14.82,2022-01-18T05:00:00Z,625222,14.683749
14.36,15.1512,14.33,4751,14.79,2022-01-19T05:00:00Z,601481,14.716075
14.49,15.18,14.43,6557,14.5,2022-01-20T05:00:00Z,679517,14.791743
13.17,14.81,13.02,9091,14.44,2022-01-21T05:00:00Z,901509,13.677535
13.22,13.32,11.9501,9386,13.0,2022-01-24T05:00:00Z,643272,12.725438
12.48,13.095,12.05,8048,12.7,2022-01-25T05:00:00Z,746648,12.444587
11.95,13.36,11.75,5747,13.26,2022-01-26T05:00:00Z,563732,12.378018
11.49,12.37,11.24,7134,12.12,2022-01-27T05:00:00Z,688063,11.647354
11.24,11.585,10.71,9663,11.44,2022-01-28T05:00:00Z,974687,11.060266
12.17,12.25,11.21,8239,11.37,2022-01-31T05:00:00Z,783099,11.803835
12.75,13.0,12.09,6017,12.26,2022-02-01T05:00:00Z,515351,12.620382
11.69,12.93,11.58,5182,12.86,2022-02-02T05:00:00Z,388438,11.998988
10.98,11.62,10.8393,4559,11.23,2022-02-03T05:00:00Z,464583,11.026334
11.22,11.48,10.71,4631,10.92,2022-02-04T05:00:00Z,422212,11.240903
11.89,12.295,11.1,6220,11.11,2022-02-07T05:00:00Z,611178,11.94156
12.25,12.26,11.63,3863,11.71,2022-02-08T05:00:00Z,343034,12.079497
12.89,13.14,12.45,4928,12.48,2022-02-09T05:00:00Z,374425,12.877193
12.53,13.59,12.27,4293,12.68,2022-02-10T05:00:00Z,331880,13.076147
12.37,13.11,12.135,4010,12.72,2022-02-11T05:00:00Z,346866,12.445309
12.64,13.26,12.23,4534,12.3,2022-02-14T05:00:00Z,298780,12.763107
13.07,13.48,12.69,6053,12.98,2022-02-15T05:00:00Z,624432,13.068587
12.35,13.08,11.92,4939,13.08,2022-02-16T05:00:00Z,426696,12.335729
10.99,12.08,10.925,6653,11.98,2022-02-17T05:00:00Z,599985,11.257872
10.45,11.06,10.22,6908,11.06,2022-02-18T05:00:00Z,684715,10.539202
