c,h,l,n,o,t,v,vw
0.085,0.11,0.08,507,0.09,2024-07-05T04:00:00Z,1309316,0.081056
0.08,0.09,0.08,22,0.08,2024-07-08T04:00:00Z,361300,0.080055
0.07,0.08,0.07,245,0.08,2024-07-09T04:00:00Z,637700,0.075688
0.06,0.07,0.06,2,0.07,2024-07-10T04:00:00Z,600,0.066667
0.07,0.07,0.07,174,0.07,2024-07-11T04:00:00Z,69505,0.07
0.07,0.07,0.07,0,0.07,2024-07-12T04:00:00Z,0,0.0
0.07,0.07,0.07,0,0.07,2024-07-15T04:00:00Z,0,0.0
0.07,0.07,0.07,87,0.07,2024-07-16T04:00:00Z,80728,0.07
0.07,0.07,0.07,0,0.07,2024-07-17T04:00:00Z,0,0.0
0.0659,0.0659,0.06,10,0.06,2024-07-18T04:00:00Z,50000,0.060047
0.0659,0.0659,0.0659,0,0.0659,2024-07-19T04:00:00Z,0,0.0
0.06,0.06,0.06,6,0.06,2024-07-22T04:00:00Z,20006,0.06
0.06,0.06,0.06,0,0.06,2024-07-23T04:00:00Z,0,0.0
0.06,0.06,0.06,2,0.06,2024-07-24T04:00:00Z,50014,0.06
0.06,0.06,0.06,0,0.06,2024-07-25T04:00:00Z,0,0.0
0.06,0.06,0.06,0,0.06,2024-07-26T04:00:00Z,0,0.0
0.0682,0.0682,0.0682,1,0.0682,2024-07-29T04:00:00Z,1000,0.0682
0.0601,0.07,0.0601,3,0.07,2024-07-30T04:00:00Z,2500,0.06901
0.0601,0.0601,0.0601,0,0.0601,2024-07-31T04:00:00Z,0,0.0
0.0601,0.0601,0.0601,2,0.0601,2024-08-01T04:00:00Z,2000,0.0601
0.06,0.06,0.06,1,0.06,2024-08-02T04:00:00Z,1000,0.06
0.0619,0.062,0.0601,9,0.0601,2024-08-05T04:00:00Z,929,0.061389
0.0619,0.0619,0.0619,0,0.0619,2024-08-06T04:00:00Z,0,0.0
0.0619,0.0619,0.0619,0,0.0619,2024-08-07T04:00:00Z,0,0.0
0.0619,0.0619,0.0619,0,0.0619,2024-08-08T04:00:00Z,0,0.0
0.0619,0.0619,0.0619,0,0.0619,2024-08-09T04:00:00Z,0,0.0
0.09,0.09,0.09,7,0.09,2024-08-12T04:00:00Z,195,0.09
0.0601,0.066,0.0601,12,0.066,2024-08-13T04:00:00Z,1025,0.064661
0.0841,0.0841,0.0841,7,0.0841,2024-08-14T04:00:00Z,121,0.0841
0.066,0.09,0.066,8,0.09,2024-08-15T04:00:00Z,702,0.085993
0.079,0.08,0.0761,37,0.0761,2024-08-16T04:00:00Z,5701,0.079459
0.06,0.08,0.06,16,0.0601,2024-08-19T04:00:00Z,112055,0.06004
0.061,0.062,0.06,25,0.06,2024-08-20T04:00:00Z,103205,0.060022
0.0601,0.065,0.06,59,0.065,2024-08-21T04:00:00Z,24929,0.06024
0.0698,0.0698,0.0698,6,0.0698,2024-08-22T04:00:00Z,242,0.0698
0.0601,0.07,0.06,26,0.06,2024-08-23T04:00:00Z,13884,0.060818
0.07,0.07,0.065,8,0.065,2024-08-26T04:00:00Z,200251,0.065004
0.0602,0.08,0.0602,2,0.08,2024-08-27T04:00:00Z,2400,0.061025
0.0601,0.08,0.0601,33,0.0601,2024-08-28T04:00:00Z,3556,0.069591
0.0601,0.0601,0.0601,0,0.0601,2024-08-29T04:00:00Z,0,0.0
