c,h,l,n,o,t,v,vw
41.42,41.5,41.41,34,41.41,2016-04-14T04:00:00Z,11260,41.44
41.5,41.5,41.48,4,41.48,2016-04-15T04:00:00Z,1000,41.49
41.5,41.5,41.5,0,41.5,2016-04-18T04:00:00Z,0,0.0
42.28,42.28,41.84,8,41.84,2016-04-19T04:00:00Z,2500,42.24
42.5,42.5,42.31,10,42.41,2016-04-20T04:00:00Z,3333,42.42
42.28,42.43,42.28,10,42.39,2016-04-21T04:00:00Z,101120,42.28
42.25,42.31,42.1,26,42.28,2016-04-22T04:00:00Z,2362,42.21
42.26,42.26,42.18,9,42.2,2016-04-25T04:00:00Z,936,42.21
42.35,42.36,42.31,11,42.35,2016-04-26T04:00:00Z,1224,42.34
42.38,42.38,42.38,1,42.38,2016-04-27T04:00:00Z,190,42.38
41.76,42.13,40.93,35,42.13,2016-04-28T04:00:00Z,16170,41.71
41.26,41.26,41.08,3,41.23,2016-04-29T04:00:00Z,410,41.2
41.63,41.63,41.43,18,41.43,2016-05-02T04:00:00Z,16800,41.46
40.82,41.11,40.82,5,41.11,2016-05-03T04:00:00Z,900,40.98
40.45,40.5,40.38,19,40.5,2016-05-04T04:00:00Z,5082,40.41
40.29,40.35,40.28,8,40.35,2016-05-05T04:00:00Z,892,40.3
40.5,40.64,40.42,19,40.43,2016-05-06T04:00:00Z,9297,40.5
40.67,40.67,40.67,1,40.67,2016-05-09T04:00:00Z,280,40.67
40.79,40.79,40.79,2,40.79,2016-05-10T04:00:00Z,400,40.79
40.8,41.08,40.8,6,41.08,2016-05-11T04:00:00Z,821,40.95
40.68,40.91,40.68,28,40.91,2016-05-12T04:00:00Z,4790,40.86
40.61,40.63,40.57,7,40.63,2016-05-13T04:00:00Z,1850,40.6
40.92,40.92,40.92,1,40.92,2016-05-16T04:00:00Z,1000,40.92
40.66,40.86,40.66,2,40.86,2016-05-17T04:00:00Z,300,40.73
40.72,40.95,40.64,29,40.64,2016-05-18T04:00:00Z,11194,40.75
40.58,40.62,40.51,10,40.57,2016-05-19T04:00:00Z,3112,40.61
40.94,41.04,40.9,25,41.03,2016-05-20T04:00:00Z,4480,41.02
40.78,40.78,40.78,3,40.78,2016-05-23T04:00:00Z,300,40.78
41.27,41.27,41.18,4,41.19,2016-05-24T04:00:00Z,631,41.22
41.94,41.94,41.75,8,41.75,2016-05-25T04:00:00Z,1000,41.89
