c,h,l,n,o,t,v,vw
11.56,11.6,11.28,2468,11.28,2019-07-02T04:00:00Z,3066203,11.37
11.51,11.56,11.47,464,11.56,2019-07-03T04:00:00Z,314023,11.5
11.56,11.56,11.39,852,11.48,2019-07-05T04:00:00Z,450381,11.44
11.39,11.51,11.38,712,11.51,2019-07-08T04:00:00Z,299272,11.41
11.43,11.51,11.35,781,11.4,2019-07-09T04:00:00Z,268854,11.4
11.35,11.46,11.35,1344,11.46,2019-07-10T04:00:00Z,368134,11.36
11.35,11.43,11.3,674,11.4,2019-07-11T04:00:00Z,293014,11.33
11.33,11.35,11.3,346,11.35,2019-07-12T04:00:00Z,229996,11.32
11.18,11.32,11.18,780,11.3,2019-07-15T04:00:00Z,255452,11.25
11.16,11.23,11.1,848,11.22,2019-07-16T04:00:00Z,311365,11.17
11.12,11.14,11.05,534,11.13,2019-07-17T04:00:00Z,219190,11.11
11.1,11.13,11.06,319,11.09,2019-07-18T04:00:00Z,160707,11.09
11.09,11.2,11.08,232,11.13,2019-07-19T04:00:00Z,103952,11.13
11.01,11.12,10.97,374,11.12,2019-07-22T04:00:00Z,205173,11.03
11.06,11.09,11.01,504,11.01,2019-07-23T04:00:00Z,80878,11.05
11.02,11.06,11.01,109,11.06,2019-07-24T04:00:00Z,36005,11.03
11.01,11.05,11.01,108,11.02,2019-07-25T04:00:00Z,47571,11.02
11.01,11.02,11.0,146,11.01,2019-07-26T04:00:00Z,62396,11.01
11.02,11.05,11.01,514,11.03,2019-07-29T04:00:00Z,55862,11.01
11.09,11.13,11.01,208,11.02,2019-07-30T04:00:00Z,90016,11.06
11.18,11.22,11.11,586,11.12,2019-07-31T04:00:00Z,55948,11.18
11.2,11.3,11.14,591,11.19,2019-08-01T04:00:00Z,39854,11.22
11.25,11.3,11.06,265,11.17,2019-08-02T04:00:00Z,47140,11.22
11.27,11.28,11.11,857,11.28,2019-08-05T04:00:00Z,77704,11.23
11.29,11.29,11.2,398,11.26,2019-08-06T04:00:00Z,63220,11.26
