c,h,l,n,o,t,v,vw
12.1,13.24,12.0,13331,13.0,2018-05-04T04:00:00Z,4670758,12.538664
12.05,12.25,12.04,1851,12.1,2018-05-07T04:00:00Z,540750,12.074328
12.05,12.21,12.0,982,12.18,2018-05-08T04:00:00Z,302648,12.052198
12.02,12.18,12.0,674,12.04,2018-05-09T04:00:00Z,171903,12.024429
12.0,12.15,12.0,586,12.01,2018-05-10T04:00:00Z,111024,12.029113
12.03,12.06,12.0,787,12.05,2018-05-11T04:00:00Z,158853,12.022137
12.14,12.15,12.0,272,12.07,2018-05-14T04:00:00Z,87574,12.08701
12.16,12.25,12.15,238,12.15,2018-05-15T04:00:00Z,78290,12.199823
12.04,12.25,12.04,239,12.2,2018-05-16T04:00:00Z,45886,12.177077
12.11,12.41,12.1,390,12.1,2018-05-17T04:00:00Z,69923,12.198364
12.38,12.5,12.13,582,12.2,2018-05-18T04:00:00Z,144213,12.361345
12.39,12.49,12.27,344,12.38,2018-05-21T04:00:00Z,101127,12.396546
12.25,12.4302,12.07,1164,12.33,2018-05-22T04:00:00Z,67878,12.226736
12.24,12.55,12.13,474,12.16,2018-05-23T04:00:00Z,111601,12.22826
12.2,12.4097,12.07,207,12.25,2018-05-24T04:00:00Z,41190,12.155237
12.26,12.47,12.111,314,12.47,2018-05-25T04:00:00Z,61723,12.314035
12.03,12.35,10.86,1825,12.11,2018-05-29T04:00:00Z,440659,12.018259
12.12,12.4874,12.1,676,12.15,2018-05-30T04:00:00Z,131171,12.299266
12.15,12.3977,12.0,1119,12.2,2018-05-31T04:00:00Z,241335,12.221609
12.69,12.8,12.0,889,12.18,2018-06-01T04:00:00Z,180052,12.318725
12.49,12.889,12.4,1788,12.75,2018-06-04T04:00:00Z,285069,12.619678
12.29,12.76,12.2,1782,12.73,2018-06-05T04:00:00Z,231490,12.35365
12.29,12.5,12.19,753,12.29,2018-06-06T04:00:00Z,100272,12.278499
12.1,12.38,12.07,676,12.38,2018-06-07T04:00:00Z,123147,12.209053
12.14,12.33,12.0,1268,12.06,2018-06-08T04:00:00Z,174101,12.091084
12.77,12.84,12.02,2036,12.1,2018-06-11T04:00:00Z,286961,12.514947
12.7,12.889,12.552,1338,12.81,2018-06-12T04:00:00Z,172712,12.751671
13.67,13.8429,12.5455,2605,12.69,2018-06-13T04:00:00Z,599760,13.213248
13.95,14.06,13.29,2461,13.67,2018-06-14T04:00:00Z,624838,13.844662
13.27,13.99,13.13,1157,13.96,2018-06-15T04:00:00Z,671569,13.333736
13.87,14.0,13.1,1069,13.12,2018-06-18T04:00:00Z,241676,13.658461
13.84,13.9,13.3111,886,13.8,2018-06-19T04:00:00Z,210473,13.78259
13.26,13.8,13.17,463,13.8,2018-06-20T04:00:00Z,65674,13.391499
