c,h,l,n,o,t,v,vw
12.63,12.83,12.57,7173,12.79,2016-01-04T05:00:00Z,924388,12.65
12.92,12.98,12.65,4379,12.66,2016-01-05T05:00:00Z,490796,12.86
13.0,13.01,12.76,3551,12.79,2016-01-06T05:00:00Z,410376,12.95
12.69,12.87,12.69,3130,12.75,2016-01-07T05:00:00Z,369725,12.75
12.54,12.77,12.51,4697,12.74,2016-01-08T05:00:00Z,552129,12.62
12.84,12.91,12.54,5647,12.61,2016-01-11T05:00:00Z,757787,12.81
12.82,12.92,12.72,4974,12.92,2016-01-12T05:00:00Z,750789,12.8
12.68,12.96,12.62,5094,12.84,2016-01-13T05:00:00Z,611301,12.75
12.69,12.82,12.56,4316,12.72,2016-01-14T05:00:00Z,579429,12.72
12.75,12.76,12.42,5483,12.42,2016-01-15T05:00:00Z,836296,12.65
12.74,12.97,12.64,6785,12.9,2016-01-19T05:00:00Z,979723,12.75
12.61,13.11,12.22,5817,12.63,2016-01-20T05:00:00Z,659689,12.5
12.72,12.87,12.55,4443,12.73,2016-01-21T05:00:00Z,572410,12.73
13.05,13.06,12.77,4264,12.85,2016-01-22T05:00:00Z,568941,12.98
12.91,13.16,12.83,2706,13.01,2016-01-25T05:00:00Z,386735,12.95
13.17,13.17,12.92,4136,12.95,2016-01-26T05:00:00Z,537561,13.12
12.99,13.17,12.92,3302,13.17,2016-01-27T05:00:00Z,323120,13.0
12.95,13.18,12.88,3003,13.07,2016-01-28T05:00:00Z,377704,13.0
13.36,13.36,12.99,6362,13.02,2016-01-29T05:00:00Z,1144920,13.29
13.52,13.57,13.02,5821,13.26,2016-02-01T05:00:00Z,671597,13.47
13.45,13.56,13.26,4011,13.49,2016-02-02T05:00:00Z,527356,13.43
13.52,13.6,13.37,3042,13.52,2016-02-03T05:00:00Z,364469,13.51
13.49,13.57,13.34,2478,13.49,2016-02-04T05:00:00Z,270566,13.48
13.34,13.5,13.34,2916,13.48,2016-02-05T05:00:00Z,520766,13.39
13.19,13.33,12.92,6182,13.3,2016-02-08T05:00:00Z,668941,13.1
13.16,13.3,12.99,6219,13.05,2016-02-09T05:00:00Z,648471,13.13
13.09,13.37,13.08,4289,13.18,2016-02-10T05:00:00Z,491728,13.21
13.02,13.13,12.85,3620,12.93,2016-02-11T05:00:00Z,526208,13.0
13.08,13.21,13.01,4877,13.07,2016-02-12T05:00:00Z,561443,13.07
13.16,13.22,13.05,4483,13.17,2016-02-16T05:00:00Z,568454,13.16
13.1,13.37,13.1,6849,13.21,2016-02-17T05:00:00Z,756745,13.19
13.29,13.31,13.06,6198,13.09,2016-02-18T05:00:00Z,661094,13.25
13.35,13.45,13.25,3853,13.28,2016-02-19T05:00:00Z,493069,13.37
13.39,13.59,13.14,3234,13.51,2016-02-22T05:00:00Z,393676,13.45
13.38,13.54,13.33,3632,13.39,2016-02-23T05:00:00Z,465459,13.39
13.37,13.44,13.05,5738,13.44,2016-02-24T05:00:00Z,1164954,13.24
13.85,13.99,13.49,6170,13.51,2016-02-25T05:00:00Z,829826,13.82
13.48,13.96,13.47,3725,13.93,2016-02-26T05:00:00Z,475605,13.61
13.29,13.57,13.21,5132,13.47,2016-02-29T05:00:00Z,833023,13.32
13.75,13.76,13.34,3588,13.36,2016-03-01T05:00:00Z,408667,13.67
13.91,13.93,13.7,4653,13.79,2016-03-02T05:00:00Z,520703,13.87
13.7,13.94,13.63,3111,13.87,2016-03-03T05:00:00Z,404526,13.71
13.68,13.8,13.62,3373,13.71,2016-03-04T05:00:00Z,456297,13.67
13.8,13.81,13.59,2778,13.68,2016-03-07T05:00:00Z,375248,13.74
13.67,13.88,13.64,3874,13.78,2016-03-08T05:00:00Z,599227,13.71
13.78,13.89,13.5,2903,13.7,2016-03-09T05:00:00Z,391961,13.78
13.7,13.92,13.55,2310,13.86,2016-03-10T05:00:00Z,272485,13.68
13.91,13.91,13.72,2369,13.73,2016-03-11T05:00:00Z,324314,13.84
13.83,13.99,13.77,3121,13.91,2016-03-14T04:00:00Z,405568,13.83
13.87,14.02,13.49,3170,13.79,2016-03-15T04:00:00Z,437201,13.89
14.01,14.07,13.77,2910,13.81,2016-03-16T04:00:00Z,360323,13.94
14.16,14.2,13.9,4052,13.93,2016-03-17T04:00:00Z,456766,14.12
13.91,14.24,13.9,4182,14.24,2016-03-18T04:00:00Z,958163,14.05
13.81,13.98,13.78,3611,13.98,2016-03-21T04:00:00Z,394415,13.84
13.92,13.93,13.75,3784,13.75,2016-03-22T04:00:00Z,488020,13.87
13.85,13.98,13.78,4322,13.86,2016-03-23T04:00:00Z,571606,13.88
13.92,13.99,13.8,4371,13.81,2016-03-24T04:00:00Z,590000,13.9
14.1,14.13,13.89,3184,13.89,2016-03-28T04:00:00Z,311196,14.05
14.56,14.56,14.1,4998,14.1,2016-03-29T04:00:00Z,752463,14.45
14.67,14.76,14.54,6512,14.59,2016-03-30T04:00:00Z,815089,14.68
14.68,14.7,14.56,4381,14.62,2016-03-31T04:00:00Z,558461,14.66
14.68,14.78,14.62,5868,14.75,2016-04-01T04:00:00Z,811939,14.71
14.7,14.74,14.59,3927,14.69,2016-04-04T04:00:00Z,497137,14.69
14.44,14.72,14.36,4695,14.64,2016-04-05T04:00:00Z,695787,14.46
14.32,14.49,14.29,6053,14.41,2016-04-06T04:00:00Z,726553,14.33
14.28,14.37,13.94,4466,14.19,2016-04-07T04:00:00Z,572742,14.28
14.41,14.45,14.28,3994,14.35,2016-04-08T04:00:00Z,477748,14.38
14.38,14.46,14.36,3775,14.43,2016-04-11T04:00:00Z,445507,14.4
14.36,14.43,14.3,4970,14.36,2016-04-12T04:00:00Z,539335,14.37
14.3,14.41,14.18,5228,14.41,2016-04-13T04:00:00Z,665952,14.26
14.19,14.29,14.16,3600,14.29,2016-04-14T04:00:00Z,437539,14.2
14.32,14.35,14.16,2602,14.17,2016-04-15T04:00:00Z,314819,14.29
14.32,14.35,14.24,2494,14.32,2016-04-18T04:00:00Z,278900,14.3
14.31,14.36,14.27,2189,14.34,2016-04-19T04:00:00Z,253896,14.31
14.09,14.32,14.08,3507,14.29,2016-04-20T04:00:00Z,410948,14.13
13.81,14.06,13.74,5277,14.05,2016-04-21T04:00:00Z,666880,13.87
13.92,14.02,13.72,3107,13.8,2016-04-22T04:00:00Z,530537,13.91
14.16,14.16,13.83,4104,13.83,2016-04-25T04:00:00Z,650861,14.06
14.27,14.33,14.16,3461,14.21,2016-04-26T04:00:00Z,460571,14.25
14.3,14.31,14.07,2974,14.25,2016-04-27T04:00:00Z,320699,14.23
14.51,14.59,14.25,4324,14.25,2016-04-28T04:00:00Z,678436,14.48
14.35,14.59,14.18,5662,14.51,2016-04-29T04:00:00Z,763606,14.3
14.7,14.71,14.34,5621,14.34,2016-05-02T04:00:00Z,760577,14.62
14.63,14.67,14.48,2828,14.66,2016-05-03T04:00:00Z,317350,14.6
14.84,14.9,14.56,4393,14.59,2016-05-04T04:00:00Z,556776,14.8
14.86,14.89,14.72,3936,14.82,2016-05-05T04:00:00Z,414868,14.85
15.1,15.1,14.75,4585,14.8,2016-05-06T04:00:00Z,685371,15.02
15.27,15.4,15.04,6182,15.1,2016-05-09T04:00:00Z,906440,15.29
15.24,15.37,15.18,2867,15.37,2016-05-10T04:00:00Z,313829,15.26
14.93,15.22,14.83,3828,15.22,2016-05-11T04:00:00Z,459055,14.96
15.07,15.11,14.86,4724,14.93,2016-05-12T04:00:00Z,588066,15.03
15.06,15.13,14.83,5279,15.06,2016-05-13T04:00:00Z,632873,15.05
15.13,15.25,15.02,3016,15.03,2016-05-16T04:00:00Z,362746,15.15
14.71,15.08,14.59,6698,15.08,2016-05-17T04:00:00Z,917851,14.73
