c,h,l,n,o,t,v,vw
10.4,10.5,10.2156,16,10.5,2020-12-08T05:00:00Z,1839,10.43712
9.96,10.01,9.96,16,10.01,2020-12-09T05:00:00Z,1342,10.072832
9.9,10.1,9.7499,86,10.1,2020-12-10T05:00:00Z,40218,9.818555
9.919,9.92,9.85,43,9.879,2020-12-11T05:00:00Z,24852,9.860345
10.0,10.0612,9.86,60,10.0,2020-12-14T05:00:00Z,35359,9.993101
10.025,10.0757,9.9,52,10.0,2020-12-15T05:00:00Z,129174,10.00942
10.0,10.1,9.9,284,9.92,2020-12-16T05:00:00Z,265866,10.008003
10.0,10.02,10.0,448,10.01,2020-12-17T05:00:00Z,238905,10.002768
10.0,10.09,10.0,16,10.09,2020-12-18T05:00:00Z,3765,10.034977
10.0,10.11,9.99,347,9.99,2020-12-21T05:00:00Z,81356,10.013787
10.05,10.055,10.0,319,10.05,2020-12-22T05:00:00Z,69778,10.044345
10.05,10.12,10.0,58,10.1,2020-12-23T05:00:00Z,17242,10.044228
10.1,10.28,10.0,94,10.1,2020-12-24T05:00:00Z,41233,10.073455
10.2,10.4,10.05,310,10.38,2020-12-28T05:00:00Z,122952,10.233374
10.25,10.25,10.09,197,10.2,2020-12-29T05:00:00Z,64937,10.155648
10.14,10.425,10.13,1242,10.13,2020-12-30T05:00:00Z,268383,10.287037
10.17,10.3,10.14,259,10.2,2020-12-31T05:00:00Z,80309,10.248738
10.17,10.28,10.1,146,10.1801,2021-01-04T05:00:00Z,322760,10.196669
10.13,10.2701,10.0,172,10.17,2021-01-05T05:00:00Z,441830,10.1421
10.1,10.18,10.05,103,10.15,2021-01-06T05:00:00Z,41209,10.062381
10.05,10.11,10.01,827,10.11,2021-01-07T05:00:00Z,380452,10.049032
10.18,10.2,10.06,102,10.06,2021-01-08T05:00:00Z,127581,10.11113
10.27,10.29,10.04,67,10.205,2021-01-11T05:00:00Z,35141,10.210338
10.28,10.295,10.15,556,10.2102,2021-01-12T05:00:00Z,188546,10.272384
10.47,10.72,10.3,743,10.32,2021-01-13T05:00:00Z,635614,10.464417
10.28,10.5,10.2,1293,10.5,2021-01-14T05:00:00Z,420683,10.3419
10.245,10.34,10.2,430,10.3,2021-01-15T05:00:00Z,215731,10.234205
10.32,10.34,10.25,1256,10.3,2021-01-19T05:00:00Z,465076,10.296535
10.34,10.44,10.29,453,10.33,2021-01-20T05:00:00Z,256698,10.360897
10.36,10.47,10.315,696,10.44,2021-01-21T05:00:00Z,138764,10.367034
10.4,10.4,10.22,794,10.37,2021-01-22T05:00:00Z,181976,10.319556
10.44,10.87,10.4,2011,10.55,2021-01-25T05:00:00Z,508784,10.534163
10.34,10.4699,10.27,693,10.4,2021-01-26T05:00:00Z,104433,10.356114
10.23,10.3194,10.15,936,10.29,2021-01-27T05:00:00Z,328282,10.202599
10.34,10.47,10.2,266,10.27,2021-01-28T05:00:00Z,52471,10.259886
10.32,10.46,10.24,267,10.33,2021-01-29T05:00:00Z,76114,10.307926
10.32,10.4999,10.28,239,10.35,2021-02-01T05:00:00Z,72129,10.341256
10.4,10.4,10.32,205,10.4,2021-02-02T05:00:00Z,60259,10.362864
10.4,10.58,10.36,271,10.43,2021-02-03T05:00:00Z,54629,10.413737
10.35,10.52,10.27,663,10.52,2021-02-04T05:00:00Z,79714,10.333065
10.32,10.4899,10.25,974,10.46,2021-02-05T05:00:00Z,177341,10.327881
10.3,10.386,10.22,1276,10.3,2021-02-08T05:00:00Z,128547,10.300731
10.38,10.39,10.3,371,10.35,2021-02-09T05:00:00Z,42399,10.324888
10.35,10.49,10.21,1298,10.46,2021-02-10T05:00:00Z,167130,10.333093
10.45,10.5,10.36,464,10.43,2021-02-11T05:00:00Z,193858,10.460165
10.44,10.46,10.37,260,10.38,2021-02-12T05:00:00Z,140947,10.440303
10.39,10.4999,10.34,619,10.46,2021-02-16T05:00:00Z,189501,10.412778
10.39,10.5,10.36,917,10.48,2021-02-17T05:00:00Z,206334,10.430497
10.44,10.4999,10.36,601,10.36,2021-02-18T05:00:00Z,127828,10.435849
10.59,10.73,10.41,1879,10.5,2021-02-19T05:00:00Z,876508,10.547566
10.5,10.7,10.4401,1542,10.7,2021-02-22T05:00:00Z,443437,10.497403
