c,h,l,n,o,t,v,vw
40.72,42.34,38.43,111230,40.26,2020-06-16T04:00:00Z,34197908,40.55
44.48,47.54,41.18,72540,42.0,2020-06-17T04:00:00Z,9529677,44.78
46.57,51.7,45.28,81909,51.6,2020-06-18T04:00:00Z,11358560,48.54
44.84,48.46,42.6,48192,48.44,2020-06-19T04:00:00Z,5707470,45.06
46.93,47.11,45.07,17433,45.6,2020-06-22T04:00:00Z,2389848,46.12
46.62,49.81,46.55,16570,48.5,2020-06-23T04:00:00Z,2461920,48.08
45.98,47.11,43.63,16395,46.99,2020-06-24T04:00:00Z,7259826,45.85
47.68,48.04,44.68,15073,45.01,2020-06-25T04:00:00Z,2073412,46.12
45.38,47.8,44.56,10481,47.58,2020-06-26T04:00:00Z,1580437,46.09
44.59,45.8,43.93,10510,45.64,2020-06-29T04:00:00Z,1868896,44.53
44.42,45.17,44.09,7559,44.1,2020-06-30T04:00:00Z,1267536,44.47
42.52,44.54,42.23,17972,44.42,2020-07-01T04:00:00Z,2185952,43.07
41.84,43.51,41.73,12485,42.95,2020-07-02T04:00:00Z,1270755,42.18
42.19,42.96,41.71,11077,42.7,2020-07-06T04:00:00Z,1469151,42.11
43.05,43.35,41.65,8803,41.7,2020-07-07T04:00:00Z,1221342,42.6
43.94,44.73,43.01,7540,43.01,2020-07-08T04:00:00Z,1073704,44.06
44.25,44.38,43.56,5915,43.94,2020-07-09T04:00:00Z,904254,44.02
43.59,44.49,43.44,5028,44.46,2020-07-10T04:00:00Z,733916,43.91
40.32,43.56,40.04,18534,43.2,2020-07-13T04:00:00Z,2168445,41.63
39.82,41.17,38.0,17148,40.26,2020-07-14T04:00:00Z,2703739,39.67
39.35,40.74,38.07,11882,40.1,2020-07-15T04:00:00Z,1367813,39.12
38.61,40.15,38.39,9754,39.66,2020-07-16T04:00:00Z,1144739,39.12
40.44,40.65,37.71,13217,39.16,2020-07-17T04:00:00Z,1831696,39.02
41.97,42.36,40.29,7603,40.65,2020-07-20T04:00:00Z,1218837,41.67
39.41,42.67,38.98,10817,42.65,2020-07-21T04:00:00Z,1623604,40.77
39.41,40.04,38.43,5594,39.6,2020-07-22T04:00:00Z,645831,39.34
39.25,40.49,38.98,8453,38.99,2020-07-23T04:00:00Z,1080732,39.64
38.35,38.8,36.51,15404,38.72,2020-07-24T04:00:00Z,1774815,37.68
39.55,39.6,37.2,4853,37.91,2020-07-27T04:00:00Z,560864,38.53
38.37,39.16,38.28,3303,38.73,2020-07-28T04:00:00Z,343329,38.51
39.39,39.47,38.52,4586,38.53,2020-07-29T04:00:00Z,678790,39.21
39.14,39.41,38.34,5176,38.67,2020-07-30T04:00:00Z,775740,38.98
39.39,39.79,38.57,6387,39.22,2020-07-31T04:00:00Z,906971,39.08
40.37,40.67,38.9,5102,39.29,2020-08-03T04:00:00Z,629717,40.1
39.53,41.48,38.82,7618,40.23,2020-08-04T04:00:00Z,1678356,40.25
38.37,40.2,38.17,6807,39.63,2020-08-05T04:00:00Z,821128,38.7
40.17,40.26,39.14,6706,39.35,2020-08-06T04:00:00Z,882942,39.83
40.04,41.41,39.47,9993,40.17,2020-08-07T04:00:00Z,1562541,40.31
41.87,42.04,40.1,8174,40.13,2020-08-10T04:00:00Z,868594,41.43
41.88,42.69,40.86,10661,42.07,2020-08-11T04:00:00Z,1106004,41.85
41.17,43.14,40.35,14588,42.3,2020-08-12T04:00:00Z,1746606,41.52
41.62,42.46,41.09,7983,41.17,2020-08-13T04:00:00Z,833982,41.88
41.55,42.06,41.18,5040,41.28,2020-08-14T04:00:00Z,626824,41.6
42.05,42.15,41.58,3974,41.73,2020-08-17T04:00:00Z,374414,41.94
40.83,42.37,40.07,8279,42.3,2020-08-18T04:00:00Z,761790,41.05
40.17,41.49,40.05,6512,40.85,2020-08-19T04:00:00Z,648445,40.73
39.58,40.61,39.48,6026,40.26,2020-08-20T04:00:00Z,614218,39.99
38.4,39.79,37.98,10056,39.35,2020-08-21T04:00:00Z,954859,38.6
39.1,39.27,38.25,9997,38.86,2020-08-24T04:00:00Z,798691,38.76
38.23,39.1,37.68,10162,38.98,2020-08-25T04:00:00Z,869747,38.22
38.38,38.71,38.02,5743,38.2,2020-08-26T04:00:00Z,658971,38.38
37.52,38.58,37.51,7492,38.54,2020-08-27T04:00:00Z,646548,38.01
38.5,38.84,37.61,6676,37.63,2020-08-28T04:00:00Z,894706,38.33
37.86,39.33,37.7,8872,38.66,2020-08-31T04:00:00Z,985728,38.43
38.07,38.48,37.52,9178,38.16,2020-09-01T04:00:00Z,820751,37.97
38.2,38.39,37.74,5907,38.2,2020-09-02T04:00:00Z,495048,38.15
37.28,38.4,36.97,9069,38.25,2020-09-03T04:00:00Z,844658,37.41
36.4,37.06,35.6,11095,36.93,2020-09-04T04:00:00Z,1122219,36.5
35.72,36.44,35.41,8606,36.42,2020-09-08T04:00:00Z,809549,35.94
35.54,37.05,35.5,7967,35.97,2020-09-09T04:00:00Z,642413,36.17
36.09,36.68,35.62,7158,35.62,2020-09-10T04:00:00Z,911844,36.22
35.28,36.59,35.27,7067,36.2,2020-09-11T04:00:00Z,580733,35.86
36.57,37.19,35.65,8814,35.91,2020-09-14T04:00:00Z,1243353,36.55
37.39,37.86,36.88,8441,36.88,2020-09-15T04:00:00Z,976627,37.38
37.3,37.48,36.5,7796,37.25,2020-09-16T04:00:00Z,814148,36.91
37.91,37.92,36.48,8203,36.56,2020-09-17T04:00:00Z,1282745,37.32
38.56,39.67,37.78,13332,37.91,2020-09-18T04:00:00Z,9485117,38.56
37.28,38.57,37.25,9837,38.25,2020-09-21T04:00:00Z,1232738,37.65
38.32,38.41,36.89,7350,37.2,2020-09-22T04:00:00Z,710986,37.99
38.37,39.01,38.03,7477,38.42,2020-09-23T04:00:00Z,837892,38.38
36.95,38.18,35.74,20388,38.14,2020-09-24T04:00:00Z,2820842,36.68
36.8,37.84,36.65,8238,36.73,2020-09-25T04:00:00Z,911490,37.15
37.85,37.89,36.9,5297,36.9,2020-09-28T04:00:00Z,411294,37.58
38.59,38.75,37.39,7210,37.93,2020-09-29T04:00:00Z,738880,38.39
38.64,39.93,38.17,7550,38.39,2020-09-30T04:00:00Z,809042,39.04
39.12,39.49,38.59,7427,39.06,2020-10-01T04:00:00Z,827908,38.97
39.01,39.31,38.15,8421,38.22,2020-10-02T04:00:00Z,904680,38.91
39.86,40.29,38.86,10688,38.86,2020-10-05T04:00:00Z,2577395,39.79
40.23,40.57,39.6,9440,39.68,2020-10-06T04:00:00Z,1158100,40.16
40.95,40.98,40.23,7998,40.32,2020-10-07T04:00:00Z,1106214,40.64
40.5,41.25,40.17,10100,40.87,2020-10-08T04:00:00Z,892098,40.58
40.49,40.96,40.36,7505,40.96,2020-10-09T04:00:00Z,550035,40.57
40.79,41.0,40.35,7292,40.5,2020-10-12T04:00:00Z,442210,40.69
41.16,41.3,40.42,6844,40.53,2020-10-13T04:00:00Z,589054,41.02
39.3,40.7,39.0,12927,39.38,2020-10-14T04:00:00Z,1458938,39.56
39.02,39.68,37.91,15999,38.74,2020-10-15T04:00:00Z,2215171,38.97
38.4,40.86,38.12,43072,40.64,2020-10-16T04:00:00Z,7603443,39.25
36.99,39.26,36.84,21232,38.94,2020-10-19T04:00:00Z,3645929,37.67
36.82,38.11,36.78,12402,37.58,2020-10-20T04:00:00Z,2916166,37.12
35.82,36.9,34.99,26630,36.73,2020-10-21T04:00:00Z,4704370,35.83
36.01,36.17,35.09,11645,35.97,2020-10-22T04:00:00Z,1614734,35.8
35.83,36.83,35.64,8465,36.27,2020-10-23T04:00:00Z,942821,35.93
35.61,36.16,35.01,12613,35.82,2020-10-26T04:00:00Z,2121651,35.62
34.78,35.97,34.58,12347,35.64,2020-10-27T04:00:00Z,1202980,34.95
33.18,34.42,32.62,19173,34.42,2020-10-28T04:00:00Z,1851794,33.35
33.38,33.84,31.96,14237,33.22,2020-10-29T04:00:00Z,1614173,32.91
33.71,33.77,32.31,11561,33.22,2020-10-30T04:00:00Z,1222716,33.12
34.52,35.55,34.03,14331,35.4,2020-11-02T05:00:00Z,1287108,34.64
35.01,35.22,34.31,11446,34.98,2020-11-03T05:00:00Z,1403040,34.72
37.0,38.47,35.61,18721,35.79,2020-11-04T05:00:00Z,3170639,37.37
36.86,38.31,36.54,12432,38.22,2020-11-05T05:00:00Z,1469269,36.98
36.96,37.82,36.65,12156,36.69,2020-11-06T05:00:00Z,1367996,37.27
37.63,39.37,37.11,19208,39.37,2020-11-09T05:00:00Z,2138570,37.63
37.29,38.08,36.22,11940,37.73,2020-11-10T05:00:00Z,1321049,37.1
37.02,39.85,36.39,34037,38.39,2020-11-11T05:00:00Z,5530604,37.82
37.34,38.0,35.44,18762,36.83,2020-11-12T05:00:00Z,2762873,36.84
38.69,38.77,37.26,11195,37.49,2020-11-13T05:00:00Z,1356379,38.39
38.42,38.92,37.85,9040,38.81,2020-11-16T05:00:00Z,1005159,38.52
38.75,38.94,37.89,8982,38.04,2020-11-17T05:00:00Z,845413,38.59
37.4,38.97,37.28,7288,38.12,2020-11-18T05:00:00Z,598658,37.99
38.24,38.71,37.07,10718,37.33,2020-11-19T05:00:00Z,1144575,38.25
37.21,38.56,36.92,13336,38.56,2020-11-20T05:00:00Z,1186651,37.4
37.06,38.0,36.78,13350,36.78,2020-11-23T05:00:00Z,1487799,37.21
36.48,37.45,36.24,12127,37.08,2020-11-24T05:00:00Z,1232345,36.67
37.77,38.11,36.37,15217,36.57,2020-11-25T05:00:00Z,1420379,37.64
38.35,38.98,37.78,13372,37.95,2020-11-27T05:00:00Z,1599699,38.42
39.27,39.44,37.48,24674,37.98,2020-11-30T05:00:00Z,12359043,39.15
39.43,39.48,37.99,15283,39.2,2020-12-01T05:00:00Z,1477996,38.88
38.51,39.65,37.93,14303,39.42,2020-12-02T05:00:00Z,1512886,38.54
38.98,39.37,38.56,8629,38.56,2020-12-03T05:00:00Z,1211620,38.93
39.61,39.73,38.98,8711,38.98,2020-12-04T05:00:00Z,1071936,39.5
39.41,40.02,38.98,9748,39.69,2020-12-07T05:00:00Z,1273262,39.45
40.61,41.48,39.35,15210,39.4,2020-12-08T05:00:00Z,1519654,40.59
41.2,41.32,40.04,10357,40.76,2020-12-09T05:00:00Z,1371176,40.86
41.67,42.78,40.61,13664,41.2,2020-12-10T05:00:00Z,1375943,41.63
39.09,42.67,38.73,21163,41.7,2020-12-11T05:00:00Z,2396028,40.01
39.75,40.26,39.06,17268,39.76,2020-12-14T05:00:00Z,2144211,39.66
40.42,41.16,39.0,17508,39.78,2020-12-15T05:00:00Z,3402610,40.14
40.01,40.68,39.79,13270,40.53,2020-12-16T05:00:00Z,1635993,40.11
40.72,41.48,39.64,24087,40.1,2020-12-17T05:00:00Z,12368588,40.42
40.93,41.45,40.34,28738,41.28,2020-12-18T05:00:00Z,20159758,40.92
42.39,42.52,40.0,21186,40.44,2020-12-21T05:00:00Z,3113482,41.56
44.54,45.77,41.67,31305,43.12,2020-12-22T05:00:00Z,4301927,44.21
44.81,44.98,43.51,14509,44.93,2020-12-23T05:00:00Z,1845845,44.48
45.08,46.11,44.45,10911,44.78,2020-12-24T05:00:00Z,1608922,45.58
45.39,45.69,44.25,19076,45.54,2020-12-28T05:00:00Z,2546071,45.21
