c,h,l,n,o,t,v,vw
16.0,19.6699,15.51,14614,17.5,2021-07-30T04:00:00Z,2966782,17.20381
17.32,18.47,16.23,6364,17.0,2021-08-02T04:00:00Z,566815,17.24811
16.35,17.68,16.33,1285,17.01,2021-08-03T04:00:00Z,119888,16.796661
14.3,17.49,13.92,4197,16.78,2021-08-04T04:00:00Z,651717,16.555989
13.41,15.29,13.1844,2074,14.13,2021-08-05T04:00:00Z,252892,13.982761
13.37,13.94,12.24,2561,13.85,2021-08-06T04:00:00Z,215701,13.356756
12.83,13.32,12.5,1284,13.32,2021-08-09T04:00:00Z,123124,12.923092
12.31,12.95,12.01,1659,12.95,2021-08-10T04:00:00Z,138146,12.424673
13.72,14.46,12.32,1466,12.32,2021-08-11T04:00:00Z,144031,13.661498
12.54,14.05,12.52,1133,13.75,2021-08-12T04:00:00Z,139182,13.268589
12.33,13.245,12.02,1883,13.08,2021-08-13T04:00:00Z,146405,12.637138
12.87,13.1699,12.34,676,12.77,2021-08-16T04:00:00Z,55760,12.719362
11.85,12.95,11.68,1389,12.95,2021-08-17T04:00:00Z,167904,12.264809
12.33,12.98,11.71,1046,11.99,2021-08-18T04:00:00Z,171496,12.237088
11.94,12.33,11.19,964,12.25,2021-08-19T04:00:00Z,80278,11.90455
12.02,12.46,11.75,822,12.38,2021-08-20T04:00:00Z,53959,12.044633
12.0,12.01,11.6,1078,11.89,2021-08-23T04:00:00Z,92021,11.912038
14.49,14.9488,12.2,2604,12.62,2021-08-24T04:00:00Z,324055,13.48078
12.53,14.945,12.5,2668,14.49,2021-08-25T04:00:00Z,242410,13.587777
13.73,14.25,12.9,2359,12.98,2021-08-26T04:00:00Z,198904,13.597371
15.69,16.39,13.14,2965,13.58,2021-08-27T04:00:00Z,364017,14.895718
15.46,16.14,14.2,1917,15.71,2021-08-30T04:00:00Z,167500,15.222567
15.38,15.8,14.81,1192,15.7,2021-08-31T04:00:00Z,107899,15.367858
15.77,15.95,14.802,802,15.13,2021-09-01T04:00:00Z,64097,15.543156
15.29,15.98,14.9,1333,15.98,2021-09-02T04:00:00Z,67437,15.347662
16.03,16.07,14.7,1580,15.53,2021-09-03T04:00:00Z,98916,15.35448
15.84,16.49,15.53,2672,15.91,2021-09-07T04:00:00Z,177623,16.084639
16.0,16.3,15.85,1681,15.85,2021-09-08T04:00:00Z,77395,16.041196
15.99,16.5,15.95,1509,15.95,2021-09-09T04:00:00Z,105415,16.296896
13.42,16.5,13.05,3680,16.5,2021-09-10T04:00:00Z,219092,14.193733
13.7,14.24,13.1,2497,13.73,2021-09-13T04:00:00Z,142824,13.737723
13.05,13.92,12.72,2023,13.69,2021-09-14T04:00:00Z,120274,13.207437
13.0,13.26,12.53,2156,12.92,2021-09-15T04:00:00Z,205838,12.933404
13.0,13.0,12.5,1932,13.0,2021-09-16T04:00:00Z,218268,12.912718
13.26,14.3,12.925,3460,12.98,2021-09-17T04:00:00Z,1385401,13.293771
12.51,13.31,12.05,1517,13.08,2021-09-20T04:00:00Z,226070,12.442391
12.5,13.08,12.05,1255,12.61,2021-09-21T04:00:00Z,163535,12.446808
12.84,13.17,12.31,758,12.59,2021-09-22T04:00:00Z,35813,12.718265
13.43,13.47,12.4365,617,12.86,2021-09-23T04:00:00Z,36610,13.19391
13.07,13.6524,13.0626,923,13.17,2021-09-24T04:00:00Z,60189,13.306967
