c,h,l,n,o,t,v,vw
83.62,83.79,82.7,2697,83.48,2016-01-04T05:00:00Z,259224,83.29
84.46,84.65,82.83,3690,83.41,2016-01-05T05:00:00Z,435904,83.99
84.63,85.36,83.61,2663,83.73,2016-01-06T05:00:00Z,289166,84.67
83.11,83.84,82.29,2614,83.6,2016-01-07T05:00:00Z,291239,83.03
84.26,85.43,84.15,4504,84.76,2016-01-08T05:00:00Z,504194,84.63
84.6,84.88,83.6,2299,84.1,2016-01-11T05:00:00Z,352808,84.19
85.94,86.24,84.32,3403,85.61,2016-01-12T05:00:00Z,320946,85.35
84.86,85.68,84.61,5254,85.68,2016-01-13T05:00:00Z,607801,84.96
84.39,84.83,81.53,4201,82.19,2016-01-14T05:00:00Z,464454,83.06
82.23,83.0,79.98,4119,80.9,2016-01-15T05:00:00Z,543658,81.9
83.87,84.53,82.74,3014,83.58,2016-01-19T05:00:00Z,462477,83.55
82.9,83.42,81.31,5951,82.33,2016-01-20T05:00:00Z,790337,82.43
81.86,82.56,81.19,5736,82.15,2016-01-21T05:00:00Z,600127,82.02
81.68,82.28,80.77,5291,81.54,2016-01-22T05:00:00Z,562082,81.62
79.45,81.31,79.38,6726,81.25,2016-01-25T05:00:00Z,671299,80.05
80.95,81.66,80.39,5069,80.75,2016-01-26T05:00:00Z,611319,80.99
78.76,80.25,78.54,5787,79.56,2016-01-27T05:00:00Z,568405,79.34
76.55,78.13,75.32,4408,77.88,2016-01-28T05:00:00Z,460280,76.71
77.4,77.6,76.37,10157,76.62,2016-01-29T05:00:00Z,1647292,76.92
80.5,81.82,79.47,8763,81.32,2016-02-01T05:00:00Z,1031901,80.68
79.38,81.33,79.21,4657,81.02,2016-02-02T05:00:00Z,522425,80.1
78.82,80.9,77.92,7766,80.61,2016-02-03T05:00:00Z,878660,79.4
77.96,78.81,77.53,3950,78.08,2016-02-04T05:00:00Z,433365,78.11
75.06,78.15,74.72,3334,77.97,2016-02-05T05:00:00Z,295050,75.85
73.29,74.56,72.31,5314,74.23,2016-02-08T05:00:00Z,578050,73.26
75.35,76.45,72.89,5251,73.32,2016-02-09T05:00:00Z,583971,75.21
78.53,79.32,77.41,3896,77.84,2016-02-10T05:00:00Z,462507,78.29
78.14,78.62,77.43,5572,77.58,2016-02-11T05:00:00Z,612594,78.09
77.4,77.7,75.82,6765,75.99,2016-02-12T05:00:00Z,853967,76.67
78.04,78.3,76.64,4457,77.33,2016-02-16T05:00:00Z,478362,77.57
81.69,81.71,79.29,5393,79.39,2016-02-17T05:00:00Z,543542,80.89
82.82,83.1,82.15,3823,82.49,2016-02-18T05:00:00Z,391503,82.62
83.66,83.84,81.72,4965,81.97,2016-02-19T05:00:00Z,501808,82.89
81.59,81.96,80.27,7943,80.6,2016-02-22T05:00:00Z,875474,81.25
81.69,82.37,80.41,6978,80.76,2016-02-23T05:00:00Z,712341,81.23
81.73,82.12,80.29,5338,80.66,2016-02-24T05:00:00Z,524056,81.1
82.38,82.57,81.24,4565,81.92,2016-02-25T05:00:00Z,413958,82.12
82.0,82.64,80.97,4293,82.11,2016-02-26T05:00:00Z,456394,81.73
82.16,82.93,81.85,3427,82.03,2016-02-29T05:00:00Z,358823,82.36
82.32,82.85,82.1,4033,82.55,2016-03-01T05:00:00Z,418756,82.37
82.82,82.9,81.56,5637,81.87,2016-03-02T05:00:00Z,541218,82.14
82.29,82.45,81.32,5659,81.72,2016-03-03T05:00:00Z,574644,81.94
84.06,84.57,82.42,4772,83.14,2016-03-04T05:00:00Z,500471,83.66
82.49,83.22,82.46,4202,83.22,2016-03-07T05:00:00Z,439394,82.76
80.44,81.7,80.24,4101,81.7,2016-03-08T05:00:00Z,415575,80.78
79.39,79.86,78.16,5259,79.57,2016-03-09T05:00:00Z,556994,79.03
80.71,81.04,79.57,3133,80.17,2016-03-10T05:00:00Z,325390,80.39
81.88,82.14,80.61,3118,80.61,2016-03-11T05:00:00Z,311931,81.62
81.26,82.29,80.95,2440,82.08,2016-03-14T04:00:00Z,247251,81.54
80.9,81.55,79.89,4080,80.25,2016-03-15T04:00:00Z,435140,80.75
82.25,82.42,80.67,3212,80.81,2016-03-16T04:00:00Z,324880,81.57
81.66,82.22,81.0,3652,81.92,2016-03-17T04:00:00Z,418528,81.78
