c,h,l,n,o,t,v,vw
65.91,65.97,64.17,223,64.17,2021-11-09T05:00:00Z,7929,65.83
67.82,68.59,65.78,571,67.0,2021-11-10T05:00:00Z,24665,67.12
67.59,67.69,66.63,300,67.19,2021-11-11T05:00:00Z,9310,67.28
67.2,67.92,66.87,260,67.39,2021-11-12T05:00:00Z,20030,67.29
67.3,67.84,66.51,285,67.71,2021-11-15T05:00:00Z,21232,67.21
66.64,68.69,66.47,533,68.69,2021-11-16T05:00:00Z,25421,67.23
67.71,67.99,66.77,190,66.77,2021-11-17T05:00:00Z,9206,67.67
69.21,69.7,67.26,407,67.52,2021-11-18T05:00:00Z,28142,69.09
69.73,69.85,68.44,359,69.02,2021-11-19T05:00:00Z,38855,69.22
72.27,73.11,69.51,905,69.55,2021-11-22T05:00:00Z,86365,71.53
74.37,76.5,72.45,6598,72.9,2021-11-23T05:00:00Z,375459,74.8
72.92,75.77,72.64,5391,75.15,2021-11-24T05:00:00Z,288062,74.17
72.98,73.73,71.27,5057,72.96,2021-11-26T05:00:00Z,211345,72.62
73.39,74.72,71.54,2861,71.87,2021-11-29T05:00:00Z,150024,73.3
74.11,75.45,71.87,6714,73.84,2021-11-30T05:00:00Z,159529,74.28
79.18,79.18,72.81,9294,72.87,2021-12-01T05:00:00Z,268431,76.92
78.94,80.95,76.99,10331,79.48,2021-12-02T05:00:00Z,352743,79.04
83.05,84.83,79.11,14779,79.37,2021-12-03T05:00:00Z,587110,83.35
81.75,87.38,81.68,9742,84.45,2021-12-06T05:00:00Z,338818,84.12
77.1,79.18,76.2,9395,79.18,2021-12-07T05:00:00Z,330256,77.31
74.82,78.68,74.27,6242,76.54,2021-12-08T05:00:00Z,179797,76.11
78.9,79.0,74.63,7833,75.3,2021-12-09T05:00:00Z,387518,77.55
79.84,80.59,76.37,9649,77.76,2021-12-10T05:00:00Z,401924,79.21
81.38,83.1,79.35,10666,80.57,2021-12-13T05:00:00Z,375352,81.52
82.26,83.98,80.72,7634,83.55,2021-12-14T05:00:00Z,313224,82.62
80.4,85.35,80.05,15045,82.52,2021-12-15T05:00:00Z,507781,82.7
83.57,84.49,78.96,8936,79.3,2021-12-16T05:00:00Z,448569,82.25
78.53,85.58,78.36,10814,84.71,2021-12-17T05:00:00Z,436264,80.75
80.59,81.73,79.2,4199,80.38,2021-12-20T05:00:00Z,186588,80.38
77.42,80.8,77.37,3663,79.18,2021-12-21T05:00:00Z,182495,78.46
77.72,78.77,76.3,1916,77.93,2021-12-22T05:00:00Z,70056,77.53
76.95,79.22,76.37,1916,77.4,2021-12-23T05:00:00Z,74428,77.45
78.21,78.36,76.84,1278,77.12,2021-12-27T05:00:00Z,52391,77.87
79.73,79.75,76.82,4225,78.45,2021-12-28T05:00:00Z,143990,78.92
80.5,81.6,79.43,4378,79.84,2021-12-29T05:00:00Z,166756,80.48
78.83,81.23,76.69,3968,81.23,2021-12-30T05:00:00Z,120448,78.24
79.6,79.84,77.16,1061,78.36,2021-12-31T05:00:00Z,78706,78.66
77.42,80.6,77.37,2902,78.3,2022-01-03T05:00:00Z,90450,78.77
80.7,82.78,77.22,8646,77.22,2022-01-04T05:00:00Z,226548,81.21
86.72,86.93,80.57,23939,81.62,2022-01-05T05:00:00Z,502947,84.74
87.32,90.23,85.05,25609,87.23,2022-01-06T05:00:00Z,625086,87.52
88.28,88.91,84.02,7423,87.34,2022-01-07T05:00:00Z,303516,87.48
88.18,92.79,87.88,17927,90.04,2022-01-10T05:00:00Z,603109,91.14
85.63,89.36,84.92,12162,88.71,2022-01-11T05:00:00Z,285374,86.59
88.03,88.28,82.95,7518,84.23,2022-01-12T05:00:00Z,311044,86.26
92.68,92.79,87.08,21625,87.08,2022-01-13T05:00:00Z,594989,90.78
92.27,95.57,90.9,29464,93.34,2022-01-14T05:00:00Z,675725,93.42
96.09,96.21,91.76,19821,94.31,2022-01-18T05:00:00Z,619680,94.68
97.57,97.69,92.74,15554,95.36,2022-01-19T05:00:00Z,582788,95.63
97.42,97.74,90.81,17927,95.63,2022-01-20T05:00:00Z,707999,94.18
102.56,102.69,96.63,24820,99.0,2022-01-21T05:00:00Z,971495,100.27
100.09,112.16,99.69,58123,107.1,2022-01-24T05:00:00Z,2487772,107.67
103.37,105.84,98.77,30617,102.71,2022-01-25T05:00:00Z,1246840,102.8
106.05,106.85,97.52,24686,99.75,2022-01-26T05:00:00Z,982856,101.53
110.04,110.7,103.42,20903,103.42,2022-01-27T05:00:00Z,882923,107.51
105.8,113.7,104.83,38551,110.68,2022-01-28T05:00:00Z,1582710,108.95
95.91,104.25,95.76,26172,104.06,2022-01-31T05:00:00Z,1153704,98.69
93.75,98.59,93.24,20110,93.88,2022-02-01T05:00:00Z,1046153,95.2
98.55,100.03,92.87,37867,93.11,2022-02-02T05:00:00Z,1318162,97.6
104.04,104.26,99.94,40115,102.62,2022-02-03T05:00:00Z,1342684,102.14
98.51,105.26,97.01,24886,103.01,2022-02-04T05:00:00Z,1176601,100.26
98.72,99.66,94.33,17537,98.29,2022-02-07T05:00:00Z,724836,97.33
98.68,101.42,98.19,11756,99.6,2022-02-08T05:00:00Z,721914,99.44
93.58,97.16,93.58,18852,96.92,2022-02-09T05:00:00Z,988795,94.7
96.36,97.42,90.99,28613,95.97,2022-02-10T05:00:00Z,1742681,94.36
98.96,100.31,93.34,19442,96.0,2022-02-11T05:00:00Z,1171056,96.96
99.67,100.78,95.85,19810,99.15,2022-02-14T05:00:00Z,858428,98.65
94.31,98.46,94.07,16292,97.05,2022-02-15T05:00:00Z,890488,96.13
97.14,98.7,95.96,14636,95.96,2022-02-16T05:00:00Z,682972,97.35
103.61,104.08,98.49,22017,98.92,2022-02-17T05:00:00Z,1112988,101.97
108.43,109.83,104.21,37012,105.17,2022-02-18T05:00:00Z,1703505,107.8
110.79,111.97,106.03,30489,110.76,2022-02-22T05:00:00Z,1378201,109.73
114.99,115.2,108.35,24331,109.29,2022-02-23T05:00:00Z,1011677,112.85
106.2,121.47,105.62,45971,121.47,2022-02-24T05:00:00Z,1916263,112.25
102.88,108.92,102.82,17489,104.78,2022-02-25T05:00:00Z,961972,105.29
98.51,103.27,97.22,19972,102.45,2022-02-28T05:00:00Z,915246,99.76
101.72,102.64,97.46,23520,98.85,2022-03-01T05:00:00Z,1079458,100.51
102.6,106.35,101.36,15839,101.36,2022-03-02T05:00:00Z,709969,103.63
109.23,110.08,102.0,16082,102.24,2022-03-03T05:00:00Z,769281,107.68
114.58,115.31,107.36,17177,109.57,2022-03-04T05:00:00Z,716182,112.44
118.42,118.7,110.77,16847,113.4,2022-03-07T05:00:00Z,784942,115.75
117.24,122.28,112.2,19948,118.81,2022-03-08T05:00:00Z,830838,117.02
111.39,113.83,109.63,14172,113.43,2022-03-09T05:00:00Z,654338,111.49
115.05,117.69,113.25,15200,113.25,2022-03-10T05:00:00Z,596149,115.77
122.71,123.22,113.51,16003,113.51,2022-03-11T05:00:00Z,694987,119.24
129.91,130.53,121.81,32160,124.04,2022-03-14T04:00:00Z,1053134,127.09
124.68,131.0,123.91,24472,128.6,2022-03-15T04:00:00Z,847723,126.88
112.03,121.46,112.02,41286,121.12,2022-03-16T04:00:00Z,1912819,116.05
106.44,114.54,106.3,29586,112.95,2022-03-17T04:00:00Z,1081934,109.3
101.53,107.57,101.12,35205,107.57,2022-03-18T04:00:00Z,1612849,102.98
104.21,106.33,100.76,38579,102.56,2022-03-21T04:00:00Z,1482423,104.01
99.32,104.45,98.25,32684,104.23,2022-03-22T04:00:00Z,1326581,100.59
101.1,102.6,97.37,34566,101.12,2022-03-23T04:00:00Z,1437287,100.19
99.94,104.71,99.94,25608,100.2,2022-03-24T04:00:00Z,1005217,101.89
102.9,104.49,99.92,28423,100.33,2022-03-25T04:00:00Z,1244440,102.92
98.77,102.86,98.29,23689,101.57,2022-03-28T04:00:00Z,1162576,100.45
92.36,97.44,91.43,29124,96.64,2022-03-29T04:00:00Z,1583639,93.76
95.79,96.54,91.67,26960,93.54,2022-03-30T04:00:00Z,1628173,94.35
99.15,99.19,95.87,19556,96.15,2022-03-31T04:00:00Z,981022,97.77
