c,h,l,n,o,t,v,vw
13.52,13.67,13.45,1001,13.57,2016-01-04T05:00:00Z,159456,13.56
13.5,13.62,13.42,827,13.54,2016-01-05T05:00:00Z,105556,13.5
13.69,13.75,13.31,785,13.39,2016-01-06T05:00:00Z,105608,13.59
13.5,13.58,13.32,870,13.47,2016-01-07T05:00:00Z,102611,13.44
13.44,13.89,13.35,1316,13.56,2016-01-08T05:00:00Z,261413,13.44
13.63,13.67,13.4,1318,13.45,2016-01-11T05:00:00Z,109690,13.51
13.68,13.86,13.42,653,13.74,2016-01-12T05:00:00Z,99675,13.62
13.23,13.76,13.16,1117,13.76,2016-01-13T05:00:00Z,188177,13.38
13.22,13.41,13.16,830,13.34,2016-01-14T05:00:00Z,92814,13.24
13.05,13.16,12.81,1172,13.01,2016-01-15T05:00:00Z,183103,12.96
13.01,13.25,12.93,975,13.17,2016-01-19T05:00:00Z,120496,13.04
12.85,12.94,12.54,1811,12.8,2016-01-20T05:00:00Z,236779,12.75
12.85,13.0,12.5,1177,12.78,2016-01-21T05:00:00Z,198035,12.86
12.92,13.04,12.84,808,12.96,2016-01-22T05:00:00Z,119457,12.93
12.53,12.87,12.34,931,12.87,2016-01-25T05:00:00Z,129739,12.54
12.85,12.93,12.4,991,12.55,2016-01-26T05:00:00Z,132289,12.79
12.83,13.02,12.69,872,12.81,2016-01-27T05:00:00Z,98773,12.86
12.9,13.05,12.72,948,12.93,2016-01-28T05:00:00Z,107494,12.91
13.64,13.78,13.14,1079,13.35,2016-01-29T05:00:00Z,164574,13.44
13.63,13.76,12.89,929,13.57,2016-02-01T05:00:00Z,121697,13.64
13.41,13.67,13.39,729,13.57,2016-02-02T05:00:00Z,96000,13.47
13.25,13.49,13.11,898,13.49,2016-02-03T05:00:00Z,105335,13.26
13.36,13.6,13.16,820,13.23,2016-02-04T05:00:00Z,76251,13.31
13.12,13.41,13.04,957,13.35,2016-02-05T05:00:00Z,120510,13.13
13.43,13.46,13.07,833,13.07,2016-02-08T05:00:00Z,108243,13.28
13.34,13.51,13.24,803,13.24,2016-02-09T05:00:00Z,87179,13.37
13.24,13.67,13.22,456,13.45,2016-02-10T05:00:00Z,51146,13.4
12.78,13.08,12.7,1196,12.97,2016-02-11T05:00:00Z,133128,12.87
13.18,13.29,12.8,1176,12.84,2016-02-12T05:00:00Z,122829,13.1
13.52,13.61,13.18,1176,13.34,2016-02-16T05:00:00Z,85698,13.46
13.68,13.74,13.47,845,13.63,2016-02-17T05:00:00Z,108455,13.65
13.49,13.76,13.29,1020,13.76,2016-02-18T05:00:00Z,72991,13.48
13.38,14.03,13.37,1062,13.46,2016-02-19T05:00:00Z,70768,13.47
13.39,13.57,13.35,500,13.46,2016-02-22T05:00:00Z,68427,13.43
13.03,13.48,13.02,539,13.3,2016-02-23T05:00:00Z,65578,13.14
13.21,13.3,12.85,530,12.88,2016-02-24T05:00:00Z,67361,13.14
13.41,13.44,13.21,447,13.22,2016-02-25T05:00:00Z,63578,13.36
13.51,13.67,13.43,391,13.47,2016-02-26T05:00:00Z,51387,13.53
13.64,13.74,13.46,714,13.51,2016-02-29T05:00:00Z,94894,13.63
13.98,14.05,13.72,690,13.74,2016-03-01T05:00:00Z,114558,13.88
14.03,14.06,13.88,481,13.94,2016-03-02T05:00:00Z,45857,13.99
14.25,14.25,14.04,479,14.16,2016-03-03T05:00:00Z,62552,14.19
14.16,14.27,14.07,398,14.27,2016-03-04T05:00:00Z,40891,14.16
14.19,14.27,14.08,429,14.12,2016-03-07T05:00:00Z,52017,14.17
13.96,14.13,13.92,434,14.09,2016-03-08T05:00:00Z,55780,14.01
13.9,14.04,13.79,405,14.0,2016-03-09T05:00:00Z,36349,13.89
13.99,14.09,13.58,457,13.93,2016-03-10T05:00:00Z,36530,13.96
14.24,14.24,14.03,263,14.04,2016-03-11T05:00:00Z,48413,14.2
14.09,14.25,13.97,285,14.21,2016-03-14T04:00:00Z,35132,14.11
13.9,14.04,13.45,413,14.04,2016-03-15T04:00:00Z,50656,13.89
13.96,14.1,13.81,410,14.01,2016-03-16T04:00:00Z,65255,13.97
14.21,14.27,13.83,330,13.92,2016-03-17T04:00:00Z,36254,14.13
14.31,14.43,14.17,518,14.33,2016-03-18T04:00:00Z,169540,14.31
14.11,14.37,14.06,344,14.25,2016-03-21T04:00:00Z,41405,14.15
14.64,14.81,14.09,1174,14.09,2016-03-22T04:00:00Z,151418,14.62
14.53,14.63,14.47,622,14.63,2016-03-23T04:00:00Z,58575,14.53
14.44,14.52,14.38,702,14.41,2016-03-24T04:00:00Z,97974,14.45
14.44,14.68,14.38,270,14.52,2016-03-28T04:00:00Z,32221,14.47
14.72,14.93,14.63,1154,14.72,2016-03-29T04:00:00Z,176731,14.77
14.73,14.88,14.68,646,14.78,2016-03-30T04:00:00Z,60089,14.76
14.54,14.9,14.54,530,14.74,2016-03-31T04:00:00Z,72198,14.61
14.72,14.78,14.44,587,14.48,2016-04-01T04:00:00Z,77368,14.68
14.81,14.89,14.66,440,14.7,2016-04-04T04:00:00Z,40231,14.82
14.52,14.7,14.51,419,14.61,2016-04-05T04:00:00Z,57641,14.57
14.88,14.89,14.41,510,14.51,2016-04-06T04:00:00Z,70595,14.72
14.63,14.84,14.57,515,14.84,2016-04-07T04:00:00Z,68583,14.64
14.7,14.81,14.61,363,14.78,2016-04-08T04:00:00Z,58129,14.71
14.69,14.83,14.54,647,14.69,2016-04-11T04:00:00Z,83128,14.71
14.69,14.83,14.4,556,14.65,2016-04-12T04:00:00Z,77689,14.67
14.63,14.95,14.49,1387,14.73,2016-04-13T04:00:00Z,209986,14.63
14.8,14.87,14.56,1131,14.6,2016-04-14T04:00:00Z,139114,14.76
14.78,14.93,14.58,1072,14.77,2016-04-15T04:00:00Z,142373,14.78
14.93,14.98,14.67,725,14.76,2016-04-18T04:00:00Z,92425,14.88
15.16,15.29,14.97,779,14.98,2016-04-19T04:00:00Z,100415,15.15
15.14,15.25,14.93,864,15.01,2016-04-20T04:00:00Z,103770,15.09
15.11,15.19,14.89,669,15.19,2016-04-21T04:00:00Z,103250,15.05
15.23,15.5,14.96,1078,15.07,2016-04-22T04:00:00Z,153902,15.31
14.97,15.14,14.73,1222,15.14,2016-04-25T04:00:00Z,136894,14.96
15.13,15.29,14.83,711,14.99,2016-04-26T04:00:00Z,87103,15.13
15.1,15.2,14.92,655,15.14,2016-04-27T04:00:00Z,83892,15.09
14.88,15.13,14.82,632,14.98,2016-04-28T04:00:00Z,71841,14.95
14.93,15.02,14.38,947,14.45,2016-04-29T04:00:00Z,129050,14.89
14.94,15.02,14.81,1016,15.02,2016-05-02T04:00:00Z,89180,14.93
14.71,15.02,14.44,731,14.79,2016-05-03T04:00:00Z,87429,14.69
14.56,14.79,14.35,752,14.62,2016-05-04T04:00:00Z,106111,14.52
14.45,14.62,14.39,687,14.48,2016-05-05T04:00:00Z,81650,14.5
14.4,14.53,14.23,823,14.27,2016-05-06T04:00:00Z,112477,14.36
14.28,14.55,14.27,925,14.36,2016-05-09T04:00:00Z,119987,14.37
14.36,14.48,14.33,1009,14.35,2016-05-10T04:00:00Z,96062,14.39
15.06,15.14,14.65,1990,14.68,2016-05-11T04:00:00Z,311741,15.0
15.04,15.2,14.91,943,15.11,2016-05-12T04:00:00Z,116731,15.03
14.87,15.15,14.8,1002,15.04,2016-05-13T04:00:00Z,112753,14.95
15.11,15.19,14.9,574,14.9,2016-05-16T04:00:00Z,61987,15.08
15.09,15.12,14.98,1419,15.07,2016-05-17T04:00:00Z,185383,15.06
15.58,15.6,15.15,1141,15.15,2016-05-18T04:00:00Z,138617,15.49
15.3,15.55,15.13,738,15.52,2016-05-19T04:00:00Z,69390,15.32
15.37,15.51,15.32,685,15.38,2016-05-20T04:00:00Z,99360,15.41
15.45,15.59,15.23,1075,15.38,2016-05-23T04:00:00Z,160186,15.43
15.59,15.83,15.35,1328,15.35,2016-05-24T04:00:00Z,199684,15.65
15.51,15.69,15.43,1548,15.64,2016-05-25T04:00:00Z,172418,15.53
15.51,15.6,15.44,646,15.46,2016-05-26T04:00:00Z,59105,15.53
15.47,15.64,15.37,1302,15.47,2016-05-27T04:00:00Z,165327,15.47
15.5,15.6,15.42,754,15.5,2016-05-31T04:00:00Z,158474,15.52
15.49,15.58,15.36,887,15.48,2016-06-01T04:00:00Z,109440,15.48
15.55,15.56,15.25,726,15.42,2016-06-02T04:00:00Z,84921,15.45
