c,h,l,n,o,t,v,vw
16.9,17.36,16.79,1355,17.36,2016-01-04T05:00:00Z,164934,16.98
16.88,17.05,16.68,980,17.0,2016-01-05T05:00:00Z,106994,16.84
16.87,17.03,16.56,1326,16.68,2016-01-06T05:00:00Z,158831,16.84
16.17,16.7,16.16,1422,16.54,2016-01-07T05:00:00Z,149752,16.37
15.89,16.28,15.89,1183,16.25,2016-01-08T05:00:00Z,174280,16.05
15.87,16.0,15.77,1105,15.92,2016-01-11T05:00:00Z,93933,15.88
15.52,15.94,15.26,1226,15.92,2016-01-12T05:00:00Z,154772,15.55
14.98,15.73,14.87,1245,15.52,2016-01-13T05:00:00Z,120095,15.1
14.97,15.23,14.83,1297,15.04,2016-01-14T05:00:00Z,145531,15.0
14.92,15.25,14.37,1610,14.62,2016-01-15T05:00:00Z,190608,14.68
14.78,15.02,14.66,962,15.01,2016-01-19T05:00:00Z,110897,14.8
14.73,14.9,14.28,1902,14.53,2016-01-20T05:00:00Z,154621,14.59
14.75,15.07,14.65,1473,14.8,2016-01-21T05:00:00Z,155472,14.81
14.98,15.26,14.73,1347,15.02,2016-01-22T05:00:00Z,159826,14.98
14.21,15.2,14.17,2011,14.99,2016-01-25T05:00:00Z,188497,14.53
14.7,14.84,14.2,1462,14.2,2016-01-26T05:00:00Z,127430,14.61
14.81,15.21,14.65,1410,14.78,2016-01-27T05:00:00Z,137394,14.89
15.31,15.51,14.93,1044,14.93,2016-01-28T05:00:00Z,109424,15.29
16.34,16.38,15.23,2303,15.23,2016-01-29T05:00:00Z,364269,16.15
15.47,16.24,15.45,1694,16.13,2016-02-01T05:00:00Z,154171,15.68
15.71,15.87,15.33,2146,15.47,2016-02-02T05:00:00Z,156781,15.66
16.16,16.44,15.59,1739,15.97,2016-02-03T05:00:00Z,162144,16.02
16.2,16.6,16.0,1571,16.22,2016-02-04T05:00:00Z,137832,16.23
16.47,16.54,16.17,1953,16.17,2016-02-05T05:00:00Z,219079,16.42
16.86,16.92,16.21,1993,16.31,2016-02-08T05:00:00Z,189228,16.65
16.6,16.79,16.5,1196,16.6,2016-02-09T05:00:00Z,109874,16.61
16.49,16.84,16.49,1285,16.64,2016-02-10T05:00:00Z,108701,16.6
16.21,16.45,15.93,1650,16.13,2016-02-11T05:00:00Z,118221,16.17
16.97,17.06,16.29,1056,16.29,2016-02-12T05:00:00Z,116533,16.84
17.29,17.37,16.97,1214,17.22,2016-02-16T05:00:00Z,135143,17.25
17.05,17.42,16.93,1109,17.34,2016-02-17T05:00:00Z,141057,17.13
16.59,17.76,16.48,1822,17.05,2016-02-18T05:00:00Z,169501,16.65
16.76,16.97,16.52,1366,16.52,2016-02-19T05:00:00Z,140717,16.8
17.07,17.28,16.83,846,16.97,2016-02-22T05:00:00Z,96170,17.08
16.88,17.14,16.77,1370,17.13,2016-02-23T05:00:00Z,131283,16.89
16.98,17.0,16.4,1335,16.66,2016-02-24T05:00:00Z,102324,16.77
17.23,17.29,16.87,825,16.98,2016-02-25T05:00:00Z,72267,17.16
17.48,17.57,17.16,1150,17.32,2016-02-26T05:00:00Z,93917,17.43
17.15,17.49,17.06,1567,17.47,2016-02-29T05:00:00Z,154991,17.26
17.51,17.87,17.22,1184,17.22,2016-03-01T05:00:00Z,101431,17.55
17.85,17.85,17.39,788,17.47,2016-03-02T05:00:00Z,76148,17.7
18.61,18.61,17.87,1276,17.94,2016-03-03T05:00:00Z,162676,18.38
18.53,18.77,18.21,1723,18.66,2016-03-04T05:00:00Z,225856,18.48
18.89,18.93,18.47,1197,18.47,2016-03-07T05:00:00Z,153124,18.85
18.29,18.88,18.29,1148,18.73,2016-03-08T05:00:00Z,131348,18.41
18.67,18.91,18.45,1311,18.45,2016-03-09T05:00:00Z,128312,18.59
19.08,19.18,18.55,1625,18.88,2016-03-10T05:00:00Z,159255,18.88
19.52,19.56,18.26,1020,19.22,2016-03-11T05:00:00Z,94954,19.35
19.23,19.41,19.14,810,19.41,2016-03-14T04:00:00Z,56685,19.3
