c,h,l,n,o,t,v,vw
33.26,33.26,32.66,3182,32.87,2016-01-04T05:00:00Z,315359,33.05
33.15,33.39,32.96,2918,33.24,2016-01-05T05:00:00Z,242313,33.14
32.83,33.3,32.68,3411,33.0,2016-01-06T05:00:00Z,446047,32.9
32.39,32.78,32.37,4106,32.68,2016-01-07T05:00:00Z,877937,32.49
32.41,32.77,32.4,2293,32.62,2016-01-08T05:00:00Z,231074,32.53
32.54,32.67,32.27,3487,32.65,2016-01-11T05:00:00Z,440059,32.49
33.11,33.26,32.72,4140,32.82,2016-01-12T05:00:00Z,446272,33.06
32.86,33.36,32.81,3339,33.26,2016-01-13T05:00:00Z,586598,33.1
33.16,33.52,32.75,2023,32.97,2016-01-14T05:00:00Z,413712,33.24
32.97,33.18,32.51,3330,32.51,2016-01-15T05:00:00Z,636427,32.85
32.79,33.17,32.7,2571,33.09,2016-01-19T05:00:00Z,619062,32.85
32.32,32.85,32.07,7218,32.68,2016-01-20T05:00:00Z,783549,32.4
28.91,30.03,26.08,16025,27.54,2016-01-21T05:00:00Z,2437339,28.62
29.08,29.58,28.65,4240,29.19,2016-01-22T05:00:00Z,730227,29.0
28.83,29.32,28.75,3408,29.14,2016-01-25T05:00:00Z,447714,28.91
28.99,29.03,28.75,2127,29.02,2016-01-26T05:00:00Z,362716,28.91
29.03,29.23,28.84,2507,29.03,2016-01-27T05:00:00Z,367189,29.03
29.08,29.24,28.89,1376,29.24,2016-01-28T05:00:00Z,244605,29.06
29.64,29.66,29.17,2478,29.17,2016-01-29T05:00:00Z,407496,29.52
29.52,29.71,29.25,1355,29.37,2016-02-01T05:00:00Z,149269,29.51
29.31,29.5,29.05,2019,29.25,2016-02-02T05:00:00Z,260588,29.28
29.65,29.87,29.18,3107,29.49,2016-02-03T05:00:00Z,387807,29.59
29.58,30.1,29.26,1811,29.58,2016-02-04T05:00:00Z,234261,29.63
29.05,29.53,29.02,2322,29.52,2016-02-05T05:00:00Z,360991,29.18
28.96,29.16,28.69,2328,28.9,2016-02-08T05:00:00Z,360553,28.92
28.89,29.12,28.6,1756,28.64,2016-02-09T05:00:00Z,200116,28.91
28.95,29.36,28.8,1431,29.01,2016-02-10T05:00:00Z,154917,29.01
28.95,29.1,28.53,1277,28.53,2016-02-11T05:00:00Z,156091,28.86
29.11,29.23,28.9,1143,29.19,2016-02-12T05:00:00Z,161196,29.1
30.01,30.08,29.31,1694,29.31,2016-02-16T05:00:00Z,226125,29.88
30.46,30.52,30.11,2108,30.21,2016-02-17T05:00:00Z,274685,30.39
30.14,30.52,30.05,940,30.52,2016-02-18T05:00:00Z,106548,30.22
30.22,30.32,29.86,887,30.08,2016-02-19T05:00:00Z,114447,30.19
30.53,31.31,30.18,1814,30.45,2016-02-22T05:00:00Z,265110,30.72
30.24,30.78,30.2,2697,30.43,2016-02-23T05:00:00Z,170638,30.37
30.27,30.28,29.84,1825,29.96,2016-02-24T05:00:00Z,184999,30.11
30.18,30.46,30.09,1705,30.21,2016-02-25T05:00:00Z,175127,30.24
30.43,30.68,30.21,1402,30.38,2016-02-26T05:00:00Z,160393,30.44
30.24,30.72,30.21,1798,30.4,2016-02-29T05:00:00Z,259565,30.34
30.18,30.52,30.1,1631,30.42,2016-03-01T05:00:00Z,211632,30.19
30.19,30.52,29.79,1275,30.17,2016-03-02T05:00:00Z,134491,30.2
30.4,30.58,30.16,2339,30.19,2016-03-03T05:00:00Z,237992,30.33
30.25,30.47,30.15,2142,30.47,2016-03-04T05:00:00Z,241213,30.25
