c,h,l,n,o,t,v,vw
9.85,9.85,9.85,5,9.85,2021-03-05T05:00:00Z,2545,9.847035
9.9,9.9,9.9,6,9.9,2021-03-08T05:00:00Z,422,9.946635
9.9,9.9,9.9,0,9.9,2021-03-09T05:00:00Z,0,0.0
9.92,9.92,9.92,15,9.92,2021-03-10T05:00:00Z,263,9.988194
9.95,10.71,9.92,18,10.71,2021-03-11T05:00:00Z,211778,9.921981
9.92,9.95,9.92,11,9.9277,2021-03-12T05:00:00Z,201777,9.920243
9.91,9.95,9.9,228,9.92,2021-03-15T04:00:00Z,328592,9.919314
9.91,9.945,9.91,62,9.94,2021-03-16T04:00:00Z,165900,9.917225
9.95,9.95,9.91,92,9.91,2021-03-17T04:00:00Z,11029,9.947046
9.9,9.91,9.88,233,9.91,2021-03-18T04:00:00Z,198257,9.895425
9.9,9.9,9.9,293,9.9,2021-03-19T04:00:00Z,70321,9.900003
9.899,9.9,9.86,95,9.89,2021-03-22T04:00:00Z,85942,9.890818
9.85,9.87,9.84,55,9.87,2021-03-23T04:00:00Z,11426,9.852268
9.85,9.87,9.77,257,9.85,2021-03-24T04:00:00Z,240081,9.849874
9.83,9.85,9.81,798,9.85,2021-03-25T04:00:00Z,81866,9.830355
9.91,9.91,9.83,52,9.84,2021-03-26T04:00:00Z,6559,9.848207
9.85,9.885,9.77,531,9.84,2021-03-29T04:00:00Z,210053,9.853669
9.87,9.87,9.85,92,9.85,2021-03-30T04:00:00Z,102281,9.85946
9.88,9.8809,9.87,57,9.87,2021-03-31T04:00:00Z,127772,9.873329
9.89,9.9,9.88,92,9.88,2021-04-01T04:00:00Z,29010,9.886177
9.9,9.93,9.86,252,9.89,2021-04-05T04:00:00Z,87874,9.900739
9.9,9.9099,9.89,73,9.89,2021-04-06T04:00:00Z,25532,9.897862
9.91,9.91,9.91,385,9.91,2021-04-07T04:00:00Z,121845,9.910009
9.95,9.95,9.9181,82,9.92,2021-04-08T04:00:00Z,23978,9.935217
9.91,9.93,9.88,427,9.93,2021-04-09T04:00:00Z,72348,9.923366
9.92,9.93,9.92,78,9.93,2021-04-12T04:00:00Z,41789,9.929725
9.94,9.94,9.92,7,9.92,2021-04-13T04:00:00Z,714,9.928403
9.94,9.96,9.94,96,9.94,2021-04-14T04:00:00Z,24836,9.940621
9.95,9.95,9.94,3,9.94,2021-04-15T04:00:00Z,300,9.9461
9.94,9.95,9.94,8,9.94,2021-04-16T04:00:00Z,24809,9.940113
9.96,9.96,9.94,41,9.94,2021-04-19T04:00:00Z,7650,9.94063
9.94,9.96,9.93,75,9.95,2021-04-20T04:00:00Z,140630,9.943228
9.94,9.94,9.92,98,9.93,2021-04-21T04:00:00Z,13239,9.927758
9.94,9.95,9.91,53,9.95,2021-04-22T04:00:00Z,3629,9.934937
9.92,9.94,9.92,429,9.9317,2021-04-23T04:00:00Z,95751,9.920564
9.95,9.95,9.92,55,9.935,2021-04-26T04:00:00Z,9409,9.924482
9.92,9.94,9.92,33,9.93,2021-04-27T04:00:00Z,8232,9.920678
9.93,9.94,9.92,16,9.94,2021-04-28T04:00:00Z,4016,9.921265
9.93,9.94,9.93,104,9.94,2021-04-29T04:00:00Z,11909,9.937422
9.94,9.94,9.93,27,9.94,2021-04-30T04:00:00Z,5774,9.936527
9.935,9.95,9.92,60,9.94,2021-05-03T04:00:00Z,63500,9.93822
9.94,9.96,9.94,52,9.94,2021-05-04T04:00:00Z,42528,9.946469
9.95,9.95,9.94,20,9.94,2021-05-05T04:00:00Z,38236,9.940107
9.96,9.96,9.95,28,9.95,2021-05-06T04:00:00Z,42468,9.952552
9.94,9.94,9.92,28,9.92,2021-05-07T04:00:00Z,13781,9.938549
9.94,9.94,9.94,31,9.94,2021-05-10T04:00:00Z,5852,9.940021
9.95,9.95,9.95,5,9.95,2021-05-11T04:00:00Z,802,9.94985
9.94,9.94,9.94,4,9.94,2021-05-12T04:00:00Z,198,9.94
9.94,9.9416,9.94,4,9.9416,2021-05-13T04:00:00Z,1300,9.940369
9.94,9.94,9.94,9,9.94,2021-05-14T04:00:00Z,1515,9.94
9.91,9.94,9.91,253,9.94,2021-05-17T04:00:00Z,105388,9.939064
9.93,9.94,9.86,402,9.9043,2021-05-18T04:00:00Z,77892,9.888046
9.88,9.89,9.87,18,9.88,2021-05-19T04:00:00Z,1292,9.88159
9.92,9.92,9.87,10,9.87,2021-05-20T04:00:00Z,6004,9.873085
9.92,9.92,9.92,0,9.92,2021-05-21T04:00:00Z,0,0.0
9.92,9.92,9.92,0,9.92,2021-05-24T04:00:00Z,0,0.0
9.93,9.93,9.91,11,9.91,2021-05-25T04:00:00Z,1667,9.927001
9.95,9.95,9.91,57,9.94,2021-05-26T04:00:00Z,8796,9.934202
9.96,9.96,9.91,114,9.95,2021-05-27T04:00:00Z,6765,9.956435
9.9,9.9,9.9,6,9.9,2021-05-28T04:00:00Z,1083,9.900886
9.9,9.9,9.9,0,9.9,2021-06-01T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2021-06-02T04:00:00Z,0,0.0
