c,h,l,n,o,t,v,vw
376.3,376.3,373.0,5,373.0,2016-01-04T05:00:00Z,22,373.85
362.0,371.0,346.01,21,370.0,2016-01-05T05:00:00Z,34,360.65
358.0,362.8,357.0,48,360.0,2016-01-06T05:00:00Z,106,359.32
362.0,377.0,357.0,17,360.0,2016-01-07T05:00:00Z,15,366.48
378.0,398.0,378.0,25,394.0,2016-01-08T05:00:00Z,36,387.63
373.0,373.0,373.0,3,373.0,2016-01-11T05:00:00Z,1,377.33
375.0,375.0,375.0,1,375.0,2016-01-12T05:00:00Z,10,375.0
360.0,379.5,360.0,16,372.01,2016-01-13T05:00:00Z,37,370.69
366.0,375.0,366.0,41,370.0,2016-01-14T05:00:00Z,109,371.99
395.0,395.0,354.11,8,354.11,2016-01-15T05:00:00Z,25,364.47
370.0,371.1,370.0,12,370.0,2016-01-19T05:00:00Z,12,370.26
370.0,370.0,370.0,0,370.0,2016-01-20T05:00:00Z,0,0.0
368.0,368.0,340.0,87,357.98,2016-01-21T05:00:00Z,163,350.61
376.5,380.64,364.0,32,368.0,2016-01-22T05:00:00Z,78,374.44
372.0,377.0,371.0,7,377.0,2016-01-25T05:00:00Z,16,373.85
380.0,385.0,365.0,120,377.4,2016-01-26T05:00:00Z,195,375.66
380.0,380.0,380.0,0,380.0,2016-01-27T05:00:00Z,0,0.0
379.0,384.0,376.0,36,377.0,2016-01-28T05:00:00Z,104,379.24
360.0,382.0,356.5,62,382.0,2016-01-29T05:00:00Z,192,362.84
340.0,360.0,338.85,75,360.0,2016-02-01T05:00:00Z,218,348.73
349.44,349.44,331.0,14,340.0,2016-02-02T05:00:00Z,93,337.97
349.44,349.44,349.44,0,349.44,2016-02-03T05:00:00Z,0,0.0
350.0,351.0,350.0,6,351.0,2016-02-04T05:00:00Z,4,349.82
350.0,350.0,350.0,0,350.0,2016-02-05T05:00:00Z,0,0.0
350.0,357.0,335.0,57,357.0,2016-02-08T05:00:00Z,71,349.69
342.85,353.0,341.0,15,353.0,2016-02-09T05:00:00Z,28,344.98
362.0,365.0,360.0,12,365.0,2016-02-10T05:00:00Z,10,361.81
351.0,351.0,350.0,5,350.0,2016-02-11T05:00:00Z,16,350.94
352.78,354.04,352.1,6,352.1,2016-02-12T05:00:00Z,24,353.08
355.0,355.0,352.0,13,355.0,2016-02-16T05:00:00Z,24,354.49
355.0,355.0,355.0,0,355.0,2016-02-17T05:00:00Z,0,0.0
360.0,364.0,360.0,16,360.0,2016-02-18T05:00:00Z,106,360.21
351.0,366.0,351.0,8,366.0,2016-02-19T05:00:00Z,18,353.92
394.0,395.0,387.31,9,387.31,2016-02-22T05:00:00Z,108,394.88
375.0,395.0,368.44,10,395.0,2016-02-23T05:00:00Z,48,386.24
359.01,369.0,359.01,5,369.0,2016-02-24T05:00:00Z,15,365.67
362.25,366.95,362.25,2,366.95,2016-02-25T05:00:00Z,2,364.6
378.48,380.99,378.48,5,380.99,2016-02-26T05:00:00Z,7,378.31
405.0,405.0,374.0,19,375.0,2016-02-29T05:00:00Z,55,395.8
390.0,400.0,355.0,28,400.0,2016-03-01T05:00:00Z,135,383.25
369.5,377.0,365.0,25,377.0,2016-03-02T05:00:00Z,53,368.54
369.0,369.0,368.99,4,368.99,2016-03-03T05:00:00Z,5,368.99
368.5,369.0,365.01,6,369.0,2016-03-04T05:00:00Z,60,368.59
368.46,369.0,368.46,6,368.99,2016-03-07T05:00:00Z,27,368.95
364.0,369.0,364.0,9,369.0,2016-03-08T05:00:00Z,19,364.33
362.0,364.0,356.0,12,356.0,2016-03-09T05:00:00Z,15,360.04
369.0,369.0,363.0,10,363.0,2016-03-10T05:00:00Z,71,365.81
369.0,369.0,369.0,3,369.0,2016-03-11T05:00:00Z,12,369.0
387.0,389.0,358.0,50,369.0,2016-03-14T04:00:00Z,128,375.98
372.0,377.0,372.0,11,377.0,2016-03-15T04:00:00Z,21,374.49
375.0,395.0,375.0,24,378.0,2016-03-16T04:00:00Z,116,385.98
384.0,384.0,372.01,7,372.01,2016-03-17T04:00:00Z,8,378.1
384.0,384.0,384.0,0,384.0,2016-03-18T04:00:00Z,0,0.0
385.0,385.0,365.01,11,374.0,2016-03-21T04:00:00Z,25,368.24
385.0,385.0,385.0,0,385.0,2016-03-22T04:00:00Z,0,0.0
379.0,387.0,366.0,34,382.99,2016-03-23T04:00:00Z,48,379.03
378.4,378.4,375.0,6,375.01,2016-03-24T04:00:00Z,33,375.52
371.2,375.0,370.0,24,374.0,2016-03-28T04:00:00Z,36,371.07
363.0,371.0,355.0,26,371.0,2016-03-29T04:00:00Z,113,357.94
357.0,366.0,357.0,36,362.0,2016-03-30T04:00:00Z,85,359.41
373.0,373.89,373.0,7,373.0,2016-03-31T04:00:00Z,9,373.24
380.0,380.0,375.0,5,375.0,2016-04-01T04:00:00Z,10,376.4
387.0,388.0,375.0,16,388.0,2016-04-04T04:00:00Z,42,382.23
387.0,387.0,387.0,0,387.0,2016-04-05T04:00:00Z,0,0.0
384.0,384.99,384.0,3,384.99,2016-04-06T04:00:00Z,22,384.9
385.0,385.0,385.0,1,385.0,2016-04-07T04:00:00Z,1,385.0
380.0,387.0,380.0,8,387.0,2016-04-08T04:00:00Z,4,381.16
379.2,382.2,375.4,5,375.4,2016-04-11T04:00:00Z,24,379.54
375.0,378.0,375.0,6,378.0,2016-04-12T04:00:00Z,10,376.81
398.99,399.0,388.0,45,388.0,2016-04-13T04:00:00Z,172,394.79
401.62,403.0,399.0,15,399.0,2016-04-14T04:00:00Z,32,400.04
400.0,410.0,400.0,20,410.0,2016-04-15T04:00:00Z,49,401.18
388.0,388.0,386.5,17,387.0,2016-04-18T04:00:00Z,41,387.29
388.0,388.0,388.0,0,388.0,2016-04-19T04:00:00Z,0,0.0
380.47,380.47,368.01,4,368.01,2016-04-20T04:00:00Z,10,370.38
380.01,380.01,380.01,2,380.01,2016-04-21T04:00:00Z,1,382.55
384.22,393.0,384.22,2,393.0,2016-04-22T04:00:00Z,5,385.98
396.0,396.0,396.0,1,396.0,2016-04-25T04:00:00Z,1,396.0
396.0,396.0,396.0,1,396.0,2016-04-26T04:00:00Z,1,396.0
396.0,396.0,396.0,0,396.0,2016-04-27T04:00:00Z,0,0.0
396.0,396.0,396.0,0,396.0,2016-04-28T04:00:00Z,0,0.0
396.0,396.0,396.0,0,396.0,2016-04-29T04:00:00Z,0,0.0
380.0,380.0,380.0,2,380.0,2016-05-02T04:00:00Z,6,380.0
380.0,380.0,380.0,0,380.0,2016-05-03T04:00:00Z,0,0.0
369.0,375.0,360.0,17,375.0,2016-05-04T04:00:00Z,21,365.3
367.0,369.0,367.0,10,368.86,2016-05-05T04:00:00Z,22,368.33
364.8,369.0,364.8,14,369.0,2016-05-06T04:00:00Z,32,368.42
389.0,389.0,369.0,8,370.0,2016-05-09T04:00:00Z,22,377.06
