c,h,l,n,o,t,v,vw
28.51,28.98,27.75,708,28.98,2016-01-04T05:00:00Z,84638,28.470682
28.42,28.93,28.42,303,28.79,2016-01-05T05:00:00Z,27193,28.564676
28.48,28.7658,28.26,388,28.27,2016-01-06T05:00:00Z,38800,28.49309
27.77,28.2899,27.685,239,28.25,2016-01-07T05:00:00Z,21472,27.915856
27.57,28.46,27.5,384,28.01,2016-01-08T05:00:00Z,51574,27.644694
28.41,28.45,27.89,427,27.89,2016-01-11T05:00:00Z,38787,28.245875
28.31,28.51,27.96,303,28.4,2016-01-12T05:00:00Z,33914,28.301933
27.56,28.51,27.49,320,28.45,2016-01-13T05:00:00Z,30429,27.957168
27.71,28.24,27.62,285,27.75,2016-01-14T05:00:00Z,21346,27.90168
27.31,27.6,26.98,312,27.11,2016-01-15T05:00:00Z,38225,27.167149
27.31,27.63,27.0,299,27.63,2016-01-19T05:00:00Z,26581,27.31367
27.62,27.69,26.9,529,27.14,2016-01-20T05:00:00Z,56521,27.251876
27.62,27.77,27.4,233,27.71,2016-01-21T05:00:00Z,24953,27.618147
27.98,28.07,27.8,269,27.81,2016-01-22T05:00:00Z,26505,27.963078
27.63,28.03,27.55,221,28.03,2016-01-25T05:00:00Z,16858,27.764724
27.5,27.97,27.35,210,27.73,2016-01-26T05:00:00Z,21012,27.621282
27.21,27.64,27.08,193,27.62,2016-01-27T05:00:00Z,14934,27.327385
27.15,27.5323,27.04,212,27.41,2016-01-28T05:00:00Z,15464,27.325306
27.63,27.87,27.32,447,27.32,2016-01-29T05:00:00Z,62473,27.61194
28.42,28.58,27.45,413,27.63,2016-02-01T05:00:00Z,34303,27.940501
28.27,28.53,28.0,232,28.31,2016-02-02T05:00:00Z,20689,28.247001
28.91,29.52,28.215,248,28.43,2016-02-03T05:00:00Z,22699,28.951208
29.0,29.0,28.735,324,28.8,2016-02-04T05:00:00Z,22210,28.94831
28.8,29.42,28.73,294,28.98,2016-02-05T05:00:00Z,37743,28.880722
27.1,29.23,26.98,578,28.7,2016-02-08T05:00:00Z,53519,27.401479
28.54,28.68,27.0,276,27.0,2016-02-09T05:00:00Z,22398,27.943383
28.72,29.265,28.22,360,29.23,2016-02-10T05:00:00Z,30134,28.786283
29.03,29.43,27.99,278,28.27,2016-02-11T05:00:00Z,20761,28.881467
28.45,29.2,27.85,339,29.2,2016-02-12T05:00:00Z,24089,28.37399
28.93,28.99,28.0,301,28.47,2016-02-16T05:00:00Z,29569,28.607041
29.14,29.2,28.85,231,28.91,2016-02-17T05:00:00Z,26051,29.102831
29.12,29.2,28.92,298,29.2,2016-02-18T05:00:00Z,34400,29.078088
29.05,29.22,28.99,260,29.1,2016-02-19T05:00:00Z,31211,29.078036
29.41,29.51,29.09,230,29.28,2016-02-22T05:00:00Z,17882,29.327389
29.94,30.35,29.4,331,29.41,2016-02-23T05:00:00Z,27664,29.88971
30.66,30.72,29.77,378,29.77,2016-02-24T05:00:00Z,52644,30.430724
31.16,31.18,30.26,272,30.91,2016-02-25T05:00:00Z,41379,30.871607
