c,h,l,n,o,t,v,vw
19.26,19.26,19.1,18,19.14,2016-01-05T05:00:00Z,2500,19.18
18.62,18.95,18.62,4,18.95,2016-01-06T05:00:00Z,369,18.83
19.26,19.27,19.08,15,19.08,2016-01-07T05:00:00Z,2429,19.18
20.02,20.02,19.14,17,19.14,2016-01-08T05:00:00Z,2639,19.29
20.02,20.02,20.02,5,20.02,2016-01-11T05:00:00Z,172,20.02
20.02,20.02,20.02,0,20.02,2016-01-12T05:00:00Z,0,0.0
19.19,19.6,19.14,18,19.6,2016-01-13T05:00:00Z,2228,19.21
19.3,19.35,18.37,21,19.3,2016-01-14T05:00:00Z,2852,19.07
19.39,19.44,19.22,25,19.22,2016-01-15T05:00:00Z,6436,19.37
19.56,19.56,19.22,27,19.39,2016-01-19T05:00:00Z,3513,19.43
19.26,19.56,18.77,24,19.56,2016-01-20T05:00:00Z,5050,19.27
18.97,19.26,18.97,44,19.26,2016-01-21T05:00:00Z,4986,19.14
18.96,18.98,18.34,31,18.97,2016-01-22T05:00:00Z,4613,18.8
19.53,19.53,18.97,15,18.97,2016-01-25T05:00:00Z,1894,19.0
19.56,19.56,19.56,5,19.56,2016-01-26T05:00:00Z,505,19.56
19.14,19.26,18.97,4,19.26,2016-01-27T05:00:00Z,310,19.12
19.14,19.14,19.14,0,19.14,2016-01-28T05:00:00Z,0,0.0
18.98,18.98,18.98,2,18.98,2016-01-29T05:00:00Z,274,18.98
19.1,19.1,19.07,4,19.07,2016-02-01T05:00:00Z,400,19.09
19.08,19.08,19.01,6,19.01,2016-02-02T05:00:00Z,1757,19.02
19.01,19.01,19.01,1,19.01,2016-02-03T05:00:00Z,125,19.01
19.29,19.29,19.27,10,19.27,2016-02-04T05:00:00Z,700,19.27
19.01,19.42,19.01,6,19.42,2016-02-05T05:00:00Z,643,19.08
18.82,18.82,18.57,6,18.82,2016-02-08T05:00:00Z,1129,18.78
18.44,18.77,18.44,14,18.74,2016-02-09T05:00:00Z,1699,18.65
18.5,18.5,18.5,4,18.5,2016-02-10T05:00:00Z,108,18.5
18.5,18.5,18.5,0,18.5,2016-02-11T05:00:00Z,0,0.0
18.68,18.68,18.68,6,18.68,2016-02-12T05:00:00Z,1237,18.68
18.68,18.68,18.68,0,18.68,2016-02-16T05:00:00Z,0,0.0
18.39,18.39,18.31,10,18.31,2016-02-17T05:00:00Z,830,18.33
18.44,18.44,18.17,72,18.17,2016-02-18T05:00:00Z,10577,18.19
18.47,18.47,18.4,3,18.4,2016-02-19T05:00:00Z,554,18.44
18.53,18.78,18.35,14,18.35,2016-02-22T05:00:00Z,2833,18.61
18.53,18.53,18.53,0,18.53,2016-02-23T05:00:00Z,0,0.0
19.2,19.2,18.91,44,18.94,2016-02-24T05:00:00Z,6700,19.12
19.2,19.2,19.2,0,19.2,2016-02-25T05:00:00Z,0,0.0
18.97,18.97,18.61,10,18.61,2016-02-26T05:00:00Z,418,18.77
19.1,19.11,19.07,17,19.11,2016-02-29T05:00:00Z,2295,19.09
19.1,19.1,19.1,0,19.1,2016-03-01T05:00:00Z,0,0.0
19.1,19.1,19.1,0,19.1,2016-03-02T05:00:00Z,0,0.0
18.93,18.93,18.93,8,18.93,2016-03-03T05:00:00Z,339,18.93
18.88,18.89,18.88,25,18.88,2016-03-04T05:00:00Z,1981,18.88
18.88,18.88,18.88,0,18.88,2016-03-07T05:00:00Z,0,0.0
18.88,18.88,18.88,0,18.88,2016-03-08T05:00:00Z,0,0.0
19.26,19.26,19.26,1,19.26,2016-03-09T05:00:00Z,600,19.26
19.26,19.26,19.26,0,19.26,2016-03-10T05:00:00Z,0,0.0
19.26,19.26,19.26,0,19.26,2016-03-11T05:00:00Z,0,0.0
19.31,19.31,19.31,5,19.31,2016-03-14T04:00:00Z,444,19.31
19.33,19.33,18.82,6,19.33,2016-03-15T04:00:00Z,3918,19.31
19.47,19.48,19.47,5,19.48,2016-03-16T04:00:00Z,490,19.48
19.47,19.47,19.47,0,19.47,2016-03-17T04:00:00Z,0,0.0
19.46,19.46,19.46,6,19.46,2016-03-18T04:00:00Z,527,19.46
19.46,19.46,19.46,0,19.46,2016-03-21T04:00:00Z,0,0.0
19.46,19.46,19.46,0,19.46,2016-03-22T04:00:00Z,0,0.0
19.46,19.46,19.46,0,19.46,2016-03-23T04:00:00Z,0,0.0
19.46,19.46,19.46,0,19.46,2016-03-24T04:00:00Z,0,0.0
19.46,19.46,19.46,0,19.46,2016-03-28T04:00:00Z,0,0.0
19.46,19.46,19.46,0,19.46,2016-03-29T04:00:00Z,0,0.0
19.21,19.21,19.21,2,19.21,2016-03-30T04:00:00Z,233,19.21
19.55,19.55,19.55,6,19.55,2016-03-31T04:00:00Z,263,19.55
19.63,19.63,19.63,13,19.63,2016-04-01T04:00:00Z,2937,19.63
19.63,19.66,19.63,4,19.66,2016-04-04T04:00:00Z,360,19.64
19.63,19.63,19.63,0,19.63,2016-04-05T04:00:00Z,0,0.0
19.63,19.63,19.63,5,19.63,2016-04-06T04:00:00Z,1044,19.63
19.63,19.63,19.63,5,19.63,2016-04-07T04:00:00Z,742,19.63
19.63,19.83,19.63,8,19.83,2016-04-08T04:00:00Z,556,19.68
19.63,19.63,19.63,0,19.63,2016-04-11T04:00:00Z,0,0.0
19.63,19.63,19.63,0,19.63,2016-04-12T04:00:00Z,0,0.0
