c,h,l,n,o,t,v,vw
12.82,13.19,12.68,323,13.0,2016-01-04T05:00:00Z,27461,12.88
13.04,13.11,12.53,250,12.53,2016-01-05T05:00:00Z,26870,12.94
13.32,13.44,12.93,300,12.93,2016-01-06T05:00:00Z,33927,13.29
13.31,13.42,13.07,233,13.07,2016-01-07T05:00:00Z,33318,13.3
13.27,13.46,13.11,229,13.43,2016-01-08T05:00:00Z,21736,13.31
13.37,13.46,12.57,206,13.18,2016-01-11T05:00:00Z,18502,13.31
13.53,13.6,13.11,234,13.4,2016-01-12T05:00:00Z,40761,13.39
13.25,13.51,13.06,245,13.5,2016-01-13T05:00:00Z,29997,13.27
13.08,13.38,12.97,259,13.25,2016-01-14T05:00:00Z,29115,13.12
12.3,12.98,12.14,535,12.74,2016-01-15T05:00:00Z,54264,12.35
12.28,12.33,12.1,291,12.25,2016-01-19T05:00:00Z,32349,12.24
11.75,12.1,10.73,607,12.07,2016-01-20T05:00:00Z,75274,11.58
11.92,12.35,11.69,266,11.77,2016-01-21T05:00:00Z,21498,11.96
12.21,12.35,11.91,241,12.0,2016-01-22T05:00:00Z,22016,12.13
12.17,12.57,11.97,200,12.13,2016-01-25T05:00:00Z,17520,12.18
12.32,12.39,12.07,178,12.22,2016-01-26T05:00:00Z,15826,12.28
12.26,12.53,11.99,263,12.53,2016-01-27T05:00:00Z,22860,12.31
12.56,12.64,12.27,329,12.64,2016-01-28T05:00:00Z,58072,12.53
13.96,13.96,12.53,251,12.53,2016-01-29T05:00:00Z,40076,13.73
13.85,14.02,13.16,165,13.72,2016-02-01T05:00:00Z,15727,13.72
13.31,13.65,13.16,197,13.36,2016-02-02T05:00:00Z,19644,13.35
13.33,13.72,12.58,253,13.46,2016-02-03T05:00:00Z,20785,13.11
13.2,13.58,12.83,206,13.32,2016-02-04T05:00:00Z,36252,13.16
12.8,13.22,12.72,149,13.22,2016-02-05T05:00:00Z,26732,12.82
12.68,12.75,12.36,140,12.61,2016-02-08T05:00:00Z,14090,12.56
12.64,12.97,12.49,155,12.49,2016-02-09T05:00:00Z,13894,12.63
12.8,12.92,12.46,101,12.69,2016-02-10T05:00:00Z,9278,12.66
