c,h,l,n,o,t,v,vw
94.34,94.35,94.33,1463,94.35,2016-01-04T05:00:00Z,536587,94.34
94.35,94.35,94.33,926,94.33,2016-01-05T05:00:00Z,281532,94.34
94.33,94.35,94.33,1223,94.35,2016-01-06T05:00:00Z,611049,94.34
94.34,94.36,94.33,1732,94.33,2016-01-07T05:00:00Z,4903794,94.35
94.35,94.36,94.34,2212,94.34,2016-01-08T05:00:00Z,841399,94.35
94.34,94.36,94.34,1420,94.36,2016-01-11T05:00:00Z,655517,94.35
94.35,94.36,94.35,872,94.35,2016-01-12T05:00:00Z,346115,94.35
94.35,94.36,94.35,1075,94.35,2016-01-13T05:00:00Z,505894,94.35
94.36,94.37,94.35,1473,94.36,2016-01-14T05:00:00Z,1353031,94.37
94.37,94.38,94.36,1151,94.36,2016-01-15T05:00:00Z,452539,94.38
94.41,94.41,94.37,1916,94.4,2016-01-19T05:00:00Z,9643103,94.4
94.41,94.42,94.39,2294,94.41,2016-01-20T05:00:00Z,12308170,94.42
94.41,94.42,94.4,1494,94.41,2016-01-21T05:00:00Z,790426,94.41
94.4,94.41,94.39,1524,94.41,2016-01-22T05:00:00Z,654942,94.4
94.4,94.41,94.39,1886,94.4,2016-01-25T05:00:00Z,2018602,94.4
94.4,94.41,94.39,1050,94.4,2016-01-26T05:00:00Z,712412,94.4
94.4,94.4,94.39,1314,94.4,2016-01-27T05:00:00Z,640876,94.39
94.4,94.41,94.39,1335,94.4,2016-01-28T05:00:00Z,609765,94.4
94.41,94.41,94.39,1988,94.39,2016-01-29T05:00:00Z,743292,94.4
94.39,94.41,94.39,1265,94.4,2016-02-01T05:00:00Z,602809,94.4
94.41,94.41,94.39,1437,94.4,2016-02-02T05:00:00Z,559582,94.41
94.42,94.42,94.4,1840,94.41,2016-02-03T05:00:00Z,747686,94.41
94.42,94.42,94.4,1406,94.42,2016-02-04T05:00:00Z,506696,94.41
94.41,94.42,94.4,1283,94.42,2016-02-05T05:00:00Z,425074,94.41
94.41,94.43,94.4,2346,94.4,2016-02-08T05:00:00Z,948271,94.42
94.42,94.43,94.41,1936,94.42,2016-02-09T05:00:00Z,950564,94.42
94.41,94.42,94.41,954,94.42,2016-02-10T05:00:00Z,315859,94.42
94.42,94.46,94.42,1885,94.42,2016-02-11T05:00:00Z,804359,94.44
94.43,94.45,94.41,1502,94.42,2016-02-12T05:00:00Z,500533,94.43
94.43,94.45,94.41,1976,94.44,2016-02-16T05:00:00Z,708097,94.43
94.43,94.46,94.43,2411,94.46,2016-02-17T05:00:00Z,968518,94.44
94.44,94.44,94.42,1023,94.42,2016-02-18T05:00:00Z,538726,94.43
94.43,94.44,94.43,1786,94.43,2016-02-19T05:00:00Z,820283,94.44
94.41,94.44,94.41,1877,94.43,2016-02-22T05:00:00Z,981854,94.43
94.43,94.43,94.41,1636,94.41,2016-02-23T05:00:00Z,507166,94.42
94.42,94.44,94.41,1003,94.41,2016-02-24T05:00:00Z,427536,94.43
94.42,94.43,94.41,1353,94.43,2016-02-25T05:00:00Z,639881,94.42
94.42,94.43,94.42,1328,94.43,2016-02-26T05:00:00Z,479399,94.43
