c,h,l,n,o,t,v,vw
9.79,9.79,9.79,1,9.79,2019-03-07T05:00:00Z,11600,9.79
9.79,9.79,9.79,0,9.79,2019-03-08T05:00:00Z,0,0.0
9.79,9.79,9.79,1,9.79,2019-03-11T04:00:00Z,19500,9.79
9.85,9.85,9.79,3,9.79,2019-03-12T04:00:00Z,105803,9.793291
9.79,9.79,9.79,16,9.79,2019-03-13T04:00:00Z,53900,9.79
9.79,9.79,9.79,0,9.79,2019-03-14T04:00:00Z,0,0.0
9.79,9.79,9.79,0,9.79,2019-03-15T04:00:00Z,0,0.0
9.79,9.79,9.79,0,9.79,2019-03-18T04:00:00Z,0,0.0
9.79,9.79,9.79,0,9.79,2019-03-19T04:00:00Z,0,0.0
9.79,9.79,9.79,0,9.79,2019-03-20T04:00:00Z,0,0.0
9.79,9.79,9.79,0,9.79,2019-03-21T04:00:00Z,0,0.0
9.79,9.79,9.79,0,9.79,2019-03-22T04:00:00Z,0,0.0
9.79,9.79,9.79,0,9.79,2019-03-25T04:00:00Z,0,0.0
9.81,9.83,9.79,8,9.79,2019-03-26T04:00:00Z,45600,9.804693
9.79,9.7992,9.79,10,9.7992,2019-03-27T04:00:00Z,34989,9.792646
9.79,9.79,9.79,0,9.79,2019-03-28T04:00:00Z,0,0.0
9.82,9.8525,9.818,12,9.85,2019-03-29T04:00:00Z,36229,9.820391
9.82,9.82,9.59,97,9.59,2019-04-01T04:00:00Z,281456,9.641075
9.8,9.83,9.8,22,9.8,2019-04-02T04:00:00Z,12073,9.800421
9.81,9.81,9.8,8,9.8,2019-04-03T04:00:00Z,23400,9.800214
9.79,9.84,9.79,29,9.8,2019-04-04T04:00:00Z,385994,9.790259
9.8,9.83,9.78,46,9.78,2019-04-05T04:00:00Z,17164,9.799581
9.8,9.8,9.8,0,9.8,2019-04-08T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2019-04-09T04:00:00Z,0,0.0
9.8,9.805,9.795,18,9.8,2019-04-10T04:00:00Z,43211,9.799946
9.8,9.8,9.79,15,9.8,2019-04-11T04:00:00Z,60563,9.799983
9.83,9.835,9.83,27,9.83,2019-04-12T04:00:00Z,235664,9.830042
9.84,9.84,9.83,19,9.83,2019-04-15T04:00:00Z,187411,9.830033
9.84,9.925,9.84,23,9.88,2019-04-16T04:00:00Z,3496,9.889191
10.05,10.24,9.84,18,9.88,2019-04-17T04:00:00Z,74226,9.864725
10.05,10.05,10.05,0,10.05,2019-04-18T04:00:00Z,0,0.0
9.965,10.0,9.9,42,10.0,2019-04-22T04:00:00Z,12703,9.979521
9.965,9.965,9.965,0,9.965,2019-04-23T04:00:00Z,0,0.0
9.88,9.88,9.88,1,9.88,2019-04-24T04:00:00Z,100,9.88
9.88,9.88,9.88,37,9.88,2019-04-25T04:00:00Z,12100,9.88
9.88,9.88,9.88,0,9.88,2019-04-26T04:00:00Z,0,0.0
9.9,9.91,9.9,12,9.91,2019-04-29T04:00:00Z,4000,9.900875
9.9,9.9,9.9,0,9.9,2019-04-30T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-01T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-02T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-03T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-06T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-07T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-08T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-09T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-10T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-13T04:00:00Z,0,0.0
9.9,9.9,9.9,0,9.9,2019-05-14T04:00:00Z,0,0.0
