c,h,l,n,o,t,v,vw
38.43,38.98,38.4,10,38.98,2016-01-04T05:00:00Z,1686,38.68
38.5,38.5,38.41,18,38.47,2016-01-05T05:00:00Z,3354,38.46
38.66,38.74,38.61,8,38.74,2016-01-06T05:00:00Z,1790,38.67
38.71,39.12,38.65,22,39.12,2016-01-07T05:00:00Z,4197,38.72
38.74,38.75,38.62,20,38.71,2016-01-08T05:00:00Z,4394,38.72
38.61,38.61,38.57,6,38.59,2016-01-11T05:00:00Z,677,38.59
38.58,38.63,38.58,2,38.63,2016-01-12T05:00:00Z,560,38.61
38.6,38.6,38.6,2,38.6,2016-01-13T05:00:00Z,598,38.61
38.62,38.62,38.62,4,38.62,2016-01-14T05:00:00Z,2409,38.62
38.31,38.87,38.18,136,38.64,2016-01-15T05:00:00Z,26657,38.45
38.9,38.9,38.59,17,38.59,2016-01-19T05:00:00Z,2775,38.81
38.57,38.72,38.57,2,38.72,2016-01-20T05:00:00Z,396,38.61
38.57,38.57,38.57,0,38.57,2016-01-21T05:00:00Z,0,0.0
38.58,38.58,38.45,4,38.57,2016-01-22T05:00:00Z,700,38.56
38.61,38.61,38.61,2,38.61,2016-01-25T05:00:00Z,425,38.61
38.62,38.68,38.62,9,38.62,2016-01-26T05:00:00Z,4654,38.63
38.64,38.64,38.64,10,38.64,2016-01-27T05:00:00Z,1300,38.64
38.71,39.08,38.71,39,38.98,2016-01-28T05:00:00Z,5701,38.87
38.74,38.74,38.71,2,38.71,2016-01-29T05:00:00Z,600,38.73
38.65,38.71,38.65,5,38.71,2016-02-01T05:00:00Z,2280,38.7
38.69,38.74,38.69,15,38.74,2016-02-02T05:00:00Z,3400,38.73
38.71,38.74,38.69,16,38.74,2016-02-03T05:00:00Z,6000,38.72
38.76,38.77,38.72,9,38.74,2016-02-04T05:00:00Z,1238,38.74
38.72,38.73,38.7,8,38.7,2016-02-05T05:00:00Z,2401,38.71
38.73,38.73,38.71,5,38.72,2016-02-08T05:00:00Z,804,38.72
38.71,38.77,38.71,20,38.76,2016-02-09T05:00:00Z,3201,38.75
38.81,38.81,38.71,40,38.72,2016-02-10T05:00:00Z,57195,38.71
38.78,38.81,38.78,11,38.79,2016-02-11T05:00:00Z,2000,38.8
38.7,38.71,38.7,6,38.71,2016-02-12T05:00:00Z,719,38.7
38.7,38.7,38.7,0,38.7,2016-02-16T05:00:00Z,0,0.0
38.62,38.62,38.58,16,38.58,2016-02-17T05:00:00Z,4484,38.59
38.71,38.73,38.69,4,38.69,2016-02-18T05:00:00Z,925,38.72
38.74,38.74,38.74,2,38.74,2016-02-19T05:00:00Z,240,38.74
38.74,38.77,38.66,16,38.73,2016-02-22T05:00:00Z,1982,38.73
38.77,38.77,38.67,6,38.67,2016-02-23T05:00:00Z,665,38.72
38.84,38.84,38.84,5,38.84,2016-02-24T05:00:00Z,440,38.83
38.81,38.81,38.81,1,38.81,2016-02-25T05:00:00Z,100,38.81
38.79,38.79,38.79,6,38.79,2016-02-26T05:00:00Z,1224,38.8
38.83,38.83,38.83,4,38.83,2016-02-29T05:00:00Z,302,38.83
38.8,38.81,38.78,13,38.81,2016-03-01T05:00:00Z,11569,38.8
38.78,38.78,38.75,13,38.78,2016-03-02T05:00:00Z,4600,38.77
38.83,38.91,38.74,124,38.74,2016-03-03T05:00:00Z,15641,38.82
38.8,38.82,38.7,27,38.82,2016-03-04T05:00:00Z,8790,38.8
38.83,38.83,38.71,22,38.76,2016-03-07T05:00:00Z,5930,38.77
38.92,38.96,38.84,31,38.95,2016-03-08T05:00:00Z,2851,38.92
38.91,38.98,38.89,34,38.93,2016-03-09T05:00:00Z,5284,38.93
38.82,38.92,38.76,19,38.81,2016-03-10T05:00:00Z,3527,38.81
38.92,38.92,38.83,17,38.83,2016-03-11T05:00:00Z,3100,38.87
38.96,38.96,38.87,25,38.87,2016-03-14T04:00:00Z,4503,38.94
38.96,39.0,38.95,36,38.99,2016-03-15T04:00:00Z,15245,38.99
38.95,38.97,38.9,20,38.9,2016-03-16T04:00:00Z,2521,38.93
39.13,39.2,39.13,18,39.17,2016-03-17T04:00:00Z,5800,39.14
39.35,39.36,39.26,27,39.26,2016-03-18T04:00:00Z,6430,39.29
39.31,39.31,39.23,21,39.23,2016-03-21T04:00:00Z,2475,39.27
39.27,39.31,39.23,28,39.23,2016-03-22T04:00:00Z,3740,39.27
39.47,39.47,39.27,58,39.27,2016-03-23T04:00:00Z,5829,39.36
39.34,39.35,39.34,9,39.35,2016-03-24T04:00:00Z,755,39.35
39.3,39.38,39.3,7,39.38,2016-03-28T04:00:00Z,788,39.35
