c,h,l,n,o,t,v,vw
40.68,40.71,40.59,103,40.68,2016-01-04T05:00:00Z,42993,40.66
40.6,40.74,40.6,169,40.61,2016-01-05T05:00:00Z,28712,40.67
40.66,40.81,40.66,128,40.76,2016-01-06T05:00:00Z,19525,40.76
40.71,40.8,40.65,198,40.66,2016-01-07T05:00:00Z,35644,40.74
40.64,40.75,40.63,34,40.69,2016-01-08T05:00:00Z,35734,40.69
40.71,40.71,40.62,51,40.7,2016-01-11T05:00:00Z,381865,40.62
40.69,40.71,40.62,69,40.71,2016-01-12T05:00:00Z,24097,40.65
40.68,40.71,40.59,30,40.6,2016-01-13T05:00:00Z,8585,40.67
40.72,40.72,40.63,21,40.63,2016-01-14T05:00:00Z,3546,40.66
40.67,40.7,40.63,22,40.67,2016-01-15T05:00:00Z,5078,40.66
40.6,40.66,40.58,61,40.65,2016-01-19T05:00:00Z,13640,40.63
40.64,40.66,40.57,91,40.6,2016-01-20T05:00:00Z,51574,40.62
40.58,40.65,40.57,42,40.62,2016-01-21T05:00:00Z,9982,40.61
40.63,40.64,40.54,88,40.6,2016-01-22T05:00:00Z,27741,40.6
40.6,40.64,40.57,30,40.59,2016-01-25T05:00:00Z,3519,40.61
40.65,40.68,40.58,47,40.63,2016-01-26T05:00:00Z,11885,40.6
40.66,40.66,40.59,18,40.63,2016-01-27T05:00:00Z,5983,40.62
40.76,40.82,40.62,355,40.63,2016-01-28T05:00:00Z,92805,40.73
40.76,40.79,40.68,19,40.76,2016-01-29T05:00:00Z,3071,40.74
40.7,40.75,40.68,15,40.75,2016-02-01T05:00:00Z,3552,40.71
40.77,40.77,40.68,52,40.77,2016-02-02T05:00:00Z,39647,40.77
40.67,40.74,40.66,46,40.66,2016-02-03T05:00:00Z,23100,40.71
40.77,40.77,40.68,78,40.72,2016-02-04T05:00:00Z,21350,40.75
40.75,40.86,40.66,83,40.86,2016-02-05T05:00:00Z,96336,40.81
40.7,40.81,40.69,53,40.76,2016-02-08T05:00:00Z,11955,40.72
40.72,40.85,40.69,177,40.85,2016-02-09T05:00:00Z,586003,40.78
40.56,40.74,40.33,584,40.73,2016-02-10T05:00:00Z,132753,40.63
40.62,40.64,40.52,914,40.62,2016-02-11T05:00:00Z,600705,40.59
40.48,40.6,40.47,599,40.58,2016-02-12T05:00:00Z,88391,40.51
40.6,40.67,40.45,925,40.65,2016-02-16T05:00:00Z,224440,40.58
40.47,40.64,40.4,797,40.6,2016-02-17T05:00:00Z,204875,40.51
40.55,40.63,40.45,243,40.46,2016-02-18T05:00:00Z,64815,40.54
40.59,40.65,40.49,415,40.57,2016-02-19T05:00:00Z,71236,40.55
40.52,40.64,40.45,568,40.64,2016-02-22T05:00:00Z,96922,40.5
40.42,40.52,40.28,1638,40.52,2016-02-23T05:00:00Z,214613,40.37
40.58,40.58,40.41,144,40.47,2016-02-24T05:00:00Z,50284,40.48
40.62,40.64,40.46,65,40.46,2016-02-25T05:00:00Z,9002,40.57
40.67,40.67,40.47,146,40.51,2016-02-26T05:00:00Z,46103,40.57
40.66,40.7,40.53,319,40.53,2016-02-29T05:00:00Z,57915,40.66
40.63,40.69,40.61,117,40.69,2016-03-01T05:00:00Z,18283,40.67
40.65,40.66,40.57,98,40.57,2016-03-02T05:00:00Z,9267,40.63
40.71,40.71,40.63,175,40.65,2016-03-03T05:00:00Z,28467,40.69
40.73,40.73,40.62,113,40.62,2016-03-04T05:00:00Z,9487,40.69
40.7,40.74,40.64,166,40.71,2016-03-07T05:00:00Z,37952,40.69
40.76,40.82,40.68,53,40.78,2016-03-08T05:00:00Z,7160,40.74
40.76,40.82,40.7,84,40.72,2016-03-09T05:00:00Z,11369,40.77
40.72,40.82,40.69,89,40.69,2016-03-10T05:00:00Z,8120,40.77
40.79,40.8,40.71,103,40.75,2016-03-11T05:00:00Z,6295,40.77
40.79,40.84,40.74,55,40.81,2016-03-14T04:00:00Z,9321,40.81
40.83,40.87,40.79,70,40.83,2016-03-15T04:00:00Z,9002,40.83
40.93,40.96,40.69,190,40.83,2016-03-16T04:00:00Z,33790,40.81
40.81,40.93,40.78,666,40.88,2016-03-17T04:00:00Z,116763,40.83
40.81,40.87,40.81,288,40.82,2016-03-18T04:00:00Z,35220,40.82
40.85,40.87,40.79,38,40.85,2016-03-21T04:00:00Z,10929,40.85
40.82,40.88,40.8,57,40.84,2016-03-22T04:00:00Z,10273,40.84
40.88,40.88,40.82,41,40.83,2016-03-23T04:00:00Z,8897,40.85
40.86,40.89,40.81,45,40.83,2016-03-24T04:00:00Z,34235,40.82
40.91,40.92,40.83,51,40.87,2016-03-28T04:00:00Z,7157,40.88
41.0,41.05,40.92,137,40.94,2016-03-29T04:00:00Z,33758,40.98
41.02,41.07,40.99,60,40.99,2016-03-30T04:00:00Z,19918,41.05
41.05,41.09,41.01,31,41.01,2016-03-31T04:00:00Z,6244,41.06
41.09,41.13,41.05,143,41.07,2016-04-01T04:00:00Z,32118,41.1
41.13,41.15,41.04,79,41.12,2016-04-04T04:00:00Z,13582,41.12
41.16,41.16,41.09,60,41.09,2016-04-05T04:00:00Z,13121,41.12
41.17,41.19,41.12,30,41.16,2016-04-06T04:00:00Z,4169,41.16
41.19,41.21,41.14,94,41.19,2016-04-07T04:00:00Z,19842,41.2
41.15,41.21,41.15,29,41.21,2016-04-08T04:00:00Z,5460,41.2
41.14,41.19,41.11,30,41.19,2016-04-11T04:00:00Z,5650,41.15
41.18,41.24,41.16,76,41.19,2016-04-12T04:00:00Z,15787,41.19
41.2,41.2,41.15,24,41.18,2016-04-13T04:00:00Z,3333,41.16
41.21,41.21,41.11,59,41.11,2016-04-14T04:00:00Z,9595,41.2
41.19,41.25,41.18,54,41.18,2016-04-15T04:00:00Z,6986,41.22
41.24,41.26,41.19,45,41.24,2016-04-18T04:00:00Z,4727,41.22
41.24,41.26,41.2,61,41.22,2016-04-19T04:00:00Z,12827,41.24
41.22,41.28,41.2,599,41.24,2016-04-20T04:00:00Z,68622,41.26
41.24,41.25,41.21,20,41.22,2016-04-21T04:00:00Z,2360,41.23
41.26,41.27,41.19,22,41.19,2016-04-22T04:00:00Z,3079,41.23
41.2,41.26,41.2,47,41.24,2016-04-25T04:00:00Z,6227,41.23
41.15,41.24,41.13,78,41.24,2016-04-26T04:00:00Z,20177,41.2
41.25,41.27,41.17,52,41.24,2016-04-27T04:00:00Z,10936,41.22
41.29,41.33,41.26,61,41.29,2016-04-28T04:00:00Z,14962,41.3
41.31,41.35,41.24,23,41.25,2016-04-29T04:00:00Z,3343,41.28
41.28,41.42,41.23,104,41.42,2016-05-02T04:00:00Z,80022,41.32
41.33,41.4,41.29,63,41.4,2016-05-03T04:00:00Z,11132,41.37
41.41,41.42,41.31,54,41.39,2016-05-04T04:00:00Z,9713,41.39
41.44,41.44,41.31,149,41.31,2016-05-05T04:00:00Z,26976,41.39
41.38,41.47,41.38,32,41.43,2016-05-06T04:00:00Z,7652,41.41
41.4,41.42,41.39,21,41.39,2016-05-09T04:00:00Z,3040,41.41
41.4,41.4,41.38,26,41.38,2016-05-10T04:00:00Z,5139,41.39
41.37,41.41,41.36,23,41.38,2016-05-11T04:00:00Z,3832,41.38
41.32,41.39,41.32,32,41.39,2016-05-12T04:00:00Z,47254,41.35
41.35,41.37,41.31,34,41.34,2016-05-13T04:00:00Z,12242,41.33
41.31,41.35,41.31,49,41.34,2016-05-16T04:00:00Z,6052,41.34
41.36,41.42,41.22,106,41.31,2016-05-17T04:00:00Z,37578,41.31
41.26,41.35,41.2,61,41.35,2016-05-18T04:00:00Z,7080,41.26
41.28,41.29,41.14,178,41.16,2016-05-19T04:00:00Z,17551,41.26
41.2,41.34,41.2,47,41.34,2016-05-20T04:00:00Z,7598,41.23
41.25,41.29,41.21,91,41.28,2016-05-23T04:00:00Z,15497,41.27
41.25,41.28,41.1,34,41.26,2016-05-24T04:00:00Z,6998,41.26
41.24,41.28,41.21,42,41.27,2016-05-25T04:00:00Z,5096,41.24
41.24,41.31,41.22,153,41.27,2016-05-26T04:00:00Z,65232,41.29
41.24,41.32,41.21,27,41.29,2016-05-27T04:00:00Z,6328,41.25
41.28,41.31,41.18,39,41.25,2016-05-31T04:00:00Z,5546,41.27
41.26,41.34,41.26,75,41.34,2016-06-01T04:00:00Z,15804,41.3
41.31,41.33,41.25,72,41.25,2016-06-02T04:00:00Z,12993,41.31
41.41,41.43,41.35,111,41.43,2016-06-03T04:00:00Z,16859,41.42
41.43,41.43,41.33,42,41.33,2016-06-06T04:00:00Z,10129,41.42
41.44,41.46,41.41,62,41.43,2016-06-07T04:00:00Z,23189,41.43
41.42,41.46,41.41,39,41.46,2016-06-08T04:00:00Z,8237,41.44
41.46,41.48,41.41,60,41.47,2016-06-09T04:00:00Z,18332,41.45
41.49,41.49,41.41,22,41.48,2016-06-10T04:00:00Z,1811,41.46
41.5,41.52,41.43,55,41.48,2016-06-13T04:00:00Z,9348,41.48
41.25,41.42,41.25,311,41.41,2016-06-14T04:00:00Z,179037,41.36
41.31,41.5,41.24,128,41.24,2016-06-15T04:00:00Z,20355,41.35
