c,h,l,n,o,t,v,vw
43.21,44.23,43.21,46,44.09,2016-01-04T05:00:00Z,993,43.6
43.76,43.81,43.25,16,43.25,2016-01-05T05:00:00Z,194,43.64
43.81,43.97,43.53,37,43.91,2016-01-06T05:00:00Z,1236,43.68
44.61,44.84,43.83,114,43.91,2016-01-07T05:00:00Z,5086,44.71
43.67,44.19,43.44,43,44.19,2016-01-08T05:00:00Z,723,43.81
44.19,44.19,43.41,54,43.95,2016-01-11T05:00:00Z,602,43.61
43.2,43.67,43.2,25,43.67,2016-01-12T05:00:00Z,287,43.4
44.1,44.23,43.48,45,43.67,2016-01-13T05:00:00Z,1325,44.01
43.48,43.72,43.11,35,43.72,2016-01-14T05:00:00Z,594,43.33
43.49,43.82,43.34,27,43.82,2016-01-15T05:00:00Z,253,43.52
43.91,44.09,43.53,44,43.53,2016-01-19T05:00:00Z,872,43.83
44.05,44.24,43.86,78,44.24,2016-01-20T05:00:00Z,1291,43.97
44.02,44.02,43.53,39,43.58,2016-01-21T05:00:00Z,635,43.72
43.91,44.48,43.91,31,44.05,2016-01-22T05:00:00Z,261,44.13
44.38,44.43,44.07,23,44.43,2016-01-25T05:00:00Z,299,44.25
45.09,45.09,44.43,43,44.43,2016-01-26T05:00:00Z,660,44.88
44.99,45.09,44.76,21,45.09,2016-01-27T05:00:00Z,147,44.91
44.29,44.9,44.05,36,44.52,2016-01-28T05:00:00Z,381,44.33
44.43,44.66,44.38,32,44.6,2016-01-29T05:00:00Z,363,44.52
44.91,44.91,44.62,11,44.62,2016-02-01T05:00:00Z,288,44.73
44.48,44.9,44.48,10,44.9,2016-02-02T05:00:00Z,111,44.62
45.49,45.62,44.85,51,44.85,2016-02-03T05:00:00Z,839,45.3
45.8,45.89,45.61,28,45.65,2016-02-04T05:00:00Z,453,45.74
45.65,45.65,45.13,38,45.13,2016-02-05T05:00:00Z,1190,45.5
46.08,46.17,45.7,40,45.92,2016-02-08T05:00:00Z,508,45.99
45.98,46.31,45.94,36,46.27,2016-02-09T05:00:00Z,747,46.18
46.03,46.08,45.78,43,46.08,2016-02-10T05:00:00Z,944,45.91
46.31,46.88,46.17,87,46.17,2016-02-11T05:00:00Z,1214,46.47
46.5,46.78,46.08,88,46.08,2016-02-12T05:00:00Z,781,46.58
45.79,47.11,45.7,97,47.11,2016-02-16T05:00:00Z,1105,46.07
46.08,46.08,45.75,18,45.75,2016-02-17T05:00:00Z,125,45.94
46.36,46.59,45.95,50,46.26,2016-02-18T05:00:00Z,1066,46.15
45.88,46.36,45.59,28,46.07,2016-02-19T05:00:00Z,407,46.13
45.78,45.88,45.26,49,45.35,2016-02-22T05:00:00Z,324,45.69
45.88,45.97,45.64,34,45.97,2016-02-23T05:00:00Z,909,45.74
45.68,46.5,45.66,34,46.21,2016-02-24T05:00:00Z,661,45.97
45.59,45.83,45.59,29,45.83,2016-02-25T05:00:00Z,229,45.66
44.67,45.78,44.54,85,45.78,2016-02-26T05:00:00Z,559,44.88
45.23,45.35,44.85,32,44.88,2016-02-29T05:00:00Z,472,45.1
