c,h,l,n,o,t,v,vw
2.25,2.81,1.64,15696,2.2,2022-11-10T05:00:00Z,4152450,2.319388
3.0,4.36,2.92,92381,4.2,2022-11-11T05:00:00Z,20099392,3.793539
3.37,3.5,2.61,8967,2.66,2022-11-14T05:00:00Z,1859997,3.117393
3.35,3.5684,3.1619,4224,3.17,2022-11-15T05:00:00Z,935044,3.360371
3.09,3.3725,2.98,2137,3.2501,2022-11-16T05:00:00Z,414805,3.148239
3.05,3.32,2.9,2164,2.92,2022-11-17T05:00:00Z,337454,3.175358
3.04,3.29,3.037,1085,3.13,2022-11-18T05:00:00Z,231132,3.1411
3.085,3.21,3.03,948,3.03,2022-11-21T05:00:00Z,193428,3.117757
2.92,3.12,2.8601,885,3.1,2022-11-22T05:00:00Z,180293,2.980669
2.85,3.5599,2.81,5049,2.96,2022-11-23T05:00:00Z,1306452,3.133546
2.84,2.9,2.7,244,2.85,2022-11-25T05:00:00Z,31897,2.855582
2.56,2.8156,2.5,773,2.74,2022-11-28T05:00:00Z,111069,2.660515
2.65,2.735,2.58,808,2.588,2022-11-29T05:00:00Z,127638,2.674666
2.6,2.6538,2.25,986,2.65,2022-11-30T05:00:00Z,189537,2.443336
2.59,2.69,2.45,390,2.69,2022-12-01T05:00:00Z,67263,2.544711
2.57,2.5899,2.4109,287,2.56,2022-12-02T05:00:00Z,22963,2.529401
2.49,2.63,2.43,578,2.63,2022-12-05T05:00:00Z,43951,2.493158
2.25,2.4553,2.22,2222,2.4553,2022-12-06T05:00:00Z,134733,2.329955
2.26,2.5923,2.16,2102,2.23,2022-12-07T05:00:00Z,425976,2.348941
2.1827,2.36,2.15,2235,2.28,2022-12-08T05:00:00Z,196826,2.236727
2.0,2.26,2.0,1385,2.21,2022-12-09T05:00:00Z,144197,2.113374
2.09,2.1501,2.02,356,2.02,2022-12-12T05:00:00Z,36524,2.064283
1.8,2.13,1.7001,877,2.13,2022-12-13T05:00:00Z,179424,1.891382
1.87,1.9234,1.8001,311,1.85,2022-12-14T05:00:00Z,22431,1.871325
1.74,1.91,1.72,357,1.85,2022-12-15T05:00:00Z,54509,1.804209
1.44,1.79,1.44,1072,1.6,2022-12-16T05:00:00Z,170371,1.602109
1.45,1.6052,1.45,383,1.45,2022-12-19T05:00:00Z,46994,1.516006
1.45,1.64,1.43,363,1.49,2022-12-20T05:00:00Z,79148,1.53575
1.46,1.5999,1.46,1010,1.54,2022-12-21T05:00:00Z,58175,1.528753
1.44,1.5317,1.4,285,1.46,2022-12-22T05:00:00Z,80430,1.485518
1.3,1.4931,1.29,211,1.42,2022-12-23T05:00:00Z,36826,1.415541
1.35,1.374,1.28,112,1.28,2022-12-27T05:00:00Z,12167,1.330648
1.47,1.5459,1.26,455,1.26,2022-12-28T05:00:00Z,113100,1.398874
1.52,1.55,1.45,120,1.5,2022-12-29T05:00:00Z,29084,1.49956
1.47,1.6588,1.42,194,1.42,2022-12-30T05:00:00Z,38995,1.497601
1.33,1.68,1.2601,526,1.55,2023-01-03T05:00:00Z,107791,1.506458
