c,h,l,n,o,t,v,vw
53.56,54.97,52.6,8366,54.48,2016-01-04T05:00:00Z,830422,53.555667
54.4,54.69,53.51,3128,53.51,2016-01-05T05:00:00Z,335572,54.292603
54.57,55.12,52.99,3737,53.69,2016-01-06T05:00:00Z,465571,54.464392
53.26,54.8899,52.77,5123,53.39,2016-01-07T05:00:00Z,643132,53.723097
53.75,55.209,53.4201,2494,53.75,2016-01-08T05:00:00Z,257341,53.963667
50.87,53.74,50.16,5053,53.74,2016-01-11T05:00:00Z,507312,51.130005
50.7,52.2,49.79,3040,51.38,2016-01-12T05:00:00Z,342455,50.849656
50.13,51.29,49.17,2921,51.08,2016-01-13T05:00:00Z,344898,50.140305
52.97,53.561,50.3,3661,50.3,2016-01-14T05:00:00Z,374839,52.561431
51.24,51.89,48.7,3264,51.28,2016-01-15T05:00:00Z,398601,51.135091
52.0,52.78,51.355,3152,52.0,2016-01-19T05:00:00Z,350291,52.017181
51.11,51.91,49.13,4888,50.85,2016-01-20T05:00:00Z,468728,50.669953
51.13,52.24,50.13,2627,51.32,2016-01-21T05:00:00Z,283126,51.146209
51.38,53.4,50.81,2889,52.5,2016-01-22T05:00:00Z,352135,51.613016
50.93,51.29,50.07,2461,51.0,2016-01-25T05:00:00Z,245093,50.791809
50.86,51.31,49.24,2969,51.0,2016-01-26T05:00:00Z,329142,50.339014
49.84,50.81,49.45,3113,50.81,2016-01-27T05:00:00Z,353709,49.984997
49.51,50.9,48.51,3630,50.44,2016-01-28T05:00:00Z,428321,49.303617
50.39,50.78,49.44,5925,49.94,2016-01-29T05:00:00Z,754586,50.196447
48.41,49.78,46.71,9832,49.14,2016-02-01T05:00:00Z,1068895,48.202163
46.03,49.44,45.265,6880,48.06,2016-02-02T05:00:00Z,733227,46.098132
45.37,47.03,44.67,5222,47.03,2016-02-03T05:00:00Z,527240,45.390276
45.69,45.95,45.09,4186,45.3,2016-02-04T05:00:00Z,402492,45.600583
44.85,45.64,44.05,3506,45.53,2016-02-05T05:00:00Z,380153,44.728428
42.6,44.85,41.51,3416,44.35,2016-02-08T05:00:00Z,465126,42.998589
42.44,44.45,41.95,2746,42.37,2016-02-09T05:00:00Z,448891,42.701386
43.0,44.96,42.82,3440,42.9,2016-02-10T05:00:00Z,429450,43.349223
41.98,44.71,41.47,3987,42.04,2016-02-11T05:00:00Z,541623,42.191408
44.22,44.24,42.01,2654,42.72,2016-02-12T05:00:00Z,327757,43.585801
46.34,46.59,45.11,3037,45.52,2016-02-16T05:00:00Z,378269,45.997836
46.1,46.73,45.68,3594,46.59,2016-02-17T05:00:00Z,399372,46.185004
44.94,46.39,44.0,3344,46.39,2016-02-18T05:00:00Z,411271,44.783702
46.15,46.73,44.346,2093,44.95,2016-02-19T05:00:00Z,242902,46.107909
46.99,47.87,46.53,2895,46.59,2016-02-22T05:00:00Z,324441,47.101309
44.58,47.0,42.77,4575,46.76,2016-02-23T05:00:00Z,593604,44.528312
44.58,44.7,42.13,3391,43.94,2016-02-24T05:00:00Z,503569,43.40555
43.68,44.09,43.3501,2427,43.71,2016-02-25T05:00:00Z,228922,43.710162
44.72,44.84,43.03,2259,44.12,2016-02-26T05:00:00Z,222014,44.255228
43.47,44.54,43.42,2599,44.54,2016-02-29T05:00:00Z,297345,43.917382
44.54,44.65,43.8975,3740,44.09,2016-03-01T05:00:00Z,288327,44.434788
45.0,45.49,44.55,2843,44.78,2016-03-02T05:00:00Z,285173,45.002559
45.14,45.45,43.805,2736,44.7,2016-03-03T05:00:00Z,340855,45.013879
48.23,48.88,46.6,6310,46.66,2016-03-04T05:00:00Z,813902,48.095455
47.42,48.19,47.3,2220,47.68,2016-03-07T05:00:00Z,364630,47.555121
46.91,48.66,46.425,1744,47.25,2016-03-08T05:00:00Z,195706,46.968956
46.8,48.96,46.28,1705,46.77,2016-03-09T05:00:00Z,188895,46.813302
46.61,47.25,46.0,1723,46.8,2016-03-10T05:00:00Z,186493,46.6104
47.99,48.09,46.33,2378,47.21,2016-03-11T05:00:00Z,257716,47.875205
48.14,48.3999,47.435,3031,47.99,2016-03-14T04:00:00Z,296107,47.974123
50.12,50.68,46.955,3285,47.69,2016-03-15T04:00:00Z,386333,49.911585
51.36,51.5,50.06,2741,50.25,2016-03-16T04:00:00Z,293508,50.982806
51.46,52.25,51.03,1779,51.15,2016-03-17T04:00:00Z,205296,51.730013
53.04,53.31,51.0,2711,51.56,2016-03-18T04:00:00Z,328282,52.80662
51.68,52.9248,50.87,2266,52.82,2016-03-21T04:00:00Z,237615,51.622005
51.63,51.82,50.68,2008,51.67,2016-03-22T04:00:00Z,221130,51.419084
49.65,51.5,49.56,1962,51.5,2016-03-23T04:00:00Z,217491,50.174737
49.89,49.98,48.81,1621,49.14,2016-03-24T04:00:00Z,188743,49.516117
48.66,49.99,48.24,3141,49.27,2016-03-28T04:00:00Z,355131,48.917561
49.61,49.97,48.2801,1938,48.5,2016-03-29T04:00:00Z,216196,49.193792
49.5,50.0,49.41,2901,50.0,2016-03-30T04:00:00Z,274882,49.611344
49.54,50.3,49.181,2585,49.63,2016-03-31T04:00:00Z,390988,49.661654
48.98,49.3325,48.15,2134,48.67,2016-04-01T04:00:00Z,195490,48.995714
49.72,49.85,48.6,1793,48.7,2016-04-04T04:00:00Z,206980,49.136104
48.57,49.48,48.23,2450,49.22,2016-04-05T04:00:00Z,262068,48.650852
49.29,49.42,48.56,2068,48.71,2016-04-06T04:00:00Z,193346,49.01632
48.42,48.95,48.21,1432,48.94,2016-04-07T04:00:00Z,142994,48.514737
48.02,48.9,47.41,1979,48.9,2016-04-08T04:00:00Z,224000,48.100766
48.07,48.48,47.605,1471,48.48,2016-04-11T04:00:00Z,139073,48.062193
47.75,48.3,46.97,2176,47.66,2016-04-12T04:00:00Z,224530,47.486671
48.65,49.12,47.97,2770,48.75,2016-04-13T04:00:00Z,313623,48.561458
48.25,48.995,47.92,2514,48.6,2016-04-14T04:00:00Z,257412,48.237537
48.51,48.72,47.6,1812,48.04,2016-04-15T04:00:00Z,218691,48.380179
48.05,48.18,47.19,2830,48.0,2016-04-18T04:00:00Z,294219,48.017639
48.01,48.44,47.73,3119,48.05,2016-04-19T04:00:00Z,292311,48.047813
48.37,48.68,47.705,1760,48.2,2016-04-20T04:00:00Z,188903,48.294649
47.38,48.55,47.31,2026,48.19,2016-04-21T04:00:00Z,190604,47.687117
47.71,48.36,47.3,3809,47.58,2016-04-22T04:00:00Z,377249,47.776038
46.11,47.57,45.19,4197,45.56,2016-04-25T04:00:00Z,535881,46.179664
45.81,46.2,45.0901,3035,46.2,2016-04-26T04:00:00Z,381710,45.6962
45.29,45.81,44.81,3107,45.81,2016-04-27T04:00:00Z,329135,45.207331
45.02,45.75,44.94,2257,45.23,2016-04-28T04:00:00Z,220694,45.239786
44.93,45.75,44.61,1972,45.05,2016-04-29T04:00:00Z,204860,44.960856
44.35,45.59,43.97,3387,44.89,2016-05-02T04:00:00Z,257619,44.368246
43.24,44.52,43.18,1885,43.72,2016-05-03T04:00:00Z,201950,43.389882
43.51,43.65,43.1,2722,43.19,2016-05-04T04:00:00Z,271710,43.380604
43.03,43.84,42.9,3474,43.82,2016-05-05T04:00:00Z,332431,43.243655
42.82,42.95,42.01,2272,42.67,2016-05-06T04:00:00Z,242090,42.550201
41.42,42.57,41.35,2635,42.57,2016-05-09T04:00:00Z,483721,41.584481
41.89,42.31,41.41,2146,41.7,2016-05-10T04:00:00Z,432752,41.878212
41.01,41.9176,40.79,2590,41.64,2016-05-11T04:00:00Z,309453,41.163107
40.0,41.093,39.71,2232,41.06,2016-05-12T04:00:00Z,275938,40.16485
39.52,40.66,39.25,2704,40.02,2016-05-13T04:00:00Z,275057,39.588545
40.82,40.92,39.94,4239,39.94,2016-05-16T04:00:00Z,493618,40.408656
