c,h,l,n,o,t,v,vw
1034.0,1044.0,1000.0,586,1008.0,2016-01-04T05:00:00Z,512,1023.66
1050.0,1064.0,1027.0,522,1028.0,2016-01-05T05:00:00Z,372,1044.33
1016.0,1054.0,1012.0,514,1034.0,2016-01-06T05:00:00Z,423,1030.85
992.0,1052.0,983.8,1165,1012.0,2016-01-07T05:00:00Z,891,1009.95
964.0,1008.0,964.0,541,990.0,2016-01-08T05:00:00Z,535,984.94
928.0,980.0,922.0,838,960.0,2016-01-11T05:00:00Z,740,948.33
956.0,966.0,936.0,613,938.0,2016-01-12T05:00:00Z,408,950.89
958.0,990.0,950.0,740,958.0,2016-01-13T05:00:00Z,592,969.34
1036.0,1070.0,962.0,870,962.0,2016-01-14T05:00:00Z,690,1010.85
1000.0,1026.0,998.0,502,1010.0,2016-01-15T05:00:00Z,421,1007.1
964.0,1012.0,956.0,504,1012.0,2016-01-19T05:00:00Z,483,976.32
992.0,1020.0,940.0,489,950.0,2016-01-20T05:00:00Z,488,975.22
1000.0,1030.0,984.0,234,988.0,2016-01-21T05:00:00Z,187,1010.13
1034.0,1070.0,1010.0,299,1010.0,2016-01-22T05:00:00Z,262,1037.49
1028.0,1060.0,1022.0,168,1040.0,2016-01-25T05:00:00Z,135,1036.82
1010.0,1034.0,964.0,811,1026.0,2016-01-26T05:00:00Z,442,1021.95
1016.0,1026.0,988.0,149,1004.0,2016-01-27T05:00:00Z,95,1009.75
1010.0,1026.0,1002.0,206,1018.0,2016-01-28T05:00:00Z,150,1008.63
1042.0,1064.0,1006.0,297,1006.0,2016-01-29T05:00:00Z,289,1028.05
1010.0,1040.0,1006.0,271,1022.0,2016-02-01T05:00:00Z,236,1019.78
1014.0,1017.98,979.84,181,998.0,2016-02-02T05:00:00Z,119,999.99
1014.0,1038.0,1009.56,367,1012.0,2016-02-03T05:00:00Z,362,1019.0
1040.0,1046.0,1008.0,237,1018.0,2016-02-04T05:00:00Z,186,1037.69
1040.0,1048.0,1024.0,248,1040.0,2016-02-05T05:00:00Z,218,1039.76
1006.0,1022.0,996.0,393,1020.0,2016-02-08T05:00:00Z,379,1005.64
952.0,997.98,944.0,502,997.98,2016-02-09T05:00:00Z,363,967.6
960.0,1004.0,944.0,374,950.0,2016-02-10T05:00:00Z,311,958.23
946.0,980.0,939.98,469,954.0,2016-02-11T05:00:00Z,375,946.24
930.0,990.0,908.0,403,948.0,2016-02-12T05:00:00Z,298,932.64
904.0,987.9,880.0,462,934.0,2016-02-16T05:00:00Z,360,905.29
906.0,930.5,868.0,509,910.0,2016-02-17T05:00:00Z,406,895.43
892.0,918.0,872.0,258,918.0,2016-02-18T05:00:00Z,186,890.23
886.0,900.0,864.0,212,882.0,2016-02-19T05:00:00Z,142,883.63
894.0,910.0,876.0,387,890.0,2016-02-22T05:00:00Z,411,892.56
882.0,904.0,880.0,240,886.0,2016-02-23T05:00:00Z,242,885.01
886.0,906.0,842.0,299,876.0,2016-02-24T05:00:00Z,213,879.4
878.0,896.0,860.0,287,882.0,2016-02-25T05:00:00Z,255,874.63
912.0,950.0,862.0,571,884.0,2016-02-26T05:00:00Z,452,903.0
928.0,942.0,908.0,279,908.0,2016-02-29T05:00:00Z,235,928.15
950.0,974.72,924.0,402,924.0,2016-03-01T05:00:00Z,465,947.97
966.0,978.0,940.0,359,950.0,2016-03-02T05:00:00Z,700,960.77
992.0,1034.0,968.0,489,974.0,2016-03-03T05:00:00Z,406,1000.86
1012.0,1020.0,986.0,254,996.0,2016-03-04T05:00:00Z,226,1012.74
1014.0,1024.0,1010.0,197,1010.0,2016-03-07T05:00:00Z,120,1016.85
1002.0,1020.0,990.0,282,1018.0,2016-03-08T05:00:00Z,307,1000.76
970.0,1026.0,958.0,170,1010.0,2016-03-09T05:00:00Z,168,984.06
946.0,1000.0,941.6,262,968.0,2016-03-10T05:00:00Z,208,963.75
954.0,998.0,944.0,221,998.0,2016-03-11T05:00:00Z,120,963.13
948.0,966.0,932.0,162,958.0,2016-03-14T04:00:00Z,111,940.45
920.0,958.0,914.0,234,952.0,2016-03-15T04:00:00Z,218,932.94
884.0,944.0,879.0,455,918.0,2016-03-16T04:00:00Z,404,910.22
928.0,972.0,894.0,337,894.0,2016-03-17T04:00:00Z,235,931.31
930.0,954.0,918.0,284,922.0,2016-03-18T04:00:00Z,259,936.49
902.0,944.0,902.0,503,930.0,2016-03-21T04:00:00Z,184,916.18
838.0,918.0,832.4,251,902.0,2016-03-22T04:00:00Z,240,873.82
806.0,858.0,764.0,504,838.0,2016-03-23T04:00:00Z,577,801.97
794.0,828.0,790.0,215,810.0,2016-03-24T04:00:00Z,156,796.76
768.0,818.0,748.0,389,804.0,2016-03-28T04:00:00Z,463,771.3
740.0,770.0,726.0,648,764.0,2016-03-29T04:00:00Z,663,740.61
764.0,802.0,740.0,389,740.0,2016-03-30T04:00:00Z,405,759.79
796.0,818.0,762.0,282,762.0,2016-03-31T04:00:00Z,246,800.73
764.0,796.0,754.0,265,796.0,2016-04-01T04:00:00Z,271,769.22
798.0,822.0,764.0,404,770.0,2016-04-04T04:00:00Z,474,794.57
834.0,860.0,802.0,320,802.0,2016-04-05T04:00:00Z,389,837.27
786.0,800.0,706.0,873,786.0,2016-04-06T04:00:00Z,1083,767.27
804.0,808.0,760.0,237,788.0,2016-04-07T04:00:00Z,175,786.48
762.0,814.0,762.0,181,802.0,2016-04-08T04:00:00Z,206,774.82
718.0,753.12,680.0,598,750.0,2016-04-11T04:00:00Z,1138,714.47
774.0,774.0,698.0,278,720.0,2016-04-12T04:00:00Z,283,732.47
848.0,850.0,768.0,214,776.0,2016-04-13T04:00:00Z,382,811.43
844.0,863.0,826.0,277,860.0,2016-04-14T04:00:00Z,290,847.84
864.0,866.0,842.0,100,842.0,2016-04-15T04:00:00Z,83,855.01
882.0,934.98,864.0,268,874.0,2016-04-18T04:00:00Z,394,889.25
882.0,894.0,862.0,127,886.0,2016-04-19T04:00:00Z,159,879.61
886.0,890.0,874.0,118,890.0,2016-04-20T04:00:00Z,82,882.34
866.0,890.0,860.0,93,890.0,2016-04-21T04:00:00Z,118,873.09
860.0,868.0,856.0,88,860.0,2016-04-22T04:00:00Z,155,860.5
872.0,876.0,854.0,115,872.0,2016-04-25T04:00:00Z,124,868.7
840.0,872.0,800.02,127,872.0,2016-04-26T04:00:00Z,157,832.45
824.0,857.12,814.0,73,840.0,2016-04-27T04:00:00Z,64,829.57
802.0,838.88,792.0,70,826.0,2016-04-28T04:00:00Z,90,814.06
818.0,826.0,780.0,132,804.0,2016-04-29T04:00:00Z,199,799.83
774.0,836.0,772.0,193,832.0,2016-05-02T04:00:00Z,141,796.54
758.0,790.9,758.0,97,778.0,2016-05-03T04:00:00Z,113,771.33
714.0,780.0,702.48,298,780.0,2016-05-04T04:00:00Z,328,731.11
700.0,734.0,700.0,160,722.0,2016-05-05T04:00:00Z,126,714.48
716.0,754.0,692.0,134,692.0,2016-05-06T04:00:00Z,149,735.12
710.0,764.0,702.0,59,762.0,2016-05-09T04:00:00Z,56,717.02
688.0,742.0,674.0,128,742.0,2016-05-10T04:00:00Z,141,695.89
699.0,812.2,658.0,358,692.0,2016-05-11T04:00:00Z,356,688.12
690.0,771.72,673.98,188,706.0,2016-05-12T04:00:00Z,202,704.6
672.0,726.0,672.0,121,684.0,2016-05-13T04:00:00Z,134,683.58
648.0,694.0,624.0,304,664.0,2016-05-16T04:00:00Z,353,649.11
616.0,680.0,592.0,570,680.0,2016-05-17T04:00:00Z,661,634.64
614.0,638.0,592.0,167,638.0,2016-05-18T04:00:00Z,171,608.2
642.0,642.0,600.0,136,616.1,2016-05-19T04:00:00Z,131,614.68
700.0,700.0,644.0,175,644.0,2016-05-20T04:00:00Z,126,680.3
694.0,702.0,680.98,152,700.0,2016-05-23T04:00:00Z,123,695.37
696.0,700.0,672.0,196,692.0,2016-05-24T04:00:00Z,284,683.85
690.0,698.0,668.0,120,690.0,2016-05-25T04:00:00Z,102,688.97
718.0,718.0,680.0,157,694.0,2016-05-26T04:00:00Z,211,694.92
786.0,790.0,720.0,286,720.0,2016-05-27T04:00:00Z,284,760.85
762.0,786.0,736.2,159,786.0,2016-05-31T04:00:00Z,132,764.74
784.0,784.0,766.0,88,766.0,2016-06-01T04:00:00Z,46,776.3
780.0,795.98,760.0,160,780.0,2016-06-02T04:00:00Z,165,778.74
764.0,800.0,748.0,246,794.0,2016-06-03T04:00:00Z,278,775.6
726.0,770.0,716.0,315,770.0,2016-06-06T04:00:00Z,236,729.73
728.0,750.0,714.0,459,750.0,2016-06-07T04:00:00Z,385,727.76
742.0,748.0,724.0,390,724.0,2016-06-08T04:00:00Z,258,738.47
732.0,740.0,726.0,103,726.0,2016-06-09T04:00:00Z,80,733.21
750.0,760.0,732.0,306,738.0,2016-06-10T04:00:00Z,310,745.58
760.0,784.0,710.0,370,760.0,2016-06-13T04:00:00Z,299,755.35
762.0,786.0,748.0,412,768.0,2016-06-14T04:00:00Z,296,765.67
760.0,792.0,754.0,228,754.0,2016-06-15T04:00:00Z,173,769.21
770.0,786.0,764.0,297,764.0,2016-06-16T04:00:00Z,278,771.0
796.0,800.0,764.0,268,768.0,2016-06-17T04:00:00Z,198,788.3
788.0,798.0,774.0,329,798.0,2016-06-20T04:00:00Z,272,784.27
786.0,820.08,784.0,448,794.0,2016-06-21T04:00:00Z,350,796.83
802.0,820.0,778.0,317,806.0,2016-06-22T04:00:00Z,236,800.93
796.0,810.0,776.0,148,802.0,2016-06-23T04:00:00Z,178,798.07
767.0,800.0,742.0,210,742.0,2016-06-24T04:00:00Z,204,769.4
728.0,800.0,726.0,293,800.0,2016-06-27T04:00:00Z,289,740.14
742.0,764.0,734.0,115,734.0,2016-06-28T04:00:00Z,49,745.1
762.0,768.0,738.02,49,740.0,2016-06-29T04:00:00Z,48,753.2
760.0,770.0,748.0,93,770.0,2016-06-30T04:00:00Z,61,758.19
746.0,760.0,742.0,89,760.0,2016-07-01T04:00:00Z,95,752.14
750.0,756.0,742.0,160,744.0,2016-07-05T04:00:00Z,192,748.97
686.0,754.0,651.6,502,754.0,2016-07-06T04:00:00Z,732,671.15
659.0,697.98,640.0,402,680.0,2016-07-07T04:00:00Z,507,656.15
654.0,670.0,650.0,326,656.0,2016-07-08T04:00:00Z,270,658.45
648.0,680.0,644.0,263,666.0,2016-07-11T04:00:00Z,212,661.71
658.0,662.0,642.0,244,644.0,2016-07-12T04:00:00Z,131,654.52
664.0,694.0,642.0,225,658.0,2016-07-13T04:00:00Z,250,662.33
686.0,718.0,658.0,149,718.0,2016-07-14T04:00:00Z,210,676.01
708.0,724.0,680.0,228,688.0,2016-07-15T04:00:00Z,182,707.73
670.0,708.0,652.0,141,700.0,2016-07-18T04:00:00Z,126,673.08
677.0,696.0,654.8,223,664.0,2016-07-19T04:00:00Z,196,666.25
666.0,692.0,654.0,213,684.0,2016-07-20T04:00:00Z,171,668.29
663.0,714.0,656.0,99,666.0,2016-07-21T04:00:00Z,53,670.08
669.0,682.0,658.0,203,660.0,2016-07-22T04:00:00Z,124,668.74
652.0,671.9,650.0,128,664.0,2016-07-25T04:00:00Z,121,658.13
660.0,696.0,650.0,64,654.0,2016-07-26T04:00:00Z,69,659.9
666.0,690.0,654.0,60,656.0,2016-07-27T04:00:00Z,60,663.63
646.0,670.0,640.0,287,660.0,2016-07-28T04:00:00Z,248,651.25
648.0,668.0,644.0,233,650.0,2016-07-29T04:00:00Z,174,652.0
635.0,668.0,626.0,156,652.0,2016-08-01T04:00:00Z,122,641.39
636.0,646.0,628.0,114,628.0,2016-08-02T04:00:00Z,87,634.46
638.0,640.0,603.76,174,640.0,2016-08-03T04:00:00Z,192,622.93
652.0,660.0,636.0,96,638.0,2016-08-04T04:00:00Z,117,649.99
678.0,680.0,656.0,261,656.0,2016-08-05T04:00:00Z,248,661.88
686.0,686.0,672.0,196,672.0,2016-08-08T04:00:00Z,204,681.31
676.0,686.0,672.0,53,680.0,2016-08-09T04:00:00Z,104,678.03
686.0,686.0,670.0,81,670.0,2016-08-10T04:00:00Z,95,679.37
736.0,738.0,684.0,275,684.0,2016-08-11T04:00:00Z,288,711.99
746.0,758.0,720.0,182,740.0,2016-08-12T04:00:00Z,208,739.8
754.0,760.0,732.0,119,746.0,2016-08-15T04:00:00Z,135,752.18
736.0,758.0,706.0,158,758.0,2016-08-16T04:00:00Z,161,740.18
728.0,732.0,700.0,175,730.0,2016-08-17T04:00:00Z,178,718.68
728.0,734.0,724.0,47,734.0,2016-08-18T04:00:00Z,73,731.67
728.0,734.0,714.0,141,732.0,2016-08-19T04:00:00Z,148,722.33
720.0,732.0,720.0,111,720.0,2016-08-22T04:00:00Z,121,728.03
722.0,732.0,698.76,94,698.76,2016-08-23T04:00:00Z,88,723.71
714.0,742.0,710.0,96,742.0,2016-08-24T04:00:00Z,54,719.93
714.0,718.0,692.02,61,716.0,2016-08-25T04:00:00Z,55,703.11
718.0,720.0,702.0,65,708.0,2016-08-26T04:00:00Z,58,715.48
718.0,728.0,710.0,131,724.0,2016-08-29T04:00:00Z,139,718.11
684.0,700.0,684.0,81,700.0,2016-08-30T04:00:00Z,188,695.65
658.0,698.0,646.0,93,698.0,2016-08-31T04:00:00Z,68,662.98
660.0,670.0,652.0,118,654.0,2016-09-01T04:00:00Z,133,660.65
680.0,680.0,635.0,169,654.0,2016-09-02T04:00:00Z,197,657.35
736.0,738.0,690.0,307,700.0,2016-09-06T04:00:00Z,377,713.17
720.0,744.0,698.0,87,718.0,2016-09-07T04:00:00Z,80,722.61
678.02,740.0,678.0,232,720.0,2016-09-08T04:00:00Z,285,701.03
670.0,716.0,660.0,156,678.0,2016-09-09T04:00:00Z,125,671.5
664.0,680.0,660.0,119,660.0,2016-09-12T04:00:00Z,99,668.7
670.0,680.0,664.0,77,664.0,2016-09-13T04:00:00Z,90,670.1
664.0,682.0,660.0,71,666.0,2016-09-14T04:00:00Z,47,667.08
662.0,690.0,660.0,95,690.0,2016-09-15T04:00:00Z,69,669.05
666.0,670.0,644.0,167,660.0,2016-09-16T04:00:00Z,135,660.7
686.0,688.0,658.0,253,658.0,2016-09-19T04:00:00Z,243,676.27
680.0,694.0,678.0,120,682.0,2016-09-20T04:00:00Z,87,683.98
706.0,706.0,675.2,189,688.0,2016-09-21T04:00:00Z,123,694.64
698.0,718.0,692.0,137,710.0,2016-09-22T04:00:00Z,103,701.14
696.0,710.0,690.0,121,702.0,2016-09-23T04:00:00Z,94,695.67
692.0,706.0,682.0,94,704.0,2016-09-26T04:00:00Z,80,695.59
694.0,696.0,662.0,58,696.0,2016-09-27T04:00:00Z,29,686.41
690.0,690.0,674.0,44,684.0,2016-09-28T04:00:00Z,29,682.46
682.0,698.0,673.6,157,680.0,2016-09-29T04:00:00Z,151,687.45
686.0,698.0,676.84,100,690.0,2016-09-30T04:00:00Z,62,689.89
686.0,700.0,682.0,64,690.0,2016-10-03T04:00:00Z,70,690.4
676.0,696.0,674.0,162,696.0,2016-10-04T04:00:00Z,111,680.7
682.0,692.0,672.4,43,672.4,2016-10-05T04:00:00Z,26,682.57
686.0,690.0,670.0,102,672.0,2016-10-06T04:00:00Z,98,683.36
692.0,694.0,682.0,90,692.0,2016-10-07T04:00:00Z,47,690.05
690.0,694.0,684.0,48,688.0,2016-10-10T04:00:00Z,233,688.29
700.0,700.0,686.0,113,688.0,2016-10-11T04:00:00Z,88,695.43
693.98,698.0,684.0,78,694.0,2016-10-12T04:00:00Z,69,690.26
690.0,690.0,670.4,62,670.4,2016-10-13T04:00:00Z,54,683.31
690.0,696.0,674.72,67,696.0,2016-10-14T04:00:00Z,47,685.98
690.0,696.0,680.0,54,684.0,2016-10-17T04:00:00Z,33,685.8
678.0,692.0,640.0,185,662.0,2016-10-18T04:00:00Z,168,681.16
664.0,688.28,654.0,50,668.0,2016-10-19T04:00:00Z,49,673.86
674.0,692.0,648.0,157,692.0,2016-10-20T04:00:00Z,122,667.45
680.0,682.0,662.0,81,670.0,2016-10-21T04:00:00Z,69,669.84
674.0,690.0,656.0,122,690.0,2016-10-24T04:00:00Z,147,672.85
660.0,674.02,640.0,137,674.0,2016-10-25T04:00:00Z,208,656.43
660.0,676.0,640.0,82,676.0,2016-10-26T04:00:00Z,92,655.1
616.0,662.0,614.0,185,662.0,2016-10-27T04:00:00Z,224,627.83
538.0,562.0,488.0,418,560.0,2016-10-28T04:00:00Z,525,526.82
536.0,562.0,522.0,332,528.0,2016-10-31T04:00:00Z,301,536.52
526.0,568.0,526.0,218,568.0,2016-11-01T04:00:00Z,196,530.72
530.0,556.0,524.0,173,530.0,2016-11-02T04:00:00Z,134,532.8
524.0,532.0,500.0,202,524.0,2016-11-03T04:00:00Z,239,514.49
542.0,558.0,510.0,221,510.0,2016-11-04T04:00:00Z,168,536.49
554.0,558.0,518.0,138,558.0,2016-11-07T05:00:00Z,170,531.35
529.86,545.12,524.0,71,540.0,2016-11-08T05:00:00Z,91,527.06
540.0,542.0,511.2,148,524.0,2016-11-09T05:00:00Z,278,522.48
542.0,550.92,524.0,83,540.0,2016-11-10T05:00:00Z,87,536.03
566.0,578.0,522.0,103,536.0,2016-11-11T05:00:00Z,91,554.68
564.0,582.2,550.0,84,582.2,2016-11-14T05:00:00Z,71,560.41
556.0,578.0,554.0,82,556.0,2016-11-15T05:00:00Z,80,559.26
556.0,574.0,549.04,58,570.0,2016-11-16T05:00:00Z,32,553.03
562.72,570.0,550.0,104,554.0,2016-11-17T05:00:00Z,121,559.89
572.0,582.0,560.0,126,560.0,2016-11-18T05:00:00Z,118,573.06
578.0,582.0,562.0,66,562.0,2016-11-21T05:00:00Z,43,573.38
570.0,580.0,558.0,150,580.0,2016-11-22T05:00:00Z,141,568.47
582.0,582.0,546.0,79,548.0,2016-11-23T05:00:00Z,79,564.17
576.0,580.0,571.4,27,578.0,2016-11-25T05:00:00Z,21,574.43
574.0,582.0,558.0,143,576.0,2016-11-28T05:00:00Z,126,571.1
578.0,582.0,564.0,150,564.0,2016-11-29T05:00:00Z,168,576.69
640.0,646.0,570.0,491,588.0,2016-11-30T05:00:00Z,633,598.59
672.0,672.0,620.0,411,650.0,2016-12-01T05:00:00Z,511,644.23
696.0,702.0,619.2,349,666.0,2016-12-02T05:00:00Z,461,680.22
714.0,724.0,699.06,120,704.0,2016-12-05T05:00:00Z,155,713.97
720.0,734.0,671.86,269,710.0,2016-12-06T05:00:00Z,336,708.02
712.0,732.0,700.0,227,706.0,2016-12-07T05:00:00Z,170,716.36
702.0,738.0,700.0,246,718.0,2016-12-08T05:00:00Z,233,706.86
700.0,720.0,687.0,226,712.0,2016-12-09T05:00:00Z,147,702.63
672.0,716.0,646.0,273,690.0,2016-12-12T05:00:00Z,276,682.32
668.0,698.0,622.0,269,662.0,2016-12-13T05:00:00Z,319,658.16
648.0,694.0,616.0,281,654.0,2016-12-14T05:00:00Z,235,640.69
676.0,690.0,638.0,371,638.0,2016-12-15T05:00:00Z,342,669.11
660.0,676.0,656.0,344,674.0,2016-12-16T05:00:00Z,433,666.72
640.0,670.0,624.0,437,660.0,2016-12-19T05:00:00Z,398,643.19
660.0,672.0,640.0,237,640.0,2016-12-20T05:00:00Z,261,658.67
660.0,674.0,654.0,133,660.0,2016-12-21T05:00:00Z,162,662.37
626.0,666.0,584.0,113,662.0,2016-12-22T05:00:00Z,116,639.46
636.0,664.0,628.0,97,628.0,2016-12-23T05:00:00Z,57,646.19
616.0,634.0,608.0,157,624.0,2016-12-27T05:00:00Z,176,618.99
606.0,634.0,584.0,184,610.0,2016-12-28T05:00:00Z,193,601.48
578.0,614.0,548.0,339,614.0,2016-12-29T05:00:00Z,327,571.72
678.0,678.0,602.0,709,614.0,2016-12-30T05:00:00Z,1581,624.46
690.0,700.0,660.0,400,700.0,2017-01-03T05:00:00Z,382,680.46
730.0,746.0,684.0,506,688.0,2017-01-04T05:00:00Z,534,712.12
732.0,752.0,712.0,478,748.0,2017-01-05T05:00:00Z,404,728.37
776.0,796.0,688.0,585,734.0,2017-01-06T05:00:00Z,730,752.51
754.0,780.0,704.0,294,780.0,2017-01-09T05:00:00Z,274,734.04
776.0,776.0,744.0,102,776.0,2017-01-10T05:00:00Z,109,763.61
776.0,780.0,732.0,306,780.0,2017-01-11T05:00:00Z,335,754.71
774.0,780.0,742.0,220,780.0,2017-01-12T05:00:00Z,145,765.39
776.0,792.0,770.0,328,776.0,2017-01-13T05:00:00Z,246,778.27
748.0,778.0,742.0,267,776.0,2017-01-17T05:00:00Z,209,756.67
748.0,770.0,724.94,262,758.0,2017-01-18T05:00:00Z,333,747.7
730.0,751.98,730.0,79,750.0,2017-01-19T05:00:00Z,88,735.26
750.0,750.0,704.0,70,730.0,2017-01-20T05:00:00Z,48,734.96
736.0,752.0,730.0,67,752.0,2017-01-23T05:00:00Z,84,732.78
740.0,748.0,730.0,71,742.0,2017-01-24T05:00:00Z,57,737.93
740.0,750.0,734.0,222,740.0,2017-01-25T05:00:00Z,140,739.13
742.0,752.0,732.0,62,742.0,2017-01-26T05:00:00Z,86,743.42
731.0,752.0,711.22,160,748.0,2017-01-27T05:00:00Z,133,730.98
729.0,738.0,724.0,52,734.0,2017-01-30T05:00:00Z,57,730.38
702.0,748.0,700.0,145,748.0,2017-01-31T05:00:00Z,100,714.8
776.0,776.0,686.0,210,690.0,2017-02-01T05:00:00Z,224,735.44
748.0,782.0,736.0,106,736.0,2017-02-02T05:00:00Z,152,752.54
760.0,766.0,738.0,89,766.0,2017-02-03T05:00:00Z,67,753.06
740.0,774.0,720.0,190,774.0,2017-02-06T05:00:00Z,198,739.27
742.0,780.0,730.0,95,738.0,2017-02-07T05:00:00Z,107,733.78
758.0,758.0,730.0,139,756.0,2017-02-08T05:00:00Z,138,742.48
742.0,770.0,742.0,52,766.0,2017-02-09T05:00:00Z,29,756.88
758.0,758.0,730.0,77,754.0,2017-02-10T05:00:00Z,54,743.73
750.0,756.0,738.0,118,738.0,2017-02-13T05:00:00Z,109,743.48
754.0,758.0,730.0,43,730.0,2017-02-14T05:00:00Z,23,738.61
754.0,758.0,730.0,65,744.0,2017-02-15T05:00:00Z,46,748.0
714.0,758.0,714.0,128,744.0,2017-02-16T05:00:00Z,219,729.47
704.0,740.0,682.0,191,716.0,2017-02-17T05:00:00Z,137,702.44
684.0,726.0,680.0,117,692.0,2017-02-21T05:00:00Z,103,687.0
674.0,680.02,665.52,109,680.02,2017-02-22T05:00:00Z,111,675.73
653.0,670.0,640.0,138,670.0,2017-02-23T05:00:00Z,270,657.87
642.0,668.0,634.0,132,650.0,2017-02-24T05:00:00Z,108,643.06
614.0,638.0,610.92,193,636.0,2017-02-27T05:00:00Z,144,619.3
590.0,614.0,588.0,108,602.0,2017-02-28T05:00:00Z,112,596.48
574.0,600.0,570.0,155,590.0,2017-03-01T05:00:00Z,164,582.49
560.0,572.04,549.66,128,572.0,2017-03-02T05:00:00Z,205,557.29
552.0,560.0,540.0,128,560.0,2017-03-03T05:00:00Z,113,552.19
554.0,558.0,532.0,112,550.0,2017-03-06T05:00:00Z,127,549.95
542.0,558.0,528.0,112,546.0,2017-03-07T05:00:00Z,142,539.91
540.0,548.0,526.0,62,538.0,2017-03-08T05:00:00Z,34,537.99
