c,h,l,n,o,t,v,vw
15.54,15.66,15.4,148,15.4,2021-06-11T04:00:00Z,30611,15.56
15.72,15.91,15.6,175,15.91,2021-06-14T04:00:00Z,27841,15.7
15.66,15.79,15.63,313,15.79,2021-06-15T04:00:00Z,35214,15.73
15.69,15.75,15.61,156,15.69,2021-06-16T04:00:00Z,16165,15.69
15.72,15.87,15.63,167,15.68,2021-06-17T04:00:00Z,29589,15.74
15.62,15.77,15.52,110,15.71,2021-06-18T04:00:00Z,11141,15.65
15.68,15.85,15.56,78,15.56,2021-06-21T04:00:00Z,12622,15.65
15.68,15.77,15.56,128,15.67,2021-06-22T04:00:00Z,13391,15.66
15.66,15.72,15.53,125,15.65,2021-06-23T04:00:00Z,16570,15.64
15.64,15.71,15.59,113,15.71,2021-06-24T04:00:00Z,10800,15.64
15.75,15.75,15.7,115,15.71,2021-06-25T04:00:00Z,10430,15.72
15.92,15.94,15.75,82,15.75,2021-06-28T04:00:00Z,12311,15.87
15.92,16.01,15.92,48,15.98,2021-06-29T04:00:00Z,7306,15.98
16.06,16.06,15.79,110,16.01,2021-06-30T04:00:00Z,25749,15.98
16.04,16.17,15.99,79,16.11,2021-07-01T04:00:00Z,11500,16.09
15.95,16.11,15.95,54,16.11,2021-07-02T04:00:00Z,10408,16.0
16.01,16.04,15.95,32,15.95,2021-07-06T04:00:00Z,3030,16.0
16.04,16.04,15.95,39,16.02,2021-07-07T04:00:00Z,2569,16.02
16.04,16.04,15.96,38,15.99,2021-07-08T04:00:00Z,6305,15.99
15.99,16.04,15.92,88,16.04,2021-07-09T04:00:00Z,8422,15.97
16.08,16.1,15.96,227,16.04,2021-07-12T04:00:00Z,55265,16.03
16.02,16.1,15.98,108,16.1,2021-07-13T04:00:00Z,16957,16.04
16.03,16.2,15.93,77,16.2,2021-07-14T04:00:00Z,8252,16.02
16.01,16.08,15.97,122,15.98,2021-07-15T04:00:00Z,13921,16.01
16.02,16.04,15.95,53,16.04,2021-07-16T04:00:00Z,7832,16.0
15.91,15.93,15.89,126,15.93,2021-07-19T04:00:00Z,15189,15.92
16.01,16.08,15.94,81,15.94,2021-07-20T04:00:00Z,8445,16.01
16.04,16.1,15.8,59,15.92,2021-07-21T04:00:00Z,14316,16.05
16.04,16.04,16.03,58,16.04,2021-07-22T04:00:00Z,4470,16.04
16.04,16.1,15.9,83,16.1,2021-07-23T04:00:00Z,12453,16.06
16.07,16.08,16.04,54,16.08,2021-07-26T04:00:00Z,9980,16.06
16.04,16.04,16.04,37,16.04,2021-07-27T04:00:00Z,2454,16.04
16.04,16.17,16.04,54,16.17,2021-07-28T04:00:00Z,9462,16.06
16.16,16.22,16.07,43,16.07,2021-07-29T04:00:00Z,5140,16.17
16.14,16.3,16.08,61,16.29,2021-07-30T04:00:00Z,13703,16.18
16.16,16.17,16.14,32,16.17,2021-08-02T04:00:00Z,6647,16.16
16.14,16.17,16.1,41,16.17,2021-08-03T04:00:00Z,10581,16.14
16.14,16.14,16.04,44,16.14,2021-08-04T04:00:00Z,9313,16.11
16.1,16.14,16.09,50,16.14,2021-08-05T04:00:00Z,8675,16.11
16.16,16.17,16.14,24,16.14,2021-08-06T04:00:00Z,2148,16.16
16.14,16.16,16.12,36,16.16,2021-08-09T04:00:00Z,3289,16.14
16.16,16.17,16.15,33,16.16,2021-08-10T04:00:00Z,4478,16.16
16.1,16.15,16.07,51,16.15,2021-08-11T04:00:00Z,3044,16.12
16.12,16.14,16.11,22,16.11,2021-08-12T04:00:00Z,2484,16.12
16.14,16.14,16.11,39,16.14,2021-08-13T04:00:00Z,14216,16.13
16.01,16.14,16.01,80,16.13,2021-08-16T04:00:00Z,11075,16.07
16.08,16.08,16.08,11,16.08,2021-08-17T04:00:00Z,206,16.08
16.1,16.16,16.1,33,16.16,2021-08-18T04:00:00Z,4366,16.14
16.1,16.14,16.04,51,16.1,2021-08-19T04:00:00Z,7275,16.08
16.04,16.17,16.02,76,16.11,2021-08-20T04:00:00Z,8500,16.05
