c,h,l,n,o,t,v,vw
9.28,10.0,9.15,2351,10.0,2023-09-20T04:00:00Z,898433,9.496251
9.07,9.25,9.05,467,9.25,2023-09-21T04:00:00Z,167988,9.148206
9.15,9.2414,8.9,276,9.07,2023-09-22T04:00:00Z,115822,9.016823
8.97,9.055,8.92,190,9.03,2023-09-25T04:00:00Z,63528,8.984509
8.59,8.96,8.58,472,8.96,2023-09-26T04:00:00Z,184849,8.717957
8.6,8.87,8.5005,440,8.65,2023-09-27T04:00:00Z,129570,8.588028
8.56,8.65,8.51,826,8.57,2023-09-28T04:00:00Z,144062,8.559265
8.665,8.69,8.53,310,8.53,2023-09-29T04:00:00Z,62843,8.634724
8.62,8.63,8.59,192,8.61,2023-10-02T04:00:00Z,18541,8.612869
8.57,8.64,8.55,111,8.6,2023-10-03T04:00:00Z,28568,8.582802
8.54,8.61,8.51,169,8.6,2023-10-04T04:00:00Z,32601,8.535951
8.57,8.58,8.52,229,8.5256,2023-10-05T04:00:00Z,32811,8.54533
8.51,8.57,8.49,197,8.52,2023-10-06T04:00:00Z,40098,8.520532
8.4,8.46,8.37,220,8.46,2023-10-09T04:00:00Z,77275,8.398625
8.35,8.43,8.3,316,8.41,2023-10-10T04:00:00Z,125151,8.338563
8.06,8.33,8.05,586,8.3,2023-10-11T04:00:00Z,120618,8.184496
8.22,8.23,8.02,317,8.1,2023-10-12T04:00:00Z,52416,8.095411
8.1811,8.25,8.13,200,8.13,2023-10-13T04:00:00Z,15008,8.221617
8.21,8.24,8.11,166,8.18,2023-10-16T04:00:00Z,45819,8.161942
8.12,8.21,8.12,325,8.15,2023-10-17T04:00:00Z,27971,8.168176
8.13,8.2,8.1143,244,8.1143,2023-10-18T04:00:00Z,32962,8.130076
8.15,8.15,8.12,157,8.15,2023-10-19T04:00:00Z,9951,8.135118
8.15,8.15,8.1,73,8.15,2023-10-20T04:00:00Z,14609,8.134316
8.19,8.2192,8.1112,183,8.1112,2023-10-23T04:00:00Z,17241,8.139015
8.2,8.2,8.13,156,8.1955,2023-10-24T04:00:00Z,12489,8.196246
8.12,8.2,8.11,416,8.15,2023-10-25T04:00:00Z,84451,8.146189
8.15,8.25,8.1201,213,8.15,2023-10-26T04:00:00Z,28894,8.171319
8.11,8.2,8.06,346,8.12,2023-10-27T04:00:00Z,68974,8.122319
8.11,8.19,8.02,160,8.11,2023-10-30T04:00:00Z,42956,8.079099
8.08,8.1,8.02,412,8.05,2023-10-31T04:00:00Z,51950,8.052649
8.03,8.1,8.01,130,8.05,2023-11-01T04:00:00Z,25806,8.033026
8.1,8.1,8.03,167,8.04,2023-11-02T04:00:00Z,32511,8.062552
8.28,8.28,8.07,262,8.08,2023-11-03T04:00:00Z,83577,8.145859
8.35,8.35,8.22,130,8.29,2023-11-06T05:00:00Z,9352,8.328628
8.43,8.43,8.31,192,8.325,2023-11-07T05:00:00Z,23292,8.382534
8.5,8.5,8.395,184,8.43,2023-11-08T05:00:00Z,13287,8.472244
8.55,8.6,8.4987,207,8.4999,2023-11-09T05:00:00Z,29619,8.569708
8.75,8.77,8.6,205,8.6,2023-11-10T05:00:00Z,21723,8.689923
8.78,9.35,8.7451,432,8.7451,2023-11-13T05:00:00Z,42484,8.979103
9.09,9.1,8.825,455,8.825,2023-11-14T05:00:00Z,77889,9.008057
9.18,9.18,8.98,370,9.06,2023-11-15T05:00:00Z,43414,9.122269
9.32,9.34,9.095,456,9.095,2023-11-16T05:00:00Z,82848,9.236812
9.35,9.4,9.1531,585,9.35,2023-11-17T05:00:00Z,139067,9.353903
9.35,9.42,9.21,501,9.39,2023-11-20T05:00:00Z,79083,9.353968
