c,h,l,n,o,t,v,vw
56.0,58.0,56.0,52,57.0,2016-01-04T05:00:00Z,292,57.13
57.5,59.0,57.49,83,58.5,2016-01-05T05:00:00Z,346,57.66
56.0,57.0,55.0,156,56.15,2016-01-06T05:00:00Z,1541,56.22
56.0,56.0,55.01,89,56.0,2016-01-07T05:00:00Z,375,55.71
56.42,56.49,55.0,24,55.0,2016-01-08T05:00:00Z,135,55.5
55.5,56.5,54.0,171,56.5,2016-01-11T05:00:00Z,1037,55.54
53.72,55.0,53.0,50,55.0,2016-01-12T05:00:00Z,377,53.92
53.5,55.0,52.5,101,53.5,2016-01-13T05:00:00Z,342,53.06
54.0,56.0,53.55,60,53.55,2016-01-14T05:00:00Z,166,54.98
52.0,54.0,51.0,180,54.0,2016-01-15T05:00:00Z,799,52.14
52.0,54.5,51.5,38,53.0,2016-01-19T05:00:00Z,169,52.07
52.0,53.5,50.5,52,52.5,2016-01-20T05:00:00Z,373,51.29
53.5,55.0,50.5,125,50.5,2016-01-21T05:00:00Z,517,52.92
55.0,55.0,52.0,80,52.5,2016-01-22T05:00:00Z,413,52.79
54.0,55.0,54.0,31,55.0,2016-01-25T05:00:00Z,98,54.62
53.0,54.5,52.5,61,52.5,2016-01-26T05:00:00Z,173,53.74
53.5,53.5,52.0,61,53.5,2016-01-27T05:00:00Z,494,52.56
53.0,54.5,52.5,17,54.5,2016-01-28T05:00:00Z,64,53.34
52.5,55.0,52.5,63,55.0,2016-01-29T05:00:00Z,439,53.14
54.0,54.5,52.5,28,52.5,2016-02-01T05:00:00Z,145,53.07
54.0,54.0,52.0,31,52.0,2016-02-02T05:00:00Z,187,52.95
52.5,54.5,52.0,55,52.5,2016-02-03T05:00:00Z,189,52.51
54.0,54.0,52.0,40,52.0,2016-02-04T05:00:00Z,555,52.63
53.5,54.0,53.0,25,53.5,2016-02-05T05:00:00Z,276,53.5
52.35,52.5,51.5,67,52.5,2016-02-08T05:00:00Z,224,52.03
51.0,52.0,50.0,66,51.0,2016-02-09T05:00:00Z,413,50.83
50.25,51.0,49.5,43,50.0,2016-02-10T05:00:00Z,497,50.5
49.17,51.0,46.5,68,50.99,2016-02-11T05:00:00Z,362,48.93
49.0,50.5,47.5,26,49.2,2016-02-12T05:00:00Z,266,48.98
50.0,50.5,49.58,22,50.17,2016-02-16T05:00:00Z,95,50.1
50.0,50.5,49.0,34,49.1,2016-02-17T05:00:00Z,288,49.66
50.0,50.5,49.0,20,49.0,2016-02-18T05:00:00Z,158,49.92
49.94,50.5,49.0,36,50.5,2016-02-19T05:00:00Z,173,50.12
49.5,50.5,49.0,31,49.1,2016-02-22T05:00:00Z,301,49.95
49.0,51.0,48.5,120,50.5,2016-02-23T05:00:00Z,1310,49.76
50.5,52.5,50.5,38,51.0,2016-02-24T05:00:00Z,227,51.44
51.08,52.49,50.5,34,50.5,2016-02-25T05:00:00Z,131,51.42
52.0,52.0,50.5,56,50.5,2016-02-26T05:00:00Z,696,51.93
50.5,52.0,50.5,65,52.0,2016-02-29T05:00:00Z,378,51.89
54.5,55.25,50.37,68,50.5,2016-03-01T05:00:00Z,651,52.3
55.0,55.0,54.25,133,54.25,2016-03-02T05:00:00Z,407,54.8
53.0,55.0,53.0,67,55.0,2016-03-03T05:00:00Z,322,54.89
54.5,57.0,52.5,145,53.0,2016-03-04T05:00:00Z,632,55.34
53.5,55.78,53.5,135,53.5,2016-03-07T05:00:00Z,669,54.85
53.5,55.5,52.5,133,53.5,2016-03-08T05:00:00Z,648,54.25
53.5,55.0,53.5,127,53.5,2016-03-09T05:00:00Z,628,54.28
55.0,55.0,54.0,555,55.0,2016-03-10T05:00:00Z,4270,72.02
