c,h,l,n,o,t,v,vw
52.27,52.77,51.86,237,51.86,2016-01-04T05:00:00Z,13161,52.04
52.79,53.74,52.54,152,52.97,2016-01-05T05:00:00Z,8094,52.83
52.59,53.53,51.84,171,53.53,2016-01-06T05:00:00Z,10285,52.36
50.84,52.56,50.49,307,51.88,2016-01-07T05:00:00Z,20027,51.31
50.01,51.86,47.98,370,50.82,2016-01-08T05:00:00Z,29316,49.77
50.06,51.39,49.27,232,50.51,2016-01-11T05:00:00Z,13660,50.19
49.19,50.56,49.08,110,50.56,2016-01-12T05:00:00Z,10189,49.47
47.55,50.47,47.54,164,49.08,2016-01-13T05:00:00Z,11047,48.32
46.53,47.98,44.09,415,47.98,2016-01-14T05:00:00Z,31438,45.96
45.85,49.04,44.53,128,45.16,2016-01-15T05:00:00Z,12757,46.03
45.75,49.43,45.38,180,46.13,2016-01-19T05:00:00Z,12661,46.41
45.27,46.66,43.15,293,45.08,2016-01-20T05:00:00Z,20562,44.79
46.3,49.81,45.84,212,45.84,2016-01-21T05:00:00Z,17027,46.49
47.62,48.48,45.45,123,47.02,2016-01-22T05:00:00Z,12600,47.3
46.95,48.14,46.3,269,47.26,2016-01-25T05:00:00Z,17966,47.1
45.52,47.88,44.06,352,47.18,2016-01-26T05:00:00Z,17904,46.44
45.04,47.42,43.15,237,45.2,2016-01-27T05:00:00Z,16983,44.42
44.4,47.01,43.67,70,43.67,2016-01-28T05:00:00Z,4347,44.84
44.42,47.93,43.52,88,44.4,2016-01-29T05:00:00Z,8639,45.12
43.07,44.37,43.07,262,44.3,2016-02-01T05:00:00Z,22658,43.36
43.29,44.56,42.33,105,43.29,2016-02-02T05:00:00Z,11312,43.09
43.29,44.12,42.89,86,43.72,2016-02-03T05:00:00Z,6243,43.5
44.24,44.24,42.91,201,43.69,2016-02-04T05:00:00Z,9185,43.67
41.95,43.52,41.95,114,43.29,2016-02-05T05:00:00Z,13948,42.32
43.14,43.34,41.32,212,42.12,2016-02-08T05:00:00Z,19391,42.66
42.96,44.27,41.77,135,42.9,2016-02-09T05:00:00Z,26726,43.05
43.85,44.03,42.52,204,43.59,2016-02-10T05:00:00Z,23049,43.24
44.17,46.19,42.99,150,42.99,2016-02-11T05:00:00Z,11590,44.07
43.06,45.36,42.6,143,44.45,2016-02-12T05:00:00Z,11477,43.56
43.51,43.7,42.65,123,43.27,2016-02-16T05:00:00Z,6238,43.28
44.99,45.7,42.82,171,43.8,2016-02-17T05:00:00Z,16137,44.42
47.55,47.65,43.77,143,45.28,2016-02-18T05:00:00Z,9169,46.79
47.32,48.04,46.3,91,47.46,2016-02-19T05:00:00Z,9222,47.33
48.56,48.61,47.51,130,47.51,2016-02-22T05:00:00Z,12934,48.16
48.0,48.61,47.63,525,48.09,2016-02-23T05:00:00Z,13752,48.23
48.65,49.94,46.67,129,47.27,2016-02-24T05:00:00Z,9332,47.9
48.27,49.03,47.44,261,48.31,2016-02-25T05:00:00Z,17216,48.21
47.9,48.43,47.44,98,48.27,2016-02-26T05:00:00Z,4204,47.81
47.64,48.11,46.69,171,48.11,2016-02-29T05:00:00Z,10273,47.42
51.39,52.15,46.88,239,47.7,2016-03-01T05:00:00Z,10542,49.36
50.83,51.4,50.19,230,50.93,2016-03-02T05:00:00Z,11661,50.91
50.88,51.38,50.07,137,50.31,2016-03-03T05:00:00Z,8047,50.76
50.42,50.75,49.97,73,50.68,2016-03-04T05:00:00Z,4923,50.47
