c,h,l,n,o,t,v,vw
10.84,11.33,8.19,215,8.19,2024-07-09T04:00:00Z,36574,9.893
11.14,12.54,7.993,2819,8.486,2024-07-10T04:00:00Z,290308,10.21
13.96,14.64,10.35,3519,11.14,2024-07-11T04:00:00Z,438578,11.77
13.55,13.7,11.1,2860,12.56,2024-07-12T04:00:00Z,291034,12.94
12.36,12.57,11.24,2795,11.84,2024-07-15T04:00:00Z,236747,11.86
11.87,12.06,11.1,2652,11.25,2024-07-16T04:00:00Z,283345,11.71
11.01,11.83,10.89,1867,11.43,2024-07-17T04:00:00Z,159183,11.31
11.12,11.76,10.37,2188,10.62,2024-07-18T04:00:00Z,190932,10.92
10.3,11.1,10.3,1648,11.1,2024-07-19T04:00:00Z,101355,10.6
11.09,11.54,10.3,2755,10.32,2024-07-22T04:00:00Z,182640,11.03
11.51,11.68,10.65,1450,10.86,2024-07-23T04:00:00Z,148480,11.29
11.47,11.75,11.24,1962,11.24,2024-07-24T04:00:00Z,143913,11.51
11.51,11.67,11.25,2227,11.34,2024-07-25T04:00:00Z,149164,11.46
11.35,11.58,11.2,2388,11.48,2024-07-26T04:00:00Z,145977,11.4
11.35,11.44,10.9,1738,11.17,2024-07-29T04:00:00Z,105742,11.19
11.38,11.43,11.0,1361,11.35,2024-07-30T04:00:00Z,73668,11.33
11.83,12.06,11.19,1234,11.32,2024-07-31T04:00:00Z,100137,11.62
11.95,11.99,11.65,1865,11.69,2024-08-01T04:00:00Z,103724,11.85
11.95,12.02,11.07,1765,11.79,2024-08-02T04:00:00Z,118956,11.83
11.87,11.96,10.72,2624,11.33,2024-08-05T04:00:00Z,138221,11.62
11.84,11.97,11.69,1722,11.83,2024-08-06T04:00:00Z,78393,11.84
11.34,12.03,11.34,1382,11.83,2024-08-07T04:00:00Z,110620,11.74
10.78,11.33,10.62,1195,11.33,2024-08-08T04:00:00Z,72030,10.93
10.74,11.06,10.64,859,10.9,2024-08-09T04:00:00Z,57193,10.84
10.6,11.07,10.54,973,10.71,2024-08-12T04:00:00Z,68623,10.71
10.77,10.94,10.32,993,10.59,2024-08-13T04:00:00Z,60949,10.71
11.05,11.33,10.76,1124,10.87,2024-08-14T04:00:00Z,127526,11.1
12.15,13.15,11.19,1610,11.22,2024-08-15T04:00:00Z,217822,12.26
11.1,12.88,10.9,2038,12.2,2024-08-16T04:00:00Z,308425,11.66
11.91,12.22,11.38,1081,11.38,2024-08-19T04:00:00Z,78238,11.87
12.18,12.24,11.83,732,12.03,2024-08-20T04:00:00Z,60123,12.03
12.95,13.08,12.0,709,12.31,2024-08-21T04:00:00Z,70651,12.67
12.4,13.12,12.37,632,12.86,2024-08-22T04:00:00Z,39069,12.74
13.09,13.1,12.57,833,12.57,2024-08-23T04:00:00Z,30426,12.96
13.17,13.24,12.81,835,13.09,2024-08-26T04:00:00Z,53348,13.09
13.48,13.5,12.83,616,13.09,2024-08-27T04:00:00Z,42288,13.29
13.55,13.67,13.21,1131,13.55,2024-08-28T04:00:00Z,81119,13.49
14.13,14.19,13.6,1094,13.75,2024-08-29T04:00:00Z,56695,13.93
13.89,14.03,13.31,880,14.02,2024-08-30T04:00:00Z,76001,13.67
14.44,14.52,13.89,765,13.94,2024-09-03T04:00:00Z,34389,14.24
14.29,14.69,14.14,683,14.55,2024-09-04T04:00:00Z,27104,14.42
13.61,14.3,13.46,913,14.19,2024-09-05T04:00:00Z,31120,13.76
13.17,13.93,13.14,665,13.61,2024-09-06T04:00:00Z,48048,13.36
13.2,13.33,12.91,777,13.18,2024-09-09T04:00:00Z,36833,13.16
13.69,13.7,13.09,481,13.38,2024-09-10T04:00:00Z,15942,13.47
13.36,13.63,13.29,308,13.55,2024-09-11T04:00:00Z,8954,13.43
14.16,14.21,13.4,468,13.4,2024-09-12T04:00:00Z,16385,13.93
14.43,14.52,13.65,742,14.16,2024-09-13T04:00:00Z,32868,14.27
14.0,14.43,13.83,2527,14.43,2024-09-16T04:00:00Z,36907,14.11
14.19,14.47,13.8,2625,14.0,2024-09-17T04:00:00Z,34577,14.06
14.09,14.33,13.85,868,14.16,2024-09-18T04:00:00Z,16359,14.06
14.11,14.47,13.58,2468,14.35,2024-09-19T04:00:00Z,52751,14.02
14.69,14.69,13.65,1335,13.76,2024-09-20T04:00:00Z,122786,14.42
14.68,14.73,14.22,3087,14.73,2024-09-23T04:00:00Z,40021,14.56
14.39,14.71,14.23,766,14.71,2024-09-24T04:00:00Z,23171,14.36
14.17,14.69,14.16,820,14.39,2024-09-25T04:00:00Z,17956,14.25
14.06,14.62,13.83,1361,14.22,2024-09-26T04:00:00Z,32963,14.24
14.49,14.56,13.8,2066,14.07,2024-09-27T04:00:00Z,34355,14.2
14.39,14.75,14.3,441,14.56,2024-09-30T04:00:00Z,20994,14.5256
14.22,14.46,14.13,471,14.32,2024-10-01T04:00:00Z,17337,14.303162
13.99,14.35,13.75,460,14.23,2024-10-02T04:00:00Z,16665,14.118133
13.5,14.3096,13.46,1262,14.14,2024-10-03T04:00:00Z,61438,13.799335
14.41,14.55,13.5,1398,13.81,2024-10-04T04:00:00Z,65549,13.923999
14.43,14.51,14.1393,1961,14.19,2024-10-07T04:00:00Z,37945,14.370538
14.82,14.95,14.14,908,14.33,2024-10-08T04:00:00Z,29655,14.455739
14.78,14.99,14.69,573,14.82,2024-10-09T04:00:00Z,24794,14.884343
14.72,14.94,14.64,1761,14.72,2024-10-10T04:00:00Z,22292,14.793206
14.92,14.94,14.4846,582,14.61,2024-10-11T04:00:00Z,32379,14.820301
14.84,15.0,14.3625,1096,14.8,2024-10-14T04:00:00Z,38950,14.94767
15.33,15.41,14.5101,1307,14.72,2024-10-15T04:00:00Z,45688,15.158012
15.29,15.35,15.0,1134,15.33,2024-10-16T04:00:00Z,57458,15.242043
15.22,15.4,15.0,2092,15.14,2024-10-17T04:00:00Z,23415,15.223152
15.43,15.4957,15.04,776,15.37,2024-10-18T04:00:00Z,26051,15.299417
14.48,15.49,14.41,1221,15.42,2024-10-21T04:00:00Z,25110,14.775951
14.62,14.7668,13.56,841,14.43,2024-10-22T04:00:00Z,36580,14.090955
14.58,14.85,14.0501,602,14.2961,2024-10-23T04:00:00Z,19482,14.51653
14.6,14.83,14.26,1757,14.83,2024-10-24T04:00:00Z,35574,14.467638
14.06,14.68,14.0,880,14.56,2024-10-25T04:00:00Z,21000,14.264101
13.95,14.4,13.76,736,14.27,2024-10-28T04:00:00Z,34185,14.117096
13.73,14.35,13.09,1016,13.85,2024-10-29T04:00:00Z,56798,13.511302
14.03,14.05,13.6,1765,13.65,2024-10-30T04:00:00Z,34928,13.976579
13.72,14.4895,13.72,858,13.96,2024-10-31T04:00:00Z,10795,13.870381
13.99,14.24,13.72,1089,13.72,2024-11-01T04:00:00Z,28137,14.005064
14.31,14.67,13.925,1935,14.0,2024-11-04T05:00:00Z,54759,14.214711
14.89,14.98,14.31,781,14.43,2024-11-05T05:00:00Z,32970,14.738571
15.19,15.28,14.57,1375,14.94,2024-11-06T05:00:00Z,76973,15.062927
15.21,15.74,15.07,999,15.19,2024-11-07T05:00:00Z,39670,15.317048
15.06,15.3,14.845,1679,15.13,2024-11-08T05:00:00Z,33188,15.064772
14.86,15.2499,14.61,1841,14.9,2024-11-11T05:00:00Z,49419,14.924866
14.67,15.21,14.5,1387,14.875,2024-11-12T05:00:00Z,29176,14.877395
14.82,14.9999,14.5596,7209,14.68,2024-11-13T05:00:00Z,53437,14.833455
15.09,15.09,14.6341,3431,14.94,2024-11-14T05:00:00Z,36322,14.903234
14.81,15.25,14.65,801,15.15,2024-11-15T05:00:00Z,24223,15.032647
14.93,15.1378,14.65,692,14.65,2024-11-18T05:00:00Z,23777,14.935345
15.29,15.3,14.86,1344,14.86,2024-11-19T05:00:00Z,38486,15.236567
14.95,15.37,14.65,678,15.29,2024-11-20T05:00:00Z,19138,15.084641
14.875,15.1999,14.68,1645,15.01,2024-11-21T05:00:00Z,20416,14.92899
14.78,15.0186,14.65,662,14.92,2024-11-22T05:00:00Z,18217,14.80887
14.9,15.2,14.75,893,14.79,2024-11-25T05:00:00Z,30755,14.902803
14.99,15.15,14.87,568,14.94,2024-11-26T05:00:00Z,15702,14.978504
15.08,15.2,14.7381,715,15.05,2024-11-27T05:00:00Z,25802,15.017665
15.53,15.625,14.95,846,15.09,2024-11-29T05:00:00Z,61963,15.337861
14.44,15.7,14.3,1411,15.7,2024-12-02T05:00:00Z,107325,14.689111
14.54,14.8174,14.455,690,14.55,2024-12-03T05:00:00Z,27077,14.668208
14.47,14.54,13.9,926,14.52,2024-12-04T05:00:00Z,41117,14.305716
14.26,14.69,13.95,1237,14.56,2024-12-05T05:00:00Z,39827,14.24427
14.02,14.21,13.525,1484,14.21,2024-12-06T05:00:00Z,67008,13.833316
14.11,14.2,13.6,2073,14.17,2024-12-09T05:00:00Z,33923,13.927663
13.85,13.9392,13.56,2075,13.82,2024-12-10T05:00:00Z,29678,13.769581
13.64,14.07,13.55,1168,13.65,2024-12-11T05:00:00Z,32087,13.752615
13.58,13.92,13.3,1990,13.61,2024-12-12T05:00:00Z,69316,13.533309
13.18,13.69,12.75,1474,13.61,2024-12-13T05:00:00Z,63081,13.129018
13.75,13.78,12.81,1798,13.15,2024-12-16T05:00:00Z,97901,13.35017
13.43,13.76,13.225,1807,13.66,2024-12-17T05:00:00Z,83202,13.493325
13.23,13.69,12.9,2268,13.34,2024-12-18T05:00:00Z,127312,13.369071
13.15,13.67,12.75,2050,13.32,2024-12-19T05:00:00Z,122207,13.04396
13.59,13.67,12.8,2531,13.07,2024-12-20T05:00:00Z,252586,13.384314
