c,h,l,n,o,t,v,vw
21.13,21.13,21.13,1,21.13,2017-07-18T04:00:00Z,100,21.13
21.13,21.13,21.13,1,21.13,2017-07-19T04:00:00Z,1000,21.13
21.13,21.13,21.13,0,21.13,2017-07-20T04:00:00Z,0,0.0
21.13,21.13,21.13,0,21.13,2017-07-21T04:00:00Z,0,0.0
21.13,21.13,21.13,0,21.13,2017-07-24T04:00:00Z,0,0.0
21.13,21.13,21.13,0,21.13,2017-07-25T04:00:00Z,0,0.0
21.13,21.13,21.13,0,21.13,2017-07-26T04:00:00Z,0,0.0
21.13,21.13,21.13,0,21.13,2017-07-27T04:00:00Z,0,0.0
21.13,21.13,21.13,0,21.13,2017-07-28T04:00:00Z,0,0.0
21.17,21.17,21.17,1,21.17,2017-07-31T04:00:00Z,1000,21.17
21.17,21.17,21.17,0,21.17,2017-08-01T04:00:00Z,0,0.0
21.17,21.17,21.17,0,21.17,2017-08-02T04:00:00Z,0,0.0
21.17,21.17,21.17,0,21.17,2017-08-03T04:00:00Z,0,0.0
21.17,21.17,21.17,0,21.17,2017-08-04T04:00:00Z,0,0.0
21.16,21.16,21.16,2,21.16,2017-08-07T04:00:00Z,400,21.16
21.16,21.16,21.16,0,21.16,2017-08-08T04:00:00Z,0,0.0
21.16,21.16,21.16,0,21.16,2017-08-09T04:00:00Z,0,0.0
21.16,21.16,21.16,0,21.16,2017-08-10T04:00:00Z,0,0.0
21.16,21.16,21.16,0,21.16,2017-08-11T04:00:00Z,0,0.0
21.16,21.16,21.16,0,21.16,2017-08-14T04:00:00Z,0,0.0
21.16,21.16,21.16,2,21.16,2017-08-15T04:00:00Z,1128,21.16
21.16,21.16,21.16,2,21.16,2017-08-16T04:00:00Z,1300,21.16
21.16,21.16,21.16,0,21.16,2017-08-17T04:00:00Z,0,0.0
21.2,21.21,21.2,6,21.2,2017-08-18T04:00:00Z,750,21.2
21.19,21.21,21.19,4,21.21,2017-08-21T04:00:00Z,1150,21.2
21.19,21.19,21.19,2,21.19,2017-08-22T04:00:00Z,10000,21.19
21.19,21.19,21.19,0,21.19,2017-08-23T04:00:00Z,0,0.0
21.19,21.19,21.19,0,21.19,2017-08-24T04:00:00Z,0,0.0
21.19,21.19,21.19,0,21.19,2017-08-25T04:00:00Z,0,0.0
21.21,21.21,21.21,6,21.21,2017-08-28T04:00:00Z,2722,21.21
21.21,21.21,21.21,0,21.21,2017-08-29T04:00:00Z,0,0.0
21.21,21.21,21.21,0,21.21,2017-08-30T04:00:00Z,0,0.0
21.21,21.21,21.21,0,21.21,2017-08-31T04:00:00Z,0,0.0
21.27,21.27,21.27,0,21.27,2017-09-01T04:00:00Z,0,0.0
21.27,21.27,21.27,0,21.27,2017-09-05T04:00:00Z,0,0.0
21.26,21.26,21.25,2,21.25,2017-09-06T04:00:00Z,1181,21.26
21.28,21.29,21.26,19,21.26,2017-09-07T04:00:00Z,26104,21.27
21.27,21.27,21.27,13,21.27,2017-09-08T04:00:00Z,1511,21.27
21.25,21.25,21.25,3,21.25,2017-09-11T04:00:00Z,1588,21.25
21.24,21.24,21.23,10,21.24,2017-09-12T04:00:00Z,999,21.24
21.23,21.23,21.23,1,21.23,2017-09-13T04:00:00Z,100,21.23
21.22,21.22,21.22,2,21.22,2017-09-14T04:00:00Z,194,21.22
21.22,21.22,21.22,0,21.22,2017-09-15T04:00:00Z,0,0.0
21.22,21.22,21.22,0,21.22,2017-09-18T04:00:00Z,0,0.0
21.22,21.22,21.22,0,21.22,2017-09-19T04:00:00Z,0,0.0
21.2,21.2,21.2,3,21.2,2017-09-20T04:00:00Z,201,21.2
21.17,21.2,21.17,16,21.19,2017-09-21T04:00:00Z,6067,21.19
21.17,21.17,21.17,0,21.17,2017-09-22T04:00:00Z,0,0.0
21.17,21.17,21.17,0,21.17,2017-09-25T04:00:00Z,0,0.0
21.21,21.21,21.21,2,21.21,2017-09-26T04:00:00Z,500,21.21
21.2,21.2,21.19,20,21.2,2017-09-27T04:00:00Z,10233,21.2
21.22,21.22,21.19,27,21.22,2017-09-28T04:00:00Z,19654,21.22
21.2,21.21,21.2,13,21.21,2017-09-29T04:00:00Z,1405,21.2
21.18,21.21,21.18,9,21.2,2017-10-02T04:00:00Z,2787,21.19
21.21,21.21,21.2,6,21.2,2017-10-03T04:00:00Z,54207,21.21
21.21,21.21,21.21,0,21.21,2017-10-04T04:00:00Z,0,0.0
21.21,21.21,21.21,0,21.21,2017-10-05T04:00:00Z,0,0.0
21.2,21.2,21.2,5,21.2,2017-10-06T04:00:00Z,1304,21.2
21.2,21.2,21.2,3,21.2,2017-10-09T04:00:00Z,332,21.2
21.21,21.21,21.21,2,21.21,2017-10-10T04:00:00Z,123,21.21
21.21,21.21,21.21,0,21.21,2017-10-11T04:00:00Z,0,0.0
21.21,21.21,21.21,0,21.21,2017-10-12T04:00:00Z,0,0.0
21.23,21.23,21.22,7,21.22,2017-10-13T04:00:00Z,2938,21.23
21.23,21.23,21.23,3,21.23,2017-10-16T04:00:00Z,3000,21.23
21.21,21.21,21.2,5,21.21,2017-10-17T04:00:00Z,575,21.21
21.2,21.2,21.2,2,21.2,2017-10-18T04:00:00Z,200,21.2
21.21,21.22,21.21,5,21.22,2017-10-19T04:00:00Z,500,21.22
21.21,21.21,21.21,0,21.21,2017-10-20T04:00:00Z,0,0.0
21.2,21.21,21.2,11,21.2,2017-10-23T04:00:00Z,4431,21.21
21.2,21.2,21.2,1,21.2,2017-10-24T04:00:00Z,127,21.2
21.19,21.19,21.18,12,21.18,2017-10-25T04:00:00Z,3231,21.19
21.19,21.19,21.19,0,21.19,2017-10-26T04:00:00Z,0,0.0
21.19,21.19,21.19,0,21.19,2017-10-27T04:00:00Z,0,0.0
21.21,21.22,21.2,6,21.22,2017-10-30T04:00:00Z,149891,21.21
21.22,21.22,21.22,4,21.22,2017-10-31T04:00:00Z,232,21.22
21.22,21.22,21.22,2,21.22,2017-11-01T04:00:00Z,885,21.22
21.21,21.28,21.21,105,21.22,2017-11-02T04:00:00Z,35476,21.22
21.22,21.22,21.17,42,21.2,2017-11-03T04:00:00Z,16924,21.21
21.22,21.22,21.22,10,21.22,2017-11-06T05:00:00Z,1337,21.22
21.22,21.22,21.2,65,21.22,2017-11-07T05:00:00Z,65998,21.22
21.18,21.22,21.18,22,21.22,2017-11-08T05:00:00Z,3326,21.2
21.18,21.18,21.18,0,21.18,2017-11-09T05:00:00Z,0,0.0
21.17,21.18,21.17,14,21.18,2017-11-10T05:00:00Z,2296,21.18
21.17,21.17,21.17,38,21.17,2017-11-13T05:00:00Z,5123,21.17
21.15,21.15,21.13,3,21.13,2017-11-14T05:00:00Z,673,21.14
21.12,21.13,21.12,6,21.13,2017-11-15T05:00:00Z,1207,21.13
21.16,21.37,21.16,8,21.37,2017-11-16T05:00:00Z,773,21.19
21.16,21.17,21.16,16,21.16,2017-11-17T05:00:00Z,5378,21.16
21.11,21.15,21.11,25,21.15,2017-11-20T05:00:00Z,4731,21.13
21.16,21.16,21.12,34,21.13,2017-11-21T05:00:00Z,8709,21.15
21.18,21.18,21.18,7,21.18,2017-11-22T05:00:00Z,6530,21.18
21.18,21.18,21.18,0,21.18,2017-11-24T05:00:00Z,0,0.0
21.18,21.18,21.17,24,21.17,2017-11-27T05:00:00Z,14420,21.17
21.18,21.18,21.18,0,21.18,2017-11-28T05:00:00Z,0,0.0
21.18,21.18,21.18,0,21.18,2017-11-29T05:00:00Z,0,0.0
21.15,21.16,21.15,6,21.16,2017-11-30T05:00:00Z,2500,21.15
21.15,21.19,21.15,35,21.16,2017-12-01T05:00:00Z,7287,21.16
21.1,21.13,21.1,11,21.13,2017-12-04T05:00:00Z,4015,21.11
21.13,21.13,21.13,5,21.13,2017-12-05T05:00:00Z,1845,21.13
21.12,21.14,21.12,4,21.14,2017-12-06T05:00:00Z,565,21.12
21.17,21.17,21.14,14,21.14,2017-12-07T05:00:00Z,2721,21.16
21.17,21.17,21.15,12,21.16,2017-12-08T05:00:00Z,995,21.16
21.15,21.17,21.15,8,21.16,2017-12-11T05:00:00Z,1033,21.16
21.16,21.16,21.12,16,21.15,2017-12-12T05:00:00Z,9738,21.14
21.19,21.19,21.13,70,21.14,2017-12-13T05:00:00Z,12304,21.14
21.18,21.18,21.18,1,21.18,2017-12-14T05:00:00Z,360,21.18
21.15,21.15,21.15,4,21.15,2017-12-15T05:00:00Z,3328,21.15
21.15,21.15,21.15,0,21.15,2017-12-18T05:00:00Z,0,0.0
21.15,21.16,21.14,49,21.16,2017-12-19T05:00:00Z,17312,21.15
21.14,21.15,21.13,30,21.13,2017-12-20T05:00:00Z,8904,21.14
21.13,21.15,21.13,109,21.14,2017-12-21T05:00:00Z,12207,21.14
21.15,21.15,21.13,43,21.14,2017-12-22T05:00:00Z,12834,21.14
21.14,21.14,21.13,16,21.13,2017-12-26T05:00:00Z,4453,21.14
21.21,21.21,21.13,11,21.17,2017-12-27T05:00:00Z,380048,21.21
21.17,21.18,21.17,16,21.18,2017-12-28T05:00:00Z,184622,21.17
21.19,21.19,21.17,25,21.18,2017-12-29T05:00:00Z,21022,21.19
21.16,21.16,21.13,12,21.16,2018-01-02T05:00:00Z,870,21.15
21.16,21.37,21.14,15,21.14,2018-01-03T05:00:00Z,297628,21.18
21.13,21.16,21.12,19,21.16,2018-01-04T05:00:00Z,4367,21.15
21.14,21.16,21.14,20,21.16,2018-01-05T05:00:00Z,14527,21.15
21.15,21.16,21.14,13,21.16,2018-01-08T05:00:00Z,1227,21.15
21.14,21.16,21.13,29,21.16,2018-01-09T05:00:00Z,8918,21.15
21.13,21.15,21.13,16,21.15,2018-01-10T05:00:00Z,4332,21.14
21.15,21.16,21.15,13,21.15,2018-01-11T05:00:00Z,6468,21.15
