c,h,l,n,o,t,v,vw
27.25,27.7699,23.58,36317,24.7,2021-04-23T04:00:00Z,10234320,25.163086
27.6,27.69,25.05,14893,27.45,2021-04-26T04:00:00Z,1908146,26.733676
27.5,28.57,25.85,13070,26.83,2021-04-27T04:00:00Z,1045320,27.028427
28.31,28.795,26.11,9616,26.94,2021-04-28T04:00:00Z,982087,28.212489
26.88,28.98,26.55,9177,28.63,2021-04-29T04:00:00Z,3063915,27.280857
26.0,26.78,25.99,5024,26.23,2021-04-30T04:00:00Z,614729,26.140735
26.01,26.52,24.99,5878,26.0,2021-05-03T04:00:00Z,567245,25.69894
25.14,26.34,25.0,6925,25.79,2021-05-04T04:00:00Z,856669,25.530306
25.93,26.29,25.05,7391,25.74,2021-05-05T04:00:00Z,1133623,25.391454
26.33,26.98,25.5,3781,25.73,2021-05-06T04:00:00Z,452778,26.073043
28.91,29.26,26.1423,5946,26.41,2021-05-07T04:00:00Z,1000649,27.821096
29.62,30.26,28.1,3071,28.88,2021-05-10T04:00:00Z,319096,29.485911
29.95,30.5,28.24,2771,29.24,2021-05-11T04:00:00Z,565529,29.210407
28.66,30.0738,28.215,4741,29.79,2021-05-12T04:00:00Z,534518,29.078721
29.63,29.75,28.5,3985,28.74,2021-05-13T04:00:00Z,549249,29.234388
31.81,31.98,29.45,4167,30.08,2021-05-14T04:00:00Z,565000,30.735787
32.7,33.26,31.53,4428,31.81,2021-05-17T04:00:00Z,527672,32.354672
31.69,34.73,31.61,9010,32.89,2021-05-18T04:00:00Z,1044826,33.038463
31.62,31.73,29.02,4454,31.2,2021-05-19T04:00:00Z,467807,30.774362
29.71,32.43,29.51,4155,31.89,2021-05-20T04:00:00Z,394290,30.471001
29.68,30.2586,28.49,3225,30.05,2021-05-21T04:00:00Z,275462,29.169615
29.59,30.88,29.01,3160,30.25,2021-05-24T04:00:00Z,297264,29.664105
29.9,30.48,29.61,4531,29.74,2021-05-25T04:00:00Z,597627,30.079483
30.2,30.72,29.4,4311,29.98,2021-05-26T04:00:00Z,552072,30.002383
29.92,30.17,29.04,3255,30.12,2021-05-27T04:00:00Z,316514,29.706353
31.06,31.19,29.51,3765,30.06,2021-05-28T04:00:00Z,363574,30.734143
31.06,31.8099,30.42,2572,31.24,2021-06-01T04:00:00Z,189727,30.990977
30.68,31.61,29.66,3460,31.39,2021-06-02T04:00:00Z,349546,30.385495
29.64,30.62,28.66,3684,30.62,2021-06-03T04:00:00Z,287428,29.703874
28.97,30.2799,28.49,2469,29.9,2021-06-04T04:00:00Z,195906,29.083184
27.89,29.43,27.05,5585,28.98,2021-06-07T04:00:00Z,369056,28.064902
27.92,28.39,27.74,5828,28.0,2021-06-08T04:00:00Z,450849,27.968831
27.44,28.19,27.26,3542,27.86,2021-06-09T04:00:00Z,350040,27.531762
27.53,27.84,27.12,4608,27.38,2021-06-10T04:00:00Z,688556,27.522303
27.81,28.01,27.38,3344,27.68,2021-06-11T04:00:00Z,291673,27.723867
28.49,28.62,27.64,3578,27.87,2021-06-14T04:00:00Z,255151,28.358181
28.16,28.9609,28.11,3924,28.48,2021-06-15T04:00:00Z,270554,28.451687
28.94,29.145,28.01,5861,28.31,2021-06-16T04:00:00Z,576423,28.774363
28.76,29.82,28.4,3928,28.94,2021-06-17T04:00:00Z,553848,28.872776
29.48,29.668,28.29,5369,28.29,2021-06-18T04:00:00Z,2193046,29.430691
30.38,31.19,29.6,3914,29.6,2021-06-21T04:00:00Z,421227,30.567601
29.99,30.66,29.7,3415,30.25,2021-06-22T04:00:00Z,459232,30.021087
30.8,31.04,29.775,4545,30.21,2021-06-23T04:00:00Z,348934,30.516888
31.05,31.59,30.66,3293,30.95,2021-06-24T04:00:00Z,281332,31.180429
30.39,31.7,30.17,4514,31.27,2021-06-25T04:00:00Z,5152233,30.414686
31.24,32.0,29.87,7673,30.39,2021-06-28T04:00:00Z,1376039,31.002167
31.94,32.18,30.98,4656,31.42,2021-06-29T04:00:00Z,474247,31.865884
31.96,32.58,31.43,5200,32.19,2021-06-30T04:00:00Z,572549,31.917313
31.91,32.3,31.05,4924,32.18,2021-07-01T04:00:00Z,1077567,31.895982
31.18,32.1,31.06,3063,32.0,2021-07-02T04:00:00Z,463187,31.230273
30.37,31.45,29.08,6435,31.45,2021-07-06T04:00:00Z,784928,29.906829
30.85,31.34,29.8012,5774,30.24,2021-07-07T04:00:00Z,767469,30.63339
30.97,31.26,29.5,4197,30.54,2021-07-08T04:00:00Z,547710,30.55359
30.33,31.85,30.05,2927,31.31,2021-07-09T04:00:00Z,242540,30.795991
30.28,30.73,29.76,4392,30.68,2021-07-12T04:00:00Z,267031,30.223048
29.8,30.69,29.68,4052,29.91,2021-07-13T04:00:00Z,523647,30.006372
28.81,30.11,28.61,1849,30.11,2021-07-14T04:00:00Z,166502,28.979229
28.7,29.4,28.51,3260,28.79,2021-07-15T04:00:00Z,329543,28.861543
27.04,29.4,26.92,4294,28.87,2021-07-16T04:00:00Z,502604,27.389128
27.65,27.67,25.74,4767,26.51,2021-07-19T04:00:00Z,353729,27.093488
28.18,28.67,27.39,3057,27.85,2021-07-20T04:00:00Z,235465,28.121293
28.29,28.655,27.765,2041,28.24,2021-07-21T04:00:00Z,171962,28.217718
27.76,28.57,27.27,2637,28.21,2021-07-22T04:00:00Z,199232,27.754438
28.31,28.57,27.2115,2209,27.71,2021-07-23T04:00:00Z,248734,28.288449
28.24,28.57,27.68,1953,28.4,2021-07-26T04:00:00Z,211672,28.076211
28.7,28.75,27.8,2199,28.26,2021-07-27T04:00:00Z,125181,28.298082
28.36,28.96,27.86,2206,28.77,2021-07-28T04:00:00Z,130753,28.333223
28.6,28.76,28.12,2461,28.46,2021-07-29T04:00:00Z,213294,28.417178
27.28,28.9,27.15,2157,28.69,2021-07-30T04:00:00Z,320824,27.564349
26.83,28.16,26.53,3157,27.54,2021-08-02T04:00:00Z,231634,27.034828
26.5,28.04,25.94,2924,26.9,2021-08-03T04:00:00Z,250672,26.607345
26.39,26.99,26.21,3754,26.34,2021-08-04T04:00:00Z,295789,26.588252
21.62,26.11,21.31,8966,25.35,2021-08-05T04:00:00Z,1134742,22.787648
20.47,22.41,19.895,7945,22.01,2021-08-06T04:00:00Z,900482,20.723907
