c,h,l,n,o,t,v,vw
23.12,23.13,22.94,165,23.03,2023-10-04T04:00:00Z,24258,23.05
23.02,23.11,22.94,26,23.11,2023-10-05T04:00:00Z,3031,23.02
23.11,23.11,22.94,33,23.02,2023-10-06T04:00:00Z,7358,22.99
23.04,23.13,23.04,22,23.13,2023-10-09T04:00:00Z,2400,23.09
23.07,23.1,23.0,25,23.08,2023-10-10T04:00:00Z,8599,23.04
23.2,23.26,23.05,162,23.09,2023-10-11T04:00:00Z,27049,23.16
23.13,23.26,23.05,88,23.26,2023-10-12T04:00:00Z,16721,23.14
23.16,23.17,23.09,42,23.16,2023-10-13T04:00:00Z,15056,23.14
23.09,23.31,23.08,36,23.16,2023-10-16T04:00:00Z,6401,23.18
23.13,23.13,23.11,9,23.11,2023-10-17T04:00:00Z,2870,23.12
23.12,23.18,23.09,36,23.11,2023-10-18T04:00:00Z,4636,23.16
23.22,23.22,23.13,9,23.2,2023-10-19T04:00:00Z,763,23.2
23.14,23.16,22.92,49,23.08,2023-10-20T04:00:00Z,15714,22.98
23.1,23.18,23.05,23,23.18,2023-10-23T04:00:00Z,3663,23.1
23.36,23.39,23.05,30,23.05,2023-10-24T04:00:00Z,5870,23.25
23.38,23.38,23.28,6,23.28,2023-10-25T04:00:00Z,887,23.3
23.29,23.38,23.29,3,23.38,2023-10-26T04:00:00Z,274,23.32
23.3,23.39,23.3,23,23.34,2023-10-27T04:00:00Z,7107,23.34
23.23,23.28,23.23,5,23.23,2023-10-30T04:00:00Z,1368,23.24
23.23,23.28,23.23,24,23.23,2023-10-31T04:00:00Z,3600,23.23
23.22,23.36,23.09,25,23.09,2023-11-01T04:00:00Z,14183,23.13
23.24,23.37,23.24,11,23.37,2023-11-02T04:00:00Z,1048,23.34
23.31,23.31,23.24,9,23.27,2023-11-03T04:00:00Z,1835,23.27
23.41,23.5,23.39,12,23.39,2023-11-06T05:00:00Z,2098,23.45
23.36,23.5,23.36,25,23.5,2023-11-07T05:00:00Z,5493,23.42
23.36,23.41,23.36,27,23.39,2023-11-08T05:00:00Z,6522,23.39
23.38,23.45,23.36,35,23.45,2023-11-09T05:00:00Z,5888,23.41
23.36,23.55,23.36,56,23.55,2023-11-10T05:00:00Z,10138,23.43
23.39,23.55,23.36,20,23.36,2023-11-13T05:00:00Z,2662,23.41
23.43,23.43,23.41,5,23.42,2023-11-14T05:00:00Z,1490,23.41
23.41,23.45,23.41,9,23.45,2023-11-15T05:00:00Z,1170,23.43
23.36,23.5,23.36,30,23.5,2023-11-16T05:00:00Z,5373,23.43
23.58,23.58,23.46,31,23.5,2023-11-17T05:00:00Z,6202,23.49
23.45,23.5,23.41,22,23.5,2023-11-20T05:00:00Z,3702,23.45
23.42,23.57,23.41,45,23.55,2023-11-21T05:00:00Z,5918,23.49
23.59,23.59,23.42,4,23.43,2023-11-22T05:00:00Z,500,23.45
23.55,23.55,23.48,7,23.55,2023-11-24T05:00:00Z,1100,23.54
23.29,23.45,23.2,139,23.44,2023-11-27T05:00:00Z,26118,23.36
23.28,23.4,23.28,29,23.29,2023-11-28T05:00:00Z,3304,23.33
23.34,23.38,23.29,15,23.29,2023-11-29T05:00:00Z,1778,23.32
23.33,23.41,23.31,41,23.34,2023-11-30T05:00:00Z,6112,23.37
23.41,23.48,23.36,11,23.48,2023-12-01T05:00:00Z,5655,23.42
23.5,23.51,23.41,19,23.41,2023-12-04T05:00:00Z,3235,23.46
23.5,23.58,23.5,83,23.51,2023-12-05T05:00:00Z,9585,23.51
23.5,23.56,23.5,33,23.51,2023-12-06T05:00:00Z,5262,23.53
23.6,23.6,23.56,16,23.56,2023-12-07T05:00:00Z,3504,23.59
23.62,23.62,23.51,23,23.55,2023-12-08T05:00:00Z,4623,23.57
23.45,23.89,23.42,86,23.62,2023-12-11T05:00:00Z,14506,23.57
23.5,23.74,23.5,9,23.57,2023-12-12T05:00:00Z,3288,23.59
23.5,23.69,23.42,49,23.69,2023-12-13T05:00:00Z,14429,23.46
23.98,23.98,23.68,75,23.74,2023-12-14T05:00:00Z,12146,23.75
23.91,23.94,23.71,12,23.71,2023-12-15T05:00:00Z,1232,23.85
23.93,23.95,23.84,36,23.9,2023-12-18T05:00:00Z,4222,23.91
23.95,24.09,23.86,40,23.86,2023-12-19T05:00:00Z,6166,23.97
23.92,24.11,23.92,45,23.93,2023-12-20T05:00:00Z,6013,24.0
23.77,23.94,23.77,50,23.93,2023-12-21T05:00:00Z,8327,23.85
23.91,23.92,23.67,61,23.78,2023-12-22T05:00:00Z,6479,23.83
23.78,23.91,23.77,40,23.91,2023-12-26T05:00:00Z,6917,23.84
23.7,23.87,23.7,27,23.87,2023-12-27T05:00:00Z,6899,23.83
23.87,23.9,23.74,29,23.9,2023-12-28T05:00:00Z,3725,23.78
24.0,24.0,23.7,7,23.7,2023-12-29T05:00:00Z,1294,23.88
23.96,24.01,23.94,33,23.96,2024-01-02T05:00:00Z,6062,23.96
24.06,24.11,23.92,29,24.01,2024-01-03T05:00:00Z,5059,24.04
23.92,23.96,23.89,87,23.92,2024-01-04T05:00:00Z,18083,23.93
23.87,23.93,23.87,25,23.92,2024-01-05T05:00:00Z,4493,23.92
23.92,23.95,23.87,57,23.93,2024-01-08T05:00:00Z,9601,23.9
23.88,23.93,23.87,46,23.87,2024-01-09T05:00:00Z,8869,23.9
23.89,24.08,23.89,19,24.08,2024-01-10T05:00:00Z,2959,23.96
23.92,23.96,23.92,51,23.93,2024-01-11T05:00:00Z,7456,23.93
24.01,24.01,23.91,62,23.92,2024-01-12T05:00:00Z,5538,23.93
23.92,24.01,23.92,63,23.96,2024-01-16T05:00:00Z,6849,23.94
23.9,23.93,23.87,76,23.93,2024-01-17T05:00:00Z,13168,23.91
23.9,23.93,23.9,43,23.93,2024-01-18T05:00:00Z,3668,23.92
23.93,23.93,23.93,14,23.93,2024-01-19T05:00:00Z,880,23.93
23.93,24.08,23.92,30,23.93,2024-01-22T05:00:00Z,5877,23.95
23.92,24.04,23.92,38,24.02,2024-01-23T05:00:00Z,7990,23.94
23.89,23.96,23.89,30,23.96,2024-01-24T05:00:00Z,6824,23.94
23.92,23.92,23.91,13,23.91,2024-01-25T05:00:00Z,968,23.91
23.92,23.92,23.89,28,23.92,2024-01-26T05:00:00Z,3392,23.91
23.92,23.92,23.92,19,23.92,2024-01-29T05:00:00Z,4243,23.92
23.96,23.96,23.92,18,23.92,2024-01-30T05:00:00Z,2500,23.95
24.1,24.1,24.05,19,24.05,2024-01-31T05:00:00Z,2728,24.07
24.06,24.11,23.94,15,23.94,2024-02-01T05:00:00Z,2413,24.03
