c,h,l,n,o,t,v,vw
565740.0,680400.0,491400.0,2942,630000.0,2020-09-25T04:00:00Z,4,553451.72
569520.0,573300.0,510300.0,328,573300.0,2020-09-28T04:00:00Z,0,555583.77
595980.0,626220.0,535512.6,363,535512.6,2020-09-29T04:00:00Z,0,591095.86
593460.0,617400.0,574560.0,238,582120.0,2020-09-30T04:00:00Z,0,589372.94
570780.0,603540.0,556920.0,515,603540.0,2020-10-01T04:00:00Z,0,575474.0
565740.0,565740.0,553140.0,143,554400.0,2020-10-02T04:00:00Z,0,557571.8
570780.0,579600.0,546840.0,255,548100.0,2020-10-05T04:00:00Z,0,566125.69
592200.0,636300.0,569520.0,478,598500.0,2020-10-06T04:00:00Z,0,620776.04
636300.0,636300.0,599760.0,342,603540.0,2020-10-07T04:00:00Z,0,623057.4
614880.0,661500.0,611100.0,285,653940.0,2020-10-08T04:00:00Z,0,644472.99
617400.0,642600.0,579600.0,127,640080.0,2020-10-09T04:00:00Z,0,607641.68
594720.0,650160.0,585900.0,116,650160.0,2020-10-12T04:00:00Z,0,601122.06
630000.0,630000.0,599911.2,316,604800.0,2020-10-13T04:00:00Z,0,618922.33
662760.0,693000.0,630000.0,593,636300.0,2020-10-14T04:00:00Z,1,661435.11
661500.0,686700.0,655200.0,283,686700.0,2020-10-15T04:00:00Z,0,666527.15
641340.0,676620.0,619932.6,159,676620.0,2020-10-16T04:00:00Z,0,642626.84
640080.0,642600.0,624292.2,99,642600.0,2020-10-19T04:00:00Z,0,638139.73
642600.0,655200.0,631260.0,203,631260.0,2020-10-20T04:00:00Z,0,643899.94
674100.0,675360.0,640080.0,139,642600.0,2020-10-21T04:00:00Z,0,649873.1
669060.0,685427.4,641340.0,350,641340.0,2020-10-22T04:00:00Z,0,666651.13
674100.0,674100.0,655200.0,109,669060.0,2020-10-23T04:00:00Z,0,667671.73
709380.0,724500.0,674100.0,748,686700.0,2020-10-26T04:00:00Z,1,703088.57
762300.0,768600.0,680400.0,1107,718200.0,2020-10-27T04:00:00Z,2,744064.4
750960.0,774900.0,693000.0,659,774900.0,2020-10-28T04:00:00Z,1,756125.87
742140.0,763560.0,718200.0,403,740880.0,2020-10-29T04:00:00Z,0,745831.67
730800.0,743400.0,699300.0,225,743400.0,2020-10-30T04:00:00Z,0,718984.22
739620.0,756000.0,717179.4,350,737100.0,2020-11-02T05:00:00Z,0,744272.17
739620.0,757260.0,730800.0,201,756000.0,2020-11-03T05:00:00Z,0,750658.1
723240.0,758520.0,723240.0,178,754740.0,2020-11-04T05:00:00Z,0,749979.09
716310.0,762300.0,706860.0,97,738360.0,2020-11-05T05:00:00Z,0,737390.05
735840.0,743400.0,711900.0,113,711900.0,2020-11-06T05:00:00Z,0,731231.17
737100.0,749700.0,737100.0,145,749700.0,2020-11-09T05:00:00Z,0,742216.99
740880.0,756000.0,718200.0,97,756000.0,2020-11-10T05:00:00Z,0,740480.96
748440.0,756000.0,724500.0,158,748440.0,2020-11-11T05:00:00Z,0,742266.5
737100.0,749700.0,724500.0,100,730800.0,2020-11-12T05:00:00Z,0,736772.4
721980.0,748440.0,718200.0,91,748440.0,2020-11-13T05:00:00Z,0,730955.36
733320.0,739620.0,728280.0,120,730800.0,2020-11-16T05:00:00Z,0,733959.45
733950.0,743400.0,725760.0,53,725760.0,2020-11-17T05:00:00Z,0,736611.12
742140.0,756000.0,740880.0,217,743400.0,2020-11-18T05:00:00Z,0,751454.8
743400.0,749700.0,734580.0,79,737100.0,2020-11-19T05:00:00Z,0,740592.22
729540.0,743400.0,729540.0,86,739620.0,2020-11-20T05:00:00Z,0,735222.73
762300.0,768600.0,742140.0,210,754740.0,2020-11-23T05:00:00Z,0,757771.69
923580.0,982800.0,774900.0,1111,774900.0,2020-11-24T05:00:00Z,2,880072.58
924840.0,1028588.4,884520.0,621,987840.0,2020-11-25T05:00:00Z,1,966324.74
897132.6,950040.0,897120.0,186,927360.0,2020-11-27T05:00:00Z,0,924466.79
844200.0,918540.0,821520.0,279,917280.0,2020-11-30T05:00:00Z,0,869465.39
898380.0,898380.0,844200.0,91,844200.0,2020-12-01T05:00:00Z,0,882319.66
878220.0,913500.0,869400.0,139,893340.0,2020-12-02T05:00:00Z,0,890775.02
880740.0,897120.0,863730.0,106,897120.0,2020-12-03T05:00:00Z,0,875826.88
871920.0,899640.0,869400.0,108,887040.0,2020-12-04T05:00:00Z,0,885262.9
839160.0,875700.0,829080.0,188,866880.0,2020-12-07T05:00:00Z,0,847253.99
882000.0,882000.0,827820.0,103,827820.0,2020-12-08T05:00:00Z,0,858585.17
964530.0,970200.0,882000.0,504,882000.0,2020-12-09T05:00:00Z,0,940857.88
952560.0,1000150.2,916020.0,154,957600.0,2020-12-10T05:00:00Z,0,952430.09
946260.0,1029420.0,928620.0,148,1018256.4,2020-12-11T05:00:00Z,0,963228.55
1045800.0,1234800.0,1008000.0,551,1207080.0,2020-12-14T05:00:00Z,0,1052531.17
1101240.0,1132740.0,1045800.0,400,1045800.0,2020-12-15T05:00:00Z,0,1100962.8
