c,h,l,n,o,t,v,vw
10.0,10.1,10.0,23,10.05,2020-10-27T04:00:00Z,3954,10.047273
10.0,10.01,10.0,2,10.01,2020-10-28T04:00:00Z,750,10.003333
10.0,10.0,10.0,8,10.0,2020-10-29T04:00:00Z,2015,10.000273
10.0,10.0,10.0,6,10.0,2020-10-30T04:00:00Z,703,10.006444
10.005,10.005,10.0,4,10.0,2020-11-02T05:00:00Z,255,10.010982
10.005,10.005,10.0,3,10.0,2020-11-03T05:00:00Z,350,10.003571
9.96,10.02,9.96,16,9.98,2020-11-04T05:00:00Z,74327,9.985664
10.01,10.01,10.0,10,10.0,2020-11-05T05:00:00Z,26170,10.009656
10.07,10.07,10.015,5,10.015,2020-11-06T05:00:00Z,848,10.048608
10.25,10.35,10.2,15,10.35,2020-11-09T05:00:00Z,4550,10.298571
10.2,10.3,10.2,10,10.3,2020-11-10T05:00:00Z,843,10.257592
10.275,10.3,10.2,21,10.28,2020-11-11T05:00:00Z,3001,10.275908
10.275,10.275,10.275,0,10.275,2020-11-12T05:00:00Z,0,0.0
10.21,10.38,10.21,8,10.38,2020-11-13T05:00:00Z,602,10.283854
10.21,10.21,10.21,0,10.21,2020-11-16T05:00:00Z,0,0.0
10.21,10.21,10.21,0,10.21,2020-11-17T05:00:00Z,0,0.0
10.25,10.25,10.25,3,10.25,2020-11-18T05:00:00Z,214,10.250117
10.28,10.28,10.28,5,10.28,2020-11-19T05:00:00Z,220,10.285412
10.22,10.3,10.22,5,10.3,2020-11-20T05:00:00Z,1601,10.27376
10.45,10.55,10.4177,14,10.5,2020-11-23T05:00:00Z,1238,10.459861
10.45,10.45,10.45,0,10.45,2020-11-24T05:00:00Z,0,0.0
10.5742,10.64,10.51,17,10.57,2020-11-25T05:00:00Z,934,10.557325
10.6,10.61,10.5,17,10.57,2020-11-27T05:00:00Z,2200,10.57314
10.71,10.805,10.71,33,10.8,2020-11-30T05:00:00Z,7340,10.854851
10.72,11.25,10.5,121,11.25,2020-12-01T05:00:00Z,20106,10.692396
10.65,10.65,10.6,21,10.6,2020-12-02T05:00:00Z,30578,10.600503
10.65,10.74,10.65,36,10.74,2020-12-03T05:00:00Z,16378,10.685227
10.62,10.75,10.55,104,10.74,2020-12-04T05:00:00Z,17342,10.620056
10.6,10.72,10.6,88,10.67,2020-12-07T05:00:00Z,23393,10.62076
10.58,10.6975,10.56,46,10.6975,2020-12-08T05:00:00Z,22062,10.633218
10.58,10.6637,10.58,78,10.65,2020-12-09T05:00:00Z,17802,10.590999
10.5,10.6,10.5,36,10.6,2020-12-10T05:00:00Z,5570,10.590951
10.76,10.9,10.53,626,10.59,2020-12-11T05:00:00Z,244356,10.662981
10.84,11.0,10.84,171,10.84,2020-12-14T05:00:00Z,272419,10.938503
10.9,11.02,10.8,582,10.84,2020-12-15T05:00:00Z,190367,10.883477
11.0,11.05,10.9,334,10.99,2020-12-16T05:00:00Z,145352,10.987078
11.19,11.19,11.0,255,11.02,2020-12-17T05:00:00Z,178013,11.053798
11.17,11.34,11.14,158,11.25,2020-12-18T05:00:00Z,32087,11.204671
11.12,11.15,11.09,75,11.12,2020-12-21T05:00:00Z,33935,11.126309
12.0,12.75,11.0,1886,11.2,2020-12-22T05:00:00Z,548320,11.743255
13.38,14.56,13.03,4917,13.7,2020-12-23T05:00:00Z,932013,13.548568
13.25,14.0,12.84,2156,13.8,2020-12-24T05:00:00Z,330298,13.505713
13.4,14.0,13.26,3046,13.91,2020-12-28T05:00:00Z,572348,13.635667
12.67,13.3,12.51,1763,13.25,2020-12-29T05:00:00Z,256593,12.780402
12.46,12.85,12.35,708,12.68,2020-12-30T05:00:00Z,113035,12.661262
11.77,12.6296,11.63,975,12.5,2020-12-31T05:00:00Z,228888,12.002366
11.65,12.1,11.41,1653,12.1,2021-01-04T05:00:00Z,417777,11.873051
11.88,12.45,11.7,871,11.8,2021-01-05T05:00:00Z,202552,11.916372
11.98,12.19,11.7,1510,11.7,2021-01-06T05:00:00Z,389328,11.994361
12.38,12.5,11.895,1123,12.0,2021-01-07T05:00:00Z,249566,12.256244
12.57,12.7,12.1414,547,12.5,2021-01-08T05:00:00Z,100824,12.448254
12.52,12.55,12.13,595,12.3,2021-01-11T05:00:00Z,89653,12.38195
12.3,12.55,12.19,836,12.4,2021-01-12T05:00:00Z,139169,12.356715
12.01,12.399,12.01,618,12.18,2021-01-13T05:00:00Z,97361,12.181528
12.1,12.37,11.99,742,12.2,2021-01-14T05:00:00Z,129602,12.11548
11.95,12.1,11.6401,1012,12.1,2021-01-15T05:00:00Z,157375,11.859626
11.88,12.21,11.8,1108,12.08,2021-01-19T05:00:00Z,140713,11.973716
12.44,12.48,11.86,1254,11.97,2021-01-20T05:00:00Z,233692,12.283589
12.45,12.66,12.25,1167,12.29,2021-01-21T05:00:00Z,209116,12.460501
12.65,12.69,12.3,766,12.3,2021-01-22T05:00:00Z,169398,12.483347
14.48,17.2,14.039,28882,16.82,2021-01-25T05:00:00Z,5475659,15.373211
13.9,15.75,13.75,21304,15.69,2021-01-26T05:00:00Z,2708085,14.812852
13.0,13.92,12.77,10817,13.82,2021-01-27T05:00:00Z,1465539,13.333075
13.1,13.9,12.95,6411,13.84,2021-01-28T05:00:00Z,906757,13.335805
12.95,13.6,12.55,5535,13.24,2021-01-29T05:00:00Z,639400,13.041952
12.82,13.4499,12.77,5304,13.3,2021-02-01T05:00:00Z,774116,13.083129
13.35,13.5,12.77,7024,13.0,2021-02-02T05:00:00Z,1066814,13.085999
13.22,13.96,13.1,5181,13.96,2021-02-03T05:00:00Z,797721,13.51069
12.75,13.48,12.71,6308,13.31,2021-02-04T05:00:00Z,705224,12.98322
13.26,13.48,12.9,6415,13.05,2021-02-05T05:00:00Z,833556,13.176204
13.25,13.59,13.1,7911,13.55,2021-02-08T05:00:00Z,973956,13.304466
13.21,13.34,12.85,6828,13.34,2021-02-09T05:00:00Z,926996,13.087461
13.11,13.35,12.7,7047,13.25,2021-02-10T05:00:00Z,1055618,13.026933
13.05,13.55,12.9,4903,13.15,2021-02-11T05:00:00Z,744825,13.181521
13.02,13.2,12.95,2992,13.0,2021-02-12T05:00:00Z,454268,13.048732
13.0,13.2,12.96,3595,13.16,2021-02-16T05:00:00Z,630127,13.057307
12.99,13.15,12.61,4022,13.0,2021-02-17T05:00:00Z,580766,12.841453
13.09,13.09,12.5,3499,12.9,2021-02-18T05:00:00Z,484703,12.763661
12.76,12.95,12.63,3469,12.95,2021-02-19T05:00:00Z,430420,12.787438
12.32,12.94,12.25,3586,12.74,2021-02-22T05:00:00Z,461831,12.617645
11.65,12.06,11.1,4357,11.96,2021-02-23T05:00:00Z,557775,11.647728
11.54,12.05,11.49,4462,11.9,2021-02-24T05:00:00Z,576174,11.72716
10.77,11.7,10.6,6346,11.54,2021-02-25T05:00:00Z,857446,11.00097
11.0,11.3,10.64,3552,11.07,2021-02-26T05:00:00Z,534617,10.984565
11.45,11.47,11.15,1799,11.2,2021-03-01T05:00:00Z,313234,11.328279
11.01,11.82,10.9,2035,11.67,2021-03-02T05:00:00Z,344683,11.371348
10.49,11.21,10.45,2145,11.0,2021-03-03T05:00:00Z,343022,10.712768
10.61,10.7,10.1,3951,10.4,2021-03-04T05:00:00Z,652140,10.408636
11.29,11.3,10.2,4135,10.6,2021-03-05T05:00:00Z,604274,10.465593
10.62,11.22,10.4101,2710,11.05,2021-03-08T05:00:00Z,466936,10.744918
10.97,11.0,10.7,1164,10.8,2021-03-09T05:00:00Z,208360,10.898339
10.92,11.1,10.9,896,11.05,2021-03-10T05:00:00Z,155118,10.978818
10.9,11.09,10.8,1748,10.99,2021-03-11T05:00:00Z,294168,10.895283
10.95,10.98,10.65,1179,10.8,2021-03-12T05:00:00Z,166578,10.784813
11.16,11.16,10.9,765,11.13,2021-03-15T04:00:00Z,124617,10.975737
10.93,11.28,10.88,961,11.2,2021-03-16T04:00:00Z,129665,11.047071
10.84,10.9,10.67,843,10.8,2021-03-17T04:00:00Z,107979,10.77557
10.83,10.99,10.72,837,10.94,2021-03-18T04:00:00Z,99885,10.863604
10.62,10.95,10.6,863,10.93,2021-03-19T04:00:00Z,136223,10.741326
10.67,10.98,10.62,1097,10.83,2021-03-22T04:00:00Z,181878,10.740387
10.37,10.78,10.33,1483,10.61,2021-03-23T04:00:00Z,215940,10.467625
10.12,10.48,10.09,2285,10.33,2021-03-24T04:00:00Z,284298,10.18543
10.22,10.23,9.92,2235,10.12,2021-03-25T04:00:00Z,276407,10.138495
10.16,10.25,10.11,2080,10.18,2021-03-26T04:00:00Z,258047,10.183875
10.15,10.28,10.14,770,10.16,2021-03-29T04:00:00Z,102795,10.187308
10.12,10.165,10.07,788,10.11,2021-03-30T04:00:00Z,158994,10.129691
