c,h,l,n,o,t,v,vw
25.01,27.0,25.0,7262,26.0,2021-11-09T05:00:00Z,1118333,25.726002
25.0,25.54,25.0,3761,25.0,2021-11-10T05:00:00Z,449727,25.157072
25.0,25.375,25.0,1902,25.0,2021-11-11T05:00:00Z,237068,25.023252
25.05,25.4,25.0,629,25.0,2021-11-12T05:00:00Z,100932,25.074551
26.9,27.22,25.05,1719,25.05,2021-11-15T05:00:00Z,245694,26.380311
27.35,27.5,26.53,619,26.53,2021-11-16T05:00:00Z,62420,27.176698
27.92,28.2,27.15,1030,27.5,2021-11-17T05:00:00Z,123623,27.789202
27.86,28.95,27.655,1240,28.14,2021-11-18T05:00:00Z,84515,28.217007
28.0,29.1285,26.465,1197,27.61,2021-11-19T05:00:00Z,73332,27.919447
27.87,30.5,27.625,1055,27.73,2021-11-22T05:00:00Z,38479,28.301733
27.87,29.51,25.25,1038,27.82,2021-11-23T05:00:00Z,55007,27.230593
27.69,28.75,26.85,1229,27.53,2021-11-24T05:00:00Z,40081,27.675074
27.07,28.82,27.07,343,27.49,2021-11-26T05:00:00Z,15721,27.435867
26.24,27.52,25.95,1838,27.52,2021-11-29T05:00:00Z,101433,26.480363
26.79,27.42,25.91,1261,25.91,2021-11-30T05:00:00Z,53694,26.82844
26.68,27.0,26.24,2461,27.0,2021-12-01T05:00:00Z,115619,26.643952
26.9,27.19,26.505,1580,26.61,2021-12-02T05:00:00Z,85811,26.845023
27.3,27.48,26.5,2212,26.8,2021-12-03T05:00:00Z,104731,26.825736
28.46,29.48,26.76,2843,27.12,2021-12-06T05:00:00Z,155959,28.128521
28.36,28.89,28.13,1971,28.78,2021-12-07T05:00:00Z,55555,28.480522
28.23,28.83,27.76,1435,28.4,2021-12-08T05:00:00Z,61894,28.222491
28.09,29.17,28.04,938,28.07,2021-12-09T05:00:00Z,52020,28.624818
28.44,28.74,28.15,972,28.34,2021-12-10T05:00:00Z,30156,28.440019
27.32,28.53,26.9527,453,28.26,2021-12-13T05:00:00Z,27399,27.589758
27.2,27.58,26.75,926,26.95,2021-12-14T05:00:00Z,34791,26.993055
27.42,27.98,27.02,945,27.03,2021-12-15T05:00:00Z,52244,27.605945
26.45,27.79,26.17,1300,27.79,2021-12-16T05:00:00Z,57843,26.872523
25.22,27.13,24.51,2855,26.62,2021-12-17T05:00:00Z,978575,25.3254
26.0,26.29,25.15,929,25.15,2021-12-20T05:00:00Z,46224,25.815104
26.33,26.535,25.6,1044,26.45,2021-12-21T05:00:00Z,42296,26.322308
26.5,26.5,25.6,789,26.27,2021-12-22T05:00:00Z,39430,26.081548
25.88,26.55,25.53,768,26.26,2021-12-23T05:00:00Z,31739,25.965995
26.48,26.48,25.32,660,25.83,2021-12-27T05:00:00Z,32069,26.186201
26.48,26.91,26.25,519,26.5,2021-12-28T05:00:00Z,21094,26.477337
26.39,26.5,26.25,573,26.49,2021-12-29T05:00:00Z,24129,26.361188
25.98,26.51,25.58,606,26.5,2021-12-30T05:00:00Z,22646,26.03068
25.98,26.09,25.63,849,26.0,2021-12-31T05:00:00Z,26437,25.969234
26.0,26.01,25.52,799,25.96,2022-01-03T05:00:00Z,65571,25.961522
26.0,26.1,25.5,864,26.0,2022-01-04T05:00:00Z,98914,25.861108
25.94,26.05,25.7066,789,25.74,2022-01-05T05:00:00Z,37168,25.95125
25.89,26.0,25.7,358,26.0,2022-01-06T05:00:00Z,70744,25.885878
25.76,26.0,25.51,390,26.0,2022-01-07T05:00:00Z,21911,25.86173
25.58,25.85,25.5,284,25.81,2022-01-10T05:00:00Z,15285,25.573982
25.69,26.0,25.343,574,25.5,2022-01-11T05:00:00Z,36393,25.719699
25.35,25.8,25.11,566,25.79,2022-01-12T05:00:00Z,29312,25.409916
25.04,25.26,24.82,881,25.26,2022-01-13T05:00:00Z,100405,25.041276
25.0,25.05,24.9,1097,25.0,2022-01-14T05:00:00Z,48181,24.99689
