c,h,l,n,o,t,v,vw
18.39,19.12,14.83,18214,16.95,2021-02-05T05:00:00Z,3666000,17.049018
19.79,19.8889,16.6,3205,16.6,2021-02-08T05:00:00Z,484594,18.820653
20.81,23.68,19.51,2658,19.51,2021-02-09T05:00:00Z,450452,20.846251
21.57,22.91,20.81,2521,22.24,2021-02-10T05:00:00Z,267297,22.088114
19.66,21.5049,19.02,2239,21.29,2021-02-11T05:00:00Z,233907,20.229867
18.09,19.9485,18.04,1267,19.75,2021-02-12T05:00:00Z,166120,18.596947
20.98,21.85,18.54,1616,18.54,2021-02-16T05:00:00Z,204697,19.947603
20.89,21.22,19.3,1325,19.3,2021-02-17T05:00:00Z,185495,20.140466
20.36,20.8782,19.75,1420,20.57,2021-02-18T05:00:00Z,148335,20.449493
20.7,21.1499,20.02,1415,20.3635,2021-02-19T05:00:00Z,124580,20.712511
20.36,21.1237,20.36,1457,20.92,2021-02-22T05:00:00Z,124951,20.71378
19.03,19.94,18.25,2455,19.94,2021-02-23T05:00:00Z,247401,18.942263
22.06,22.5,19.26,1867,19.26,2021-02-24T05:00:00Z,211210,21.186838
22.68,22.94,21.3,843,22.4,2021-02-25T05:00:00Z,67974,22.266874
22.65,23.0,21.56,1121,22.27,2021-02-26T05:00:00Z,106712,22.522956
24.64,25.95,21.23,3798,23.0,2021-03-01T05:00:00Z,314271,24.169169
24.08,27.4399,23.52,2439,24.7,2021-03-02T05:00:00Z,222427,25.166356
25.2,26.555,23.53,1434,24.43,2021-03-03T05:00:00Z,112788,25.058274
18.54,26.3863,17.51,2736,25.17,2021-03-04T05:00:00Z,267525,21.033029
17.13,20.9999,15.73,2647,19.89,2021-03-05T05:00:00Z,176127,17.602747
19.26,20.0,17.0,1818,17.01,2021-03-08T05:00:00Z,116385,19.043596
22.9,23.87,19.56,1777,19.56,2021-03-09T05:00:00Z,123434,22.75661
22.81,23.78,21.75,1932,22.82,2021-03-10T05:00:00Z,142246,22.578523
23.46,23.78,22.3,2048,23.0,2021-03-11T05:00:00Z,194889,23.257103
25.91,26.02,23.5,1837,23.5,2021-03-12T05:00:00Z,281822,25.071439
24.85,27.09,24.5385,1515,26.0,2021-03-15T04:00:00Z,104036,25.581885
25.49,26.76,24.4,1445,24.91,2021-03-16T04:00:00Z,115453,25.640233
25.87,26.8835,24.73,1489,25.5,2021-03-17T04:00:00Z,225594,25.87503
26.34,27.67,25.7,2387,26.36,2021-03-18T04:00:00Z,422675,26.469283
27.25,28.36,26.16,3107,26.35,2021-03-19T04:00:00Z,2483580,27.281089
22.55,27.085,21.9455,2407,26.66,2021-03-22T04:00:00Z,361896,23.248726
20.65,22.6955,20.205,1830,22.33,2021-03-23T04:00:00Z,249393,20.713965
21.17,22.1,20.245,3505,20.51,2021-03-24T04:00:00Z,220407,21.162803
21.82,22.75,20.84,1424,21.1,2021-03-25T04:00:00Z,121704,21.760064
20.16,22.61,19.75,1254,22.13,2021-03-26T04:00:00Z,79209,20.958256
20.8,21.735,19.66,943,20.14,2021-03-29T04:00:00Z,41106,20.653907
21.99,22.2,20.02,950,21.13,2021-03-30T04:00:00Z,96310,21.42432
22.0,22.4,20.1601,1993,21.48,2021-03-31T04:00:00Z,217519,22.017755
20.61,22.45,19.855,1352,22.09,2021-04-01T04:00:00Z,319914,20.747857
20.83,21.15,19.8,1628,20.44,2021-04-05T04:00:00Z,95243,20.410919
20.7,21.93,20.3,2750,20.71,2021-04-06T04:00:00Z,195769,21.098468
18.26,20.75,17.795,1683,20.65,2021-04-07T04:00:00Z,123982,18.479017
18.38,19.3,17.77,1465,18.42,2021-04-08T04:00:00Z,86740,18.697717
18.93,19.4438,17.4992,1194,18.0,2021-04-09T04:00:00Z,47085,18.611545
17.74,19.0,17.0,1440,18.99,2021-04-12T04:00:00Z,75883,17.779124
17.8,18.2418,17.43,1176,17.75,2021-04-13T04:00:00Z,34257,17.830417
21.65,22.21,17.65,2765,17.65,2021-04-14T04:00:00Z,188572,20.670702
17.71,21.37,17.44,1704,21.17,2021-04-15T04:00:00Z,487050,18.009914
17.91,18.53,17.05,3292,17.17,2021-04-16T04:00:00Z,247269,17.737606
17.1,18.54,16.95,1089,17.85,2021-04-19T04:00:00Z,70098,17.610696
16.78,17.5,16.21,643,17.05,2021-04-20T04:00:00Z,35568,16.630401
18.12,18.32,16.3901,1296,16.95,2021-04-21T04:00:00Z,47147,17.760379
20.31,20.905,17.67,1386,18.25,2021-04-22T04:00:00Z,74183,19.821894
18.93,20.1,18.23,1090,20.01,2021-04-23T04:00:00Z,52533,19.053162
21.12,21.735,18.11,1383,19.07,2021-04-26T04:00:00Z,53377,20.525588
21.45,21.85,21.1,961,21.11,2021-04-27T04:00:00Z,31831,21.449137
21.51,21.8,20.8726,812,21.07,2021-04-28T04:00:00Z,36011,21.416193
21.04,21.6,20.815,1151,21.42,2021-04-29T04:00:00Z,32246,21.179703
22.0,22.24,20.73,1880,20.9,2021-04-30T04:00:00Z,90223,21.881587
20.28,21.83,19.4801,1487,21.83,2021-05-03T04:00:00Z,35512,20.772346
18.52,20.32,18.5,782,20.0,2021-05-04T04:00:00Z,26563,18.929455
17.05,18.51,16.82,1448,18.51,2021-05-05T04:00:00Z,53277,17.475861
16.06,17.38,15.145,1185,16.97,2021-05-06T04:00:00Z,52736,15.864034
16.62,17.1343,16.1,715,16.1,2021-05-07T04:00:00Z,34457,16.572306
15.01,17.018,14.84,1457,16.6,2021-05-10T04:00:00Z,108443,15.506918
15.37,15.96,14.58,928,14.72,2021-05-11T04:00:00Z,37181,15.222961
15.35,15.965,14.92,885,15.07,2021-05-12T04:00:00Z,34590,15.400764
15.16,15.99,14.88,723,15.62,2021-05-13T04:00:00Z,35631,15.376188
15.91,16.69,14.91,502,14.91,2021-05-14T04:00:00Z,25884,15.894919
16.37,17.285,15.4781,858,15.54,2021-05-17T04:00:00Z,34235,16.457847
16.21,17.0,16.05,933,16.73,2021-05-18T04:00:00Z,38032,16.416003
15.92,16.56,15.08,968,15.92,2021-05-19T04:00:00Z,42021,15.915242
16.16,16.62,15.47,1038,15.89,2021-05-20T04:00:00Z,54483,16.126268
15.92,16.55,15.81,982,16.55,2021-05-21T04:00:00Z,38999,16.092342
15.81,16.35,15.64,535,15.86,2021-05-24T04:00:00Z,30741,15.932952
15.39,16.05,15.0,1054,15.77,2021-05-25T04:00:00Z,70452,15.564137
15.57,15.92,15.17,949,15.75,2021-05-26T04:00:00Z,32596,15.542353
15.73,15.9399,15.2543,702,15.62,2021-05-27T04:00:00Z,21132,15.643901
17.11,17.11,16.0,921,16.03,2021-05-28T04:00:00Z,92026,16.770605
17.16,17.46,16.09,744,16.96,2021-06-01T04:00:00Z,85958,17.051437
16.16,17.2898,15.49,819,17.21,2021-06-02T04:00:00Z,46484,16.320037
15.91,16.035,15.345,560,15.94,2021-06-03T04:00:00Z,20089,15.775607
16.02,16.195,15.72,658,16.08,2021-06-04T04:00:00Z,45989,16.076916
16.06,16.541,15.56,1196,16.16,2021-06-07T04:00:00Z,57749,16.048312
16.34,16.42,15.34,990,16.27,2021-06-08T04:00:00Z,55489,16.166365
16.45,16.82,16.17,603,16.25,2021-06-09T04:00:00Z,39335,16.422524
19.34,19.97,16.495,2931,16.7,2021-06-10T04:00:00Z,183339,18.719327
17.42,18.92,17.22,937,18.92,2021-06-11T04:00:00Z,44382,18.01578
15.25,18.385,15.0,2580,18.1,2021-06-14T04:00:00Z,158456,15.894144
15.5,15.84,14.36,1736,15.61,2021-06-15T04:00:00Z,183037,15.061027
15.71,16.15,14.5852,1717,15.21,2021-06-16T04:00:00Z,269367,15.562915
16.25,16.82,15.35,1919,15.68,2021-06-17T04:00:00Z,227457,16.342831
15.6,16.438,15.6,1231,15.85,2021-06-18T04:00:00Z,169553,15.806077
15.25,15.955,15.25,1186,15.61,2021-06-21T04:00:00Z,256544,15.476534
15.15,15.53,14.7,1264,15.39,2021-06-22T04:00:00Z,201122,15.143857
14.75,15.35,14.53,1136,15.15,2021-06-23T04:00:00Z,93687,14.929111
13.39,14.82,13.18,2283,14.78,2021-06-24T04:00:00Z,138025,13.656014
13.44,13.655,13.07,1437,13.37,2021-06-25T04:00:00Z,258641,13.411189
