c,h,l,n,o,t,v,vw
19.06,21.07,19.06,13306,20.7,2020-11-20T05:00:00Z,1807488,19.848886
20.39,20.7,19.5,7199,19.74,2020-11-23T05:00:00Z,1090227,20.267049
20.1,20.89,20.0,4963,20.73,2020-11-24T05:00:00Z,677488,20.388072
20.06,20.3499,19.8,4422,20.21,2020-11-25T05:00:00Z,600284,20.030939
20.0,20.95,19.91,3668,20.58,2020-11-27T05:00:00Z,657378,20.321769
20.07,20.6595,19.95,6943,20.59,2020-11-30T05:00:00Z,1082684,20.147854
23.35,24.83,20.02,16557,20.07,2020-12-01T05:00:00Z,3243158,22.751892
22.13,23.7499,21.3,5408,22.8,2020-12-02T05:00:00Z,1124246,22.705658
22.51,23.0899,22.025,3192,22.39,2020-12-03T05:00:00Z,564515,22.493277
22.43,24.0,22.22,4857,22.8208,2020-12-04T05:00:00Z,1020435,22.851301
20.35,21.9494,19.9,11474,21.69,2020-12-07T05:00:00Z,2034834,20.68005
20.34,20.81,20.21,4200,20.4,2020-12-08T05:00:00Z,734639,20.36281
19.8,20.4999,19.5,5397,20.31,2020-12-09T05:00:00Z,992104,19.974978
19.55,20.2,19.26,4510,19.85,2020-12-10T05:00:00Z,767634,19.706264
20.19,20.4,19.06,4498,19.3,2020-12-11T05:00:00Z,705392,19.625248
21.02,21.73,20.29,6838,21.0,2020-12-14T05:00:00Z,1136776,21.115564
22.11,22.84,20.85,5142,21.09,2020-12-15T05:00:00Z,876169,22.0618
23.5,23.63,22.45,9437,22.46,2020-12-16T05:00:00Z,1867284,23.197952
24.41,24.83,23.5673,8008,23.59,2020-12-17T05:00:00Z,1285356,24.238293
26.97,27.0,24.33,10059,24.33,2020-12-18T05:00:00Z,1837911,26.100213
27.92,28.0,25.72,7833,27.0,2020-12-21T05:00:00Z,1218123,27.140624
28.9,30.0,27.97,10191,28.3,2020-12-22T05:00:00Z,1615841,28.896379
30.37,30.84,27.6,11019,28.9,2020-12-23T05:00:00Z,1885421,29.85754
30.17,31.295,28.91,4568,30.35,2020-12-24T05:00:00Z,775796,30.249938
29.53,31.08,29.1,4376,30.53,2020-12-28T05:00:00Z,531424,29.918431
31.03,31.2,27.5,6828,29.54,2020-12-29T05:00:00Z,951949,29.617897
32.07,32.4,30.58,5147,30.95,2020-12-30T05:00:00Z,1695221,31.834549
32.98,33.03,31.38,4742,31.92,2020-12-31T05:00:00Z,767108,32.560849
33.27,33.35,29.29,8020,32.93,2021-01-04T05:00:00Z,1111520,31.524167
32.07,33.75,30.85,4302,33.17,2021-01-05T05:00:00Z,487110,32.228403
