c,h,l,n,o,t,v,vw
1.75,1.75,1.55,32,1.6,2021-02-08T05:00:00Z,4495,1.647395
2.9073,4.8557,2.27,225,2.27,2021-02-09T05:00:00Z,26028,2.443973
2.8,2.92,2.5001,468,2.91,2021-02-10T05:00:00Z,33637,2.628851
2.6,2.63,2.5,92,2.63,2021-02-11T05:00:00Z,9844,2.5539
2.4499,2.765,2.32,235,2.65,2021-02-12T05:00:00Z,16636,2.479369
2.6324,3.35,2.45,324,2.45,2021-02-16T05:00:00Z,29505,2.663723
2.7,13.3907,2.5,110,2.73,2021-02-17T05:00:00Z,30527,3.454849
3.0,3.0,2.488,88,2.82,2021-02-18T05:00:00Z,28360,2.680908
2.8,3.8895,2.75,187,3.5,2021-02-19T05:00:00Z,31418,2.884403
2.76,3.09,2.75,81,3.0001,2021-02-22T05:00:00Z,9567,2.809161
3.015,3.015,2.4,276,2.81,2021-02-23T05:00:00Z,35778,2.61202
2.5999,2.76,2.46,248,2.49,2021-02-24T05:00:00Z,108731,2.550639
2.23,2.53,2.23,137,2.52,2021-02-25T05:00:00Z,25174,2.363086
2.01,2.255,1.87,367,2.23,2021-02-26T05:00:00Z,85940,2.052059
2.01,2.2,1.98,124,2.2,2021-03-01T05:00:00Z,35006,2.051605
1.77,2.2,1.7001,293,1.98,2021-03-02T05:00:00Z,46207,1.860119
1.61,1.77,1.61,145,1.7,2021-03-03T05:00:00Z,12970,1.684218
1.36,2.03,1.11,325,1.67,2021-03-04T05:00:00Z,67493,1.473487
1.43,1.5002,1.25,133,1.5,2021-03-05T05:00:00Z,51757,1.302016
1.32,1.39,1.21,60,1.3,2021-03-08T05:00:00Z,25781,1.332576
1.39,1.42,1.28,91,1.31,2021-03-09T05:00:00Z,30467,1.316441
1.47,1.78,1.415,63,1.43,2021-03-10T05:00:00Z,23266,1.461932
1.52,1.559,1.2801,146,1.45,2021-03-11T05:00:00Z,31000,1.507004
1.39,1.5,1.38,79,1.49,2021-03-12T05:00:00Z,26627,1.416799
1.35,1.5,1.33,332,1.5,2021-03-15T04:00:00Z,71188,1.355679
1.1799,1.35,1.14,492,1.27,2021-03-16T04:00:00Z,84804,1.217346
1.2799,1.5,1.2,148,1.25,2021-03-17T04:00:00Z,37827,1.271563
1.16,1.3,1.16,72,1.23,2021-03-18T04:00:00Z,12379,1.20968
1.17,1.26,1.13,86,1.15,2021-03-19T04:00:00Z,33317,1.151459
1.22,1.3,1.18,96,1.28,2021-03-22T04:00:00Z,13556,1.252849
1.24,1.32,1.1801,62,1.2,2021-03-23T04:00:00Z,15428,1.237425
1.12,1.34,1.12,71,1.26,2021-03-24T04:00:00Z,15370,1.206027
1.01,1.2,1.01,110,1.12,2021-03-25T04:00:00Z,21244,1.069212
1.23,1.25,1.01,48,1.01,2021-03-26T04:00:00Z,20663,1.092741
1.07,1.07,1.07,16,1.07,2021-03-29T04:00:00Z,955,1.088366
1.1,1.29,1.02,29,1.2,2021-03-30T04:00:00Z,5625,1.156925
1.1,1.17,1.05,81,1.05,2021-03-31T04:00:00Z,7816,1.108233
1.08,1.25,1.0,118,1.19,2021-04-01T04:00:00Z,25357,1.074391
1.25,1.25,0.98,116,0.9801,2021-04-05T04:00:00Z,23687,1.124252
1.1,1.17,1.01,103,1.06,2021-04-06T04:00:00Z,15806,1.063557
1.05,1.1,1.0299,49,1.1,2021-04-07T04:00:00Z,6933,1.04672
1.17,1.18,1.06,90,1.09,2021-04-08T04:00:00Z,20135,1.118298
1.11,1.25,1.02,248,1.15,2021-04-09T04:00:00Z,55730,1.138154
1.05,1.16,1.03,144,1.16,2021-04-12T04:00:00Z,33615,1.059023
1.05,1.09,0.98,77,1.0,2021-04-13T04:00:00Z,11513,1.018952
1.1075,1.13,1.05,60,1.0501,2021-04-14T04:00:00Z,13180,1.080123
1.09,1.13,1.08,31,1.08,2021-04-15T04:00:00Z,9485,1.092071
1.07,1.07,1.04,9,1.04,2021-04-16T04:00:00Z,2125,1.053678
1.01,1.1,0.99,62,1.1,2021-04-19T04:00:00Z,9899,1.034101
0.98,1.05,0.93,51,1.05,2021-04-20T04:00:00Z,4809,0.975474
0.94,0.965,0.849501,115,0.94,2021-04-21T04:00:00Z,33481,0.898733
0.9,1.0,0.899201,26,0.9,2021-04-22T04:00:00Z,5962,0.911344
0.89,0.92,0.89,10,0.92,2021-04-23T04:00:00Z,555,0.911077
0.9999,1.05,0.8801,18,1.05,2021-04-26T04:00:00Z,2520,0.958304
0.911,1.0,0.911,26,0.99,2021-04-27T04:00:00Z,2477,0.958366
0.91,0.99,0.91,37,0.9804,2021-04-28T04:00:00Z,3847,0.964465
0.9501,0.9501,0.9499,16,0.95,2021-04-29T04:00:00Z,1683,0.948978
0.93,0.94,0.9,34,0.925,2021-04-30T04:00:00Z,3512,0.910032
0.8999,0.95,0.89,119,0.9301,2021-05-03T04:00:00Z,33354,0.901498
0.889953,0.91505,0.8614,46,0.91505,2021-05-04T04:00:00Z,25671,0.886907
0.9,0.900201,0.899301,39,0.9001,2021-05-05T04:00:00Z,12553,0.900072
0.894336,0.91,0.880051,25,0.880051,2021-05-06T04:00:00Z,11231,0.898731
0.94,0.9499,0.8756,72,0.895051,2021-05-07T04:00:00Z,22564,0.894073
0.89,0.9,0.8601,53,0.89,2021-05-10T04:00:00Z,10099,0.890708
0.85,0.9,0.82,301,0.86,2021-05-11T04:00:00Z,32733,0.852131
0.8,0.85,0.8,72,0.830101,2021-05-12T04:00:00Z,19318,0.820818
0.77,0.85,0.77,90,0.85,2021-05-13T04:00:00Z,24428,0.780428
0.8,0.8,0.77,23,0.77,2021-05-14T04:00:00Z,2990,0.78917
0.8,0.8005,0.8,6,0.8005,2021-05-17T04:00:00Z,1867,0.829288
0.81495,0.81495,0.7999,8,0.7999,2021-05-18T04:00:00Z,5908,0.800524
1.08,1.1001,0.85,500,0.89,2021-05-19T04:00:00Z,195921,0.967068
1.01,1.09,1.0,120,1.09,2021-05-20T04:00:00Z,48939,1.014223
0.98,1.32,0.98,78,1.32,2021-05-21T04:00:00Z,9395,1.075358
0.932,0.985,0.932,23,0.9501,2021-05-24T04:00:00Z,3651,0.978141
0.8513,0.9321,0.85,71,0.932,2021-05-25T04:00:00Z,8802,0.88344
0.86,0.86,0.82,21,0.8512,2021-05-26T04:00:00Z,4718,0.844401
0.91,0.92,0.86,39,0.8601,2021-05-27T04:00:00Z,9497,0.908008
0.8501,0.9926,0.81,336,0.860201,2021-05-28T04:00:00Z,57873,0.856219
0.9201,1.125,0.91,46,0.979,2021-06-01T04:00:00Z,14187,1.015445
0.9202,0.979999,0.92,10,0.92,2021-06-02T04:00:00Z,4349,0.959996
0.9,1.01,0.9,121,0.910201,2021-06-03T04:00:00Z,13816,0.948763
1.0508,1.078,0.9485,43,0.95,2021-06-04T04:00:00Z,22743,0.998151
1.08,1.08,1.0,50,1.08,2021-06-07T04:00:00Z,8509,1.062563
1.03,1.03,0.911,15,0.921,2021-06-08T04:00:00Z,1782,0.979619
1.08,1.09,1.0,30,1.02,2021-06-09T04:00:00Z,12883,1.027599
1.03,1.04,1.0099,26,1.01,2021-06-10T04:00:00Z,9351,1.033608
0.9894,1.07,0.9894,32,1.04,2021-06-11T04:00:00Z,20571,1.032525
1.0694,1.08,0.9999,83,1.08,2021-06-14T04:00:00Z,28767,1.022002
1.07,1.07,1.03,37,1.04,2021-06-15T04:00:00Z,11904,1.0612
1.07,1.08,1.02,14,1.06,2021-06-16T04:00:00Z,4020,1.040615
1.03,1.08,1.01,20,1.01,2021-06-17T04:00:00Z,12980,1.045287
1.12,1.12,1.04,32,1.04,2021-06-18T04:00:00Z,7919,1.102589
1.02,1.12,1.02,43,1.09,2021-06-21T04:00:00Z,24093,1.040909
1.01,1.2,1.01,5,1.2,2021-06-22T04:00:00Z,3401,1.189075
1.02,1.03,1.01,19,1.01,2021-06-23T04:00:00Z,3729,1.01898
1.05,1.05,1.0101,75,1.03,2021-06-24T04:00:00Z,23907,1.027996
1.1,1.1,1.03,50,1.03,2021-06-25T04:00:00Z,5688,1.078112
1.18,1.18,1.07,26,1.07,2021-06-28T04:00:00Z,6184,1.12148
1.13,1.19,1.03,12,1.03,2021-06-29T04:00:00Z,1081,1.096938
1.02,1.17,0.9927,275,1.17,2021-06-30T04:00:00Z,64498,1.013044
1.07,1.09,1.05,27,1.05,2021-07-01T04:00:00Z,9895,1.068892
1.09,1.09,1.0799,14,1.08,2021-07-02T04:00:00Z,11050,1.084415
1.05,1.085,1.04,9,1.05,2021-07-06T04:00:00Z,1540,1.06711
1.06,1.08,1.04,8,1.08,2021-07-07T04:00:00Z,1990,1.062412
1.02,1.0601,1.02,5,1.06,2021-07-08T04:00:00Z,1380,1.051899
1.07,1.09,1.01,27,1.01,2021-07-09T04:00:00Z,15538,1.049227
1.05,1.07,1.02,15,1.07,2021-07-12T04:00:00Z,9267,1.046489
1.1,1.1001,1.06,68,1.06,2021-07-13T04:00:00Z,23463,1.095854
