c,h,l,n,o,t,v,vw
25.22,25.22,25.22,2,25.22,2023-09-29T04:00:00Z,2,25.26
24.71,24.71,24.71,1,24.71,2023-10-02T04:00:00Z,1,24.72
24.71,24.71,24.71,0,24.71,2023-10-03T04:00:00Z,0,0.0
24.71,24.71,24.71,0,24.71,2023-10-04T04:00:00Z,0,0.0
24.12,24.12,24.12,1,24.12,2023-10-05T04:00:00Z,1,24.05
24.36,24.36,24.36,1,24.36,2023-10-06T04:00:00Z,1,24.46
24.36,24.36,24.36,0,24.36,2023-10-09T04:00:00Z,0,0.0
24.32,24.32,24.32,1,24.32,2023-10-10T04:00:00Z,1,24.46
24.32,24.32,24.32,2,24.32,2023-10-11T04:00:00Z,102,24.38
24.17,24.17,24.17,2,24.17,2023-10-12T04:00:00Z,6,24.23
24.17,24.17,24.17,0,24.17,2023-10-13T04:00:00Z,0,0.0
24.29,24.47,24.29,3,24.47,2023-10-16T04:00:00Z,400,24.46
24.29,24.29,24.29,0,24.29,2023-10-17T04:00:00Z,0,0.0
24.29,24.29,24.29,0,24.29,2023-10-18T04:00:00Z,0,0.0
24.53,24.53,24.53,4,24.53,2023-10-19T04:00:00Z,300,24.36
24.53,24.53,24.53,0,24.53,2023-10-20T04:00:00Z,0,0.0
24.41,24.41,24.41,4,24.41,2023-10-23T04:00:00Z,40,24.42
24.41,24.41,24.41,0,24.41,2023-10-24T04:00:00Z,0,0.0
24.53,24.63,24.53,5,24.63,2023-10-25T04:00:00Z,262,24.61
24.94,25.18,24.53,10,24.53,2023-10-26T04:00:00Z,1130,24.81
24.58,24.71,24.58,3,24.71,2023-10-27T04:00:00Z,963,24.7
24.89,24.89,24.88,5,24.88,2023-10-30T04:00:00Z,567,24.88
24.62,24.85,24.62,2,24.85,2023-10-31T04:00:00Z,225,24.79
24.65,24.65,24.65,1,24.65,2023-11-01T04:00:00Z,2,24.79
24.65,24.65,24.65,3,24.65,2023-11-02T04:00:00Z,3,24.59
24.65,24.65,24.65,0,24.65,2023-11-03T04:00:00Z,0,0.0
24.98,24.98,24.98,1,24.98,2023-11-06T05:00:00Z,1,25.06
24.69,24.69,24.6,49,24.6,2023-11-07T05:00:00Z,4632,24.68
24.69,24.69,24.69,0,24.69,2023-11-08T05:00:00Z,0,0.0
24.69,24.69,24.69,0,24.69,2023-11-09T05:00:00Z,0,0.0
24.69,24.69,24.69,0,24.69,2023-11-10T05:00:00Z,0,0.0
24.39,24.39,24.19,56,24.19,2023-11-13T05:00:00Z,5498,24.19
24.66,24.66,24.66,3,24.66,2023-11-14T05:00:00Z,11,24.94
24.66,24.66,24.66,0,24.66,2023-11-15T05:00:00Z,0,0.0
24.73,24.94,24.73,1,24.94,2023-11-16T05:00:00Z,100,24.94
24.73,24.73,24.73,0,24.73,2023-11-17T05:00:00Z,0,0.0
24.96,25.02,24.96,4,25.02,2023-11-20T05:00:00Z,304,25.02
25.12,25.23,25.12,2,25.23,2023-11-21T05:00:00Z,500,25.16
25.12,25.12,25.12,0,25.12,2023-11-22T05:00:00Z,0,0.0
25.01,25.01,24.85,1,24.85,2023-11-24T05:00:00Z,150,24.85
24.92,25.11,24.92,2,25.11,2023-11-27T05:00:00Z,113,25.09
25.26,25.26,25.26,1,25.26,2023-11-28T05:00:00Z,1,25.22
25.26,25.26,25.26,0,25.26,2023-11-29T05:00:00Z,0,0.0
25.19,25.19,25.13,2,25.13,2023-11-30T05:00:00Z,200,25.14
25.48,25.49,25.48,2,25.49,2023-12-01T05:00:00Z,245,25.49
24.91,25.13,24.91,2,25.13,2023-12-04T05:00:00Z,152,25.13
24.91,24.91,24.91,0,24.91,2023-12-05T05:00:00Z,0,0.0
24.35,24.35,24.35,2,24.35,2023-12-06T05:00:00Z,41,24.37
24.49,24.49,24.49,1,24.49,2023-12-07T05:00:00Z,60,24.47
24.44,24.44,24.44,3,24.44,2023-12-08T05:00:00Z,13,24.5
24.23,24.23,24.18,2,24.18,2023-12-11T05:00:00Z,200,24.18
24.22,24.26,24.22,2,24.26,2023-12-12T05:00:00Z,103,24.26
24.61,24.61,24.61,1,24.61,2023-12-13T05:00:00Z,1,24.24
25.12,25.12,24.87,1,24.87,2023-12-14T05:00:00Z,200,24.87
25.12,25.12,25.12,0,25.12,2023-12-15T05:00:00Z,0,0.0
25.16,25.16,25.16,3,25.16,2023-12-18T05:00:00Z,23,25.28
25.16,25.16,25.16,0,25.16,2023-12-19T05:00:00Z,0,0.0
25.29,25.29,25.29,2,25.29,2023-12-20T05:00:00Z,11,25.525455
25.29,25.29,25.29,0,25.29,2023-12-21T05:00:00Z,0,0.0
25.57,25.57,25.57,1,25.57,2023-12-22T05:00:00Z,1,25.72
25.625,25.625,25.625,4,25.625,2023-12-26T05:00:00Z,62,25.613584
26.02,26.02,26.02,1,26.02,2023-12-27T05:00:00Z,60,25.98
25.77,25.77,25.77,2,25.77,2023-12-28T05:00:00Z,4,25.86995
25.73,25.73,25.73,1,25.73,2023-12-29T05:00:00Z,6,25.73
25.4,25.4,25.4,2,25.4,2024-01-02T05:00:00Z,10,25.5
25.4,25.4,25.4,0,25.4,2024-01-03T05:00:00Z,0,0.0
