c,h,l,n,o,t,v,vw
1800.0,2240.0,1040.0,13050,1764.0,2022-04-27T04:00:00Z,11196,1858.03
1923.2,2385.6,1415.2,6724,1937.6,2022-04-28T04:00:00Z,6575,1895.06
1728.8,1824.0,1304.81,3532,1618.4,2022-04-29T04:00:00Z,2775,1582.43
2035.2,2040.0,1602.4,2202,1680.0,2022-05-02T04:00:00Z,1893,1932.64
2320.0,2360.0,1840.0,3491,2000.0,2022-05-03T04:00:00Z,4764,2157.87
2764.8,3532.8,2120.0,4715,3380.0,2022-05-04T04:00:00Z,4143,2608.05
2902.4,3184.0,2488.0,2886,2764.8,2022-05-05T04:00:00Z,1866,2885.17
3178.4,3320.0,2786.4,2714,2960.0,2022-05-06T04:00:00Z,1845,3056.18
3984.0,4050.4,3040.0,3726,3219.2,2022-05-09T04:00:00Z,2795,3455.16
2724.8,4791.2,2640.81,5685,4720.0,2022-05-10T04:00:00Z,4589,3176.64
2910.4,3193.6,2765.6,3361,2765.6,2022-05-11T04:00:00Z,2211,2984.76
708.8,2144.0,542.4,18062,1890.4,2022-05-12T04:00:00Z,27810,1018.85
521.6,608.0,508.0,10975,600.0,2022-05-13T04:00:00Z,17429,550.42
477.6,508.0,464.0,2876,480.0,2022-05-16T04:00:00Z,4140,479.48
408.8,487.2,402.4,3707,480.0,2022-05-17T04:00:00Z,5852,431.73
428.8,476.8,408.8,3507,416.0,2022-05-18T04:00:00Z,6559,437.21
384.0,428.0,382.4,3302,407.2,2022-05-19T04:00:00Z,4673,403.27
355.2,392.14,335.2,2451,387.2,2022-05-20T04:00:00Z,3104,358.08
328.8,361.6,325.6,1721,355.2,2022-05-23T04:00:00Z,2766,340.3
291.2,327.2,267.2,4054,312.0,2022-05-24T04:00:00Z,9300,290.05
251.2,303.2,248.62,2795,275.2,2022-05-25T04:00:00Z,4904,269.77
240.0,275.2,231.2,3967,252.8,2022-05-26T04:00:00Z,5751,253.58
279.2,349.6,240.8,6689,240.8,2022-05-27T04:00:00Z,22401,301.35
260.8,276.8,252.0,1597,271.2,2022-05-31T04:00:00Z,4046,262.62
263.2,279.2,250.4,1419,266.4,2022-06-01T04:00:00Z,2779,267.05
256.0,276.0,252.81,979,262.4,2022-06-02T04:00:00Z,1532,261.07
252.0,264.8,248.0,1099,262.4,2022-06-03T04:00:00Z,1932,254.7
226.4,271.2,220.0,2294,252.0,2022-06-06T04:00:00Z,3586,237.65
214.4,229.6,202.4,1314,217.6,2022-06-07T04:00:00Z,2725,214.2
216.8,226.0,208.0,743,208.0,2022-06-08T04:00:00Z,1427,217.59
199.2,216.0,187.2,951,215.2,2022-06-09T04:00:00Z,1209,199.56
196.8,210.4,188.88,500,210.4,2022-06-10T04:00:00Z,1078,202.07
164.0,195.2,160.0,1454,195.2,2022-06-13T04:00:00Z,2189,172.32
162.4,173.35,156.0,697,164.0,2022-06-14T04:00:00Z,530,162.24
183.2,235.2,164.0,8906,168.0,2022-06-15T04:00:00Z,34967,203.66
191.2,200.0,171.2,1408,172.3,2022-06-16T04:00:00Z,2185,185.43
172.8,200.0,172.8,1216,180.0,2022-06-17T04:00:00Z,2165,182.08
192.0,196.0,173.6,1658,192.8,2022-06-21T04:00:00Z,3262,186.0
202.4,227.2,176.8,2988,176.8,2022-06-22T04:00:00Z,7270,202.65
190.4,218.4,186.4,1804,212.0,2022-06-23T04:00:00Z,4020,197.85
206.4,276.0,184.0,11725,192.0,2022-06-24T04:00:00Z,38610,229.71
197.6,215.2,196.0,2570,208.0,2022-06-27T04:00:00Z,6750,205.35
195.2,200.8,184.8,1168,199.2,2022-06-28T04:00:00Z,3005,192.18
184.0,187.2,173.6,968,180.0,2022-06-29T04:00:00Z,1445,181.59
180.8,184.0,169.6,615,179.2,2022-06-30T04:00:00Z,1295,177.02
181.6,182.4,172.01,1043,182.4,2022-07-01T04:00:00Z,1585,178.04
191.2,192.0,168.0,1336,168.0,2022-07-05T04:00:00Z,3440,180.96
191.2,196.8,183.2,581,196.8,2022-07-06T04:00:00Z,1116,192.3
189.6,199.2,183.08,1213,189.6,2022-07-07T04:00:00Z,2041,190.73
188.0,196.0,184.8,281,192.8,2022-07-08T04:00:00Z,397,188.79
172.0,188.19,167.2,791,184.8,2022-07-11T04:00:00Z,2114,173.13
170.4,177.6,167.2,588,169.6,2022-07-12T04:00:00Z,1005,171.2
164.8,169.6,160.0,470,167.2,2022-07-13T04:00:00Z,1236,163.65
162.4,172.8,156.0,727,162.4,2022-07-14T04:00:00Z,1177,160.56
159.2,163.2,152.8,456,162.4,2022-07-15T04:00:00Z,800,157.68
160.8,169.6,159.2,362,162.4,2022-07-18T04:00:00Z,594,163.23
168.0,170.4,160.8,396,161.6,2022-07-19T04:00:00Z,695,165.2
164.0,167.2,160.0,431,167.2,2022-07-20T04:00:00Z,977,163.79
164.8,168.8,160.0,356,168.0,2022-07-21T04:00:00Z,718,165.03
157.6,166.4,153.6,606,162.4,2022-07-22T04:00:00Z,860,157.48
152.0,156.8,150.4,710,155.2,2022-07-25T04:00:00Z,1219,153.43
166.4,208.0,152.8,8436,154.4,2022-07-26T04:00:00Z,41933,182.87
168.8,178.4,154.4,1514,168.8,2022-07-27T04:00:00Z,6236,164.97
171.2,185.6,156.12,2237,167.2,2022-07-28T04:00:00Z,5708,171.44
168.8,176.8,162.4,677,176.0,2022-07-29T04:00:00Z,1373,167.99
161.6,171.2,160.0,686,170.4,2022-08-01T04:00:00Z,1274,163.5
184.0,188.0,160.8,1735,164.0,2022-08-02T04:00:00Z,6522,178.84
221.6,238.4,169.6,6908,187.2,2022-08-03T04:00:00Z,26960,214.95
199.2,215.2,180.0,2264,207.2,2022-08-04T04:00:00Z,6448,201.15
