c,h,l,n,o,t,v,vw
16.2,16.3,15.06,2132,16.29,2016-01-04T05:00:00Z,269356,16.17
16.34,16.37,16.15,1277,16.26,2016-01-05T05:00:00Z,143032,16.29
16.46,16.67,16.1,1505,16.16,2016-01-06T05:00:00Z,269825,16.42
16.2,16.36,16.14,1671,16.16,2016-01-07T05:00:00Z,237160,16.21
15.78,16.41,15.77,1645,16.22,2016-01-08T05:00:00Z,217408,16.0
16.03,16.13,15.88,1387,15.9,2016-01-11T05:00:00Z,158215,16.01
15.99,16.24,15.88,1674,16.23,2016-01-12T05:00:00Z,248275,16.0
15.5,16.17,15.4,1554,16.1,2016-01-13T05:00:00Z,243598,15.62
15.91,16.07,15.4,2013,15.63,2016-01-14T05:00:00Z,245333,15.88
15.71,15.85,15.36,1833,15.52,2016-01-15T05:00:00Z,234307,15.61
15.66,15.82,15.4,1104,15.79,2016-01-19T05:00:00Z,150299,15.61
15.36,15.55,15.2,1998,15.42,2016-01-20T05:00:00Z,239634,15.37
14.99,15.41,14.98,1104,15.36,2016-01-21T05:00:00Z,131164,15.1
15.09,15.33,14.99,1291,15.13,2016-01-22T05:00:00Z,187281,15.11
14.7,15.08,14.63,1022,14.99,2016-01-25T05:00:00Z,153167,14.76
14.78,14.92,14.68,944,14.78,2016-01-26T05:00:00Z,109716,14.8
14.59,14.84,14.54,1918,14.7,2016-01-27T05:00:00Z,235595,14.72
14.79,14.87,14.7,1380,14.7,2016-01-28T05:00:00Z,163204,14.79
15.03,15.03,14.76,1557,14.83,2016-01-29T05:00:00Z,324036,14.95
14.76,15.06,14.76,1153,14.92,2016-02-01T05:00:00Z,141029,14.84
14.47,14.74,14.34,1114,14.66,2016-02-02T05:00:00Z,145915,14.51
13.62,15.17,13.57,3336,14.49,2016-02-03T05:00:00Z,421825,13.72
13.46,13.72,13.17,2666,13.46,2016-02-04T05:00:00Z,348272,13.38
13.12,13.59,13.08,1616,13.48,2016-02-05T05:00:00Z,277175,13.22
13.21,13.27,13.01,2237,13.09,2016-02-08T05:00:00Z,309184,13.14
13.37,13.43,13.09,1380,13.12,2016-02-09T05:00:00Z,191319,13.37
13.31,13.46,13.11,1711,13.46,2016-02-10T05:00:00Z,210867,13.34
13.18,13.32,13.06,945,13.15,2016-02-11T05:00:00Z,111536,13.2
13.4,13.45,13.21,1432,13.21,2016-02-12T05:00:00Z,188746,13.38
13.55,13.63,13.46,986,13.6,2016-02-16T05:00:00Z,142787,13.57
13.6,13.85,13.55,1334,13.66,2016-02-17T05:00:00Z,265558,13.7
13.59,13.75,13.5,883,13.62,2016-02-18T05:00:00Z,105039,13.61
13.72,13.79,13.52,1758,13.56,2016-02-19T05:00:00Z,272916,13.67
13.57,13.79,13.56,1134,13.7,2016-02-22T05:00:00Z,226373,13.63
13.65,13.73,13.52,1293,13.56,2016-02-23T05:00:00Z,199000,13.63
13.7,13.73,13.32,1061,13.61,2016-02-24T05:00:00Z,126059,13.56
13.86,13.89,13.62,858,13.72,2016-02-25T05:00:00Z,109694,13.79
14.01,14.13,13.83,1087,13.91,2016-02-26T05:00:00Z,118881,14.0
13.74,14.01,13.72,698,13.95,2016-02-29T05:00:00Z,120498,13.79
14.1,14.19,13.78,788,13.78,2016-03-01T05:00:00Z,99620,14.08
14.2,14.2,13.97,958,14.06,2016-03-02T05:00:00Z,117572,14.13
14.31,14.31,14.14,927,14.22,2016-03-03T05:00:00Z,141710,14.26
14.32,14.39,14.2,997,14.31,2016-03-04T05:00:00Z,136039,14.3
14.56,14.6,14.13,859,14.31,2016-03-07T05:00:00Z,131882,14.5
14.2,14.54,14.17,730,14.51,2016-03-08T05:00:00Z,100955,14.29
14.33,14.34,14.03,497,14.25,2016-03-09T05:00:00Z,57213,14.29
14.22,14.45,14.02,1118,14.34,2016-03-10T05:00:00Z,82194,14.18
14.63,14.64,14.2,996,14.32,2016-03-11T05:00:00Z,133937,14.51
14.47,14.58,14.43,734,14.58,2016-03-14T04:00:00Z,86417,14.5
14.24,14.47,14.23,539,14.45,2016-03-15T04:00:00Z,74828,14.3
14.35,14.36,14.09,776,14.22,2016-03-16T04:00:00Z,92916,14.31
14.72,14.82,14.1,1222,14.32,2016-03-17T04:00:00Z,169285,14.6
14.83,14.98,14.56,1460,14.8,2016-03-18T04:00:00Z,434019,14.83
14.94,14.98,14.79,900,14.85,2016-03-21T04:00:00Z,105944,14.89
15.0,15.08,14.8,968,14.84,2016-03-22T04:00:00Z,107213,14.95
14.89,15.14,14.85,738,14.99,2016-03-23T04:00:00Z,103744,14.93
14.91,14.91,14.73,632,14.8,2016-03-24T04:00:00Z,74041,14.84
14.91,15.1,14.87,694,15.01,2016-03-28T04:00:00Z,99400,14.96
15.25,15.33,14.77,1025,14.84,2016-03-29T04:00:00Z,147150,15.11
15.32,15.47,15.18,1423,15.29,2016-03-30T04:00:00Z,208885,15.32
15.22,15.45,15.21,1407,15.33,2016-03-31T04:00:00Z,327439,15.28
15.29,15.3,14.99,768,15.2,2016-04-01T04:00:00Z,95829,15.25
15.33,15.44,15.18,805,15.31,2016-04-04T04:00:00Z,116581,15.32
15.16,15.27,15.05,1091,15.19,2016-04-05T04:00:00Z,191858,15.17
15.23,15.26,15.04,897,15.17,2016-04-06T04:00:00Z,106091,15.17
15.15,15.21,15.07,1513,15.17,2016-04-07T04:00:00Z,229774,15.12
15.32,15.38,15.19,1161,15.21,2016-04-08T04:00:00Z,127713,15.3
15.48,15.63,15.25,1582,15.35,2016-04-11T04:00:00Z,172453,15.47
