c,h,l,n,o,t,v,vw
13.56,13.83,11.31,13719,11.41,2016-07-22T04:00:00Z,3765401,12.350997
13.25,14.22,13.07,1764,14.1,2016-07-25T04:00:00Z,358230,13.39952
13.83,13.9,13.07,993,13.07,2016-07-26T04:00:00Z,212657,13.59006
14.31,14.425,13.85,2134,13.85,2016-07-27T04:00:00Z,361176,14.162896
14.23,14.5699,13.61,523,14.49,2016-07-28T04:00:00Z,227329,14.328304
14.625,14.65,14.07,548,14.07,2016-07-29T04:00:00Z,279939,14.40323
14.885,15.49,14.79,1273,14.95,2016-08-01T04:00:00Z,289790,15.093406
14.685,15.081,14.25,576,14.9,2016-08-02T04:00:00Z,168339,14.65513
14.79,15.2,14.51,743,15.17,2016-08-03T04:00:00Z,187679,14.801764
15.8,16.0,14.524,1306,14.79,2016-08-04T04:00:00Z,269062,15.217675
15.5,16.0,15.39,1357,16.0,2016-08-05T04:00:00Z,244729,15.646559
14.95,16.03,14.91,1232,16.03,2016-08-08T04:00:00Z,220505,15.272056
14.94,15.24,14.82,1014,14.82,2016-08-09T04:00:00Z,167276,14.976103
15.05,15.16,14.89,1119,15.04,2016-08-10T04:00:00Z,202539,15.017852
16.29,16.48,15.5001,2350,15.9,2016-08-11T04:00:00Z,516785,15.926201
16.25,16.56,16.07,769,16.08,2016-08-12T04:00:00Z,207688,16.24862
16.97,17.3,16.26,1678,16.43,2016-08-15T04:00:00Z,367730,16.943279
18.6,18.995,17.05,4240,17.33,2016-08-16T04:00:00Z,886056,17.95264
18.89,19.19,18.3,1684,18.9,2016-08-17T04:00:00Z,300524,18.604501
19.2,19.45,18.55,1280,19.25,2016-08-18T04:00:00Z,388202,19.250572
18.95,19.24,18.76,681,19.12,2016-08-19T04:00:00Z,100818,18.970142
18.93,19.4,18.85,1061,19.0,2016-08-22T04:00:00Z,164396,19.010267
18.57,19.27,18.1,1826,19.11,2016-08-23T04:00:00Z,285406,18.607051
18.07,18.81,17.97,1049,18.48,2016-08-24T04:00:00Z,192443,18.417576
17.68,18.07,17.38,547,17.93,2016-08-25T04:00:00Z,97991,17.731728
17.53,17.9,17.4,618,17.67,2016-08-26T04:00:00Z,105231,17.690988
20.45,20.97,17.68,5743,17.74,2016-08-29T04:00:00Z,1349477,19.639574
20.32,20.92,19.67,1230,20.63,2016-08-30T04:00:00Z,302455,20.225055
19.89,20.62,19.23,1206,20.38,2016-08-31T04:00:00Z,245933,19.641929
19.79,20.439,19.44,749,19.95,2016-09-01T04:00:00Z,119482,19.760465
19.52,20.75,19.3508,1229,19.98,2016-09-02T04:00:00Z,266747,19.860738
19.54,19.75,19.3,762,19.66,2016-09-06T04:00:00Z,111977,19.554511
19.78,20.3,19.31,1552,19.46,2016-09-07T04:00:00Z,252703,19.842447
20.31,21.45,19.6201,3239,19.95,2016-09-08T04:00:00Z,636672,20.592739
18.15,20.3,18.0,2704,20.3,2016-09-09T04:00:00Z,479394,18.850513
18.7,18.9399,17.68,1502,17.76,2016-09-12T04:00:00Z,236527,18.457299
18.35,18.94,17.93,800,18.42,2016-09-13T04:00:00Z,111250,18.377921
18.47,18.65,18.009,751,18.29,2016-09-14T04:00:00Z,131450,18.374582
18.59,18.9399,18.48,996,18.64,2016-09-15T04:00:00Z,177802,18.670993
19.73,19.9,18.34,1955,18.61,2016-09-16T04:00:00Z,905339,19.596892
20.73,21.8,19.725,3031,19.9,2016-09-19T04:00:00Z,493180,20.791145
20.06,21.2,19.99,1070,20.85,2016-09-20T04:00:00Z,159543,20.253034
20.74,20.77,19.9949,828,20.29,2016-09-21T04:00:00Z,156730,20.479123
21.06,21.48,20.22,2148,21.0,2016-09-22T04:00:00Z,456394,20.960168
21.32,21.74,20.96,1277,21.1,2016-09-23T04:00:00Z,233887,21.321011
20.66,21.3,20.35,1053,21.3,2016-09-26T04:00:00Z,164288,20.664051
21.29,21.608,20.43,1974,20.71,2016-09-27T04:00:00Z,334990,21.090824
22.11,22.72,21.03,3385,21.45,2016-09-28T04:00:00Z,591266,21.948427
20.97,22.65,20.54,2149,22.07,2016-09-29T04:00:00Z,412745,21.345862
21.26,22.0,20.7,2511,21.02,2016-09-30T04:00:00Z,1077648,21.341137
20.89,21.5377,20.731,1156,21.33,2016-10-03T04:00:00Z,128344,20.961159
