c,h,l,n,o,t,v,vw
4.313,4.313,4.131,34304,4.288,2016-01-04T05:00:00Z,135018720,4.223
4.274,4.38,4.216,14610,4.363,2016-01-05T05:00:00Z,66809712,4.295
4.16,4.224,4.055,32824,4.061,2016-01-06T05:00:00Z,122798640,4.135
3.764,4.041,3.758,46760,3.889,2016-01-07T05:00:00Z,172026600,3.882
3.675,3.916,3.658,42846,3.846,2016-01-08T05:00:00Z,167108256,3.801
3.707,3.781,3.535,48003,3.752,2016-01-11T05:00:00Z,168823368,3.661
3.832,3.89,3.676,43097,3.807,2016-01-12T05:00:00Z,159797544,3.795
3.431,3.906,3.418,53515,3.879,2016-01-13T05:00:00Z,207289512,3.627
3.653,3.746,3.31,38116,3.475,2016-01-14T05:00:00Z,182294712,3.57
3.318,3.43,3.174,48213,3.289,2016-01-15T05:00:00Z,283545096,3.302
3.332,3.463,3.218,27661,3.448,2016-01-19T05:00:00Z,130606104,3.353
3.302,3.409,2.957,56023,3.175,2016-01-20T05:00:00Z,278262936,3.143
3.314,3.459,3.211,28603,3.343,2016-01-21T05:00:00Z,169883328,3.357
3.599,3.605,3.479,33428,3.509,2016-01-22T05:00:00Z,144564096,3.552
3.437,3.623,3.43,29474,3.567,2016-01-25T05:00:00Z,138973920,3.552
3.535,3.577,3.393,23762,3.483,2016-01-26T05:00:00Z,121935384,3.501
3.272,3.515,3.225,36146,3.471,2016-01-27T05:00:00Z,179959656,3.384
3.401,3.434,3.238,30872,3.426,2016-01-28T05:00:00Z,158382960,3.366
3.623,3.623,3.4,29611,3.409,2016-01-29T05:00:00Z,129102360,3.532
3.643,3.689,3.525,27785,3.564,2016-02-01T05:00:00Z,114949344,3.607
3.412,3.6,3.379,31293,3.6,2016-02-02T05:00:00Z,127178280,3.494
3.364,3.477,3.183,56561,3.476,2016-02-03T05:00:00Z,236098416,3.303
3.358,3.44,3.243,30511,3.331,2016-02-04T05:00:00Z,142433664,3.335
3.012,3.329,2.975,47518,3.326,2016-02-05T05:00:00Z,215179272,3.094
2.875,2.911,2.708,45082,2.844,2016-02-08T05:00:00Z,258744072,2.805
2.842,2.975,2.743,37352,2.756,2016-02-09T05:00:00Z,230393352,2.865
2.875,3.053,2.871,32130,2.944,2016-02-10T05:00:00Z,188234928,2.971
2.868,2.932,2.742,46010,2.767,2016-02-11T05:00:00Z,239204160,2.827
2.991,3.003,2.88,29800,2.958,2016-02-12T05:00:00Z,158873688,2.956
3.19,3.19,3.071,26273,3.129,2016-02-16T05:00:00Z,150914784,3.149
3.41,3.427,3.241,32112,3.271,2016-02-17T05:00:00Z,183856824,3.357
3.294,3.448,3.283,26431,3.446,2016-02-18T05:00:00Z,129442200,3.353
3.328,3.356,3.226,21039,3.257,2016-02-19T05:00:00Z,120486240,3.311
3.486,3.497,3.409,20772,3.419,2016-02-22T05:00:00Z,113530104,3.466
3.312,3.454,3.309,28889,3.424,2016-02-23T05:00:00Z,134522808,3.368
3.411,3.422,3.138,37305,3.2,2016-02-24T05:00:00Z,176569488,3.267
3.505,3.509,3.34,29245,3.433,2016-02-25T05:00:00Z,130051200,3.419
3.497,3.593,3.473,29270,3.585,2016-02-26T05:00:00Z,125066136,3.523
3.404,3.567,3.404,24154,3.489,2016-02-29T05:00:00Z,115671096,3.501
3.73,3.731,3.47,37458,3.497,2016-03-01T05:00:00Z,156291576,3.628
3.734,3.738,3.648,23736,3.716,2016-03-02T05:00:00Z,97301712,3.695
3.713,3.727,3.634,23677,3.724,2016-03-03T05:00:00Z,103990344,3.682
3.719,3.791,3.645,28111,3.727,2016-03-04T05:00:00Z,119084088,3.717
3.65,3.727,3.57,22246,3.661,2016-03-07T05:00:00Z,94941000,3.649
3.554,3.67,3.54,25805,3.573,2016-03-08T05:00:00Z,106915272,3.607
3.622,3.628,3.539,22895,3.602,2016-03-09T05:00:00Z,104467584,3.593
3.608,3.734,3.469,39410,3.68,2016-03-10T05:00:00Z,171924960,3.601
3.795,3.799,3.693,21270,3.725,2016-03-11T05:00:00Z,85322232,3.749
3.817,3.845,3.752,15665,3.757,2016-03-14T04:00:00Z,78979368,3.811
3.815,3.825,3.74,22547,3.778,2016-03-15T04:00:00Z,96858984,3.793
3.912,3.945,3.781,20782,3.781,2016-03-16T04:00:00Z,88460088,3.871
3.901,3.936,3.837,15091,3.882,2016-03-17T04:00:00Z,64088472,3.893
3.923,3.956,3.865,15982,3.933,2016-03-18T04:00:00Z,73983264,3.916
3.97,3.983,3.899,14197,3.906,2016-03-21T04:00:00Z,68178672,3.946
4.005,4.035,3.902,15079,3.906,2016-03-22T04:00:00Z,64167456,3.986
3.91,3.993,3.883,16519,3.984,2016-03-23T04:00:00Z,77521272,3.936
3.909,3.916,3.832,15143,3.846,2016-03-24T04:00:00Z,64461504,3.879
3.895,3.949,3.876,13851,3.948,2016-03-28T04:00:00Z,65164584,3.909
4.081,4.09,3.854,19094,3.873,2016-03-29T04:00:00Z,90148440,3.99
4.142,4.219,4.115,23607,4.155,2016-03-30T04:00:00Z,105848688,4.16
4.118,4.179,4.105,13466,4.133,2016-03-31T04:00:00Z,59829360,4.143
