c,h,l,n,o,t,v,vw
31.42,32.95,29.43,76047,29.76,2016-12-16T05:00:00Z,4299891,30.98
32.21,33.43,31.55,27200,32.4,2016-12-19T05:00:00Z,1059803,32.56
31.31,32.93,31.15,6062,32.82,2016-12-20T05:00:00Z,259115,31.65
31.28,31.4,30.97,3690,31.18,2016-12-21T05:00:00Z,223797,31.14
31.04,31.28,30.89,2899,31.1,2016-12-22T05:00:00Z,209341,31.04
31.36,31.47,30.81,2940,30.91,2016-12-23T05:00:00Z,167921,30.97
30.99,31.48,30.75,1527,31.42,2016-12-27T05:00:00Z,94546,31.0
30.73,31.15,30.41,1672,31.04,2016-12-28T05:00:00Z,75410,30.69
30.91,30.99,30.51,1081,30.89,2016-12-29T05:00:00Z,44537,30.75
31.15,31.39,30.89,860,31.2,2016-12-30T05:00:00Z,53438,31.18
32.18,32.87,31.15,4469,31.18,2017-01-03T05:00:00Z,206501,32.03
32.24,32.58,31.6,1587,32.32,2017-01-04T05:00:00Z,133573,31.93
32.05,32.45,31.28,2785,32.08,2017-01-05T05:00:00Z,194401,31.88
31.58,31.97,31.15,1887,31.81,2017-01-06T05:00:00Z,134311,31.5
31.52,31.95,31.39,1238,31.39,2017-01-09T05:00:00Z,53572,31.58
31.39,32.48,31.2,3674,31.87,2017-01-10T05:00:00Z,221512,31.81
31.28,32.18,31.15,2101,31.55,2017-01-11T05:00:00Z,86459,31.47
30.54,31.31,30.33,4007,31.28,2017-01-12T05:00:00Z,308842,30.59
31.2,31.49,30.36,4344,31.07,2017-01-13T05:00:00Z,158464,30.97
31.04,31.36,30.86,2384,31.2,2017-01-17T05:00:00Z,143537,31.09
30.89,31.54,30.46,3322,31.26,2017-01-18T05:00:00Z,197089,30.8
30.94,31.12,30.53,2562,30.89,2017-01-19T05:00:00Z,146848,30.77
30.49,31.47,30.36,2295,31.28,2017-01-20T05:00:00Z,173478,30.74
30.25,30.73,30.2,2324,30.65,2017-01-23T05:00:00Z,211702,30.41
29.77,30.46,28.95,2609,30.41,2017-01-24T05:00:00Z,129812,29.56
30.57,30.85,28.84,3087,29.75,2017-01-25T05:00:00Z,178152,29.94
30.06,31.12,29.83,1793,30.83,2017-01-26T05:00:00Z,86922,30.4
29.48,30.49,29.4,1926,30.01,2017-01-27T05:00:00Z,94628,29.72
30.09,30.51,29.16,2080,29.43,2017-01-30T05:00:00Z,95455,29.77
30.75,30.81,30.03,1587,30.17,2017-01-31T05:00:00Z,73740,30.62
30.44,30.83,30.2,768,30.75,2017-02-01T05:00:00Z,66381,30.48
30.3,30.73,30.04,869,30.54,2017-02-02T05:00:00Z,70774,30.38
30.36,30.65,30.17,913,30.28,2017-02-03T05:00:00Z,55957,30.39
30.62,30.73,30.22,1100,30.46,2017-02-06T05:00:00Z,44385,30.48
30.44,31.23,30.36,1399,30.75,2017-02-07T05:00:00Z,116846,30.57
30.33,30.36,29.43,2807,30.0,2017-02-08T05:00:00Z,280019,30.03
30.51,30.67,30.2,1359,30.28,2017-02-09T05:00:00Z,132758,31.02
32.82,33.56,32.48,3784,32.48,2017-02-10T05:00:00Z,246978,32.71
34.54,36.78,33.09,5317,33.09,2017-02-13T05:00:00Z,238551,35.17
35.84,36.43,34.73,2674,35.5,2017-02-14T05:00:00Z,111220,35.66
35.26,36.27,35.0,2040,35.95,2017-02-15T05:00:00Z,97572,35.37
35.98,36.19,34.96,1360,35.5,2017-02-16T05:00:00Z,78597,35.41
36.74,37.57,36.14,2258,36.61,2017-02-17T05:00:00Z,83739,36.88
35.23,37.65,34.6,2981,37.35,2017-02-21T05:00:00Z,174529,35.63
