c,h,l,n,o,t,v,vw
24.47,24.47,24.47,2,24.47,2022-05-20T04:00:00Z,40,24.48
24.47,24.5,24.43,9,24.49,2022-05-23T04:00:00Z,6501693,24.49
24.45,24.48,24.42,9,24.47,2022-05-24T04:00:00Z,19802,24.47
24.46,24.47,24.44,8,24.44,2022-05-25T04:00:00Z,22395,24.45
24.45,24.47,24.42,9,24.47,2022-05-26T04:00:00Z,12761,24.45
24.82,24.82,24.67,11,24.71,2022-05-27T04:00:00Z,26102,24.68
24.8,24.92,24.73,11,24.78,2022-05-31T04:00:00Z,8571,24.76
24.75,24.83,24.69,17,24.79,2022-06-01T04:00:00Z,7062,24.77
24.98,25.03,24.76,11,24.82,2022-06-02T04:00:00Z,5203,24.88
24.68,24.85,24.61,23,24.85,2022-06-03T04:00:00Z,22526,24.66
24.68,24.84,24.65,19,24.84,2022-06-06T04:00:00Z,16179,24.72
24.81,24.83,24.55,35,24.55,2022-06-07T04:00:00Z,76076,24.72
24.62,24.84,24.57,30,24.8,2022-06-08T04:00:00Z,10583,24.69
24.33,24.67,24.28,69,24.64,2022-06-09T04:00:00Z,13907,24.51
23.86,24.11,23.83,43,24.0,2022-06-10T04:00:00Z,24369,23.92
23.26,23.41,23.26,41,23.41,2022-06-13T04:00:00Z,59385,23.41
23.23,23.28,23.16,14,23.28,2022-06-14T04:00:00Z,43184,23.18
23.26,23.32,23.19,23,23.29,2022-06-15T04:00:00Z,18966,23.26
23.23,23.3,22.99,16,22.99,2022-06-16T04:00:00Z,33397,23.22
23.24,23.3,23.11,24,23.11,2022-06-17T04:00:00Z,40884,23.22
23.26,23.38,23.17,18,23.17,2022-06-21T04:00:00Z,57325,23.3
23.3,23.38,23.26,44,23.33,2022-06-22T04:00:00Z,29006,23.31
23.34,23.46,23.3,58,23.4,2022-06-23T04:00:00Z,8865,23.36
23.38,23.42,23.31,20,23.42,2022-06-24T04:00:00Z,6710,23.35
23.35,23.47,23.35,30,23.44,2022-06-27T04:00:00Z,16451,23.39
23.33,23.41,23.32,14,23.37,2022-06-28T04:00:00Z,15004,23.37
23.31,23.39,23.3,14,23.35,2022-06-29T04:00:00Z,16396,23.35
23.25,23.32,22.84,32,22.84,2022-06-30T04:00:00Z,50249,23.22
23.31,23.36,23.25,33,23.3,2022-07-01T04:00:00Z,20432,23.29
23.37,23.41,23.32,25,23.33,2022-07-05T04:00:00Z,41695,23.33
23.38,23.42,23.34,21,23.37,2022-07-06T04:00:00Z,13067,23.36
23.44,23.53,23.4,21,23.45,2022-07-07T04:00:00Z,6774,23.46
23.42,23.49,23.38,14,23.44,2022-07-08T04:00:00Z,4919,23.42
23.41,23.47,23.28,42,23.39,2022-07-11T04:00:00Z,33814,23.42
23.28,23.43,23.28,28,23.43,2022-07-12T04:00:00Z,18956,23.35
23.33,23.39,23.29,16,23.36,2022-07-13T04:00:00Z,14242,23.32
23.32,23.35,23.24,64,23.32,2022-07-14T04:00:00Z,12400,23.28
23.4,23.41,23.34,11,23.41,2022-07-15T04:00:00Z,33641,23.37
23.39,23.45,23.29,29,23.4,2022-07-18T04:00:00Z,14589,23.41
23.55,23.55,23.41,16,23.48,2022-07-19T04:00:00Z,17196,23.48
23.78,23.81,23.66,26,23.74,2022-07-20T04:00:00Z,18296,23.72
23.92,23.92,23.75,8,23.8,2022-07-21T04:00:00Z,7963,23.76
23.71,23.88,23.69,13,23.87,2022-07-22T04:00:00Z,16760,23.81
23.62,23.71,23.62,17,23.68,2022-07-25T04:00:00Z,6520,23.67
23.44,23.53,23.44,14,23.53,2022-07-26T04:00:00Z,23055,23.49
23.95,23.95,23.71,17,23.79,2022-07-27T04:00:00Z,8408,23.74
23.98,23.98,23.88,11,23.88,2022-07-28T04:00:00Z,1424,23.91
24.31,24.33,24.1,39,24.11,2022-07-29T04:00:00Z,42514,24.17
24.23,24.38,24.18,13,24.38,2022-08-01T04:00:00Z,5159,24.3
24.16,24.3,24.16,28,24.3,2022-08-02T04:00:00Z,6790,24.25
24.54,24.54,24.39,30,24.44,2022-08-03T04:00:00Z,5512,24.45
24.59,24.59,24.46,15,24.46,2022-08-04T04:00:00Z,18928,24.49
24.46,24.5,24.4,15,24.48,2022-08-05T04:00:00Z,5139,24.47
24.42,24.59,24.37,16,24.55,2022-08-08T04:00:00Z,15176,24.55
24.26,24.32,24.24,52,24.28,2022-08-09T04:00:00Z,10457,24.29
24.64,24.67,24.54,18,24.54,2022-08-10T04:00:00Z,4457,24.59
24.57,24.71,24.57,22,24.66,2022-08-11T04:00:00Z,15448,24.69
24.78,24.81,24.65,41,24.74,2022-08-12T04:00:00Z,13124,24.72
24.92,24.96,24.78,17,24.78,2022-08-15T04:00:00Z,15650,24.89
24.93,25.01,24.8,21,24.86,2022-08-16T04:00:00Z,12136,24.88
24.74,24.79,24.68,16,24.72,2022-08-17T04:00:00Z,25156,24.77
24.79,24.86,24.75,16,24.86,2022-08-18T04:00:00Z,10929,24.77
24.49,24.59,24.48,14,24.59,2022-08-19T04:00:00Z,4351,24.54
24.16,24.29,24.14,28,24.29,2022-08-22T04:00:00Z,4184,24.19
24.21,24.27,24.16,24,24.22,2022-08-23T04:00:00Z,16392,24.24
