c,h,l,n,o,t,v,vw
811.2,825.0,790.8,4424,816.3,2016-01-04T05:00:00Z,18605,808.38
796.2,822.6,788.4,3723,807.6,2016-01-05T05:00:00Z,15566,805.01
791.4,795.9,778.49,2607,785.7,2016-01-06T05:00:00Z,10727,789.36
756.9,794.1,735.68,6696,775.2,2016-01-07T05:00:00Z,21745,760.66
729.6,773.7,726.6,4109,759.3,2016-01-08T05:00:00Z,12546,743.58
711.6,746.1,696.6,4333,746.1,2016-01-11T05:00:00Z,14496,717.73
698.1,723.0,672.9,7507,714.6,2016-01-12T05:00:00Z,34594,693.36
655.5,705.3,646.2,6231,702.0,2016-01-13T05:00:00Z,21513,664.36
669.6,677.4,631.5,8137,659.7,2016-01-14T05:00:00Z,27638,659.68
637.8,655.8,614.4,9184,653.7,2016-01-15T05:00:00Z,34170,630.37
613.8,664.91,597.3,6875,646.5,2016-01-19T05:00:00Z,40275,617.05
598.8,605.7,565.5,8262,604.5,2016-01-20T05:00:00Z,29069,586.64
614.4,629.7,589.5,5843,597.6,2016-01-21T05:00:00Z,19925,614.95
632.1,636.9,611.7,3954,623.4,2016-01-22T05:00:00Z,18632,628.17
601.8,644.7,595.5,3405,630.3,2016-01-25T05:00:00Z,13770,611.43
605.1,608.1,569.4,4640,600.6,2016-01-26T05:00:00Z,20399,593.4
588.6,607.8,585.9,4362,606.3,2016-01-27T05:00:00Z,14557,593.13
590.1,602.1,577.8,4091,592.5,2016-01-28T05:00:00Z,13533,587.37
605.7,609.3,586.8,4064,590.4,2016-01-29T05:00:00Z,18214,602.46
606.6,610.5,593.1,5527,608.1,2016-02-01T05:00:00Z,21071,603.36
574.5,600.0,566.4,4419,600.0,2016-02-02T05:00:00Z,15557,575.18
564.0,580.2,543.0,5305,579.6,2016-02-03T05:00:00Z,20641,561.51
575.4,581.4,561.0,4455,565.5,2016-02-04T05:00:00Z,19355,571.69
517.8,579.3,510.3,8631,576.0,2016-02-05T05:00:00Z,35699,538.38
